numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
5751	5750	employment	21325	272	234	252	219	5.3333	2.4362	2.7897	2.3711	Noun	271	1	3.728	3	45	10	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_5751_employment_high3	3500	11500	
9706	9705	lap	36333	687	519	647	496	13.4706	2.8376	6.1874	2.716	Noun	666	0.97085	4.1294	1	10	3	20	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_9706_lap_high1	3200	11200	
18932	18931	vogue	71593	119	61	24	11	2.3333	2.0792	0.72723	1.7924	Noun	118	1	3.371	1	11.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_18932_vogue_low1	3250	11250	
15623	15622	seminar	57763	217	132	212	129	4.2549	2.3385	1.5737	2.1239	Noun	217	1	3.6303	3	38.83	7	1	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_15623_seminar_low3	3200	11200	
12003	12002	obstacle	44176	132	107	131	107	2.5882	2.1239	1.2756	2.0334	Noun	132	1	3.4157	3	44.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	5	list5	list5_12003_obstacle_low3	3450	11450	
12401	12400	pad	45840	415	327	390	312	8.1373	2.6191	3.8984	2.5159	Noun	368	0.88675	3.9109	1	10	3	19	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_12401_pad_high1	3350	11350	
17756	17755	therapy	65879	944	576	878	552	18.5098	2.9754	6.867	2.7612	Noun	941	1	4.2673	3	32.33	7	0	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_17756_therapy_high3	3450	11450	
16696	16695	stack	61943	311	269	279	249	6.098	2.4942	3.207	2.4314	Noun	221	0.71061	3.786	1	44	5	10	1	high	high1	1	10	1	2	11	12	13	14	5	list5	list5_16696_stack_high1	3500	11500	
3597	3596	comedy	12735	602	322	541	303	11.8039	2.7803	3.8388	2.5092	Noun	598	0.99667	4.0722	3	38.8	6	1	1	high	high3	2	20	1	2	21	22	23	24	5	list5	list5_3597_comedy_high3	3350	11350	
1767	1766	boar	6846	111	60	93	55	2.1765	2.0492	0.71531	1.7853	Noun	111	1	3.3411	1	26.33	4	5	1	low	low1	3	30	1	2	31	32	33	34	5	list5	list5_1767_boar_low1	3450	11450	
