numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
11583	11582	mystery	42430	1171	837	1094	802	22.9608	3.0689	9.9785	2.9232	Noun	1167	0.99744	4.3608	3	103.67	7	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_11583_mystery_high3	3450	11450	
885	884	attitude	3770	1330	1016	1291	994	26.0784	3.1242	12.1125	3.0073	Noun	1327	0.99925	4.416	3	34.71	8	2	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_885_attitude_high3	3250	11250	
17316	17315	swat	64256	196	105	21	20	3.8431	2.2945	1.2518	2.0253	Noun	87	0.44388	3.5863	1	13.67	4	9	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17316_swat_low1	3250	11250	
11710	11709	nerve	42973	1171	834	1152	824	22.9608	3.0689	9.9428	2.9217	Noun	1159	0.994	4.3608	1	24.5	5	3	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_11710_nerve_high1	3250	11250	
17427	17426	tack	64700	108	73	90	67	2.1176	2.0374	0.87029	1.8692	Noun	60	0.55556	3.3293	1	30	4	15	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17427_tack_low1	3300	11300	
7608	7607	grape	28163	204	137	163	116	4	2.3118	1.6333	2.1399	Noun	204	1	3.6036	1	39.75	5	8	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_7608_grape_low1	3300	11300	
16837	16836	stench	62329	113	91	101	90	2.2157	2.0569	1.0849	1.9638	Noun	113	1	3.3487	1	46.8	6	0	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_16837_stench_low1	3400	11400	
8068	8067	haste	29628	106	79	103	77	2.0784	2.0294	0.94182	1.9031	Noun	96	0.88889	3.3212	1	37	5	6	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_8068_haste_low1	3300	11300	
13961	13960	pup	51287	164	88	127	83	3.2157	2.2175	1.0491	1.9494	Noun	107	0.66049	3.5093	1	4.5	3	11	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_13961_pup_low1	3350	11350	
5079	5078	disrespect	18942	267	224	262	219	5.2353	2.4281	2.6705	2.3522	Noun	190	0.71161	3.72	3	46.11	10	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_5079_disrespect_high3	3200	11200	
14453	14452	reef	53172	204	79	151	62	4	2.3118	0.94182	1.9031	Noun	204	1	3.6036	1	22	4	4	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_14453_reef_low1	3500	11500	
1886	1885	boom	7221	1112	585	609	390	21.8039	3.0465	6.9742	2.7679	Noun	1096	0.99186	4.3383	1	30.67	4	9	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_1886_boom_high1	3350	11350	
2344	2343	burial	8579	242	197	229	187	4.7451	2.3856	2.3486	2.2967	Noun	243	1	3.6774	3	62.2	6	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_2344_burial_high3	3350	11350	
18352	18351	tub	68050	647	461	634	454	12.6863	2.8116	5.4959	2.6646	Noun	647	0.99846	4.1034	1	5	3	9	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_18352_tub_high1	3350	11350	
18940	18939	volcano	71619	170	108	161	101	3.3333	2.233	1.2876	2.0374	Noun	169	1	3.5248	3	26.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_18940_volcano_low3	3250	11250	
10534	10533	maneuver	38871	143	113	135	110	2.8039	2.1584	1.3472	2.0569	Noun	87	0.61702	3.4502	3	64.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_10534_maneuver_low3	3450	11450	
12862	12861	perfection	47266	275	218	239	198	5.3922	2.4409	2.599	2.3404	Noun	274	0.99636	3.7327	3	128.22	10	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_12862_perfection_high3	3400	11400	
11353	11352	morgue	41679	440	269	420	258	8.6275	2.6444	3.207	2.4314	Noun	440	1	3.9363	1	38.4	6	0	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_11353_morgue_high1	3250	11250	
816	815	assurance	3528	104	87	96	82	2.0392	2.0212	1.0372	1.9445	Noun	104	1	3.313	3	48.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_816_assurance_low3	3400	11400	
11079	11078	ministry	40766	196	100	78	41	3.8431	2.2945	1.1922	2.0043	Noun	196	1	3.5863	3	55.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_11079_ministry_low3	3350	11350	
17602	17601	teen	65311	209	131	126	93	4.098	2.3222	1.5618	2.1206	Noun	204	0.97608	3.6141	1	27	4	7	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17602_teen_low1	3200	11200	
15040	15039	royalty	55766	200	133	154	120	3.9216	2.3032	1.5856	2.1271	Noun	200	1	3.595	3	28.33	7	2	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_15040_royalty_low3	3450	11450	
8201	8200	height	30029	476	396	446	377	9.3333	2.6785	4.721	2.5988	Noun	472	1	3.9704	1	24.6	6	1	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_8201_height_high1	3400	11400	
18772	18771	verse	71124	238	170	219	155	4.6667	2.3784	2.0267	2.233	Noun	227	0.95781	3.6702	1	31.5	5	3	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_18772_verse_high1	3400	11400	
15249	15248	sanity	56446	139	127	132	123	2.7255	2.1461	1.5141	2.1072	Noun	139	1	3.438	3	59.4	6	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_15249_sanity_low3	3450	11450	
16001	16000	signature	59113	622	464	605	459	12.1961	2.7945	5.5317	2.6675	Noun	622	1	4.0863	3	40.75	9	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_16001_signature_high3	3300	11300	
11056	11055	mineral	40697	132	101	115	93	2.5882	2.1239	1.2041	2.0086	Noun	134	1	3.4157	3	61.33	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_11056_mineral_low3	3300	11300	
11076	11075	minister	40759	941	395	515	273	18.451	2.9741	4.7091	2.5977	Noun	891	0.94687	4.2659	3	100.29	8	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_11076_minister_high3	3250	11250	
17485	17484	tang	64917	114	68	12	12	2.2353	2.0607	0.81068	1.8388	Noun	113	0.99123	3.3525	1	32	4	11	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17485_tang_low1	3200	11200	
8512	8511	horn	31092	1075	586	801	484	21.0784	3.0318	6.9862	2.7686	Noun	1039	0.96922	4.3236	1	26.33	4	6	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_8512_horn_high1	3200	11200	
12342	12341	oversight	45601	74	68	64	63	1.451	1.8751	0.81068	1.8388	Noun	66	0.89189	3.1669	3	29.88	9	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_12342_oversight_low3	3300	11300	
15648	15647	sensation	57833	249	205	239	203	4.8824	2.3979	2.444	2.3139	Noun	249	1	3.6898	3	115.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_15648_sensation_high3	3400	11400	
8322	8321	hike	30478	333	252	276	228	6.5294	2.5237	3.0043	2.4031	Noun	232	0.6988	3.8156	1	13.33	4	8	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_8322_hike_high1	3500	11500	
9026	9025	inspection	33565	300	211	280	202	5.8824	2.4786	2.5155	2.3263	Noun	300	1	3.7704	3	141.44	10	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_9026_inspection_high3	3350	11350	
