numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
18699	18698	vase	70874	196	121	191	119	3.8431	2.2945	1.4425	2.0864	Noun	196	0.99492	3.5863	1	20.67	4	6	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_18699_vase_low1	3500	11500	
4902	4901	dice	18014	533	295	507	280	10.451	2.7275	3.5169	2.4713	Noun	533	1	4.0194	1	17.67	4	11	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_4902_dice_high1	3300	11300	
2887	2886	caviar	10194	195	143	163	124	3.8235	2.2923	1.7048	2.1584	Noun	139	0.71282	3.5841	3	41.2	6	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_2887_caviar_low3	3300	11300	
13748	13747	producer	50404	636	351	548	313	12.4706	2.8041	4.1845	2.5465	Noun	625	0.99522	4.096	3	74.57	8	2	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_13748_producer_high3	3350	11350	
2891	2890	cavity	10203	152	123	147	120	2.9804	2.1847	1.4664	2.0934	Noun	152	1	3.4765	3	53	6	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_2891_cavity_low3	3450	11450	
9718	9717	lard	36364	86	65	68	59	1.6863	1.9395	0.77492	1.8195	Noun	82	0.95349	3.2314	1	36	4	11	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_9718_lard_low1	3400	11400	
14919	14918	robbery	55365	1175	568	1061	536	23.0392	3.0704	6.7716	2.7551	Noun	1157	0.99914	4.3622	3	86.83	7	2	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_14919_robbery_high3	3350	11350	
14752	14751	revenue	54792	122	86	82	61	2.3922	2.0899	1.0253	1.9395	Noun	122	1	3.3817	3	56.67	7	1	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_14752_revenue_low3	3500	11500	
6128	6127	expression	23043	651	549	649	547	12.7647	2.8142	6.5451	2.7404	Noun	650	1	4.1061	3	98.67	10	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_6128_expression_high3	3200	11200	
9289	9288	jinx	34903	204	105	112	90	4	2.3118	1.2518	2.0253	Noun	109	0.53431	3.6036	1	18	4	0	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_9289_jinx_low1	3500	11500	
11490	11489	mule	42077	358	213	323	202	7.0196	2.5551	2.5393	2.3304	Noun	357	1	3.8469	1	22	4	8	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_11490_mule_high1	3250	11250	
18762	18761	verge	71080	167	146	167	146	3.2745	2.2253	1.7406	2.1673	Noun	165	0.98802	3.5171	1	28.25	5	4	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_18762_verge_low1	3450	11450	
7008	7007	fringe	26040	85	69	71	63	1.6667	1.9345	0.8226	1.8451	Noun	85	1	3.2263	1	52	6	2	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_7008_fringe_low1	3350	11350	
14185	14184	raft	52007	240	131	224	122	4.7059	2.382	1.5618	2.1206	Noun	240	1	3.6739	1	15.67	4	5	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_14185_raft_high1	3200	11200	
15715	15714	settlement	58083	322	216	314	213	6.3137	2.5092	2.5751	2.3365	Noun	322	1	3.801	3	48.56	10	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_15715_settlement_high3	3400	11400	
14530	14529	rejection	53628	168	125	151	122	3.2941	2.2279	1.4902	2.1004	Noun	168	1	3.5197	3	122.38	9	1	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_14530_rejection_low3	3500	11500	
14092	14091	quest	51710	327	196	264	171	6.4118	2.5159	2.3367	2.2945	Noun	321	0.98769	3.8077	1	21.25	5	1	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_14092_quest_high1	3400	11400	
2394	2393	buttercup	8744	121	44	37	23	2.3725	2.0864	0.52456	1.6532	Noun	116	0.96667	3.3782	3	45.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_2394_buttercup_low3	3200	11200	
5220	5219	doom	19510	286	173	174	145	5.6078	2.4579	2.0625	2.2405	Noun	255	0.89789	3.7497	1	28	4	6	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_5220_doom_high1	3350	11350	
15352	15351	scar	56806	432	307	385	301	8.4706	2.6365	3.66	2.4886	Noun	343	0.79582	3.9283	1	10	4	5	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_15352_scar_high1	3500	11500	
16707	16706	stage	61961	2324	1176	2193	1139	45.5686	3.3664	14.02	3.0708	Noun	2283	0.98533	4.6583	1	38.25	5	6	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_16707_stage_high1	3500	11500	
17377	17376	sympathy	64529	426	356	400	344	8.3529	2.6304	4.2442	2.5527	Noun	424	1	3.9223	3	25.86	8	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_17377_sympathy_high3	3500	11500	
13300	13299	pneumonia	48803	257	184	239	178	5.0392	2.4116	2.1936	2.2672	Noun	256	1	3.7035	3	11.38	9	1	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_13300_pneumonia_high3	3400	11400	
15148	15147	safari	56119	106	70	83	61	2.0784	2.0294	0.83453	1.8513	Noun	104	1	3.3212	3	23.4	6	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_15148_safari_low3	3250	11250	
14457	14456	reel	53181	166	110	137	100	3.2549	2.2227	1.3114	2.0453	Noun	101	0.60843	3.5146	1	23	4	8	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_14457_reel_low1	3500	11500	
8766	8765	illusion	32122	421	305	412	301	8.2549	2.6253	3.6361	2.4857	Noun	421	1	3.9171	3	45.29	8	1	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_8766_illusion_high3	3250	11250	
4859	4858	dew	17879	109	69	57	47	2.1373	2.0414	0.8226	1.8451	Noun	105	0.9633	3.3332	1	4.5	3	7	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_4859_dew_low1	3450	11450	
6037	6036	exception	22644	409	375	396	367	8.0196	2.6128	4.4707	2.5752	Noun	410	1	3.9046	3	101.5	9	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_6037_exception_high3	3500	11500	
6674	6673	flick	24817	257	137	150	122	5.0392	2.4116	1.6333	2.1399	Noun	121	0.47082	3.7035	1	37	5	4	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_6674_flick_high1	3400	11400	
4817	4816	detection	17693	85	67	76	63	1.6667	1.9345	0.79876	1.8325	Noun	85	1	3.2263	3	126.13	9	3	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_4817_detection_low3	3450	11450	
16343	16342	sob	60519	77	75	57	56	1.5098	1.8921	0.89413	1.8808	Noun	57	0.74026	3.1839	1	9	3	18	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_16343_sob_low1	3250	11250	
1463	1462	benefit	5686	732	560	707	545	14.3529	2.8651	6.6762	2.749	Noun	552	0.75513	4.1569	3	36.5	7	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_1463_benefit_high3	3500	11500	
17239	17238	superstar	63904	175	100	130	85	3.4314	2.2455	1.1922	2.0043	Noun	175	1	3.5373	3	49.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_17239_superstar_low3	3200	11200	
1679	1678	bliss	6576	160	119	121	99	3.1373	2.2068	1.4187	2.0792	Noun	146	0.9125	3.4987	1	30	5	2	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_1679_bliss_low1	3200	11200	
3217	3216	chunk	11460	211	136	142	130	4.1373	2.3263	1.6214	2.1367	Noun	201	0.95261	3.6182	1	30.25	5	3	1	low	low1	3	30	1	2	31	32	33	34	2	list2	list2_3217_chunk_low1	3400	11400	
13580	13579	precedent	49687	127	103	126	102	2.4902	2.1072	1.2279	2.017	Noun	127	1	3.399	3	70.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_13580_precedent_low3	3300	11300	
5180	5179	doll	19390	1263	648	1080	615	24.7647	3.1017	7.7253	2.8122	Noun	1240	0.98335	4.3936	1	35	4	11	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_5180_doll_high1	3200	11200	
8728	8727	idea	31947	18311	6359	18296	6357	359.0392	4.2627	75.8107	3.8035	Noun	18287	1	5.5546	3	3	4	0	1	high	high3	2	20	1	2	21	22	23	24	2	list2	list2_8728_idea_high3	3450	11450	
6693	6692	flock	24897	237	162	221	154	4.6471	2.3766	1.9313	2.2122	Noun	201	0.8481	3.6684	1	39.25	5	5	1	high	high1	1	10	1	2	11	12	13	14	2	list2	list2_6693_flock_high1	3400	11400	
7577	7576	graffiti	28055	103	57	64	49	2.0196	2.017	0.67954	1.7634	Noun	103	1	3.3089	3	48	8	0	1	low	low3	4	40	1	2	41	42	43	44	2	list2	list2_7577_graffiti_low3	3250	11250	
