numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
8652	8651	hurricane	31591	447	178	370	151	8.7647	2.6513	2.1221	2.2529	Noun	445	1	3.9431	3	48.38	9	0	1	high	
810	809	assistant	3503	1643	977	1414	861	32.2157	3.2159	11.6476	2.9903	Noun	1095	0.6685	4.5077	3	57.13	9	0	1	high	
808	807	assignment	3489	912	606	904	603	17.8824	2.9605	7.2246	2.7832	Noun	912	1	4.2523	3	41.78	10	0	1	high	
743	742	artery	3249	271	181	266	177	5.3137	2.4346	2.1578	2.2601	Noun	271	1	3.7264	3	48.6	6	0	1	high	
11076	11075	minister	40759	941	395	515	273	18.451	2.9741	4.7091	2.5977	Noun	891	0.94687	4.2659	3	100.29	8	1	1	high	
11985	11984	objection	44086	1108	361	263	193	21.7255	3.0449	4.3038	2.5587	Noun	1098	1	4.3368	3	96.75	9	0	1	high	
14523	14522	rehearsal	53511	635	351	605	343	12.451	2.8035	4.1845	2.5465	Noun	632	0.99685	4.0953	3	56.13	9	0	1	high	
10188	10187	location	37695	1263	823	1213	799	24.7647	3.1017	9.8116	2.9159	Noun	1258	1	4.3936	3	87.43	8	1	1	high	
8508	8507	horizon	31083	228	157	198	143	4.4706	2.3598	1.8717	2.1987	Noun	228	1	3.6517	3	47.33	7	0	1	high	
13359	13358	politics	48963	845	529	763	500	16.5686	2.9274	6.3066	2.7243	Noun	844	1	4.2192	3	83.71	8	1	1	high	
10807	10806	medium	39791	362	280	294	235	7.098	2.5599	3.3381	2.4487	Noun	202	0.56111	3.8517	3	27.2	6	1	1	high	
7768	7767	guardian	28689	358	247	309	225	7.0196	2.5551	2.9447	2.3945	Noun	358	1	3.8469	3	40.14	8	0	1	high	
809	808	assistance	3501	558	447	532	429	10.9412	2.7474	5.329	2.6513	Noun	557	1	4.0392	3	47.44	10	0	1	high	
1801	1800	bodyguard	6947	292	160	263	153	5.7255	2.4669	1.9075	2.2068	Noun	291	0.99658	3.7587	3	19.25	9	0	1	high	
8989	8988	innocence	33412	336	247	326	242	6.5882	2.5276	2.9447	2.3945	Noun	336	1	3.8195	3	62	9	0	1	high	
5672	5671	element	20992	338	266	323	264	6.6275	2.5302	3.1712	2.4265	Noun	340	1	3.822	3	44.33	7	1	1	high	
13477	13476	position	49340	3676	2191	3613	2171	72.0784	3.5655	26.1206	3.3408	Noun	3602	0.9804	4.8573	3	92.29	8	1	1	high	
6126	6125	exposure	23033	291	240	281	237	5.7059	2.4654	2.8612	2.382	Noun	290	1	3.7572	3	29.71	8	0	1	high	
5774	5773	encounter	21435	284	251	276	246	5.5686	2.4548	2.9924	2.4014	Noun	187	0.65845	3.7467	3	79.88	9	0	1	high	
6128	6127	expression	23043	651	549	649	547	12.7647	2.8142	6.5451	2.7404	Noun	650	1	4.1061	3	98.67	10	0	1	high	
12520	12519	paperwork	46180	531	430	509	415	10.4118	2.7259	5.1264	2.6345	Noun	528	0.99623	4.0177	3	53.13	9	0	1	high	
9999	9998	lieutenant	37177	5306	886	758	349	104.0392	3.7248	10.5627	2.9479	Noun	5275	0.99698	5.0167	3	39.78	10	0	1	high	
9088	9087	interview	33991	1505	815	1470	799	29.5098	3.1778	9.7163	2.9117	Noun	1193	0.79427	4.4697	3	84.13	9	0	1	high	
9414	9413	karate	35333	386	138	304	115	7.5686	2.5877	1.6452	2.143	Noun	380	0.99738	3.8795	3	54	6	0	1	high	
14701	14700	restaurant	54486	2373	1244	2248	1212	46.5294	3.3755	14.8307	3.0952	Noun	2365	1	4.6673	3	63	10	0	1	high	
14641	14640	republic	54202	286	165	71	49	5.6078	2.4579	1.9671	2.2201	Noun	285	0.9965	3.7497	3	58.29	8	0	1	high	
8728	8727	idea	31947	18311	6359	18296	6357	359.0392	4.2627	75.8107	3.8035	Noun	18287	1	5.5546	3	3	4	0	1	high	
2744	2743	carrier	9780	326	160	282	151	6.3922	2.5145	1.9075	2.2068	Noun	326	1	3.8064	3	151.5	7	4	1	high	
8933	8932	influence	33194	754	599	747	598	14.7843	2.8779	7.1412	2.7782	Noun	587	0.77955	4.1698	3	62.88	9	0	1	high	
597	596	appetite	2746	456	389	450	384	8.9412	2.6599	4.6376	2.5911	Noun	456	1	3.9518	3	87.29	8	0	1	high	
4896	4895	diary	17996	458	235	398	213	8.9804	2.6618	2.8016	2.3729	Noun	437	0.94384	3.9536	3	34.75	5	0	1	high	
3675	3674	compliment	13062	523	461	512	451	10.2549	2.7193	5.4959	2.6646	Noun	411	0.78585	4.0112	3	81.67	10	1	1	high	
3652	3651	companion	12939	323	247	302	239	6.3333	2.5105	2.9447	2.3945	Noun	324	1	3.8024	3	108	9	0	1	high	
3626	3625	commission	12848	703	435	478	344	13.7843	2.8476	5.186	2.6395	Noun	679	0.96724	4.1394	3	111.44	10	0	1	high	
15648	15647	sensation	57833	249	205	239	203	4.8824	2.3979	2.444	2.3139	Noun	249	1	3.6898	3	115.38	9	0	1	high	
5896	5895	equipment	22061	1298	849	1270	831	25.451	3.1136	10.1216	2.9294	Noun	1296	1	4.4054	3	42.25	9	0	1	high	
5857	5856	envelope	21894	513	326	506	321	10.0588	2.711	3.8865	2.5145	Noun	512	1	4.0028	3	34.57	8	0	1	high	
13638	13637	president	50006	7174	1551	3077	1103	140.6667	3.8558	18.4907	3.1909	Noun	5724	0.79944	5.1477	3	70.25	9	0	1	high	
6049	6048	excitement	22674	628	523	602	508	12.3137	2.7987	6.2351	2.7193	Noun	622	0.99361	4.0905	3	56.67	10	0	1	high	
9240	9239	jealousy	34708	293	229	238	194	5.7451	2.4683	2.7301	2.3617	Noun	292	0.99659	3.7602	3	32.57	8	0	1	high	
14392	14391	recipe	52796	388	274	379	270	7.6078	2.5899	3.2666	2.4393	Noun	389	1	3.8818	3	38.6	6	1	1	high	
14579	14578	rendezvous	53899	312	223	291	209	6.1176	2.4955	2.6586	2.3502	Noun	240	0.76923	3.7874	3	56.11	10	0	1	high	
6198	6197	factory	23321	857	483	791	461	16.8039	2.9335	5.7582	2.6848	Noun	857	1	4.2253	3	53.5	7	1	1	high	
13809	13808	property	50655	1698	1104	1636	1074	33.2941	3.2302	13.1617	3.0434	Noun	1694	1	4.522	3	80	8	1	1	high	
8455	8454	honesty	30924	368	298	317	267	7.2157	2.567	3.5527	2.4757	Noun	365	0.99455	3.8589	3	44	7	0	1	high	
9038	9037	instrument	33647	413	313	410	311	8.098	2.617	3.7315	2.4969	Noun	413	1	3.9088	3	70.56	10	0	1	high	
17288	17287	survival	64121	515	421	463	388	10.098	2.7126	5.0191	2.6253	Noun	515	1	4.0045	3	46.14	8	0	1	high	
10549	10548	maniac	38914	479	351	434	339	9.3922	2.6812	4.1845	2.5465	Noun	460	0.96436	3.9731	3	48.2	6	0	1	high	
13952	13951	punishment	51263	685	514	653	497	13.4314	2.8363	6.1278	2.7118	Noun	685	0.99854	4.1282	3	41.67	10	0	1	high	
13732	13731	procedure	50335	823	581	809	573	16.1373	2.9159	6.9266	2.7649	Noun	822	1	4.2078	3	44.88	9	0	1	high	
663	662	architect	2984	334	169	311	161	6.549	2.525	2.0148	2.2304	Noun	331	0.99399	3.8169	3	24.13	9	0	1	high	
15136	15135	sacrifice	56070	913	647	857	628	17.902	2.9609	7.7134	2.8116	Noun	511	0.56031	4.2528	3	45.38	9	0	1	high	
4717	4716	denial	17229	268	199	224	173	5.2549	2.4298	2.3724	2.301	Noun	268	1	3.7216	3	58.6	6	3	1	high	
13818	13817	proposal	50685	448	324	438	318	8.7843	2.6522	3.8627	2.5119	Noun	447	1	3.9441	3	68.71	8	0	1	high	
18905	18904	visitor	71487	446	372	429	363	8.7451	2.6503	4.4349	2.5717	Noun	445	1	3.9421	3	34.5	7	0	1	high	
