numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
12049	12048	officer	44362	5265	2026	3313	1580	103.2353	3.7215	24.1536	3.3069	Noun	5229	0.99543	5.0133	3	73.33	7	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_12049_officer_high3	3300	11300	
12314	12313	overcoat	45360	74	55	65	51	1.451	1.8751	0.6557	1.7482	Noun	73	0.98649	3.1669	3	34.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_12314_overcoat_low3	3450	11450	
13930	13929	pulp	51173	93	82	74	66	1.8235	1.9731	0.97759	1.9191	Noun	85	0.93407	3.265	1	15	4	3	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_13930_pulp_low1	3400	11400	
554	553	aorta	2598	78	50	75	48	1.5294	1.8976	0.59609	1.7076	Noun	77	0.98718	3.1895	3	23	5	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_554_aorta_low3	3250	11250	
19219	19218	wheel	72598	1380	851	1283	798	27.0588	3.1402	10.1454	2.9304	Noun	1336	0.96882	4.432	1	30.75	5	0	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_19219_wheel_high1	3450	11450	
15796	15795	sheep	58388	685	392	614	372	13.4314	2.8363	4.6733	2.5944	Noun	680	1	4.1282	1	33	5	6	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_15796_sheep_high1	3300	11300	
7393	7392	glance	27415	175	158	167	150	3.4314	2.2455	1.8836	2.2014	Noun	125	0.71839	3.5373	1	45.6	6	0	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_7393_glance_low1	3200	11200	
16716	16715	stain	61987	316	242	307	237	6.1961	2.5011	2.8851	2.3856	Noun	253	0.80063	3.7929	1	37.5	5	5	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_16716_stain_high1	3450	11450	
12719	12718	pawn	46784	221	136	201	129	4.3333	2.3464	1.6214	2.1367	Noun	145	0.65909	3.6382	1	20	4	7	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_12719_pawn_low1	3300	11300	
17281	17280	surrogate	64098	95	56	91	56	1.8627	1.9823	0.66762	1.7559	Noun	95	1	3.2741	3	58.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_17281_surrogate_low3	3300	11300	
7045	7044	fudge	26202	185	122	148	102	3.6275	2.2695	1.4545	2.0899	Noun	168	0.90323	3.5613	1	22.25	5	3	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_7045_fudge_low1	3200	11200	
17268	17267	surge	64043	94	70	91	68	1.8431	1.9777	0.83453	1.8513	Noun	87	0.92553	3.2696	1	28.25	5	2	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17268_surge_low1	3250	11250	
18296	18295	troll	67858	138	54	107	48	2.7059	2.143	0.64378	1.7404	Noun	135	0.99265	3.4348	1	37.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_18296_troll_low1	3450	11450	
11717	11716	net	42996	793	541	699	479	15.549	2.8998	6.4497	2.734	Noun	580	0.82739	4.1917	1	7.5	3	16	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_11717_net_high1	3200	11200	
17289	17288	survivor	64129	221	153	191	138	4.3333	2.3464	1.824	2.1875	Noun	219	1	3.6382	3	33.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_17289_survivor_low3	3200	11200	
15561	15560	secrecy	57520	177	156	171	150	3.4706	2.2504	1.8598	2.1959	Noun	177	1	3.5423	3	38	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_15561_secrecy_low3	3250	11250	
3613	3612	commander	12780	1887	484	582	307	37	3.276	5.7701	2.6857	Noun	1863	0.98833	4.5678	3	83.63	9	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_3613_commander_high3	3350	11350	
6830	6829	fore	25359	135	96	78	60	2.6471	2.1335	1.1445	1.9868	Noun	61	0.45185	3.4254	1	32.33	4	15	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_6830_fore_low1	3250	11250	
8262	8261	heritage	30268	129	105	98	82	2.5294	2.1139	1.2518	2.0253	Noun	129	1	3.4058	3	55.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_8262_heritage_low3	3500	11500	
897	896	audience	3821	1294	758	1241	738	25.3725	3.1123	9.0367	2.8802	Noun	1289	0.99768	4.4041	3	43.71	8	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_897_audience_high3	3500	11500	
10362	10361	lust	38290	284	211	255	195	5.5686	2.4548	2.5155	2.3263	Noun	277	0.96181	3.7467	1	24.33	4	12	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_10362_lust_high1	3200	11200	
16665	16664	squad	61774	1096	563	879	494	21.4902	3.0402	6.712	2.7513	Noun	1096	1	4.332	1	7	5	3	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_16665_squad_high1	3400	11400	
6262	6261	faraway	23543	93	74	81	69	1.8235	1.9731	0.88221	1.8751	Noun	86	0.92473	3.265	3	58.17	7	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_6262_faraway_low3	3250	11250	
7005	7004	fright	26019	141	113	131	111	2.7647	2.1523	1.3472	2.0569	Noun	141	1	3.4441	1	38.8	6	4	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_7005_fright_low1	3450	11450	
18820	18819	victory	71270	1094	636	871	577	21.451	3.0394	7.5823	2.8041	Noun	1072	0.97989	4.3312	3	48.17	7	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_18820_victory_high3	3450	11450	
13952	13951	punishment	51263	685	514	653	497	13.4314	2.8363	6.1278	2.7118	Noun	685	0.99854	4.1282	3	41.67	10	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_13952_punishment_high3	3250	11250	
13818	13817	proposal	50685	448	324	438	318	8.7843	2.6522	3.8627	2.5119	Noun	447	1	3.9441	3	68.71	8	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_13818_proposal_high3	3200	11200	
13809	13808	property	50655	1698	1104	1636	1074	33.2941	3.2302	13.1617	3.0434	Noun	1694	1	4.522	3	80	8	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_13809_property_high3	3400	11400	
1157	1156	bane	4674	94	34	24	22	1.8431	1.9777	0.40534	1.5441	Noun	88	0.93617	3.2696	1	36.67	4	18	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_1157_bane_low1	3200	11200	
13939	13938	pump	51213	645	458	550	412	12.6471	2.8102	5.4602	2.6618	Noun	376	0.58567	4.1021	1	16.67	4	9	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_13939_pump_high1	3250	11250	
9474	9473	kidnapper	35569	206	92	194	89	4.0392	2.316	1.0968	1.9685	Noun	202	0.98058	3.6078	3	23.88	9	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_9474_kidnapper_low3	3250	11250	
4049	4048	coverage	14768	318	238	308	235	6.2353	2.5038	2.8374	2.3784	Noun	318	1	3.7956	3	80.43	8	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_4049_coverage_high3	3450	11450	
4574	4573	debt	16505	725	489	720	487	14.2157	2.8609	5.8298	2.6902	Noun	724	0.99862	4.1528	1	7.67	4	2	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_4574_debt_high1	3450	11450	
14409	14408	recording	52955	748	371	712	353	14.6667	2.8745	4.423	2.5705	Noun	552	0.73797	4.1663	3	230.5	9	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_14409_recording_high3	3300	11300	
18698	18697	varsity	70865	89	66	67	51	1.7451	1.9542	0.78684	1.8261	Noun	88	0.98876	3.2461	3	74.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_18698_varsity_low3	3300	11300	
7344	7343	gig	27234	571	380	553	374	11.1961	2.7574	4.5303	2.5809	Noun	568	0.99824	4.0492	1	5	3	9	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_7344_gig_high1	3200	11200	
7808	7807	guilt	28765	760	574	706	552	14.902	2.8814	6.8431	2.7597	Noun	762	1	4.1732	1	25.25	5	4	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_7808_guilt_high1	3200	11200	
