numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f	
2839	2838	caterer	10052	106	79	103	79	2.0784	2.0294	0.94182	1.9031	Noun	106	1	3.3212	3	121.67	7	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_2839_caterer_low3	3400	11400	
5747	5746	employee	21320	590	429	553	415	11.5686	2.7716	5.1144	2.6335	Noun	588	0.9983	4.0634	3	25.43	8	2	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_5747_employee_high3	3200	11200	
8371	8370	hoax	30653	123	82	122	82	2.4118	2.0934	0.97759	1.9191	Noun	119	0.96748	3.3853	1	17.67	4	1	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_8371_hoax_low1	3200	11200	
7520	7519	goof	27858	113	70	80	64	2.2157	2.0569	0.83453	1.8513	Noun	55	0.48673	3.3487	1	24.33	4	6	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_7520_goof_low1	3200	11200	
10672	10671	mash	39326	224	150	68	60	4.3922	2.3522	1.7883	2.179	Noun	123	0.54911	3.644	1	30.33	4	15	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_10672_mash_low1	3400	11400	
4202	4201	crock	15295	103	80	98	77	2.0196	2.017	0.95374	1.9085	Noun	102	0.99029	3.3089	1	43.5	5	6	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_4202_crock_low1	3400	11400	
4375	4374	custody	15878	982	603	971	600	19.2549	2.9926	7.1888	2.781	Noun	985	1	4.2844	3	46.17	7	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_4375_custody_high3	3300	11300	
17062	17061	stump	63131	125	80	92	75	2.451	2.1004	0.95374	1.9085	Noun	104	0.832	3.3922	1	29.5	5	3	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_17062_stump_low1	3450	11450	
14292	14291	rat	52314	1663	941	1489	893	32.6078	3.2212	11.2184	2.9741	Noun	1542	0.93172	4.513	1	10.5	3	22	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_14292_rat_high1	3250	11250	
6088	6087	existence	22827	596	475	588	473	11.6863	2.776	5.6629	2.6776	Noun	596	1	4.0678	3	57.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_6088_existence_high3	3350	11350	
16213	16212	slob	59914	182	137	172	135	3.5686	2.2625	1.6333	2.1399	Noun	173	0.95055	3.5543	1	15.67	4	8	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_16213_slob_low1	3500	11500	
6263	6262	farce	23544	89	68	88	67	1.7451	1.9542	0.81068	1.8388	Noun	89	1	3.2461	1	35.75	5	1	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_6263_farce_low1	3250	11250	
16202	16201	sling	59862	117	103	104	92	2.2941	2.0719	1.2279	2.017	Noun	88	0.75214	3.3637	1	47.75	5	8	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_16202_sling_low1	3300	11300	
13138	13137	pit	48343	674	450	602	419	13.2157	2.8293	5.3648	2.6542	Noun	649	0.96721	4.1211	1	8	3	18	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_13138_pit_high1	3450	11450	
515	514	antenna	2425	122	81	113	78	2.3922	2.0899	0.96567	1.9138	Noun	122	1	3.3817	3	27	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_515_antenna_low3	3500	11500	
4943	4942	dilemma	18203	133	114	123	107	2.6078	2.1271	1.3591	2.0607	Noun	134	1	3.4189	3	27.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_4943_dilemma_low3	3450	11450	
3810	3809	contestant	13857	136	86	118	80	2.6667	2.1367	1.0253	1.9395	Noun	134	1	3.4286	3	86.67	10	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_3810_contestant_low3	3500	11500	
10500	10499	mall	38766	964	426	855	398	18.902	2.9845	5.0787	2.6304	Noun	965	1	4.2764	1	38	4	15	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_10500_mall_high1	3250	11250	
8703	8702	hypocrite	31827	166	137	154	127	3.2549	2.2227	1.6333	2.1399	Noun	162	0.99387	3.5146	3	63.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_8703_hypocrite_low3	3300	11300	
7554	7553	governor	27987	1369	401	744	295	26.8431	3.1367	4.7806	2.6042	Noun	1342	0.97956	4.4286	3	42	8	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_7554_governor_high3	3500	11500	
12435	12434	pair	45926	1900	1357	1851	1341	37.2549	3.279	16.1779	3.1329	Noun	1877	0.98841	4.5708	1	24.67	4	7	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_12435_pair_high1	3400	11400	
14038	14037	pyramid	51482	204	99	186	90	4	2.3118	1.1803	2	Noun	203	0.9951	3.6036	3	17.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_14038_pyramid_low3	3300	11300	
