ITEM   	 LEN_S 	
containers	   3	
contd	   -  	
contempt	   2	
contender	   3	
contendere	   -  	
contenders	   3	
contention	   3	
contents	   2	
contestant	   -  	
contester	   -  	
context	   2	
contexts	   2	
contin	   -  	
continent	   3	
continuity	   5	
continuum	   3	
continuums	   -  	
conto	   -  	
contortion	   -  	
contour	   2	
contours	   2	
contr	   -  	
contra	   -  	
contractor	   3	
contrail	   -  	
contrails	   -  	
contraries	   -  	
contrecoup	   -  	
contrition	   3	
contriver	   -  	
controller	   3	
contumely	   -  	
contusion	   -  	
contusions	   -  	
conundrums	   3	
conv	   -  	
convection	   3	
convector	   -  	
convents	   2	
conversion	   3	
converter	   3	
converters	   3	
conveyance	   3	
conveyor	   -  	
conviction	   3	
convincer	   -  	
convoys	   2	
convulsion	   3	
cony	   -  	
cooer	   -  	
cookbook	   2	
cookbooks	   -  	
cookers	   2	
cookery	   3	
cookhouse	   -  	
cookies	   2	
cookouts	   -  	
cookware	   -  	
coolant	   2	
coolants	   -  	
coolers	   -  	
coolies	   2	
coolness	   2	
coonhound	   -  	
coonhounds	   -  	
coons	   1	
coonskin	   -  	
coonskins	   -  	
cooperator	   -  	
cootch	   -  	
cooties	   -  	
cooty	   -  	
copepods	   -  	
coper	   -  	
copier	   -  	
copiers	   -  	
copout	   -  	
coppers	   2	
coppin	   -  	
copra	   -  	
coproducer	   -  	
cops	   1	
copter	   -  	
copters	   -  	
coptic	   -  	
copulates	   -  	
copulation	   4	
copybook	   -  	
copycat	   -  	
copycats	   -  	
copyhold	   -  	
copyist	   -  	
copyright	   3	
copyrights	   -  	
copywriter	   -  	
coquette	   -  	
coquin	   -  	
coraggio	   -  	
corals	   2	
coran	   -  	
coranto	   -  	
corbeille	   -  	
cordage	   -  	
cordiality	   5	
cordillera	   -  	
cording	   2	
cordite	   2	
cordons	   2	
cordovan	   -  	
cords	   1	
corduroys	   -  	
cordwood	   -  	
cordyline	   -  	
core	   1	
coregent	   -  	
cores	   1	
corgi	   -  	
corgis	   -  	
coriander	   4	
corkboard	   -  	
corker	   -  	
corks	   1	
corkscrew	   2	
corkscrews	   -  	
cormorant	   3	
cormorants	   3	
cornball	   -  	
cornballs	   -  	
corncobs	   -  	
corncrib	   -  	
cornea	   -  	
corneas	   -  	
cornerback	   -  	
corners	   2	
cornfields	   2	
cornflower	   -  	
cornhole	   -  	
cornice	   2	
cornices	   3	
cornishman	   -  	
cornmeal	   -  	
cornrows	   -  	
corns	   1	
cornstalk	   -  	
cornstalks	   -  	
cornu	   -  	
cornucopia	   4	
cornuto	   -  	
corollary	   4	
coronals	   -  	
coronaries	   -  	
coronas	   -  	
coroners	   3	
coronet	   3	
corp	   -  	
corpora	   -  	
corporals	   3	
corps	   1	
corpse	   1	
corpses	   2	
corpsmen	   -  	
corpuscle	   -  	
corpuscles	   3	
corpuses	   -  	
corr	   -  	
corrals	   -  	
correction	   3	
corrente	   -  	
corrido	   -  	
corridor	   3	
corridors	   3	
corrosion	   3	
corrosives	   -  	
corruption	   3	
corruptor	   -  	
corsages	   -  	
corset	   2	
corsets	   2	
cortege	   -  	
cortex	   2	
cortisol	   -  	
corundum	   -  	
coruscant	   -  	
corvus	   -  	
coset	   -  	
cosine	   -  	
cosiness	   3	
cosmetics	   3	
cosmology	   4	
cosmos	   2	
cosponsor	   -  	
cossacks	   -  	
costar	   -  	
costars	   -  	
costume	   2	
costumer	   -  	
costumers	   -  	
costumes	   2	
costumier	   -  	
cot	   1	
coteau	   -  	
coterie	   3	
cotillions	   -  	
cotillon	   -  	
cots	   1	
cotta	   -  	
cottage	   2	
cottages	   3	
cottoner	   -  	
couchant	   -  	
couche	   -  	
coucher	   -  	
couches	   2	
cougher	   -  	
coul	   -  	
coulee	   -  	
coulees	   -  	
coulis	   -  	
coulisse	   -  	
coumarin	   -  	
councillor	   3	
councilmen	   -  	
councilors	   -  	
councils	   2	
counseling	   -  	
counsellor	   3	
countesses	   -  	
counties	   2	
countries	   2	
countryman	   3	
countrymen	   3	
coupe	   1	
coupes	   -  	
coupler	   -  	
couplers	   -  	
couplet	   -  	
couplets	   2	
couplings	   -  	
coupon	   2	
coupons	   2	
coups	   1	
courgette	   -  	
couriers	   2	
courtesan	   3	
courtesans	   3	
courtesies	   3	
courtesy	   3	
courthouse	   2	
courtiers	   2	
courtin	   -  	
courtroom	   2	
courtrooms	   2	
courtship	   2	
courtships	   -  	
courtyard	   2	
cousinhood	   -  	
couth	   -  	
couturier	   -  	
covariance	   -  	
coven	   2	
covenanter	   -  	
covens	   2	
coverage	   3	
coverall	   -  	
coveralls	   -  	
coverings	   3	
coverlet	   3	
coverts	   2	
coverups	   -  	
coves	   1	
coveys	   -  	
cowardice	   3	
cowards	   2	
cowbell	   -  	
cowboys	   2	
cowhand	   -  	
cowhands	   -  	
cowl	   -  	
cowlick	   -  	
cowling	   -  	
cowman	   -  	
cowmen	   -  	
coworker	   -  	
coworkers	   -  	
cowpat	   -  	
cowpath	   -  	
cowpats	   -  	
cowpoke	   -  	
cowpox	   -  	
cowpuncher	   -  	
cowrie	   2	
cowry	   -  	
cows	   1	
cowshed	   2	
cowsheds	   -  	
cowskin	   -  	
coyness	   2	
coyotes	   3	
cozen	   -  	
cozenage	   -  	
cozies	   -  	
cpu	   -  	
crabber	   -  	
crabbiness	   -  	
crabgrass	   -  	
crabs	   1	
crackback	   -  	
crackdown	   2	
crackdowns	   -  	
crackheads	   -  	
crackles	   2	
cracks	   1	
crackup	   -  	
crackups	   -  	
cradles	   2	
crafter	   -  	
crafts	   1	
craftsman	   2	
craftsmen	   2	
crags	   1	
crambo	   -  	
crampon	   -  	
crampons	   2	
craniotomy	   -  	
cranium	   2	
craniums	   -  	
crankiness	   -  	
crannies	   2	
cranny	   2	
crapes	   -  	
crappers	   -  	
crappin	   -  	
crashers	   -  	
crassness	   -  	
crates	   1	
cravings	   2	
crawdad	   -  	
crawdads	   -  	
crawler	   -  	
crawlers	   -  	
crawlies	   -  	
crayfish	   -  	
crayon	   2	
crayons	   2	
crazies	   -  	
creamers	   -  	
creamery	   -  	
creams	   1	
creatin	   -  	
creatinine	   -  	
creation	   3	
creations	   3	
creatives	   -  	
creativity	   5	
creator	   3	
creators	   3	
creature	   2	
creatures	   2	
credence	   2	
credenza	   -  	
credere	   -  	
creditor	   3	
creditors	   3	
credulity	   4	
creeds	   1	
creeks	   1	
creen	   -  	
creepers	   2	
creepies	   -  	
cremains	   -  	
cremation	   3	
cremator	   -  	
crematoria	   -  	
creoles	   -  	
creosotes	   -  	
crepe	   1	
crepes	   -  	
crepey	   -  	
crepitus	   -  	
crepuscule	   -  	
crescendos	   -  	
crescent	   2	
cress	   1	
cresson	   -  	
crests	   1	
cresyl	   -  	
cretin	   -  	
cretins	   -  	
crevasse	   -  	
crevasses	   3	
crevice	   2	
crevices	   3	
crewcut	   -  	
crewmen	   2	
cricketer	   3	
crickets	   2	
crier	   2	
crile	   -  	
criminals	   3	
cringle	   -  	
crinite	   -  	
crinoline	   3	
crinums	   -  	
criolla	   -  	
criollo	   -  	
criollos	   -  	
crippler	   -  	
crises	   2	
crisis	   2	
crispiness	   -  	
crispness	   -  	
crisps	   1	
crit	   -  	
criteria	   3	
criterion	   3	
critic	   2	
criticism	   4	
criticisms	   4	
critics	   2	
critique	   2	
critiques	   2	
critism	   -  	
croakers	   -  	
crocheter	   -  	
crockery	   3	
crocks	   1	
crocodiles	   3	
crocus	   2	
crocuses	   3	
crois	   -  	
croissant	   2	
croissants	   2	
croker	   -  	
crones	   -  	
cronies	   2	
cronyism	   -  	
crook	   1	
crookery	   -  	
crooks	   1	
crooner	   2	
crooners	   -  	
croppers	   -  	
croquet	   2	
croquette	   -  	
croquettes	   2	
crores	   1	
crossbar	   2	
crossbeam	   -  	
crossbows	   -  	
crossbreed	   -  	
crosscuts	   -  	
crossfire	   3	
crosshairs	   -  	
crosshatch	   -  	
crossings	   2	
crossjack	   -  	
crosslet	   -  	
crossness	   -  	
crossovers	   -  	
crossroads	   2	
crosstie	   -  	
crosstrees	   -  	
crosswalks	   -  	
crossway	   -  	
crossways	   -  	
crosswind	   -  	
crosswinds	   -  	
crosswords	   2	
crotalus	   -  	
crotches	   -  	
crotchets	   -  	
croucher	   -  	
croup	   1	
croupiers	   -  	
crouton	   -  	
croutons	   2	
crowbars	   2	
crowds	   1	
crows	   1	
cruciate	   -  	
crudeness	   -  	
crudites	   -  	
crudity	   3	
cruelties	   2	
cruelty	   2	
cruet	   2	
cruises	   2	
cruller	   -  	
crullers	   -  	
crum	   -  	
crumb	   1	
crumblings	   -  	
crumbs	   1	
crumby	   -  	
crumminess	   -  	
crumpet	   2	
crumpets	   2	
crumps	   -  	
cruncher	   -  	
crunchers	   -  	
cruppers	   -  	
crusader	   3	
crusaders	   3	
crusades	   2	
crushers	   -  	
crushes	   2	
crustacea	   -  	
crutch	   1	
crutches	   2	
crux	   1	
cruzeiros	   3	
crybabies	   -  	
cryogenics	   -  	
crypt	   1	
crypto	   -  	
cryptogram	   -  	
cryptology	   -  	
cryptonym	   -  	
cryptos	   -  	
crypts	   1	
crystals	   2	
cst	   -  	
ctenophora	   -  	
cts	   -  	
cuarto	   -  	
cubans	   -  	
cubbyhole	   3	
cubbyholes	   -  	
cube	   1	
cubeb	   -  	
cubes	   1	
cubicles	   3	
cubics	   -  	
cubism	   3	
cubist	   2	
cubit	   -  	
cubmaster	   -  	
cubs	   1	
cuckoos	   2	
cucumber	   3	
cucumbers	   3	
cuddies	   -  	
cuddlier	   -  	
cudgel	   -  	
cudgels	   -  	
cueball	   -  	
cuerpo	   -  	
cues	   1	
cuff	   1	
cufflink	   -  	
cuidado	   -  	
cuirass	   -  	
cuisine	   2	
cuisines	   -  	
cukes	   -  	
culex	   -  	
cullies	   -  	
culls	   -  	
culottes	   -  	
culpa	   -  	
culprit	   2	
culprits	   2	
cult	   1	
cultists	   -  	
cultivar	   -  	
cultivator	   4	
cults	   1	
cultures	   2	
cultus	   -  	
culverts	   -  	
cumin	   -  	
cummerbund	   -  	
cumquat	   -  	
cums	   -  	
cunners	   -  	
cunt	   1	
cunts	   1	
cupboard	   2	
cupboards	   2	
cupholder	   -  	
cupidity	   4	
curate	   2	
curator	   3	
curators	   -  	
curbside	   -  	
curbstone	   -  	
curbstones	   -  	
curcas	   -  	
curculio	   -  	
curd	   1	
curds	   1	
curette	   -  	
curfew	   2	
curfews	   -  	
curia	   -  	
curio	   -  	
curios	   -  	
curium	   -  	
curler	   -  	
curlers	   2	
curlew	   2	
curlicues	   3	
curmudgeon	   -  	
curn	   -  	
curney	   -  	
currant	   2	
currants	   2	
currencies	   3	
currency	   3	
currents	   2	
curricula	   4	
curriculum	   4	
curries	   2	
cursor	   -  	
cursus	   -  	
curtain	   2	
curtains	   2	
curvature	   3	
curvatures	   -  	
curveball	   -  	
cusp	   -  	
cuspidor	   -  	
cuspidors	   -  	
cuspids	   -  	
cussedness	   3	
custard	   2	
custards	   -  	
custodian	   3	
custodians	   3	
custody	   3	
custom	   2	
customers	   3	
customizer	   -  	
cutaway	   -  	
cutaways	   -  	
cutback	   2	
cutbacks	   2	
cutdown	   -  	
cutes	   -  	
cutey	   -  	
cuticle	   3	
cuticles	   -  	
cuties	   -  	
cutlasses	   -  	
cutlery	   3	
cutlet	   2	
cutoffs	   -  	
cutout	   2	
cutters	   2	
cuttings	   2	
cuttlebone	   -  	
cuttlefish	   -  	
cutup	   -  	
cutups	   -  	
cyanate	   -  	
cyanosis	   -  	
cyclamen	   3	
cycler	   -  	
cyclist	   2	
cyclists	   2	
cyclo	   -  	
cyclone	   2	
cyclones	   2	
cyclopedia	   -  	
cyclos	   -  	
cyclotron	   3	
cygnets	   -  	
cylinder	   3	
cylinders	   3	
cymbidium	   -  	
cyme	   -  	
cynicism	   4	
cynics	   2	
cynips	   -  	
cynosure	   -  	
cypher	   -  	
cypresses	   3	
cyst	   -  	
cystoscopy	   -  	
cytoplasm	   -  	
cytosines	   -  	
czar	   1	
czardas	   -  	
czarist	   -  	
czars	   -  	
czechs	   -  	
dabba	   -  	
dabbler	   -  	
dabs	   1	
dace	   1	
dacha	   -  	
dachshund	   -  	
dachshunds	   -  	
dacoits	   -  	
dactyl	   -  	
daddies	   -  	
daddle	   -  	
dado	   -  	
dads	   1	
daffodil	   3	
daffodils	   3	
dagger	   2	
daggers	   2	
dagos	   -  	
dahlias	   2	
dailies	   2	
dain	   -  	
dainties	   -  	
daintiness	   -  	
dairies	   2	
dairy	   2	
dais	   2	
daisies	   2	
dal	   -  	
dales	   1	
dalliances	   -  	
dalmatians	   -  	
damas	   -  	
damask	   2	
dames	   1	
damnation	   3	
damnum	   -  	
dampeners	   -  	
damper	   2	
dampers	   -  	
dampness	   2	
dams	   1	
damsel	   2	
damsels	   2	
damson	   -  	
dancers	   2	
dancery	   -  	
dancette	   -  	
dancy	   -  	
dandelions	   4	
dandies	   2	
dandlers	   -  	
dandruff	   2	
dane	   -  	
dangers	   2	
danglers	   -  	
danseur	   -  	
daredevils	   -  	
darer	   -  	
darkie	   -  	
darkies	   -  	
darkling	   -  	
darkness	   2	
darknesses	   -  	
darkroom	   2	
darkrooms	   -  	
darks	   -  	
darky	   2	
darlings	   2	
dartboard	   -  	
darter	   -  	
darwinism	   -  	
darwinist	   -  	
dase	   -  	
dashboard	   2	
dashboards	   -  	
dashes	   2	
dashiki	   -  	
dastards	   -  	
databank	   -  	
databanks	   -  	
database	   -  	
databases	   -  	
datebook	   -  	
dater	   -  	
daters	   -  	
dato	   -  	
datsun	   -  	
datura	   -  	
daubs	   -  	
daughter	   2	
daughters	   2	
dauphin	   -  	
davits	   -  	
dawny	   -  	
daybed	   -  	
daybeds	   -  	
daybook	   -  	
daybreak	   2	
daydreamer	   -  	
daydreams	   2	
daylight	   2	
daylights	   -  	
daylong	   -  	
daymares	   -  	
days	   1	
daytime	   2	
daytimes	   -  	
daze	   1	
dazzler	   -  	
deaconess	   -  	
deacons	   -  	
deaconship	   -  	
deadbolt	   -  	
deadbolts	   -  	
deadfall	   -  	
deadheads	   -  	
deading	   -  	
deadline	   2	
deadlines	   2	
deadliness	   -  	
deadweight	   -  	
deafness	   2	
dealer	   2	
dealers	   2	
dealership	   -  	
dealings	   2	
deaness	   -  	
dears	   1	
dearth	   1	
deary	   -  	
deathbed	   2	
deathbeds	   -  	
deathin	   -  	
deaths	   1	
debacle	   3	
debacles	   -  	
debasement	   3	
debater	   -  	
debaters	   -  	
debates	   2	
debaucher	   -  	
debauchery	   4	
debe	   -  	
debenture	   -  	
debentures	   -  	
debits	   -  	
debout	   -  	
debriefs	   -  	
debris	   2	
debtors	   2	
debts	   1	
debugger	   -  	
debut	   2	
debutante	   3	
debutantes	   3	
debuts	   -  	
decade	   2	
decadence	   3	
decades	   2	
decaff	   -  	
decagrams	   -  	
decal	   -  	
decaliters	   -  	
decalogue	   -  	
decals	   -  	
decanter	   3	
decapod	   -  	
decapods	   -  	
decathlete	   -  	
decathlon	   -  	
decathlons	   -  	
decease	   -  	
decedents	   -  	
deceits	   -  	
deceiver	   3	
deceivers	   -  	
decencies	   -  	
deception	   3	
deceptions	   3	
decibel	   3	
decibels	   3	
decider	   -  	
decigram	   -  	
deciliter	   -  	
decilitre	   -  	
decimals	   -  	
decimation	   -  	
decimator	   -  	
decision	   3	
decisions	   3	
deckers	   -  	
deckhands	   -  	
decks	   1	
declarant	   -  	
declension	   -  	
decoders	   -  	
decor	   2	
decoration	   4	
decorator	   4	
decorators	   4	
decorum	   3	
decoys	   2	
decrees	   2	
decryption	   -  	
decrypts	   -  	
decubitus	   -  	
decurion	   -  	
dedication	   4	
dedo	   -  	
deduction	   3	
deductions	   3	
deed	   1	
deepness	   -  	
deeps	   -  	
deerhorn	   -  	
deers	   -  	
deerwood	   -  	
defacement	   -  	
defacto	   -  	
defamation	   4	
defaulters	   -  	
defaults	   -  	
defeatism	   4	
defeatist	   3	
defecation	   4	
defection	   3	
defections	   3	
defectives	   -  	
defector	   3	
defectors	   3	
defences	   3	
defendant	   3	
defendants	   3	
defender	   3	
defenders	   3	
defenseman	   -  	
defenses	   -  	
deference	   3	
deferens	   -  	
deferment	   -  	
deficiency	   4	
deficit	   3	
deficits	   3	
defilement	   -  	
defiler	   -  	
defilers	   -  	
definition	   4	
deflation	   3	
deflection	   3	
deflector	   -  	
deflectors	   -  	
defoliant	   -  	
defoliants	   -  	
deformers	   -  	
deformity	   4	
defrauder	   -  	
defroster	   -  	
deftness	   2	
defusion	   -  	
degausser	   -  	
degeneracy	   5	
degree	   2	
degreed	   -  	
degrees	   2	
degression	   -  	
dehiscence	   -  	
deities	   3	
deity	   3	
deject	   -  	
dejeuner	   -  	
dekes	   -  	
dele	   -  	
delegates	   3	
delegation	   4	
deletion	   -  	
delftware	   -  	
deli	   -  	
delicacies	   4	
delicacy	   4	
delicates	   -  	
delicioso	   -  	
delict	   -  	
delicti	   -  	
delis	   -  	
deliverer	   -  	
deliverers	   -  	
deliveries	   4	
delivery	   4	
delphinium	   3	
deltas	   -  	
deltoids	   -  	
deluge	   2	
delusion	   3	
delusions	   3	
demagogue	   3	
demagogues	   3	
demander	   -  	
demeanors	   -  	
dement	   -  	
dementia	   -  	
demerit	   -  	
demerits	   -  	
demigod	   3	
demigods	   -  	
demimonde	   -  	
demise	   2	
demitasse	   -  	
demiurge	   -  	
democracy	   4	
democrat	   3	
democrats	   3	
demolition	   4	
demoness	   -  	
demonism	   -  	
demons	   2	
demotion	   3	
demur	   2	
demurrer	   -  	
demurrers	   -  	
demurring	   -  	
demurs	   -  	
dendroid	   -  	
denial	   3	
denials	   3	
deniers	   -  	
denim	   2	
denims	   2	
denizen	   -  	
denizens	   -  	
denouement	   3	
dens	   1	
denseness	   -  	
densities	   3	
density	   3	
dentals	   -  	
dentifrice	   -  	
dentin	   -  	
dentist	   2	
dentistry	   3	
dentists	   2	
dentition	   -  	
dentures	   2	
denty	   -  	
deodorants	   4	
deodorizer	   -  	
department	   3	
departures	   3	
dependance	   -  	
dependants	   3	
dependence	   3	
dependency	   4	
dependents	   -  	
depiction	   3	
depictions	   3	
deplane	   -  	
depletion	   3	
deployment	   3	
deportees	   -  	
deportment	   3	
deposer	   -  	
deposition	   4	
depositor	   -  	
depositors	   4	
depot	   2	
depots	   2	
depravity	   4	
depressant	   -  	
depressive	   3	
depressor	   -  	
depressors	   -  	
dept	   -  	
depth	   1	
depths	   1	
deputation	   4	
depute	   -  	
deputes	   -  	
deputies	   3	
derailment	   -  	
derbies	   -  	
derecho	   -  	
derelicts	   3	
derision	   3	
derisions	   -  	
derivation	   4	
derma	   -  	
dermatitis	   4	
dermatome	   -  	
dermis	   -  	
derrieres	   -  	
derringers	   -  	
dervish	   2	
dervishes	   3	
desc	   -  	
descant	   -  	
descendant	   3	
descendent	   -  	
descender	   -  	
descent	   2	
descents	   -  	
descript	   -  	
descriptor	   -  	
desecrater	   -  	
desecrator	   -  	
deserter	   3	
deserters	   3	
desertion	   3	
desertions	   -  	
desiccate	   -  	
designator	   -  	
designee	   -  	
designer	   3	
designers	   3	
designs	   2	
desk	   1	
desks	   1	
desktop	   -  	
desolation	   4	
despairs	   2	
desperados	   -  	
despoilers	   -  	
despotism	   4	
dessert	   2	
desserts	   2	
destinies	   3	
destroyers	   3	
destructor	   -  	
detachment	   3	
detailer	   -  	
detainees	   3	
detainment	   -  	
detection	   3	
detectives	   3	
detector	   3	
detectors	   3	
detente	   2	
detention	   3	
detentions	   -  	
detergent	   3	
detergents	   3	
deterrence	   3	
deterrent	   3	
deterrents	   3	
detonation	   4	
detonators	   -  	
detours	   2	
detoxifier	   -  	
detractors	   3	
detriment	   3	
detriments	   -  	
detritus	   3	
detune	   -  	
deuterium	   -  	
deuterons	   -  	
developer	   4	
developers	   4	
deviance	   2	
deviancy	   3	
deviants	   2	
deviation	   4	
deviations	   4	
device	   2	
devices	   3	
devilfish	   -  	
devilry	   -  	
deviltry	   -  	
devolution	   4	
devotee	   3	
devotees	   3	
devotion	   3	
devotions	   3	
devourer	   -  	
devoutness	   -  	
devs	   -  	
dewberry	   -  	
dewlap	   -  	
dewlaps	   -  	
dews	   -  	
dexies	   -  	
dexterity	   4	
dhal	   -  	
dhamma	   -  	
dhole	   -  	
dhow	   -  	
dhows	   -  	
dhu	   -  	
dia	   -  	
diabetics	   4	
diabolism	   -  	
diabolist	   -  	
diabolus	   -  	
diadem	   -  	
diagnosis	   4	
diagonals	   -  	
diagrams	   3	
dialect	   3	
dialectic	   4	
dialectics	   4	
dialects	   3	
dialer	   -  	
dialers	   -  	
dialler	   -  	
dialog	   -  	
dialogue	   3	
dialogues	   3	
dialysis	   -  	
diameter	   4	
diammonium	   -  	
diamonds	   3	
dianetics	   -  	
diapason	   -  	
diaphragm	   3	
diaphragms	   -  	
diarist	   -  	
diarrhoea	   3	
diaspora	   -  	
diaster	   -  	
diatoms	   -  	
diatribes	   3	
dib	   -  	
dice	   1	
dicer	   -  	
dices	   -  	
dichondra	   -  	
dichotomy	   4	
dichromate	   -  	
dicht	   -  	
dicier	   -  	
dickcissel	   -  	
dickeys	   -  	
dickheads	   -  	
dictaphone	   -  	
dictation	   3	
dictations	   -  	
dictator	   3	
dictators	   3	
diction	   2	
dictionary	   3	
dictograph	   -  	
dictum	   2	
diddles	   -  	
diddums	   -  	
didgeridoo	   -  	
didie	   -  	
didies	   -  	
didoes	   -  	
didos	   -  	
diesel	   2	
diesels	   2	
dieters	   -  	
diethyl	   -  	
dietician	   4	
dietitian	   -  	
difficile	   -  	
difficulty	   4	
diffuser	   -  	
diffusion	   3	
diffusor	   -  	
digestif	   -  	
digestion	   3	
digestions	   -  	
diggers	   2	
diggings	   -  	
digit	   2	
digitalis	   -  	
digitals	   -  	
digits	   2	
dignitary	   4	
dignity	   3	
digoxin	   -  	
digression	   3	
digs	   1	
dihedral	   -  	
dike	   -  	
diktat	   -  	
dilatation	   -  	
dilation	   3	
dilations	   -  	
dilator	   -  	
dilators	   -  	
dildo	   -  	
dildoes	   -  	
dildos	   -  	
dilemma	   3	
dilemmas	   3	
dilettante	   4	
dilettanti	   -  	
diligence	   3	
dills	   -  	
dilution	   3	
dimension	   3	
dimensions	   3	
dimer	   -  	
dimes	   1	
diminuendo	   -  	
diminution	   4	
dimity	   -  	
dimmers	   -  	
dinar	   -  	
dinars	   -  	
diner	   2	
dineros	   -  	
diners	   2	
dinettes	   -  	
dingbat	   -  	
dingbats	   -  	
dingdong	   -  	
dinghies	   2	
dinghy	   2	
dingoes	   -  	
dinkies	   -  	
dinkum	   -  	
dinner	   2	
dinners	   2	
dinnertime	   -  	
dinnerware	   -  	
dinnery	   -  	
dinos	   -  	
dinosaur	   3	
dinosaurs	   3	
dint	   1	
diocese	   3	
dioceses	   -  	
diode	   -  	
diodes	   -  	
dioramas	   -  	
dioxide	   3	
dioxin	   -  	
dioxins	   -  	
diphenyl	   -  	
diphenyls	   -  	
diphtheria	   3	
diphthong	   -  	
diphthongs	   -  	
diplococci	   -  	
diploma	   3	
diplomacy	   4	
diplomas	   3	
diplomat	   3	
diplomats	   3	
dippers	   -  	
dipsomania	   -  	
dipsos	   -  	
dipsticks	   -  	
diptych	   -  	
direction	   3	
directions	   3	
directive	   3	
directives	   3	
directness	   3	
directors	   3	
directory	   4	
directress	   -  	
direness	   -  	
dirge	   1	
dirges	   -  	
dirham	   -  	
dirhams	   -  	
dirtiness	   -  	
dirts	   -  	
disability	   5	
disarray	   3	
disasters	   3	
disbarment	   -  	
disbelief	   3	
disbursal	   -  	
disc	   1	
disciples	   3	
discipline	   3	
disclaimer	   3	
discloser	   -  	
disclosure	   3	
disco	   2	
discomfort	   3	
discontent	   3	
discord	   2	
discords	   -  	
discos	   2	
discounts	   2	
discourse	   2	
discourses	   3	
discoverer	   4	
discovery	   4	
discretion	   3	
discs	   1	
discus	   2	
discussion	   3	
disease	   2	
diseases	   3	
disembody	   -  	
disembogue	   -  	
disembowel	   -  	
disfavor	   -  	
disfavour	   3	
disguiser	   -  	
disgust	   2	
dishabille	   -  	
disharmony	   4	
dishcloths	   -  	
dishonesty	   4	
dishonor	   -  	
dishonors	   -  	
dishpan	   -  	
dishrag	   -  	
dishrags	   -  	
dishtowel	   -  	
dishtowels	   -  	
dishware	   -  	
dishwasher	   3	
disinvite	   -  	
disk	   -  	
diskette	   -  	
diskettes	   -  	
disks	   -  	
disloyalty	   4	
dismay	   2	
dismissal	   3	
disodium	   -  	
disorder	   3	
disorders	   3	
disorients	   -  	
disparity	   4	
dispassion	   -  	
dispatches	   3	
dispensary	   -  	
dispensers	   3	
dispersal	   3	
dispersion	   3	
disposal	   3	
disposals	   -  	
disposer	   -  	
disputes	   2	
disrepair	   3	
disrepute	   3	
disrupter	   -  	
disruption	   3	
disruptor	   -  	
dissection	   3	
dissector	   -  	
dissectors	   -  	
dissembler	   -  	
dissension	   3	
dissenter	   3	
dissenters	   3	
dissidents	   3	
dissonance	   3	
dist	   -  	
distaff	   2	
distances	   3	
distaste	   2	
distension	   3	
distention	   -  	
distillate	   -  	
distiller	   -  	
distillers	   -  	
distillery	   -  	
distorters	   -  	
distortion	   3	
distracter	   -  	
distress	   2	
distresses	   -  	
districts	   2	
disturber	   -  	
disturbers	   -  	
disuse	   2	
dite	   -  	
ditties	   -  	
ditto	   2	
ditz	   -  	
diuresis	   -  	
diuretics	   -  	
divan	   2	
divergence	   3	
diversion	   3	
diversions	   3	
diversity	   4	
diverter	   -  	
dividend	   3	
dividends	   3	
divider	   -  	
dividers	   -  	
divination	   4	
divinities	   -  	
divinity	   4	
divisions	   3	
divisors	   -  	
divorcee	   3	
divorcees	   -  	
divorcer	   -  	
divots	   -  	
divulger	   -  	
dixit	   -  	
dizzies	   -  	
dizziness	   3	
djinn	   -  	
doating	   -  	
doberman	   -  	
dobermans	   -  	
docility	   4	
dockage	   -  	
dockers	   2	
docket	   2	
dockmaster	   -  	
dockside	   -  	
docksides	   -  	
dockworker	   -  	
dockyard	   2	
docs	   -  	
doctorate	   3	
doctorates	   3	
doctrine	   2	
doctrines	   2	
docudrama	   -  	
doddle	   -  	
dodoes	   -  	
dodos	   -  	
doer	   -  	
doers	   2	
dogbite	   -  	
dogcatcher	   -  	
doges	   -  	
dogfall	   -  	
dogfish	   2	
doggerel	   3	
doggies	   -  	
doggle	   -  	
doggy	   2	
doghead	   -  	
dogie	   -  	
dogies	   -  	
dogma	   2	
dogmas	   2	
dogmen	   -  	
dogsbody	   3	
dogwatch	   -  	
dogwoods	   -  	
doings	   2	
dojos	   -  	
doke	   -  	
doldrums	   2	
doli	   -  	
dollar	   2	
dollars	   2	
dollhouse	   -  	
dollhouses	   -  	
dollies	   2	
dollop	   2	
dollops	   -  	
dolls	   1	
dolomite	   -  	
dolor	   -  	
dolour	   -  	
dolphin	   2	
dolphins	   2	
dolts	   -  	
domain	   2	
domains	   2	
domes	   1	
domestics	   -  	
domiciles	   -  	
dominance	   3	
dominants	   -  	
domination	   4	
dominator	   -  	
dominators	   -  	
domineer	   -  	
dominicans	   -  	
dominie	   -  	
dominion	   3	
dominions	   3	
dominoes	   3	
dominos	   -  	
dona	   -  	
donation	   3	
donations	   3	
dongs	   -  	
donicker	   -  	
donnybrook	   -  	
donor	   2	
donors	   2	
dons	   1	
doodad	   -  	
doodads	   -  	
doodah	   -  	
doodlebug	   -  	
doodlebugs	   -  	
doodler	   -  	
doodlers	   -  	
doohickey	   -  	
dooms	   -  	
doomsayer	   -  	
doomsayers	   -  	
doon	   -  	
door	   1	
doorframe	   -  	
doorjamb	   -  	
doorjambs	   -  	
doorkeeper	   -  	
doorknobs	   2	
doormat	   2	
doormats	   -  	
doormen	   -  	
doornail	   -  	
doorpost	   -  	
doors	   1	
