ITEM   	 LEN_S 	
agora	   -  	
agoras	   -  	
agos	   -  	
agreement	   3	
agreements	   3	
agrement	   -  	
aguacate	   -  	
ague	   2	
agura	   -  	
agy	   -  	
ahold	   -  	
ahs	   -  	
ahu	   -  	
aide	   1	
aider	   -  	
aides	   1	
aikido	   -  	
aileron	   -  	
ailerons	   -  	
ailment	   2	
ailments	   2	
aimer	   -  	
ainu	   -  	
aioli	   -  	
airbag	   -  	
airbase	   -  	
airboat	   -  	
aircraft	   2	
aircrafts	   -  	
airdate	   -  	
airdrome	   2	
airdromes	   -  	
airdrop	   -  	
aire	   -  	
airfares	   -  	
airfield	   2	
airfields	   2	
airfoil	   -  	
airheads	   -  	
airiness	   -  	
airings	   -  	
airlifts	   -  	
airline	   2	
airliner	   3	
airliners	   3	
airlocks	   -  	
airmen	   2	
airmobile	   -  	
airports	   2	
airship	   -  	
airships	   -  	
airspace	   2	
airstrike	   -  	
airstrikes	   -  	
airstrips	   -  	
airtime	   -  	
airwave	   -  	
airwaves	   -  	
airways	   2	
ais	   -  	
aisle	   1	
aisles	   1	
ajog	   -  	
akasa	   -  	
akee	   -  	
akey	   -  	
akimbo	   3	
ako	   -  	
ala	   -  	
alabaster	   4	
alackaday	   -  	
alacrity	   4	
alai	   -  	
alarmist	   3	
alarms	   2	
alarums	   -  	
alaskans	   -  	
albanians	   -  	
albinism	   -  	
albinos	   -  	
album	   2	
albumens	   -  	
albumin	   -  	
albums	   2	
alcalde	   -  	
alce	   -  	
alchemist	   3	
alchemists	   3	
alchemy	   3	
alcohol	   3	
alcoholics	   4	
alcoholism	   5	
alcove	   2	
alcoves	   2	
ald	   -  	
aldehydes	   -  	
alder	   2	
aldermen	   3	
alders	   2	
ale	   1	
alecs	   -  	
alee	   -  	
alehouse	   -  	
aleikum	   -  	
alem	   -  	
alertness	   3	
ales	   1	
alfresco	   -  	
algerians	   -  	
algin	   -  	
algonquin	   -  	
algorithm	   -  	
algorithms	   -  	
alguacil	   -  	
alibi	   3	
alibis	   3	
alienation	   4	
alienist	   -  	
aliens	   2	
alignment	   3	
alignments	   3	
alimonies	   -  	
alimony	   4	
alinements	   -  	
ality	   -  	
alkaloid	   -  	
alkaloids	   -  	
alkalosis	   -  	
alkane	   -  	
alkyd	   -  	
allegation	   4	
allegiance	   3	
allegories	   -  	
allegory	   4	
allele	   -  	
alleles	   -  	
allergen	   -  	
allergens	   -  	
allergies	   3	
allergist	   -  	
allergists	   -  	
allergy	   3	
alleys	   2	
alleyway	   3	
alleyways	   3	
alliance	   3	
alliances	   4	
alligator	   4	
alligators	   -  	
allocation	   4	
allocution	   -  	
allotment	   3	
allotments	   3	
allowances	   4	
alloy	   2	
alloys	   2	
allumette	   -  	
allure	   2	
allusion	   3	
allusions	   3	
alluvials	   -  	
allyou	   -  	
almanac	   3	
almanacs	   -  	
almonds	   2	
alms	   1	
almshouse	   -  	
alo	   -  	
aloe	   -  	
aloes	   -  	
aloneness	   -  	
alopecia	   -  	
alouette	   -  	
alow	   -  	
alpaca	   3	
alpacas	   -  	
alphabet	   3	
alphas	   -  	
altar	   2	
altarpiece	   -  	
altars	   2	
alteration	   4	
alternator	   -  	
althaea	   -  	
altiplano	   -  	
altitudes	   3	
altruism	   4	
altruist	   -  	
aluminium	   4	
aluminum	   4	
alumna	   -  	
alumnae	   -  	
alumnus	   -  	
alums	   -  	
alveoli	   -  	
alveolus	   -  	
alway	   -  	
