"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue"
"556","acrobatics",11,10,10,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208
"559","acromion",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"560","acronym",15,14,14,13,0.294117647058824,1.20411998265592,0.16690510252742,1.17609125905568,"Noun",15,1,"Noun","15",2.49595412480038
"561","acronyms",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364
"562","acrophobia",10,6,8,4,0.196078431372549,1.04139268515823,0.0715307582260372,0.845098040014257,"Noun",10,1,"Noun","10",2.33322682730268
"566","acrylics",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242
"570","actg",1,1,0,0,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"573","actings",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"577","actioner",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"583","activation",43,33,40,30,0.843137254901961,1.64345267648619,0.393419170243205,1.53147891704226,"Noun",43,1,"Noun","43",2.93528681863065
"584","activator",4,4,3,3,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"587","actives",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"588","activism",9,9,9,9,0.176470588235294,1,0.107296137339056,1,"Noun",9,1,"Noun","9",2.29183414214446
"589","activist",50,40,47,37,0.980392156862745,1.70757017609794,0.476871721506915,1.61278385671974,"Noun",50,1,"Noun","50",2.9994043182424
"590","activists",18,14,17,13,0.352941176470588,1.27875360095283,0.16690510252742,1.17609125905568,"Noun",18,1,"Noun","18",2.57058774309729
"592","activity",657,519,650,513,12.8823529411765,2.81822589361396,6.18741058655222,2.7160033436348,"Noun",657,1,"Noun","657",4.11006003575842
"595","actors",644,327,566,303,12.6274509803922,2.80955971463527,3.89842632331903,2.51587384371168,"Noun",642,1,"Noun","642",4.10139385677973
"597","actress",817,379,783,370,16.0196078431373,2.91275330367132,4.51835956127802,2.57978359661681,"Noun",814,1,"Noun","814",4.20458744581578
"598","actresses",115,91,108,87,2.25490196078431,2.06445798922692,1.08488316642823,1.96378782734556,"Noun",115,1,"Noun","115",3.35629213137138
"600","actu",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"605","actuality",24,22,24,22,0.470588235294118,1.39794000867204,0.262279446828803,1.36172783601759,"Noun",24,1,"Noun","24",2.6897741508165
"609","actuals",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"612","actuaries",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"613","actuary",7,6,4,4,0.137254901960784,0.903089986991944,0.0715307582260372,0.845098040014257,"Noun",7,1,"Noun","7",2.1949241291364
"617","actuation",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"618","actuator",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"619","actuators",2,1,2,1,0.0392156862745098,0.477121254719662,0.0119217930376729,0.301029995663981,"Noun",2,1,"Noun","2",1.76895539686412
"620","acuity",14,14,14,14,0.274509803921569,1.17609125905568,0.16690510252742,1.17609125905568,"Noun",14,1,"Noun","14",2.46792540120014
"621","acumen",7,5,7,5,0.137254901960784,0.903089986991944,0.0596089651883643,0.778151250383644,"Noun",7,1,"Noun","7",2.1949241291364
"628","acuteness",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"629","acyclovir",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"632","adages",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"638","adamas",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"640","adance",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"644","adaptation",81,70,34,27,1.58823529411765,1.91381385238372,0.834525512637101,1.85125834871908,"Noun",81,1,"Noun","81",3.20564799452818
"647","adapter",11,7,11,7,0.215686274509804,1.07918124604762,0.0834525512637101,0.903089986991944,"Noun",11,1,"Noun","11",2.37101538819208
"649","adaption",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"651","adaptor",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"652","adaptors",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844
"658","addenda",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412
"659","addendum",15,12,10,7,0.294117647058824,1.20411998265592,0.143061516452074,1.11394335230684,"Noun",15,1,"Noun","15",2.49595412480038
"660","addendums",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048
"663","addict",273,193,273,193,5.35294117647059,2.43775056282039,2.30090605627086,2.28780172993023,"Noun",271,1,"Noun","271",3.72958470496485
"666","addiction",199,130,192,126,3.90196078431373,2.30102999566398,1.54983309489747,2.11727129565576,"Noun",199,1,"Noun","199",3.59286413780844
"670","addicts",106,79,96,74,2.07843137254902,2.02938377768521,0.941821649976156,1.90308998699194,"Noun",106,1,"Noun","106",3.32121791982967
"672","addio",4,2,4,2,0.0784313725490196,0.698970004336019,0.0238435860753457,0.477121254719662,"Noun",4,1,"Noun","4",1.99080414648048
"678","additions",11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",11,1,"Noun","11",2.37101538819208
"680","additives",10,8,10,8,0.196078431372549,1.04139268515823,0.0953743443013829,0.954242509439325,"Noun",10,1,"Noun","10",2.33322682730268
"685","addr",2,1,2,1,0.0392156862745098,0.477121254719662,0.0119217930376729,0.301029995663981,"Noun",2,1,"Noun","2",1.76895539686412
"688","addressee",6,6,6,6,0.117647058823529,0.845098040014257,0.0715307582260372,0.845098040014257,"Noun",6,1,"Noun","6",2.13693218215872
