numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
3408	24855	27560	glorify	19	19	18	18	0.37255	1.301	0.22651	1.301	Verb	2	19	1	Verb	19	2.5929	low	1	3	321.74	46.83	7	0	
178	858	2714	appearance	591	498	585	494	11.5882	2.7723	5.9371	2.6981	Noun	1	593	1	Noun	593	4.0642	high	2	3	445.69	46.33	10	0	
1615	10596	35938	kops	2	2	0	0	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	1	176.73	14.67	4	6	
435	2783	9029	calculus	47	39	38	32	0.92157	1.6812	0.46495	1.6021	Noun	1	47	1	Noun	47	2.9731	high	2	3	169.65	35.43	8	0	
350	2007	6603	blob	60	45	44	40	1.1765	1.7853	0.53648	1.6628	Noun	1	60	1	Noun	60	3.0772	high	2	1	151.44	12	4	4	
3464	25475	33975	intertwine	8	6	8	6	0.15686	0.95424	0.071531	0.8451	Verb	2	8	1	Verb	8	2.2461	low	1	3	666.61	113.33	10	0	
1122	7038	23940	fent	2	1	2	1	0.039216	0.47712	0.011922	0.30103	Noun	1	2	1	Noun	2	1.769	low	1	1	1640.82	21.67	4	16	
1279	8223	27649	gnome	32	24	29	23	0.62745	1.5185	0.28612	1.3979	Noun	1	32	1	Noun	32	2.8103	high	2	1	198.43	10.25	5	0	
2508	16255	55175	ringe	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	862.47	41.25	5	7	
3760	28360	59527	skimp	13	12	13	12	0.2549	1.1461	0.14306	1.1139	Verb	2	13	1	Verb	13	2.438	low	1	1	104.27	12.75	5	0	
1388	9143	30401	hideaway	52	37	35	29	1.0196	1.7243	0.44111	1.5798	Noun	1	52	1	Noun	52	3.0161	high	2	3	114.07	22	8	0	
2746	18434	62681	stopover	20	20	20	20	0.39216	1.3222	0.23844	1.3222	Noun	1	20	1	Noun	20	2.6141	low	1	3	785.37	66.71	8	0	
2193	14646	48700	plott	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	686.37	27.5	5	1	
3154	21637	534	acquire	135	123	133	121	2.6471	2.1335	1.4664	2.0934	Verb	2	135	1	Verb	135	3.4254	high	2	3	301.91	23.33	7	0	
442	2837	9194	campfire	64	55	59	50	1.2549	1.8129	0.6557	1.7482	Noun	1	63	1	Noun	63	3.1047	high	2	3	261.98	37.43	8	0	
2757	18495	62903	strength	1883	1235	1825	1212	36.9216	3.2751	14.7234	3.092	Noun	1	1883	1	Noun	1883	4.5669	high	2	1	534.98	53.86	8	0	
3741	28160	57345	sculpt	19	18	19	18	0.37255	1.301	0.21459	1.2788	Verb	2	19	1	Verb	19	2.5929	low	1	1	203.35	13.2	6	0	
357	2108	6917	boche	9	6	6	3	0.17647	1	0.071531	0.8451	Noun	1	9	1	Noun	9	2.2918	low	1	1	251.8	19	5	0	
2899	19484	66311	tide	375	279	359	270	7.3529	2.5752	3.3262	2.4472	Noun	1	376	1	Noun	376	3.867	high	2	1	1482.94	18	4	12	
3810	29071	65658	terrify	25	23	22	22	0.4902	1.415	0.2742	1.3802	Verb	2	25	1	Verb	25	2.7068	low	1	3	671.92	60	7	0	
1627	10690	36247	lan	417	91	271	74	8.1765	2.6212	1.0849	1.9638	Noun	1	417	1	Noun	417	3.913	high	2	1	1870.08	9	3	18	
1891	12564	42003	mucosa	13	11	12	11	0.2549	1.1461	0.13114	1.0792	Noun	1	13	1	Noun	13	2.438	low	1	3	410.33	16	6	0	
835	5356	17906	dhole	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	1172.83	21.5	5	1	
3724	27981	55450	roil	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	1	560.1	18	4	7	
439	2807	9114	calorie	12	12	12	12	0.23529	1.1139	0.14306	1.1139	Noun	1	12	1	Noun	12	2.4058	low	1	3	337.53	41.17	7	0	
398	2414	7904	brigadier	52	27	21	10	1.0196	1.7243	0.32189	1.4472	Noun	1	52	1	Noun	52	3.0161	high	2	3	333.06	56.88	9	0	
2649	17413	58867	shrine	151	93	121	88	2.9608	2.1818	1.1087	1.9731	Noun	1	151	1	Noun	151	3.4737	high	2	1	1585.34	90	6	1	
677	4353	14389	corr	3	3	1	1	0.058824	0.60206	0.035765	0.60206	Noun	1	2	1	Noun	2	1.8939	low	1	1	2143.33	26	4	4	
2288	15167	50496	programmer	56	34	54	34	1.098	1.7559	0.40534	1.5441	Noun	1	56	1	Noun	56	3.0477	high	2	3	300.27	52.56	10	2	
3172	21866	2807	apprehend	73	62	69	60	1.4314	1.8692	0.73915	1.7993	Verb	2	73	1	Verb	73	3.1611	high	2	3	378.89	38.63	9	0	
3026	20461	70790	vane	16	4	15	3	0.31373	1.2304	0.047687	0.69897	Noun	1	16	1	Noun	16	2.5223	low	1	1	1516.76	29	4	11	
2585	16940	57390	scythe	16	13	16	13	0.31373	1.2304	0.15498	1.1461	Noun	1	16	1	Noun	16	2.5223	low	1	1	213.6	18.6	6	0	
3806	29056	65474	temporize	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	3	353.88	58.38	9	0	
177	856	2700	apparel	35	32	30	28	0.68627	1.5563	0.3815	1.5185	Noun	1	35	1	Noun	35	2.8481	high	2	3	380	34.33	7	0	
1082	6778	23043	expression	651	549	649	547	12.7647	2.8142	6.5451	2.7404	Noun	1	650	1	Noun	650	4.1061	high	2	3	1002.27	98.67	10	0	
2728	18290	62158	starvation	75	69	67	62	1.4706	1.8808	0.8226	1.8451	Noun	1	75	1	Noun	75	3.1726	high	2	3	945.08	132.22	10	0	
