numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
2700	18011	61058	spam	59	41	16	7	1.1569	1.7782	0.48879	1.6232	Noun	1	59	1	Noun	59	3.07	high	2	1	86.08	11	4	7	
3153	21635	529	acquiesce	3	3	2	2	0.058824	0.60206	0.035765	0.60206	Verb	2	3	1	Verb	3	1.8939	low	1	3	140.73	19.5	9	0	
1432	9540	31734	hype	83	61	79	59	1.6275	1.9243	0.72723	1.7924	Noun	1	83	1	Noun	83	3.2161	high	2	1	197.53	6.67	4	2	
1911	12710	42442	myth	352	250	341	246	6.902	2.5478	2.9804	2.3997	Noun	1	352	1	Noun	352	3.8396	high	2	1	2590.95	4.67	4	2	
1213	7700	26019	fright	141	113	131	111	2.7647	2.1523	1.3472	2.0569	Noun	1	141	1	Noun	141	3.4441	high	2	1	647.58	38.8	6	4	
3796	28972	64502	symbolize	21	18	20	18	0.41176	1.3424	0.21459	1.2788	Verb	2	21	1	Verb	21	2.6343	low	1	3	120.79	35.38	9	0	
360	2123	6962	bogeyman	44	29	41	28	0.86275	1.6532	0.34573	1.4771	Noun	1	44	1	Noun	44	2.945	high	2	3	165.97	19.29	8	1	
600	4022	12904	communion	106	66	61	45	2.0784	2.0294	0.78684	1.8261	Noun	1	106	1	Noun	106	3.3212	high	2	3	1233.1	100.25	9	0	
401	2461	8055	bronchitis	18	12	17	11	0.35294	1.2788	0.14306	1.1139	Noun	1	18	1	Noun	18	2.5706	low	1	3	125.11	27.33	10	0	
3375	24390	23261	fabricate	17	17	17	17	0.33333	1.2553	0.20267	1.2553	Verb	2	17	1	Verb	17	2.5471	low	1	3	243.79	51.38	9	0	
3315	23784	19393	dolled	27	26	27	26	0.52941	1.4472	0.30997	1.4314	Verb	2	27	1	Verb	27	2.739	low	1	1	2560.82	210	6	5	
935	5888	19857	draught	24	20	22	19	0.47059	1.3979	0.23844	1.3222	Noun	1	24	1	Noun	24	2.6898	low	1	1	739.92	36	7	2	
358	2119	6955	boer	5	3	0	0	0.098039	0.77815	0.035765	0.60206	Noun	1	5	1	Noun	5	2.07	low	1	1	1463.94	18	4	4	
3431	25138	31324	hout	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	1	1200.67	19	4	9	
2745	18426	62665	stool	179	156	174	153	3.5098	2.2553	1.8598	2.1959	Noun	1	179	1	Noun	179	3.5471	high	2	1	1234.19	34	5	3	
1442	9634	32064	iguana	40	19	27	17	0.78431	1.6128	0.22651	1.301	Noun	1	40	1	Noun	40	2.9046	high	2	3	104.52	12.8	6	0	
3079	20861	71931	wand	157	74	152	73	3.0784	2.1987	0.88221	1.8751	Noun	1	155	1	Noun	155	3.4905	high	2	1	2300.3	34	4	9	
2954	19969	67855	trois	40	35	38	33	0.78431	1.6128	0.41726	1.5563	Noun	1	40	1	Noun	40	2.9046	high	2	1	806.55	31.5	5	1	
341	1917	6242	birth	1405	948	1344	907	27.549	3.148	11.3019	2.9773	Noun	1	1405	1	Noun	1405	4.4398	high	2	1	1218.23	26	5	5	
1503	9860	33223	infraction	34	32	34	32	0.66667	1.5441	0.3815	1.5185	Noun	1	34	1	Noun	34	2.8359	high	2	3	1042.8	134.89	10	0	
2566	16772	56823	scarf	239	165	235	163	4.6863	2.3802	1.9671	2.2201	Noun	1	239	1	Noun	239	3.672	high	2	1	768.79	27	5	3	
2864	19270	65585	tequila	299	207	213	160	5.8627	2.4771	2.4678	2.3181	Noun	1	300	1	Noun	300	3.769	high	2	3	193.92	23.83	7	0	
