numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
1714	11308	38017	lour	4	2	4	2	0.078431	0.69897	0.023844	0.47712	Noun	1	4	1	Noun	4	1.9908	low	1	1	2334.48	21	4	9	
499	3243	10314	censorship	54	33	49	32	1.0588	1.7404	0.39342	1.5315	Noun	1	54	1	Noun	54	3.0322	high	2	3	185.79	27.67	10	0	
2574	16834	57011	schtick	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	1	3	1	Noun	3	1.8939	low	1	1	553.34	55.67	7	0	
824	5307	17696	detector	166	127	164	125	3.2549	2.2227	1.5141	2.1072	Noun	1	166	1	Noun	166	3.5146	high	2	3	472.88	52.57	8	1	
409	2533	8303	bugaboo	7	7	7	7	0.13725	0.90309	0.083453	0.90309	Noun	1	7	1	Noun	7	2.1949	low	1	3	86.6	23.17	7	0	
2062	13682	45881	pageantry	10	9	10	9	0.19608	1.0414	0.1073	1	Noun	1	10	1	Noun	10	2.3332	low	1	3	234.35	42.13	9	0	
1822	12073	40482	midsummer	30	24	6	5	0.58824	1.4914	0.28612	1.3979	Noun	1	28	1	Noun	28	2.7832	high	2	3	145.7	30.38	9	0	
3612	26931	49660	preach	122	82	99	72	2.3922	2.0899	0.97759	1.9191	Verb	2	122	1	Verb	122	3.3817	high	2	1	510.05	47.4	6	1	
717	4696	15532	crutch	67	53	66	53	1.3137	1.8325	0.63186	1.7324	Noun	1	67	1	Noun	67	3.1243	high	2	1	221.93	32.8	6	3	
2504	16228	55085	ries	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	1	1	Noun	1	1.769	low	1	1	830.9	22	4	8	
1117	6996	23816	fedora	13	11	13	11	0.2549	1.1461	0.13114	1.0792	Noun	1	13	1	Noun	13	2.438	low	1	3	435.67	23.8	6	0	
369	2206	7240	boor	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	1	3	1	Noun	3	1.8939	low	1	1	2316.77	29.33	4	9	
1917	12767	42681	nausea	110	89	93	78	2.1569	2.0453	1.061	1.9542	Noun	1	110	1	Noun	110	3.3372	high	2	3	504.58	36.8	6	0	
28	103	407	accountant	315	191	303	185	6.1765	2.4997	2.2771	2.2833	Noun	1	315	1	Noun	315	3.7915	high	2	3	358.8	38.89	10	0	
3851	29612	70731	validate	41	38	40	38	0.80392	1.6232	0.45303	1.5911	Verb	2	41	1	Verb	41	2.9151	high	2	3	365.91	51.71	8	0	
3069	20756	71593	vogue	119	61	24	11	2.3333	2.0792	0.72723	1.7924	Noun	1	118	1	Noun	118	3.371	high	2	1	200.17	11.75	5	2	
345	1941	6306	bitumen	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	526.89	37	7	0	
3393	24642	25558	formulate	30	23	27	21	0.58824	1.4914	0.2742	1.3802	Verb	2	30	1	Verb	30	2.7832	high	2	3	285.82	61.63	9	0	
3325	23872	20480	earn	783	623	761	612	15.3529	2.8943	7.4273	2.7952	Verb	2	783	1	Verb	783	4.1862	high	2	1	1197.65	28.33	4	7	
2707	18067	61318	sperm	318	161	300	152	6.2353	2.5038	1.9194	2.2095	Noun	1	320	1	Noun	320	3.7956	high	2	1	1674.84	26	5	0	
286	1431	4581	balloting	4	4	3	3	0.078431	0.69897	0.047687	0.69897	Noun	1	4	1	Noun	4	1.9908	low	1	3	1365.85	243.13	9	0	
3386	24535	24769	flee	233	167	214	154	4.5686	2.3692	1.9909	2.2253	Verb	2	232	1	Verb	232	3.661	high	2	1	221.83	13.33	4	8	
1416	9455	31449	humanness	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	219.33	61.25	9	0	
390	2346	7684	bravado	24	24	22	22	0.47059	1.3979	0.28612	1.3979	Noun	1	24	1	Noun	24	2.6898	low	1	3	375.3	44	7	0	
217	1045	3315	ascendant	34	17	0	0	0.66667	1.5441	0.20267	1.2553	Noun	1	34	1	Noun	34	2.8359	high	2	3	541.46	54	9	0	
1825	12091	40546	mile	1071	779	950	746	21	3.0302	9.2871	2.8921	Noun	1	1095	1	Noun	1095	4.322	high	2	1	1637.4	29.67	4	18	
426	2695	8829	byte	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	1	6	1	Noun	6	2.1369	low	1	1	270.56	9.33	4	2	
239	1144	3663	atmosphere	493	362	483	356	9.6667	2.6937	4.3157	2.5599	Noun	1	493	1	Noun	493	3.9856	high	2	3	171.04	20.56	10	0	
2361	15593	51995	radius	224	194	222	193	4.3922	2.3522	2.3128	2.29	Noun	1	224	1	Noun	224	3.644	high	2	3	327.77	35.4	6	1	
3114	21237	73251	wit	302	227	287	219	5.9216	2.4814	2.7062	2.3579	Noun	1	300	1	Noun	300	3.7733	high	2	1	338.32	6.5	3	12	
3594	26662	46455	parse	6	5	6	5	0.11765	0.8451	0.059609	0.77815	Verb	2	6	1	Verb	6	2.1369	low	1	1	2178.83	46.75	5	3	
209	1014	3228	arsenic	63	31	47	25	1.2353	1.8062	0.36958	1.5051	Noun	1	63	1	Noun	63	3.098	high	2	3	339.68	30.83	7	0	
2443	15986	53919	renewal	49	37	47	35	0.96078	1.699	0.44111	1.5798	Noun	1	49	1	Noun	49	2.9908	high	2	3	1034.67	71.33	7	0	
387	2337	7656	brank	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	1222.04	47.5	5	7	
3751	28248	58438	shelve	10	8	6	5	0.19608	1.0414	0.095374	0.95424	Verb	2	10	1	Verb	10	2.3332	low	1	1	508.68	29	6	0	
2938	19833	67375	translator	115	77	106	71	2.2549	2.0645	0.91798	1.8921	Noun	1	114	1	Noun	114	3.3563	high	2	3	148.16	49.78	10	0	
383	2310	7552	bra	557	323	534	315	10.9216	2.7466	3.8507	2.5105	Noun	1	558	1	Noun	558	4.0385	high	2	1	16.54	1.5	3	3	
2137	14198	47376	perle	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	934.62	29.5	5	0	
3634	27158	51690	quell	17	17	17	17	0.33333	1.2553	0.20267	1.2553	Verb	2	17	1	Verb	17	2.5471	low	1	1	827.92	20.5	5	1	
406	2479	8107	brow	94	78	94	78	1.8431	1.9777	0.9299	1.8976	Noun	1	94	1	Noun	94	3.2696	high	2	1	2152.35	13.33	4	5	
1154	7210	24455	firth	8	4	2	2	0.15686	0.95424	0.047687	0.69897	Noun	1	7	1	Noun	7	2.2461	low	1	1	1641.9	29.5	5	6	
910	5682	19278	doctorate	46	39	45	38	0.90196	1.6721	0.46495	1.6021	Noun	1	46	1	Noun	46	2.9639	high	2	3	278.8	55.38	9	0	
3145	21469	74060	youth	858	600	747	536	16.8235	2.934	7.1531	2.7789	Noun	1	861	1	Noun	861	4.2258	high	2	1	2802.36	27.75	5	2	
2729	18301	62197	statism	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	838.54	87	7	0	
3764	28514	60514	soar	78	67	74	66	1.5294	1.8976	0.79876	1.8325	Verb	2	78	1	Verb	78	3.1895	high	2	1	1652.94	24.67	4	8	
2220	14827	49224	pore	24	19	22	19	0.47059	1.3979	0.22651	1.301	Noun	1	24	1	Noun	24	2.6898	low	1	1	4396.39	35.67	4	19	
1461	9710	32487	impression	946	787	946	787	18.549	2.9763	9.3825	2.8965	Noun	1	947	1	Noun	947	4.2682	high	2	3	980.29	98.78	10	0	
2995	20247	69094	underseas	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	245.63	54.75	9	0	
3769	28544	60728	solve	994	754	964	737	19.4902	2.9978	8.989	2.8779	Verb	2	996	1	Verb	996	4.2897	high	2	1	528.66	27.5	5	1	
1078	6769	23007	explosion	841	467	763	438	16.4902	2.9253	5.5675	2.6702	Noun	1	840	1	Noun	840	4.2171	high	2	3	808.99	80.5	9	0	
3576	26563	45598	overshoot	7	5	7	5	0.13725	0.90309	0.059609	0.77815	Verb	2	7	1	Verb	7	2.1949	low	1	3	170.29	30.13	9	0	
2911	19607	66655	togs	12	11	12	11	0.23529	1.1139	0.13114	1.0792	Noun	1	12	1	Noun	12	2.4058	low	1	1	597.08	24.67	4	19	
310	1622	5143	bawd	8	3	8	3	0.15686	0.95424	0.035765	0.60206	Noun	1	8	1	Noun	8	2.2461	low	1	1	718.94	15.67	4	4	
694	4435	14732	courtesy	414	357	368	321	8.1176	2.618	4.2561	2.5539	Noun	1	414	1	Noun	414	3.9099	high	2	3	624.72	89.43	8	0	
3424	25056	30288	herniate	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Verb	2	2	1	Verb	2	1.769	low	1	3	326	52.71	8	0	
102	503	1616	allergist	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	317.53	59.5	9	0	
2706	18058	61259	speech	1940	1090	1823	1050	38.0392	3.288	12.9948	3.0378	Noun	1	1936	1	Noun	1936	4.5799	high	2	1	467.4	36.8	6	0	
2998	20255	69144	undertow	27	16	20	13	0.52941	1.4472	0.19075	1.2304	Noun	1	30	1	Noun	30	2.739	low	1	3	325.52	53.29	8	0	
2807	18869	64315	sweetener	14	11	11	10	0.27451	1.1761	0.13114	1.0792	Noun	1	14	1	Noun	14	2.4679	low	1	3	400.5	52	9	1	
1624	10663	36166	lait	11	8	10	8	0.21569	1.0792	0.095374	0.95424	Noun	1	11	1	Noun	11	2.371	low	1	1	2026.92	28.33	4	7	
3266	23302	16754	deem	30	28	29	28	0.58824	1.4914	0.33381	1.4624	Verb	2	30	1	Verb	30	2.7832	high	2	1	3041.96	24.67	4	4	
