numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
2840	19112	65080	task	649	488	613	467	12.7255	2.8129	5.8178	2.6893	Noun	1	645	1	Noun	645	4.1047	high	2	1	1315.63	23	4	7	
3510	25974	39944	memorize	148	124	121	103	2.902	2.1732	1.4783	2.0969	Verb	2	148	1	Verb	148	3.465	high	2	3	415.46	53	8	0	
2030	13440	44813	ore	84	43	83	42	1.6471	1.9294	0.51264	1.6435	Noun	1	81	1	Noun	81	3.2213	high	2	1	2221.76	3	3	7	
2491	16159	54806	reverence	68	55	57	50	1.3333	1.8388	0.6557	1.7482	Noun	1	68	1	Noun	68	3.1307	high	2	3	654.85	96.75	9	1	
576	3900	12441	coif	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	1	3	1	Noun	3	1.8939	low	1	1	596.37	16	4	2	
1389	9148	30418	hieroglyph	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	99.59	14.56	10	0	
432	2765	8974	cairn	3	2	3	2	0.058824	0.60206	0.023844	0.47712	Noun	1	2	1	Noun	2	1.8939	low	1	1	437.59	33	5	0	
894	5609	18955	disruption	51	35	41	34	1	1.716	0.41726	1.5563	Noun	1	55	1	Noun	55	3.0078	high	2	3	933.71	124.33	10	0	
1957	13049	43656	noon	924	703	848	673	18.1176	2.9661	8.381	2.8476	Noun	1	922	1	Noun	922	4.258	high	2	1	1892.7	25.67	4	7	
1026	6460	21857	entreaty	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	402.57	50.43	8	0	
2268	15107	50261	prisoner	1180	631	1095	608	23.1373	3.0722	7.5227	2.8007	Noun	1	1188	1	Noun	1188	4.3641	high	2	3	995.07	86.86	8	1	
2679	17778	60296	snee	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	345.82	6	4	1	
3183	22098	5020	bask	29	26	25	24	0.56863	1.4771	0.30997	1.4314	Verb	2	29	1	Verb	29	2.769	high	2	1	1543.01	26.33	4	10	
2404	15842	53172	reef	204	79	151	62	4	2.3118	0.94182	1.9031	Noun	1	204	1	Noun	204	3.6036	high	2	1	2217.32	22	4	4	
1062	6695	22661	exchequer	5	3	0	0	0.098039	0.77815	0.035765	0.60206	Noun	1	5	1	Noun	5	2.07	low	1	3	254.18	36.63	9	0	
2009	13350	44559	onlooker	2	2	1	1	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	356.81	36.14	8	0	
1801	11977	40177	messiah	136	47	31	23	2.6667	2.1367	0.56032	1.6812	Noun	1	136	1	Noun	136	3.4286	high	2	3	612.99	45.33	7	0	
2573	16811	56950	schnapps	37	32	35	30	0.72549	1.5798	0.3815	1.5185	Noun	1	37	1	Noun	37	2.8716	high	2	1	52.14	16.29	8	0	
3553	26440	45178	outnumber	39	37	39	37	0.76471	1.6021	0.44111	1.5798	Verb	2	41	1	Verb	41	2.8939	high	2	3	121.47	25	9	0	
2676	17747	60127	smit	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	1	123.67	9	4	7	
