numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
2970	20085	68196	turbulence	99	71	88	65	1.9412	2	0.84645	1.8573	Noun	1	99	1	Noun	99	3.2918	high	2	3	339.62	38.67	10	0	
3476	25556	34759	jeopardize	147	139	145	138	2.8824	2.1703	1.6571	2.1461	Verb	2	147	1	Verb	147	3.4621	high	2	3	63.71	18	10	0	
1067	6709	22722	excursion	34	34	31	31	0.66667	1.5441	0.40534	1.5441	Noun	1	34	1	Noun	34	2.8359	high	2	3	738.3	75.25	9	0	
1372	9025	30042	heir	266	168	245	161	5.2157	2.4265	2.0029	2.2279	Noun	1	266	1	Noun	266	3.7183	high	2	1	916.09	11.67	4	3	
3797	28976	64522	sympathize	79	77	79	77	1.549	1.9031	0.91798	1.8921	Verb	2	79	1	Verb	79	3.1949	high	2	3	159.82	22.78	10	0	
1036	6520	22049	equator	31	27	28	24	0.60784	1.5051	0.32189	1.4472	Noun	1	31	1	Noun	31	2.797	high	2	3	227.16	26	7	0	
1683	11054	37301	limb	238	195	237	194	4.6667	2.3784	2.3247	2.2923	Noun	1	238	1	Noun	238	3.6702	high	2	1	1826.31	15	4	3	
3793	28878	63800	sup	47	35	18	15	0.92157	1.6812	0.41726	1.5563	Verb	2	42	1	Verb	42	2.9731	high	2	1	131.04	4	3	9	
2364	15629	52085	rainmaker	23	20	18	16	0.45098	1.3802	0.23844	1.3222	Noun	1	23	1	Noun	23	2.672	low	1	3	112.28	32.25	9	0	
479	3109	9960	casuals	4	3	2	2	0.078431	0.69897	0.035765	0.60206	Noun	1	4	1	Noun	4	1.9908	low	1	3	396.45	52.33	7	0	
397	2411	7900	brig	155	60	88	57	3.0392	2.1931	0.71531	1.7853	Noun	1	155	1	Noun	155	3.485	high	2	1	64.21	10	4	3	
1657	10907	36879	lek	4	3	1	1	0.078431	0.69897	0.035765	0.60206	Noun	1	4	1	Noun	4	1.9908	low	1	1	307.65	3	3	6	
1222	7777	26298	fundraiser	97	75	92	71	1.902	1.9912	0.89413	1.8808	Noun	1	97	1	Noun	97	3.2831	high	2	3	156.34	37	10	0	
420	2644	8638	burse	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	1637.48	36.25	5	5	
1162	7271	24597	flak	54	38	44	31	1.0588	1.7404	0.45303	1.5911	Noun	1	54	1	Noun	54	3.0322	high	2	1	332.13	16.67	4	6	
1284	8275	27796	golf	1302	604	1192	568	25.5294	3.1149	7.2008	2.7818	Noun	1	1302	1	Noun	1302	4.4068	high	2	1	1137.41	19	4	3	
1819	12067	40473	midsection	19	17	18	16	0.37255	1.301	0.20267	1.2553	Noun	1	18	1	Noun	18	2.5929	low	1	3	926.66	119.56	10	0	
772	5063	16614	decision	2808	1810	2797	1807	55.0588	3.4486	21.5784	3.2579	Noun	1	2803	1	Noun	2803	4.7404	high	2	3	904.5	82.86	8	1	
3581	26573	45626	overstay	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Verb	2	6	1	Verb	6	2.1369	low	1	3	295.46	42	8	0	
3804	29046	65332	teethe	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	1	328.72	26.2	6	1	
1660	10922	36918	lens	238	177	229	172	4.6667	2.3784	2.1102	2.2504	Noun	1	238	1	Noun	238	3.6702	high	2	1	1058.98	27	4	13	
1593	10407	35372	kayakers	3	2	3	2	0.058824	0.60206	0.023844	0.47712	Noun	1	3	1	Noun	3	1.8939	low	1	3	295.77	65.86	8	0	
734	4809	15862	cusp	14	14	14	14	0.27451	1.1761	0.16691	1.1761	Noun	1	14	1	Noun	14	2.4679	low	1	1	899.54	16	4	1	
1575	10230	34715	jeep	524	239	386	172	10.2745	2.7202	2.8493	2.3802	Noun	1	524	1	Noun	524	4.012	high	2	1	2102.41	21	4	7	
1280	8225	27654	gnu	41	3	1	1	0.80392	1.6232	0.035765	0.60206	Noun	1	36	1	Noun	36	2.9151	high	2	1	0	0	3	0	
317	1700	5398	beekeeper	9	8	8	7	0.17647	1	0.095374	0.95424	Noun	1	9	1	Noun	9	2.2918	low	1	3	150.5	25.25	9	0	
1571	10194	34593	jalopy	36	32	35	31	0.70588	1.5682	0.3815	1.5185	Noun	1	36	1	Noun	36	2.86	high	2	3	297.54	29.4	6	0	
3323	23838	20047	drown	540	439	502	419	10.5882	2.7332	5.2337	2.6435	Verb	2	536	1	Verb	536	4.025	high	2	1	1017.54	35.5	5	5	
59	261	936	advisement	39	37	39	37	0.76471	1.6021	0.44111	1.5798	Noun	1	39	1	Noun	39	2.8939	high	2	3	548.81	43.78	10	0	
2215	14772	49076	pomp	20	18	16	15	0.39216	1.3222	0.21459	1.2788	Noun	1	20	1	Noun	20	2.6141	low	1	1	1375.46	20.67	4	4	
2097	13899	46467	parsonage	5	2	5	2	0.098039	0.77815	0.023844	0.47712	Noun	1	5	1	Noun	5	2.07	low	1	3	212.6	47.5	9	1	
