numid|f	X1|f	X|f	Word|s	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	numDom_PoS_SUBTLEX|f	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	Zipfvalue_cat|s	Zipfvalue_ncat|f	cmu_sylls|f	BF_TK|f	BF_TP|f	LEN_L|f	N|f	
1589	10349	35149	jujitsu	16	13	13	11	0.31373	1.2304	0.15498	1.1461	Noun	1	15	1	Noun	15	2.5223	low	1	3	81.41	8.17	7	0	
3068	20752	71584	vocation	42	37	42	37	0.82353	1.6335	0.44111	1.5798	Noun	1	42	1	Noun	42	2.9253	high	2	3	912.52	83.86	8	2	
3615	26948	49757	predicate	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Verb	2	1	1	Verb	1	1.5929	low	1	3	499.39	67.25	9	0	
335	1810	5897	beverage	119	99	112	92	2.3333	2.0792	1.1803	2	Noun	1	119	1	Noun	119	3.371	high	2	3	526.06	63.57	8	1	
3483	25649	35794	knead	9	5	8	5	0.17647	1	0.059609	0.77815	Verb	2	9	1	Verb	9	2.2918	low	1	1	758.92	20.75	5	0	
3625	27059	50604	pronged	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Verb	2	2	1	Verb	2	1.769	low	1	1	2172.28	209.5	7	1	
2928	19750	67046	tournedos	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	3	106.67	18.5	9	0	
1614	10583	35867	knorr	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	414.2	14.75	5	0	
967	6193	20722	eel	73	52	64	50	1.4314	1.8692	0.61993	1.7243	Noun	1	72	1	Noun	72	3.1611	high	2	1	4.66	1.5	3	1	
8	26	89	abeyance	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	1	2	1	Noun	2	1.769	low	1	3	374.36	28.29	8	0	
2318	15267	50895	prow	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	1	6	1	Noun	6	2.1369	low	1	1	2159.77	13.67	4	7	
309	1619	5139	baud	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1	Noun	1	1.5929	low	1	1	686.83	13.67	4	4	
