ITEM   	 BF_TK 	 BF_TP 	 SLBF  	 MLBF  	 LEN_L 	   N   	   PN   	  AOA  	  AOA2  	  IMG  	  IMG2  	
fiasco	 208.29	  23.00	   8.80	   1.76	   6	   0	   0	-1	-1	-1	-1	
fibreglass	 100.97	  26.22	  14.66	   1.63	  10	   0	   0	-1	-1	-1	-1	
fiends	 502.05	  37.20	  13.32	   2.66	   6	   1	   6	-1	-1	-1	-1	
fig	 235.72	   7.00	   4.57	   2.29	   3	  15	  15	-1	-1	-1	-1	
figs	 794.21	  20.33	   8.40	   2.80	   4	  10	  11	-1	-1	-1	-1	
figurehead	  84.01	  17.33	  15.10	   1.68	  10	   0	   0	-1	-1	-1	-1	
figurine	1105.83	 167.14	  18.64	   2.66	   8	   1	   1	-1	-1	-1	-1	
figurines	 543.97	  84.63	  20.17	   2.52	   9	   0	   1	-1	-1	-1	-1	
filament	 437.62	  53.00	  17.59	   2.51	   8	   0	   1	-1	-1	-1	-1	
filaments	 273.71	  48.63	  17.95	   2.24	   9	   0	   1	-1	-1	-1	-1	
filigree	 552.68	  58.71	  16.36	   2.34	   8	   0	   0	-1	-1	-1	-1	
filtration	 972.10	 137.56	  22.40	   2.49	  10	   0	   0	-1	-1	-1	-1	
finale	1219.52	  73.20	  13.81	   2.76	   6	   1	   0	-1	-1	-1	-1	
finalists	 211.67	  46.38	  18.04	   2.25	   9	   0	   0	-1	-1	-1	-1	
finances	 577.41	 104.29	  17.94	   2.56	   8	   1	   2	-1	-1	-1	-1	
financier	 321.16	  52.50	  19.14	   2.39	   9	   0	   1	-1	 610	-1	 406	
financiers	 160.03	  36.56	  17.87	   1.99	  10	   0	   2	-1	-1	-1	-1	
finery	 674.27	  64.60	  13.72	   2.74	   6	   1	   3	-1	 490	-1	 455	
fingernail	 127.65	  23.78	  13.82	   1.54	  10	   0	   0	-1	-1	-1	-1	
fingertips	 407.56	  68.67	  17.35	   1.93	  10	   0	   1	-1	-1	-1	-1	
fins	1473.09	  34.67	   9.06	   3.02	   4	  13	  20	-1	-1	-1	-1	
firearm	 566.73	  40.50	  15.75	   2.62	   7	   1	   1	-1	-1	-1	-1	
firebrand	 242.70	  38.50	  16.89	   2.11	   9	   0	   0	-1	-1	-1	-1	
fireflies	 578.68	  95.63	  19.30	   2.41	   9	   0	   0	-1	-1	-1	-1	
firelight	 197.43	  37.38	  17.66	   2.21	   9	   0	   0	-1	-1	-1	-1	
firemen	 630.94	  45.67	  16.12	   2.69	   7	   2	   0	-1	-1	-1	-1	
fireplace	 242.45	  36.63	  17.76	   2.22	   9	   0	   0	-1	-1	 639	-1	
fireside	 329.20	  51.57	  16.82	   2.40	   8	   0	   0	-1	-1	-1	-1	
firewood	 207.18	  35.14	  14.30	   2.04	   8	   0	   0	 331	-1	 586	-1	
firework	 231.46	  37.86	  15.08	   2.15	   8	   0	   1	-1	-1	-1	-1	
firmament	 578.14	  53.25	  19.74	   2.47	   9	   0	   0	-1	-1	-1	-1	
firsts	 521.72	  56.00	  13.11	   2.62	   6	   0	   5	-1	-1	-1	-1	
firth	1641.90	  29.50	  12.83	   3.21	   5	   6	  13	-1	-1	-1	-1	
fisheries	 780.68	 125.38	  20.91	   2.61	   9	   0	   1	-1	-1	-1	-1	
fisherman	 300.27	  51.63	  17.49	   2.19	   9	   1	   0	 289	-1	 610	-1	
fishermen	 355.75	  53.38	  18.41	   2.30	   9	   1	   0	-1	-1	-1	-1	
fishery	 934.67	  95.00	  16.93	   2.82	   7	   1	   1	-1	-1	-1	-1	
fishmonger	 125.82	  35.78	  15.02	   1.67	  10	   0	   0	-1	-1	-1	-1	
fists	 919.82	  56.50	  11.33	   2.83	   5	   3	   8	-1	-1	-1	-1	
fixation	 913.08	  83.29	  17.26	   2.47	   8	   0	   0	-1	-1	-1	-1	
flair	1690.79	  35.25	  12.61	   3.15	   5	   1	   8	-1	-1	 425	-1	
flak	 332.13	  16.67	   7.18	   2.39	   4	   6	  16	-1	-1	-1	-1	
flames	1007.61	 109.60	  13.64	   2.73	   6	   5	   5	-1	-1	-1	-1	
flan	1064.61	  20.67	   8.57	   2.86	   4	   8	  10	-1	-1	-1	-1	
flanks	 500.65	  53.00	  13.11	   2.62	   6	   4	   6	-1	-1	-1	-1	
flask	 891.28	  37.50	  10.29	   2.57	   5	   2	   1	-1	-1	 614	-1	
flasks	 374.05	  47.40	  11.99	   2.40	   6	   1	   1	-1	-1	-1	-1	
flattery	 410.27	  85.14	  17.36	   2.48	   8	   1	   1	-1	-1	-1	-1	
flavouring	 515.64	 140.22	  19.23	   2.14	  10	   0	   1	-1	-1	-1	-1	
flaw	 325.41	  16.00	   7.07	   2.36	   4	   9	   9	-1	-1	-1	-1	
flaws	 723.05	  34.25	  10.56	   2.64	   5	   5	  10	-1	-1	-1	-1	
fleck	 627.57	  31.50	  10.94	   2.74	   5	   2	  10	-1	-1	-1	-1	
flecks	 272.54	  39.40	  11.90	   2.38	   6	   2	   8	-1	-1	-1	-1	
fleets	 438.96	  58.40	  12.64	   2.53	   6	   0	   8	-1	-1	-1	-1	
flesh	 817.55	  28.25	  11.25	   2.81	   5	   3	   6	 411	-1	 567	-1	
flights	 384.73	  55.67	  13.92	   2.32	   7	   2	   8	-1	-1	-1	-1	
flints	 681.82	  65.80	  13.67	   2.73	   6	   3	   3	-1	-1	-1	-1	
flippancy	 171.44	  30.88	  15.30	   1.91	   9	   0	   0	-1	-1	-1	-1	
flirtation	 946.23	 130.56	  21.86	   2.43	  10	   0	   1	-1	-1	-1	-1	
floats	 484.11	  59.20	  12.25	   2.45	   6	   0	   5	-1	-1	-1	-1	
flocks	 333.09	  43.40	  12.04	   2.41	   6	   5	  15	-1	-1	-1	-1	
floors	 814.76	  62.60	  13.96	   2.79	   6	   2	  10	-1	-1	-1	-1	
flotation	 987.95	 110.25	  21.24	   2.66	   9	   0	   1	-1	-1	-1	-1	
flotilla	 223.14	  41.57	  15.04	   2.15	   8	   0	   0	-1	-1	-1	-1	
flowerbeds	 111.66	  21.78	  10.56	   1.17	  10	   0	   0	-1	-1	-1	-1	
flue	 234.87	  14.00	   7.05	   2.35	   4	   6	  12	 561	-1	 400	-1	
fluke	 274.56	  25.25	   7.96	   1.99	   5	   2	   8	-1	-1	-1	-1	
flute	 796.67	  32.75	  11.03	   2.76	   5	   1	  13	-1	-1	 581	-1	
flutes	1337.11	 125.40	  13.08	   2.62	   6	   1	   6	-1	-1	-1	-1	
foals	 823.24	  43.25	  11.52	   2.88	   5	   5	  24	-1	-1	-1	-1	
foe	4179.33	   5.50	   5.44	   2.72	   3	  11	  27	 453	-1	 435	-1	
fogs	 504.12	  22.00	   7.32	   2.44	   4	  11	  12	-1	-1	-1	-1	
foliage	 529.48	  50.33	  15.55	   2.59	   7	   0	   0	-1	-1	-1	-1	
folio	 382.14	  21.25	   9.58	   2.39	   5	   1	   1	-1	-1	-1	-1	
follower	 598.20	  65.71	  18.36	   2.62	   8	   1	   1	-1	-1	-1	-1	
followers	 458.77	  72.88	  20.18	   2.52	   9	   0	   1	-1	-1	-1	-1	
font	1686.57	  25.33	   9.64	   3.21	   4	   4	   4	 547	-1	 497	-1	
foods	 895.03	  40.75	  11.28	   2.82	   5	   7	   8	-1	-1	-1	-1	
foolery	 904.71	 104.50	  16.93	   2.82	   7	   0	   0	-1	-1	-1	-1	
fools	 813.43	  44.75	  11.58	   2.89	   5	   7	  15	-1	-1	-1	-1	
footballer	 109.98	  32.67	  15.45	   1.72	  10	   0	   0	-1	 304	-1	 634	
foreboding	 484.78	 133.33	  18.21	   2.02	  10	   0	   0	-1	-1	-1	-1	
foreigner	 301.47	  58.38	  17.23	   2.15	   9	   0	   2	 447	-1	 516	-1	
foreigners	 183.37	  49.78	  18.32	   2.04	  10	   0	   2	-1	-1	-1	-1	
forerunner	 314.88	  51.00	  18.40	   2.04	  10	   0	   0	-1	-1	-1	-1	
forester	 879.95	 111.00	  19.91	   2.84	   8	   0	   1	-1	-1	-1	-1	
foresters	 470.83	  89.13	  21.08	   2.63	   9	   0	   1	-1	-1	-1	-1	
forestry	 489.00	  66.00	  18.59	   2.66	   8	   0	   0	-1	-1	-1	-1	
forgeries	 819.29	 130.25	  21.95	   2.74	   9	   0	   1	-1	-1	-1	-1	
forgery	1063.71	 105.33	  17.38	   2.90	   7	   0	   1	-1	-1	-1	-1	
fork	2377.90	  24.67	   9.82	   3.27	   4	   8	  20	 225	-1	 598	-1	
formation	1028.43	 124.50	  22.48	   2.81	   9	   0	   1	-1	-1	 409	-1	
formations	 300.21	  63.22	  21.15	   2.35	  10	   0	   1	-1	-1	-1	-1	
formula	 418.77	  36.33	  13.22	   2.20	   7	   0	   2	-1	-1	-1	-1	
formulae	 192.35	  36.00	  13.49	   1.93	   8	   1	   1	-1	-1	-1	-1	
formulas	 197.36	  37.00	  14.36	   2.05	   8	   1	   1	-1	-1	-1	-1	
fortitude	 376.79	  58.00	  19.45	   2.43	   9	   0	   0	-1	-1	-1	-1	
fortresses	 358.55	  75.44	  21.41	   2.38	  10	   0	   0	-1	-1	-1	-1	
forts	1426.60	  60.25	  12.49	   3.12	   5	   8	  17	-1	-1	-1	-1	
fount	3169.86	  39.50	  13.37	   3.34	   5	   3	   5	-1	-1	-1	-1	
fowls	 645.56	  36.75	  10.27	   2.57	   5	   6	  15	-1	-1	-1	-1	
fragrances	 328.15	  69.67	  20.16	   2.24	  10	   0	   0	-1	-1	-1	-1	
franc	 729.60	  38.00	   9.18	   2.30	   5	   1	   7	-1	-1	 426	-1	
franchises	 288.49	  63.33	  19.02	   2.11	  10	   0	   0	-1	-1	-1	-1	
francs	 446.22	  49.40	  12.51	   2.50	   6	   1	   6	-1	-1	-1	-1	
fraud	 456.04	  27.75	   8.64	   2.16	   5	   0	   9	 519	-1	 381	-1	
frauds	 338.00	  43.60	  11.45	   2.29	   6	   0	   3	-1	-1	-1	-1	
freight	 679.00	  30.33	  14.90	   2.48	   7	   0	  13	 542	-1	 465	-1	
frequency	 316.36	  43.00	  17.48	   2.19	   9	   0	   0	-1	 538	-1	 315	
fridge	 467.16	  41.80	  12.42	   2.48	   6	   2	   3	-1	-1	-1	-1	
frieze	 348.55	  32.00	  10.98	   2.20	   6	   1	  11	-1	-1	 315	-1	
fright	 647.58	  38.80	  13.87	   2.77	   6	   4	  13	 286	-1	 442	-1	
frill	1631.04	  41.25	  12.60	   3.15	   5	   3	   9	 383	-1	 497	-1	
frills	 615.92	  59.20	  13.76	   2.75	   6	   4	   5	-1	-1	-1	-1	
fringe	 878.35	  52.00	  14.53	   2.91	   6	   2	   3	 283	-1	 500	-1	
frogs	 632.25	  31.00	   9.07	   2.27	   5	   0	   3	-1	-1	-1	-1	
frond	1339.02	  37.00	  12.34	   3.09	   5	   1	   4	-1	-1	-1	-1	
fronds	 621.22	  47.20	  13.37	   2.67	   6	   1	   2	-1	-1	-1	-1	
fronts	 744.01	  64.80	  13.72	   2.74	   6	   2	   2	-1	-1	-1	-1	
frosts	 681.48	  62.20	  13.37	   2.67	   6	   2	   1	-1	-1	-1	-1	
fruit	 375.67	  19.50	   9.90	   2.47	   5	   0	   9	 219	-1	 587	-1	
fruition	 965.84	  90.43	  18.57	   2.65	   8	   0	   0	-1	-1	-1	-1	
fruits	 385.42	  55.00	  11.87	   2.37	   6	   1	   5	-1	-1	-1	-1	
fugitive	 587.52	  64.71	  16.61	   2.37	   8	   0	   1	-1	-1	-1	-1	
fugitives	 583.32	  66.25	  19.61	   2.45	   9	   0	   1	-1	-1	-1	-1	
fugue	 202.11	  11.50	   9.15	   2.29	   5	   0	   5	-1	-1	-1	-1	
fulfilment	 479.12	  37.22	  18.53	   2.06	  10	   0	   0	-1	-1	-1	-1	
fumes	1381.93	  73.75	  11.57	   2.89	   5	   2	   4	-1	-1	-1	-1	
funerals	 384.19	  57.57	  16.82	   2.40	   8	   0	   1	-1	-1	-1	-1	
fungicides	 282.94	  56.44	  17.66	   1.96	  10	   0	   0	-1	-1	-1	-1	
furnaces	 480.67	  92.29	  16.09	   2.30	   8	   0	   0	-1	-1	-1	-1	
furniture	 329.85	  35.13	  19.10	   2.39	   9	   0	   0	-1	 264	 588	-1	
furore	1259.81	  49.20	  14.99	   3.00	   6	   0	   0	-1	-1	-1	-1	
furs	 500.91	  17.67	   7.93	   2.64	   4	   4	  18	-1	-1	-1	-1	
futurist	 436.47	  70.43	  17.70	   2.53	   8	   1	   1	-1	-1	-1	-1	
fuzz	 141.73	   6.00	   4.72	   1.57	   4	   2	  15	-1	-1	-1	-1	
fuzziness	 223.73	  63.13	  13.07	   1.63	   9	   0	   0	-1	-1	-1	-1	
gadgetry	 191.03	  32.57	  14.49	   2.07	   8	   0	   0	-1	-1	-1	-1	
gaffe	  59.63	   9.75	   6.23	   1.56	   5	   0	   8	-1	-1	-1	-1	
gaiety	 394.07	  36.60	  12.63	   2.53	   6	   0	   1	-1	-1	 546	-1	
gait	1681.83	  25.00	   8.94	   2.98	   4	   4	  25	-1	-1	 377	-1	
gaits	 790.58	  56.75	  11.11	   2.78	   5	   4	  15	-1	-1	-1	-1	
gal	  64.71	   4.50	   2.83	   1.42	   3	   8	  19	-1	-1	-1	-1	
galaxies	 450.17	  96.86	  14.60	   2.09	   8	   0	   2	-1	-1	-1	-1	
gales	1203.77	  81.50	  11.23	   2.81	   5	  11	  24	-1	-1	-1	-1	
gallantry	 262.04	  49.00	  18.10	   2.26	   9	   1	   0	-1	-1	-1	-1	
galleries	 766.38	 126.50	  20.96	   2.62	   9	   0	   3	-1	-1	-1	-1	
gallery	1015.53	 118.67	  17.25	   2.88	   7	   0	   3	 442	-1	 566	-1	
gals	 827.20	  22.00	   7.35	   2.45	   4	   8	   9	-1	-1	-1	-1	
gap	 136.20	   9.00	   4.26	   2.13	   3	  16	  21	-1	-1	-1	-1	
gaps	 298.21	  21.00	   7.07	   2.36	   4	  10	  10	-1	-1	-1	-1	
garages	1063.15	 139.67	  16.60	   2.77	   7	   0	   0	-1	-1	-1	-1	
garb	 895.17	  29.33	   7.46	   2.49	   4	   1	   4	-1	-1	-1	-1	
gardening	1208.89	 223.75	  21.29	   2.66	   9	   1	   1	-1	-1	-1	-1	
garrisons	 332.94	  62.13	  18.40	   2.30	   9	   0	   1	-1	-1	-1	-1	
gasoline	1049.87	 178.86	  18.16	   2.59	   8	   0	   0	-1	-1	-1	-1	
gatherings	 177.97	  37.44	  17.25	   1.92	  10	   0	   1	-1	-1	-1	-1	
gears	2023.04	  51.00	  11.70	   2.92	   5	  11	  20	-1	-1	-1	-1	
geese	1733.91	  30.75	  11.32	   2.83	   5	   0	   5	 314	-1	 603	-1	
gelatine	1386.34	 191.43	  19.51	   2.79	   8	   0	   0	-1	-1	-1	-1	
gelignite	 469.31	  62.50	  20.41	   2.55	   9	   0	   0	-1	-1	-1	-1	
gels	1135.33	  13.67	   6.93	   2.31	   4	   4	  12	-1	-1	-1	-1	
gem	 590.08	   3.50	   3.71	   1.86	   3	   7	   8	-1	-1	 572	-1	
gems	 119.00	  11.00	   5.41	   1.80	   4	   4	   5	-1	-1	-1	-1	
genera	 474.77	  46.60	  11.86	   2.37	   6	   0	   2	-1	-1	-1	-1	
genes	1254.82	  79.50	  10.74	   2.69	   5	   2	   6	-1	-1	-1	-1	
genetics	 586.35	  67.29	  17.53	   2.50	   8	   0	   1	-1	-1	-1	-1	
genitals	 354.09	  46.86	  17.09	   2.44	   8	   0	   1	-1	-1	-1	-1	
gent	1231.11	  19.67	   8.62	   2.87	   4	  10	  13	-1	-1	-1	-1	
gentleman	 233.40	  28.38	  17.93	   2.24	   9	   1	   0	 347	-1	 559	-1	
gentleness	 186.48	  56.56	  19.78	   2.20	  10	   0	   0	-1	-1	-1	-1	
gents	 495.15	  48.50	   9.76	   2.44	   5	   7	   9	-1	-1	-1	-1	
geranium	 333.05	  51.86	  15.35	   2.19	   8	   0	   1	-1	-1	-1	-1	
geraniums	 224.60	  31.25	  13.97	   1.75	   9	   0	   1	-1	-1	-1	-1	
gestation	1137.32	 126.63	  23.51	   2.94	   9	   0	   0	-1	-1	-1	-1	
getaway	 461.89	  27.83	  13.73	   2.29	   7	   0	   0	-1	-1	-1	-1	
ghosts	 748.52	  47.60	  12.35	   2.47	   6	   0	  10	-1	-1	-1	-1	
gift	 853.66	  10.00	   8.78	   2.93	   4	   5	   8	 255	-1	 547	-1	
gifts	 505.41	  39.25	  10.15	   2.54	   5	   2	   4	-1	-1	-1	-1	
gills	 718.72	  47.50	  11.37	   2.84	   5	  10	  21	-1	-1	-1	-1	
gilt	1475.29	  22.67	   9.16	   3.05	   4	   9	  11	 521	-1	 263	-1	
gins	1224.14	  32.00	   8.78	   2.93	   4	   7	  14	-1	-1	-1	-1	
girth	1322.29	  24.00	  12.36	   3.09	   5	   3	   9	-1	-1	-1	-1	
gist	2655.75	  21.67	   9.66	   3.22	   4	   6	   8	-1	-1	 262	-1	
gland	1200.64	  37.75	  11.84	   2.96	   5	   3	   6	-1	-1	-1	-1	
glands	 570.09	  48.80	  13.38	   2.68	   6	   1	   3	-1	-1	-1	-1	
glee	 170.69	   9.33	   6.44	   2.15	   4	   3	   8	-1	 471	-1	 428	
glint	1859.72	  42.25	  11.80	   2.95	   5	   1	   3	-1	-1	-1	-1	
glints	 656.27	  61.20	  13.36	   2.67	   6	   1	   2	-1	-1	-1	-1	
globe	 466.79	  22.75	   9.12	   2.28	   5	   1	   7	 364	-1	 583	-1	
globes	 878.94	  90.80	  12.56	   2.51	   6	   1	   3	-1	-1	-1	-1	
gloom	 614.39	  29.25	   9.98	   2.50	   5	   2	   9	 453	 417	 416	-1	
glossary	 270.22	  41.29	  15.97	   2.28	   8	   0	   0	-1	-1	-1	-1	
glove	 768.68	  30.00	  11.07	   2.77	   5	   3	   5	 228	-1	 596	-1	
glues	 999.05	  71.50	   9.79	   2.45	   5	   3	  10	-1	-1	-1	-1	
gluttony	 142.99	  36.43	  13.97	   2.00	   8	   0	   0	-1	-1	-1	-1	
glycerine	 862.78	 151.50	  17.08	   2.13	   9	   0	   0	-1	-1	-1	-1	
gnome	 198.43	  10.25	   7.27	   1.82	   5	   0	  18	-1	-1	-1	-1	
gnomes	 906.51	  85.60	  11.33	   2.27	   6	   0	  11	-1	-1	-1	-1	
goal	 921.90	  20.00	   8.74	   2.91	   4	   4	  26	 294	-1	 556	-1	
goalkeeper	  85.93	  17.11	  12.84	   1.43	  10	   0	   0	-1	-1	-1	-1	
goals	 816.07	  40.50	  11.51	   2.88	   5	   4	  19	-1	-1	-1	-1	
goats	 781.01	  52.75	  11.43	   2.86	   5	   6	  11	-1	-1	-1	-1	
goddesses	 532.18	  79.88	  18.03	   2.25	   9	   0	   0	-1	-1	-1	-1	
godmother	 115.02	  30.38	  13.74	   1.72	   9	   0	   0	-1	 383	-1	 499	
golf	1137.41	  19.00	   8.98	   2.99	   4	   3	   1	 325	 463	 621	 537	
gongs	 519.37	  28.50	  10.47	   2.62	   5	   4	   8	-1	-1	-1	-1	
goods	 887.85	  38.00	  11.27	   2.82	   5	   5	   8	-1	-1	-1	-1	
gooseberry	 137.39	  21.44	  16.05	   1.78	  10	   0	   0	-1	-1	-1	-1	
gorge	1187.48	  33.25	  11.95	   2.99	   5	   3	   8	-1	 535	-1	 401	
gorilla	 532.83	  41.33	  14.28	   2.38	   7	   0	   1	-1	 383	-1	-1	
gorillas	 193.43	  43.29	  14.65	   2.09	   8	   0	   2	-1	-1	-1	-1	
gorse	2313.97	  36.50	  13.20	   3.30	   5	   5	  10	-1	-1	-1	-1	
gossamer	 549.44	  45.86	  16.52	   2.36	   8	   0	   0	-1	-1	-1	-1	
gourds	 757.20	  37.60	  13.09	   2.62	   6	   0	   6	-1	-1	-1	-1	
governors	 409.00	  67.25	  19.29	   2.41	   9	   0	   1	-1	-1	-1	-1	
gown	1544.82	  14.33	   9.57	   3.19	   4	   4	   9	-1	 410	 578	 580	
gowns	 598.92	  30.25	  10.44	   2.61	   5	   2	   6	-1	-1	-1	-1	
gradation	 995.45	 114.38	  21.40	   2.67	   9	   0	   1	-1	-1	-1	-1	
gradations	 290.70	  60.67	  19.73	   2.19	  10	   0	   1	-1	-1	-1	-1	
grades	1178.96	 131.20	  14.63	   2.93	   6	   8	  10	-1	-1	-1	-1	
graduates	 695.03	 113.13	  20.88	   2.61	   9	   1	   0	-1	-1	-1	-1	
graffiti	 279.22	  48.00	  13.52	   1.93	   8	   0	   0	-1	 598	-1	 455	
grain	1349.25	  44.25	  12.51	   3.13	   5	   5	  20	 376	-1	 478	-1	
grains	1249.88	  99.20	  14.16	   2.83	   6	   4	  16	-1	-1	-1	-1	
gram	 222.88	  19.33	   6.98	   2.33	   4	   7	  12	-1	-1	-1	-1	
gramophone	 117.29	  29.89	  16.32	   1.81	  10	   0	   0	-1	-1	-1	-1	
grams	 961.15	  47.25	  11.50	   2.88	   5	   4	   7	-1	-1	-1	-1	
gran	 938.15	  20.00	   8.18	   2.73	   4	   4	   9	-1	-1	-1	-1	
granary	 690.57	  73.50	  16.33	   2.72	   7	   0	   2	-1	-1	-1	-1	
grands	 645.84	  61.80	  14.00	   2.80	   6	   4	   6	-1	-1	-1	-1	
grape	 764.32	  39.75	  10.45	   2.61	   5	   8	  15	 297	-1	 591	-1	
grapes	1014.86	 122.60	  13.98	   2.80	   6	   9	   9	-1	-1	-1	-1	
graphs	 344.64	  42.80	  11.17	   2.23	   6	   1	   4	-1	-1	-1	-1	
gravity	 644.45	  62.50	  16.68	   2.78	   7	   0	   0	-1	-1	 388	-1	
greaves	1084.63	 128.17	  16.67	   2.78	   7	   0	   7	-1	-1	-1	-1	
greenery	 647.39	 106.57	  19.23	   2.75	   8	   0	   1	-1	-1	-1	-1	
grid	1176.60	  14.67	   8.16	   2.72	   4	   5	   9	-1	-1	-1	-1	
grids	1248.49	  49.50	  11.85	   2.96	   5	   3	   4	-1	-1	-1	-1	
grief	1005.76	  38.00	  11.46	   2.86	   5	   1	   6	 450	-1	 480	-1	
griefs	 408.72	  36.40	  11.12	   2.22	   6	   1	   5	-1	-1	-1	-1	
grievances	 305.86	  60.22	  20.09	   2.23	  10	   0	   0	-1	-1	-1	-1	
grille	1423.59	  80.80	  14.98	   3.00	   6	   1	  14	-1	-1	-1	-1	
grilles	1119.78	 166.17	  17.37	   2.89	   7	   1	  10	-1	-1	-1	-1	
grime	 905.22	  36.25	  11.05	   2.76	   5	   3	   6	-1	-1	-1	-1	
groceries	 849.54	 127.88	  22.14	   2.77	   9	   0	   1	-1	-1	-1	-1	
grocery	1180.65	 108.00	  17.72	   2.95	   7	   1	   1	-1	-1	-1	-1	
groin	1203.79	  35.00	  11.56	   2.89	   5	   3	   4	-1	-1	 516	-1	
groove	 560.87	  41.60	  12.65	   2.53	   6	   1	   9	-1	-1	-1	-1	
grooves	1109.06	 127.00	  16.22	   2.70	   7	   1	   7	-1	-1	-1	-1	
grouse	1350.75	  48.60	  14.90	   2.98	   6	   1	   4	-1	-1	-1	-1	
growth	 659.03	  37.80	  13.48	   2.70	   6	   0	   7	 378	-1	 426	-1	
growths	 541.42	  43.33	  12.24	   2.04	   7	   0	   3	-1	-1	-1	-1	
grubs	 612.46	  26.25	  10.26	   2.57	   5	   1	   5	-1	-1	-1	-1	
grunts	 594.85	  59.80	  13.41	   2.68	   6	   1	   3	-1	-1	-1	-1	
guarantor	 223.28	  43.00	  17.93	   2.24	   9	   0	   1	-1	-1	-1	-1	
guarantors	 167.24	  45.56	  19.08	   2.12	  10	   0	   2	-1	-1	-1	-1	
guerrilla	 233.72	  31.75	  15.87	   1.98	   9	   0	   1	-1	-1	-1	-1	
guerrillas	 147.40	  18.67	  16.47	   1.83	  10	   0	   2	-1	-1	-1	-1	
guides	 962.72	 105.20	  13.06	   2.61	   6	   3	  11	-1	-1	-1	-1	
guilds	 301.19	  32.20	  11.82	   2.36	   6	   1	   3	-1	-1	-1	-1	
guile	1414.74	  31.00	  12.06	   3.02	   5	   4	  20	-1	-1	-1	-1	
guilt	1049.78	  25.25	  11.35	   2.84	   5	   4	  11	 433	 469	 250	-1	
guise	1474.24	  30.00	  11.56	   2.89	   5	   2	  19	-1	-1	-1	-1	
gulfs	 124.28	  16.00	   6.12	   1.53	   5	   2	   2	-1	-1	-1	-1	
gulls	 554.00	  48.00	  10.62	   2.66	   5	   8	  13	-1	-1	-1	-1	
gums	 140.26	  15.00	   6.35	   2.12	   4	   8	  12	-1	-1	-1	-1	
gunfire	 327.62	  34.67	  13.60	   2.27	   7	   0	   0	-1	-1	-1	-1	
gunnery	 796.01	  95.83	  15.89	   2.65	   7	   2	   1	-1	-1	-1	-1	
gunpowder	 165.40	  34.50	  13.87	   1.73	   9	   0	   0	-1	-1	-1	-1	
gust	2975.49	  24.67	   9.17	   3.06	   4	   9	  13	-1	-1	 456	-1	
gusts	 488.86	  55.25	  10.36	   2.59	   5	   5	   7	-1	-1	-1	-1	
guts	 294.61	  23.00	   7.02	   2.34	   4	  10	  12	-1	-1	-1	-1	
guttering	1321.26	 241.13	  21.67	   2.71	   9	   2	   3	-1	-1	-1	-1	
gym	   4.08	   1.00	   1.22	   0.61	   3	   2	  10	-1	-1	 613	-1	
gymnasium	 112.00	  24.63	  11.54	   1.44	   9	   0	   0	-1	-1	-1	-1	
gymnastics	 342.08	  57.22	  13.21	   1.47	  10	   0	   1	-1	-1	 562	-1	
habitat	 192.45	  28.50	  12.71	   2.12	   7	   0	   1	-1	-1	-1	-1	
habitats	 494.82	  67.14	  17.41	   2.49	   8	   0	   1	-1	-1	-1	-1	
hairs	 758.03	  36.75	  11.25	   2.81	   5	   4	  24	-1	-1	-1	-1	
hake	4050.65	  21.33	  10.66	   3.55	   4	  15	  22	-1	-1	-1	-1	
halibut	 368.16	  39.67	  13.39	   2.23	   7	   0	   0	-1	-1	-1	-1	
halls	 742.17	  53.75	  11.45	   2.86	   5	   9	  21	-1	-1	-1	-1	
hamburgers	 128.08	  31.67	  15.19	   1.69	  10	   0	   1	-1	-1	-1	-1	
hams	2866.14	  24.00	   9.44	   3.15	   4	   9	  15	-1	-1	-1	-1	
handicap	 305.18	  49.00	  16.21	   2.32	   8	   0	   1	-1	-1	-1	-1	
handicaps	 210.03	  38.13	  17.46	   2.18	   9	   0	   1	-1	-1	-1	-1	
handicraft	 161.21	  31.44	  17.41	   1.93	  10	   0	   0	-1	-1	-1	-1	
handiwork	 206.88	  40.00	  15.84	   1.98	   9	   0	   0	-1	-1	-1	-1	
handlebar	 151.81	  28.88	  13.11	   1.64	   9	   0	   1	-1	-1	-1	-1	
handlebars	 151.04	  37.78	  15.72	   1.75	  10	   0	   1	-1	-1	-1	-1	
hangover	 637.08	  66.86	  17.29	   2.47	   8	   0	   1	-1	-1	-1	-1	
hangovers	 300.83	  60.13	  18.09	   2.26	   9	   0	   1	-1	-1	-1	-1	
happenings	 126.38	  31.11	  17.92	   1.99	  10	   0	   0	-1	-1	-1	-1	
harassment	 526.33	  48.44	  20.96	   2.33	  10	   0	   0	-1	-1	-1	-1	
hares	1802.58	  94.25	  12.68	   3.17	   5	  12	  24	-1	-1	-1	-1	
harlequin	 102.61	  31.75	  11.94	   1.49	   9	   0	   1	-1	-1	-1	-1	
harlequins	 363.83	  84.56	  19.66	   2.18	  10	   0	   1	-1	-1	-1	-1	
harmonics	 267.84	  56.88	  18.05	   2.26	   9	   2	   1	-1	-1	-1	-1	
harmonies	 615.49	 106.25	  20.26	   2.53	   9	   1	   2	-1	-1	-1	-1	
harnesses	 584.85	  99.25	  20.30	   2.54	   9	   1	   1	-1	-1	-1	-1	
harp	2813.71	  31.67	   8.13	   2.71	   4	   7	  18	-1	-1	 621	-1	
harvester	 489.64	  91.25	  19.88	   2.48	   9	   1	   1	-1	-1	-1	-1	
