ITEM   	  CELEX  	 BF_TK 	 BF_TP 	 LEN_L 	   N   	
chloroform	   0.39	  75.29	  21.22	  10	   0	
chok	   0.00	 716.53	  11.00	   4	   3	
cholera	   2.12	 836.49	  89.83	   7	   0	
chon	   0.00	 497.59	  11.67	   4	   3	
chord	   2.35	1221.56	  31.75	   5	   2	
chrome	   2.51	 742.30	  33.80	   6	   0	
chromium	   1.51	 258.38	  32.71	   8	   0	
chromosome	   0.50	  67.93	  18.44	  10	   0	
chronicler	   0.39	 132.16	  35.11	  10	   2	
chrysalis	   0.73	 123.18	  20.13	   9	   0	
chun	   0.00	 123.59	   8.67	   4	   5	
cicada	   0.00	 205.64	  17.40	   6	   0	
cicerone	   0.00	 425.13	  55.71	   8	   0	
cigarette	  49.27	 197.15	  36.00	   9	   0	
cinnamon	   2.63	 297.03	  32.29	   8	   0	
cinque	   0.00	 281.78	  25.00	   6	   0	
circuitry	   0.73	 161.54	  27.63	   9	   0	
citadel	   3.52	 381.57	  37.67	   7	   0	
citation	   0.67	 951.37	  88.57	   8	   0	
clarinet	   2.01	 522.52	  76.71	   8	   0	
clarion	   0.34	 926.42	  82.33	   7	   0	
clarity	  10.84	 850.55	  81.67	   7	   2	
classicist	   0.00	 123.72	  34.00	  10	   1	
clavichord	   0.00	 141.30	  29.44	  10	   0	
clavicle	   0.00	 333.16	  45.86	   8	   0	
cleat	   1.23	1173.91	  32.00	   5	   6	
clef	   0.00	  88.02	  10.00	   4	   1	
clergyman	   4.25	 142.85	  26.63	   9	   1	
cleverness	   2.01	 225.26	  50.89	  10	   0	
clientele	   2.35	 347.44	  50.13	   9	   0	
clinician	   0.00	 202.52	  37.88	   9	   0	
clique	   2.18	 200.50	  25.40	   6	   0	
clitoris	   1.62	 179.53	  37.29	   8	   0	
cloth	  45.25	1170.05	  39.75	   5	   2	
cloudiness	   0.00	  88.85	  44.44	  10	   0	
clumsiness	   1.45	 136.17	  44.89	  10	   0	
coauthor	   0.00	 361.07	  44.57	   8	   0	
cockiness	   0.00	 522.04	  96.88	   9	   0	
coconut	   2.23	 701.54	  46.67	   7	   0	
coelacanth	   0.56	 324.76	  54.33	  10	   0	
coercion	   1.73	 847.79	  79.00	   8	   0	
cofounder	   0.00	 479.70	  66.38	   9	   0	
cognition	   0.34	1167.26	 121.63	   9	   0	
cognizance	   0.34	 454.18	  53.89	  10	   0	
coherence	   2.68	 709.54	  88.13	   9	   0	
cohesion	   3.30	 803.07	  78.00	   8	   0	
coif	   0.00	 596.37	  16.00	   4	   2	
coke	   5.70	1886.31	  22.00	   4	  12	
coleus	   0.00	 708.93	  43.20	   6	   0	
collagen	   0.00	 613.54	  75.86	   8	   1	
collection	  41.01	1172.02	 149.00	  10	   0	
collector	   6.93	 586.40	  70.00	   9	   0	
collegian	   0.00	 500.90	  65.50	   9	   0	
collision	   4.53	1050.63	 112.75	   9	   1	
colloquy	   0.34	 433.33	  56.14	   8	   0	
collusion	   1.28	1030.13	 104.13	   9	   1	
colonist	   0.00	 612.33	  89.14	   8	   0	
colony	   8.66	 837.40	  47.40	   6	   0	
colorfast	   0.00	 530.46	  59.25	   9	   0	
colossus	   1.34	 445.55	  56.29	   8	   0	
columnist	   2.18	 624.75	  74.13	   9	   0	
combustion	   4.75	1138.60	 138.22	  10	   0	
comforter	   1.62	 866.57	  97.38	   9	   1	
commandant	   2.68	 547.02	  65.22	  10	   0	
commando	   1.62	 482.53	  54.00	   8	   1	
commitment	  35.64	 838.14	  76.56	  10	   0	
committal	   1.34	 885.43	  70.50	   9	   0	
committee	 115.87	 995.71	  91.38	   9	   1	
commodore	   0.73	 742.33	  65.00	   9	   0	
commotion	   3.24	1377.20	 128.25	   9	   0	
communion	   7.04	1233.10	 100.25	   9	   0	
commuter	   1.96	 916.53	 102.57	   8	   2	
comp	   0.00	1738.68	  23.00	   4	   7	
compactor	   0.00	 703.90	  67.00	   9	   0	
compagnie	   0.00	 587.52	  51.75	   9	   0	
companion	  20.56	1209.43	 108.00	   9	   0	
compassion	   8.72	1065.54	 111.22	  10	   0	
competence	   7.54	 675.18	  79.22	  10	   0	
compiler	   0.00	 843.94	  97.86	   8	   1	
complainer	   0.00	 484.02	  71.78	  10	   1	
completion	   6.54	1191.89	 146.44	  10	   1	
complexion	   6.82	 897.86	  99.44	  10	   1	
compliance	   2.63	 654.65	  77.78	  10	   0	
component	  13.85	1078.41	  98.00	   9	   0	
composer	   7.26	 893.55	  89.14	   8	   2	
composure	   3.30	 721.66	  61.75	   9	   0	
compressor	   0.73	 429.78	  60.22	  10	   0	
compulsion	   5.81	 987.36	 106.44	  10	   0	
conception	  16.93	1170.66	 147.22	  10	   0	
concession	   4.86	1168.15	 126.22	  10	   2	
concierge	   1.45	 555.14	  67.88	   9	   0	
conclusion	  38.21	1019.13	 110.00	  10	   0	
concoction	   1.28	1205.17	 151.56	  10	   0	
concussion	   1.73	1094.96	 118.33	  10	   1	
condenser	   0.00	 722.39	  96.88	   9	   1	
condiment	   0.45	 983.90	  92.63	   9	   0	
condolence	   0.50	 669.54	  80.67	  10	   0	
conduction	   0.00	1235.71	 152.33	  10	   0	
conductor	   6.93	 597.97	  68.88	   9	   0	
confection	   0.56	1270.60	 157.00	  10	   2	
conference	  72.51	 796.87	  89.56	  10	   0	
confession	   9.44	1171.73	 123.78	  10	   1	
confetti	   1.17	 433.21	  57.29	   8	   0	
confidant	   1.56	 838.29	  78.88	   9	   1	
confidante	   0.00	 515.50	  74.44	  10	   1	
confidence	  62.96	 732.36	  80.78	  10	   0	
confluence	   0.73	 682.46	  76.67	  10	   0	
conformist	   1.45	 432.76	  67.67	  10	   0	
congestion	   3.69	1245.92	 154.11	  10	   0	
conjuror	   0.00	 510.39	  62.14	   8	   0	
connector	   0.00	 584.57	  67.88	   9	   0	
conniption	   0.00	1131.84	 142.56	  10	   0	
connivance	   1.12	 581.51	  71.78	  10	   0	
conqueror	   1.79	 500.93	  65.00	   9	   0	
consensus	  14.08	 631.45	  79.88	   9	   0	
constancy	   0.89	 654.87	  80.88	   9	   0	
consultant	   7.93	 619.55	  71.67	  10	   0	
consumer	  24.97	 784.96	  86.29	   8	   2	
contagion	   1.34	1030.84	 101.63	   9	   0	
container	   7.82	 818.56	  95.75	   9	   1	
contender	   1.73	 736.54	 102.13	   9	   1	
contention	   4.08	1206.45	 162.33	  10	   1	
contestant	   0.00	 741.57	  86.67	  10	   0	
continent	  21.62	1108.78	 115.50	   9	   0	
contortion	   0.00	1188.46	 152.33	  10	   0	
contractor	   2.46	 464.62	  76.00	  10	   0	
contrition	   0.95	1257.48	 162.22	  10	   0	
controller	   2.74	 460.20	  75.44	  10	   1	
contusion	   0.00	1083.12	 109.00	   9	   1	
convection	   0.67	1277.34	 159.56	  10	   4	
conversion	  14.80	1149.37	 125.89	  10	   0	
converter	   1.17	 907.87	 120.25	   9	   1	
conveyance	   0.50	 625.44	  74.89	  10	   0	
conveyor	   2.40	 449.38	  58.29	   8	   0	
conviction	  24.69	1270.72	 157.33	  10	   1	
convulsion	   1.34	 996.01	 110.44	  10	   0	
copier	   0.00	2011.06	 121.40	   6	   4	
copycat	   0.00	 504.37	  41.33	   7	   0	
copyright	   1.40	 364.67	  46.38	   9	   0	
core	  16.93	4759.61	  38.00	   4	  21	
cormorant	   0.34	 758.05	  90.25	   9	   0	
cornea	   0.00	1029.91	  61.00	   6	   2	
cornerback	   0.00	 337.05	  53.22	  10	   0	
cornflower	   0.00	 259.18	  47.33	  10	   0	
coronet	   0.78	1039.05	  80.83	   7	   1	
corp	   0.00	2135.99	  26.33	   4	   6	
corpse	  10.39	 905.91	  50.60	   6	   0	
corr	   0.00	2143.33	  26.00	   4	   4	
correction	   4.13	1193.11	 155.89	  10	   0	
corrente	   0.00	 820.56	  90.57	   8	   0	
corridor	  28.10	 544.04	  69.86	   8	   0	
corrosion	   1.06	 940.89	 110.00	   9	   0	
corruption	  12.85	1039.02	 136.33	  10	   0	
cortisol	   0.00	 456.75	  66.71	   8	   0	
corundum	   0.00	 403.88	  55.29	   8	   0	
cosponsor	   0.00	 419.42	  53.63	   9	   0	
costumer	   0.00	 845.24	  87.57	   8	   2	
cot	  10.73	3284.65	  11.50	   3	  24	
coterie	   0.89	 882.39	  62.17	   7	   0	
councilors	   0.00	 387.37	  64.89	  10	   0	
counseling	   0.00	 786.31	 165.44	  10	   0	
counsellor	   1.84	 354.72	  49.11	  10	   0	
countryman	   2.63	 279.83	  43.11	  10	   1	
coupe	   0.67	2786.55	  33.25	   5	   1	
courtesy	  10.34	 624.72	  89.43	   8	   0	
coverage	  10.95	 724.84	  80.43	   8	   0	
coverall	   0.00	 650.45	  78.71	   8	   0	
coverups	   0.00	 545.39	  65.00	   8	   0	
cowardice	   2.40	 494.82	  59.63	   9	   0	
cowl	   0.00	1069.28	  19.67	   4	   8	
coworker	   0.00	 677.12	  71.57	   8	   0	
coworkers	   0.00	 561.07	  75.88	   9	   0	
cranium	   2.85	 579.47	  67.67	   7	   1	
creamery	   0.00	 621.05	  91.29	   8	   0	
creation	  34.19	1191.43	 118.57	   8	   0	
creator	   4.36	 555.31	  59.50	   7	   0	
credenza	   0.00	 545.21	  53.14	   8	   0	
creditor	   1.23	 315.67	  49.71	   8	   0	
cremation	   1.06	1045.02	 117.25	   9	   0	
crepe	   1.40	 687.12	  30.75	   5	   1	
cress	   0.95	1272.36	  34.00	   5	   8	
crockery	   3.02	 577.90	  84.86	   8	   0	
crook	   8.16	 805.10	  38.75	   5	   3	
croup	   1.17	1424.30	  35.50	   5	   1	
crum	   0.00	  44.21	   7.33	   4	   4	
crumb	   1.01	 309.68	  25.00	   5	   0	
crusader	   2.23	 515.53	  62.57	   8	   1	
crutch	   2.79	 221.93	  32.80	   6	   3	
crux	   1.84	  36.87	   5.33	   4	   0	
crypt	   1.40	 178.91	  16.75	   5	   1	
cubbyhole	   0.34	 146.91	  24.25	   9	   0	
cube	   4.69	  60.35	  10.33	   4	   4	
cubism	   1.68	 208.61	  27.40	   6	   1	
cucumber	   3.02	 472.34	  37.00	   8	   0	
cuff	   3.80	  46.22	  10.67	   4	   6	
cuidado	   0.00	 194.53	  22.00	   7	   0	
cult	   8.99	 418.82	  19.67	   4	   4	
cunt	   2.07	 820.72	  24.00	   4	   8	
curator	   1.40	 417.48	  50.17	   7	   0	
curd	   2.63	 615.18	  20.00	   4	   7	
curio	   0.00	 146.20	  19.00	   5	   0	
curmudgeon	   0.00	 290.50	  34.11	  10	   0	
currency	  13.13	 548.95	  47.57	   8	   0	
curvature	   1.73	 342.41	  41.88	   9	   0	
cusp	   0.00	 899.54	  16.00	   4	   1	
custody	   7.65	 554.30	  46.17	   7	   0	
cutaway	   0.00	 247.99	  30.83	   7	   0	
cuticle	   0.34	 495.59	  51.33	   7	   1	
cutlery	   3.24	 846.41	  97.50	   7	   0	
cuttlefish	   0.00	  85.33	  24.56	  10	   0	
cyclist	   0.73	 620.59	  60.00	   7	   0	
cyclotron	   0.45	 329.16	  34.63	   9	   0	
cylinder	   5.47	 697.42	  64.86	   8	   0	
cyst	   0.00	2085.36	  12.33	   4	   2	
czar	   1.12	 487.69	   8.33	   4	   1	
dace	   2.12	1790.16	  20.00	   4	  11	
daffodil	   0.50	  59.75	  11.29	   8	   0	
dain	   0.00	1896.74	  25.67	   4	  11	
dais	   4.92	3237.60	  20.00	   4	   4	
dal	   0.00	 407.20	   3.00	   3	   6	
damnation	   1.62	 917.68	 102.00	   9	   0	
dane	   0.00	1764.56	  33.33	   4	  18	
dase	   0.00	1468.61	  25.00	   4	  12	
dashiki	   0.00	 301.63	  27.83	   7	   0	
database	   0.00	 316.07	  33.14	   8	   0	
datura	   0.00	 758.58	  29.00	   6	   0	
daze	   2.23	 361.38	  12.67	   4	  10	
deaconess	   0.00	 358.87	  88.75	   9	   0	
deadliness	   0.00	 205.80	  63.22	  10	   0	
dealership	   0.00	 299.67	  44.11	  10	   0	
dearth	   0.89	 977.77	  60.40	   6	   1	
debacle	   1.62	 392.74	  47.33	   7	   0	
debasement	   0.73	 587.25	  49.33	  10	   0	
debater	   0.00	1332.79	 128.33	   7	   2	
debenture	   0.00	 469.53	  50.25	   9	   0	
debutante	   0.39	 333.15	  56.50	   9	   0	
decadence	   1.90	 487.30	  64.13	   9	   0	
decathlete	   0.00	 191.94	  39.11	  10	   0	
decathlon	   0.00	 613.80	  55.25	   9	   0	
deception	   7.88	1095.02	 114.88	   9	   1	
decibel	   0.56	 707.37	  42.50	   7	   0	
decider	   0.00	1458.06	 103.67	   7	   2	
decision	  98.49	 904.50	  82.86	   8	   1	
declarant	   0.00	 657.97	  74.38	   9	   0	
decorum	   2.12	 679.57	  42.33	   7	   0	
deduction	   5.59	1019.88	 112.75	   9	   2	
deed	   5.14	2629.33	  32.67	   4	  13	
defeatist	   0.45	 732.77	 106.63	   9	   1	
defection	   2.57	1095.45	 119.50	   9	   2	
defector	   1.34	 381.29	  47.86	   8	   1	
defendant	   4.92	 648.51	  71.88	   9	   1	
defender	   5.92	 772.12	  87.57	   8	   1	
deference	   4.02	 591.79	  84.63	   9	   1	
deferment	   0.00	 818.81	  88.63	   9	   0	
deficit	  10.73	 438.11	  39.17	   7	   0	
deflation	   1.62	1086.93	 123.75	   9	   1	
deflection	   1.51	1017.02	 130.89	  10	   1	
deflector	   0.00	 339.38	  49.00	   9	   1	
deity	   2.57	 903.20	  33.25	   5	   0	
deletion	   0.00	1098.91	 103.57	   8	   0	
delusion	   3.46	 796.37	  72.43	   8	   0	
demagogue	   0.50	 185.51	  29.75	   9	   0	
demerit	   0.00	 631.07	  48.50	   7	   0	
democrat	   6.54	 280.06	  37.29	   8	   0	
demotion	   0.50	1033.72	  99.14	   8	   1	
demurring	   0.00	1253.85	 226.00	   9	   0	
denial	   8.27	 805.27	  58.60	   6	   3	
denizen	   0.00	 657.68	  51.50	   7	   0	
denouement	   0.61	 599.97	  58.78	  10	   0	
density	  12.01	 890.53	  75.00	   7	   1	
dentistry	   1.68	 490.65	  65.38	   9	   0	
dentition	   0.00	1199.48	 130.00	   9	   0	
department	 110.78	 674.84	  56.44	  10	   1	
dependence	  12.79	 561.52	  64.33	  10	   1	
depiction	   1.06	1062.64	 117.63	   9	   0	
depletion	   2.35	1030.16	 117.75	   9	   0	
deployment	   5.14	 609.06	  56.33	  10	   0	
deportment	   0.50	 660.93	  59.00	  10	   1	
depressant	   0.00	 579.09	  64.67	  10	   0	
depressive	   1.96	 577.21	  71.78	  10	   1	
depth	  26.37	 589.54	  20.50	   5	   1	
derailment	   0.00	 563.22	  58.89	  10	   0	
derision	   2.18	 863.08	  91.14	   8	   1	
descendant	   2.23	 422.11	  58.44	  10	   0	
descendent	   0.00	 531.99	  65.11	  10	   1	
deserter	   1.62	1022.83	 122.00	   8	   1	
desertion	   2.12	1230.51	 140.88	   9	   0	
desiccate	   0.00	 409.24	  69.13	   9	   0	
designee	   0.00	 546.04	  60.00	   8	   2	
designer	  11.73	 833.55	  82.14	   8	   1	
desk	  82.29	 843.21	  15.67	   4	   3	
detachment	   6.82	 551.42	  53.22	  10	   0	
detailer	   0.00	 643.40	  85.57	   8	   2	
detection	   4.80	1181.46	 126.13	   9	   3	
detector	   0.84	 472.88	  52.57	   8	   1	
detention	   6.09	1230.47	 131.50	   9	   2	
detergent	   5.08	 836.12	  89.38	   9	   1	
deterrence	   6.65	 664.26	  71.56	  10	   0	
deterrent	  12.07	 892.05	  94.13	   9	   1	
detriment	   1.79	 707.20	  79.00	   9	   0	
detritus	   1.01	 318.44	  50.00	   8	   0	
deviance	   7.32	 541.35	  59.29	   8	   2	
devotee	   0.73	 710.83	  74.83	   7	   1	
devotion	   8.83	 982.38	  98.29	   8	   1	
dewberry	   0.00	 352.48	  53.57	   8	   0	
dhole	   0.00	1172.83	  21.50	   5	   1	
diadem	   0.00	 468.46	  44.00	   6	   0	
dialect	   3.80	 512.50	  44.17	   7	   0	
dialog	   0.00	 312.65	  20.20	   6	   0	
dialogue	  15.75	 231.74	  32.86	   8	   0	
diaphragm	   6.37	 235.80	  32.63	   9	   0	
dice	   2.18	 719.68	  17.67	   4	  11	
dichromate	   0.00	 183.63	  37.56	  10	   0	
dicier	   0.00	1794.44	 107.40	   6	   0	
dictaphone	   0.00	 178.36	  34.44	  10	   0	
dictation	   1.79	1130.39	 123.50	   9	   0	
dictator	   3.07	 350.62	  50.14	   8	   0	
diffusion	   2.23	 903.58	  76.50	   9	   0	
digestion	   4.36	1044.82	 119.38	   9	   0	
dignity	  25.08	 649.79	  56.17	   7	   1	
digression	   1.28	 946.21	 103.33	  10	   0	
dike	   0.00	2092.30	  15.33	   4	  11	
dilation	   0.50	1061.76	 103.43	   8	   1	
dilemma	  13.18	 266.66	  27.50	   7	   0	
diligence	   1.34	 514.36	  64.38	   9	   0	
dilution	   0.34	 978.57	  93.43	   8	   1	
dimension	  10.28	1020.03	  89.13	   9	   0	
dinnertime	   0.73	 481.21	  79.67	  10	   0	
dinnerware	   0.00	 220.78	  36.56	  10	   0	
dinosaur	   1.68	 253.21	  36.43	   8	   0	
dint	   0.67	1633.97	  32.33	   4	   9	
diocese	   1.68	 746.02	  52.33	   7	   0	
dioxide	   9.05	 276.71	  25.00	   7	   0	
dioxin	   0.00	 200.42	  16.20	   6	   0	
diploma	   4.02	 222.01	  31.67	   7	   0	
diplomat	   3.80	 262.33	  33.86	   8	   1	
direction	  96.76	1169.59	 121.25	   9	   0	
directive	   2.01	 835.10	  97.88	   9	   0	
directness	   2.01	 213.27	  57.00	  10	   0	
dirge	   0.34	 794.01	  27.75	   5	   0	
disarray	   2.51	 332.19	  43.43	   8	   0	
disbarment	   0.00	 596.83	  62.44	  10	   0	
disbelief	   6.48	 442.06	  73.75	   9	   0	
disc	   6.87	 401.23	  13.00	   4	   2	
discipline	  32.23	 449.99	 105.89	  10	   0	
disclaimer	   0.34	 247.15	  48.89	  10	   1	
disclosure	   2.96	 220.80	  36.78	  10	   0	
discomfort	   9.83	 211.23	  40.56	  10	   0	
discontent	   6.65	 595.14	  70.56	  10	   0	
discretion	   8.77	1015.19	 131.44	  10	   0	
discussion	  61.23	 922.01	 101.89	  10	   0	
disfavor	   0.00	 263.51	  35.00	   8	   0	
dishonor	   0.00	 411.58	  43.00	   8	   0	
dishwasher	   1.84	 218.20	  46.33	  10	   0	
disinvite	   0.00	 465.58	  71.25	   9	   0	
disk	   0.89	 483.39	  16.67	   4	   7	
dismissal	   7.82	 523.61	  60.50	   9	   0	
disorder	   9.78	 779.28	  81.43	   8	   0	
dispersal	   2.35	 603.06	  74.25	   9	   0	
dispersion	   0.78	 927.04	 109.44	  10	   0	
disposal	  16.65	 620.65	  56.71	   8	   0	
disposer	   0.00	 733.02	  74.86	   8	   2	
disrepair	   0.50	 340.45	  43.88	   9	   0	
disrepute	   1.12	 406.23	  57.00	   9	   0	
disruption	   4.75	 933.71	 124.33	  10	   0	
dissection	   0.67	1058.93	 142.22	  10	   0	
dissension	   1.51	 841.03	 104.44	  10	   1	
dissenter	   1.40	 684.02	 107.63	   9	   0	
dissonance	   0.34	 453.11	  64.56	  10	   0	
distillate	   0.00	 309.80	  65.89	  10	   0	
distiller	   0.00	 498.74	  86.88	   9	   1	
distortion	   4.25	1010.10	 138.78	  10	   0	
divergence	   1.96	 635.55	  63.78	  10	   0	
diversion	   4.47	 926.11	 105.50	   9	   0	
dividend	   5.31	 350.11	  48.29	   8	   0	
divider	   0.00	 971.49	  91.83	   7	   2	
divorcee	   0.67	 347.01	  43.71	   8	   2	
dizziness	   1.17	 370.91	  78.75	   9	   0	
doberman	   0.00	 293.13	  43.29	   8	   0	
dockworker	   0.00	  53.17	  18.11	  10	   0	
doctorate	   1.01	 278.80	  55.38	   9	   0	
doer	   0.00	1734.77	  15.33	   4	   4	
doggerel	   0.45	 560.64	  63.43	   8	   0	
doke	   0.00	2210.48	  17.00	   4	  13	
dolomite	   0.00	 452.67	  60.86	   8	   0	
dominance	   7.93	 522.79	  54.38	   9	   0	
domineer	   0.00	 703.13	  75.14	   8	   0	
dominion	   2.63	 822.17	  71.57	   8	   0	
donation	   1.01	1065.55	 103.00	   8	   0	
donnybrook	   0.00	 149.66	  24.22	  10	   0	
doomsayer	   0.00	 110.29	  26.75	   9	   0	
doomsayers	   0.00	 148.35	  27.89	  10	   0	
door	 329.11	2587.59	  26.67	   4	   5	
doorkeeper	   0.00	  52.25	  18.67	  10	   0	
dormancy	   0.00	 391.24	  46.43	   8	   0	
dose	   6.82	1947.66	  21.33	   4	  12	
dosh	   0.00	1752.73	  23.33	   4	   8	
doubletree	   0.00	 134.90	  22.78	  10	   0	
dough	  10.28	2340.21	  27.00	   5	   4	
dower	   0.00	2294.70	  54.25	   5	   6	
downriver	   0.00	 159.57	  33.25	   9	   0	
dram	   0.61	 200.43	  18.33	   4	   9	
dramatics	   0.95	 550.88	  83.88	   9	   0	
dramatist	   1.06	 630.64	  96.25	   9	   0	
drapery	   1.17	 886.47	 105.67	   7	   0	
draught	   6.65	 739.92	  36.00	   7	   2	
drawer	  15.20	1605.16	 113.00	   6	   1	
dray	   0.00	 559.65	  16.67	   4	   9	
dressier	   0.00	 777.53	  88.43	   8	   0	
dressmaker	   0.61	  94.00	  26.89	  10	   0	
drogue	   0.00	 414.49	  29.80	   6	   0	
dross	   0.73	1242.55	  36.00	   5	   4	
drought	   5.20	1180.73	  41.00	   7	   3	
drowsiness	   0.50	 170.44	  54.00	  10	   0	
drudgery	   1.96	 329.35	  58.86	   8	   0	
druze	   0.00	 336.92	  19.50	   5	   0	
duelist	   0.00	 632.62	  64.67	   7	   0	
dulcimer	   0.00	 364.49	  42.29	   8	   0	
dung	   6.20	 613.10	  26.00	   4	   7	
duration	   7.49	 993.52	  95.86	   8	   0	
dusk	  14.97	1030.48	  20.00	   4	   8	
dwarfism	   0.00	 138.90	  36.00	   8	   1	
dweeb	   0.00	 294.84	  13.50	   5	   0	
dynamo	   1.01	  88.52	   8.40	   6	   0	
dynasty	   2.96	 294.04	  23.33	   7	   0	
dysplasia	   0.00	 112.65	  18.13	   9	   0	
dyspnea	   0.00	 196.67	  19.50	   7	   0	
dystrophy	   0.00	 126.48	  21.88	   9	   0	
eagerness	   4.69	 314.77	  77.88	   9	   0	
ear	  41.96	 721.29	   6.00	   3	  11	
eau	   0.00	  88.61	   1.00	   3	   2	
ecstasy	   5.53	 405.76	  33.67	   7	   0	
eczema	   2.12	  34.51	   4.60	   6	   0	
edelweiss	   0.00	 141.21	  31.13	   9	   0	
edema	   0.00	 151.06	   5.50	   5	   1	
edginess	   0.00	 492.90	  75.86	   8	   0	
edition	   8.77	 840.88	  62.17	   7	   0	
eel	   4.41	   4.66	   1.50	   3	   1	
effigy	   2.57	 304.76	  10.80	   6	   0	
effluent	   1.45	 332.26	  35.71	   8	   1	
egotist	   0.00	 815.15	  70.17	   7	   1	
ejection	   0.34	 886.80	  76.00	   8	   2	
elation	   1.73	 954.10	  82.17	   7	   0	
election	  71.40	 995.53	  84.86	   8	   3	
electron	   6.03	 449.06	  37.29	   8	   1	
elegance	   8.99	 467.33	  34.14	   8	   0	
elegy	   0.78	 197.01	  14.75	   5	   0	
element	  43.24	 578.35	  44.33	   7	   1	
embankment	   4.41	 464.26	  36.89	  10	   0	
embargo	   2.01	 148.71	  15.33	   7	   0	
embassy	  20.50	  81.68	  12.00	   7	   0	
embolden	   0.00	 362.19	  37.14	   8	   0	
embryo	   2.79	  31.16	   6.60	   6	   0	
emergence	  11.90	 371.44	  47.25	   9	   1	
eminence	   2.68	 620.92	  48.86	   8	   0	
emission	   1.40	 602.24	  51.71	   8	   1	
emitter	   0.00	1206.60	 114.67	   7	   1	
emotion	  28.44	 959.18	  65.50	   7	   0	
empathy	   1.12	 204.26	  27.67	   7	   0	
emphasis	  40.34	 139.16	  19.71	   8	   1	
employment	  54.02	 549.62	  45.00	  10	   0	
empt	   0.00	  74.88	   2.33	   4	   1	
emptiness	   5.08	 384.71	  82.63	   9	   0	
emulsion	   1.62	 554.34	  46.14	   8	   0	
enactment	   0.73	 590.70	  54.88	   9	   0	
enamel	   4.19	 468.04	  37.60	   6	   0	
encampment	   1.06	 499.50	  43.67	  10	   0	
enchanter	   0.00	 492.46	  81.38	   9	   1	
enclosure	   5.53	 287.81	  34.63	   9	   0	
encryption	   0.00	 884.26	 107.22	  10	   0	
ende	   0.00	 595.17	   8.33	   4	   1	
endorphin	   0.00	 143.50	  25.38	   9	   0	
endoscope	   0.00	  68.32	  20.38	   9	   0	
endowment	   3.07	 540.84	  50.75	   9	   0	
endurance	   5.98	 370.12	  55.88	   9	   0	
enema	   0.45	 198.18	   9.75	   5	   1	
energy	 197.37	 405.48	  16.40	   6	   0	
enforcer	   0.00	 560.43	  58.14	   8	   1	
engagement	   9.83	 521.59	  43.22	  10	   0	
englishman	   0.00	  78.53	  19.11	  10	   0	
engraver	   0.39	 561.05	  54.00	   8	   1	
enhancer	   0.00	 530.15	  56.29	   8	   2	
enigma	   2.40	 373.41	  16.20	   6	   0	
enjoyment	  11.51	 531.04	  45.75	   9	   0	
enlarger	   0.00	 495.33	  55.57	   8	   2	
enmity	   1.73	 533.69	  34.20	   6	   1	
ennui	   0.84	  87.14	   6.50	   5	   0	
enquiry	   0.00	 347.25	  30.33	   7	   1	
enrichment	   2.12	 506.14	  47.44	  10	   0	
ensemble	   1.68	 598.07	  48.00	   8	   0	
entendre	   0.00	 486.97	  48.86	   8	   0	
enticement	   0.00	 582.26	  54.89	  10	   0	
entity	   6.82	 615.66	  43.20	   6	   1	
entombment	   0.00	 528.51	  47.11	  10	   0	
entourage	   2.85	 267.72	  43.88	   9	   1	
entrapment	   0.61	 547.53	  52.67	  10	   0	
entreaty	   0.00	 402.57	  50.43	   8	   0	
entryway	   0.00	 229.88	  26.57	   8	   0	
envelope	  18.77	 234.94	  34.57	   8	   0	
environs	   1.17	 343.12	  51.57	   8	   0	
epicure	   0.00	 407.05	  30.83	   7	   0	
epilogue	   1.79	 214.70	  17.71	   8	   0	
episode	  13.91	 231.80	  23.17	   7	   0	
epistle	   0.50	 329.80	  47.00	   7	   0	
epitaph	   1.96	 353.22	  21.17	   7	   0	
equation	   5.81	 905.45	  83.43	   8	   0	
equator	   3.69	 227.16	  26.00	   7	   0	
equipment	  75.53	 545.28	  42.25	   9	   0	
equity	   8.16	 245.91	  28.80	   6	   0	
eraser	   0.00	1820.61	 132.00	   6	   1	
erection	   2.91	1047.05	  97.00	   8	   2	
erector	   0.00	 339.11	  31.17	   7	   1	
erosion	   9.16	 901.13	  62.83	   7	   0	
eruption	   2.57	 809.36	  74.43	   8	   0	
escapee	   0.39	 378.71	  26.33	   7	   2	
escarpment	   0.73	 512.17	  38.11	  10	   0	
espresso	   0.45	  81.80	  12.14	   8	   0	
ethanol	   0.00	 152.06	  12.50	   7	   0	
ethylene	   0.00	 247.70	  31.86	   8	   0	
etiquette	   4.13	 121.82	  25.13	   9	   0	
eucharist	   0.00	 319.84	  60.38	   9	   0	
eugenics	   0.00	 324.70	  38.14	   8	   0	
eulogy	   0.73	 116.60	  14.40	   6	   0	
euphony	   0.00	 358.89	  19.83	   7	   0	
evader	   0.00	1699.20	 112.20	   6	   2	
evasion	   3.07	 651.26	  47.67	   7	   0	
eviction	   1.01	 931.50	  76.71	   8	   0	
evidence	 151.06	 700.81	  38.57	   8	   0	
ewe	   1.23	  11.62	   2.00	   3	   5	
exaction	   0.00	1028.03	  88.57	   8	   0	
exception	  25.70	1012.96	 101.50	   9	   0	
exchanger	   0.00	 306.06	  49.50	   9	   2	
exchequer	   5.42	 254.18	  36.63	   9	   0	
excision	   0.00	 768.63	  63.71	   8	   0	
exclusion	   6.87	 777.36	  73.75	   9	   0	
