ITEM   	  CELEX  	 BF_TK 	 BF_TP 	 LEN_L 	   N   	
ambition	  13.80	 945.00	  82.29	   8	   0	
ambulance	   7.65	 287.82	  43.00	   9	   0	
amendment	   6.20	 536.12	  44.88	   9	   0	
amicus	   0.00	 166.77	  17.40	   6	   0	
amino	   3.24	1452.46	  25.25	   5	   0	
ammeter	   0.00	1131.60	 104.00	   7	   0	
ammonia	   2.96	  90.05	  15.83	   7	   0	
amnesia	   0.84	 143.46	  14.00	   7	   0	
amnesty	   2.85	 323.52	  25.33	   7	   0	
amp	   0.39	   0.89	   1.50	   3	   1	
amperage	   0.00	 483.25	  54.86	   8	   0	
ampersand	   0.00	 379.28	  52.88	   9	   0	
amphora	   0.00	 320.78	  25.50	   7	   0	
amplitude	   1.40	 299.41	  39.50	   9	   0	
amputee	   0.00	 512.36	  57.00	   7	   0	
amulet	   0.56	 621.34	  55.20	   6	   0	
amusement	  10.00	 601.50	  52.75	   9	   0	
anagram	   0.00	 436.36	  19.67	   7	   0	
analyst	   4.02	 508.82	  33.33	   7	   1	
anarchist	   7.37	 322.18	  50.25	   9	   1	
anarchy	   4.13	 411.56	  30.33	   7	   0	
ancestor	   5.81	 379.19	  41.43	   8	   0	
ancestry	   2.63	 454.70	  44.71	   8	   0	
anchorage	   1.06	 277.05	  39.38	   9	   0	
anchovy	   0.78	 386.18	  16.83	   7	   0	
andiron	   0.00	 492.03	  30.50	   7	   0	
anecdote	   2.40	 256.35	  30.43	   8	   0	
anemone	   0.34	 508.41	  34.83	   7	   0	
angelfish	   0.00	 165.62	  33.00	   9	   0	
anglophile	   0.00	 151.77	  27.22	  10	   0	
angora	   0.45	 537.26	  19.80	   6	   0	
angst	   0.50	 615.58	  13.00	   5	   0	
anhydride	   0.00	 188.87	  40.50	   9	   0	
animus	   0.00	 331.09	  19.00	   6	   0	
anisette	   0.00	 283.59	  38.43	   8	   0	
ankh	   0.00	   9.76	   2.67	   4	   0	
anklebone	   0.00	 180.20	  31.25	   9	   0	
annoyance	   5.92	 261.91	  38.63	   9	   0	
annulment	   0.00	 551.73	  47.50	   9	   0	
anteater	   0.00	 948.79	  96.00	   8	   0	
antelope	   3.80	 357.56	  34.71	   8	   0	
antenna	   3.13	 473.24	  27.00	   7	   0	
anthracite	   0.00	 220.12	  46.33	  10	   0	
anticline	   0.00	 723.93	 142.25	   9	   0	
antidote	   1.90	 453.19	  44.00	   8	   0	
antigen	   0.00	 691.38	  41.17	   7	   0	
anytime	   0.00	 645.61	  45.17	   7	   0	
apartheid	  12.74	 215.78	  22.25	   9	   0	
apartment	  44.08	 593.42	  52.63	   9	   0	
apathy	   4.19	 228.73	  22.40	   6	   0	
apatite	   0.00	 669.20	  69.17	   7	   0	
aperture	   0.95	 338.70	  38.57	   8	   0	
aphasia	   0.45	  81.06	  10.83	   7	   0	
apnea	   0.00	 258.52	  14.50	   5	   0	
apogee	   0.34	 302.59	  31.40	   6	   0	
apostate	   0.34	 371.43	  50.86	   8	   0	
apparel	   0.73	 380.00	  34.33	   7	   0	
appearance	  56.93	 445.69	  46.33	  10	   0	
appendage	   0.73	 283.07	  35.75	   9	   0	
appendix	   6.59	 364.26	  34.14	   8	   0	
appetite	  19.16	 862.88	  87.29	   8	   0	
appliance	   1.73	 320.41	  48.13	   9	   0	
applicant	   2.96	 492.27	  53.13	   9	   0	
appointee	   0.00	 470.74	  62.75	   9	   1	
appraisal	   2.68	 330.71	  37.88	   9	   0	
appraiser	   0.00	 342.02	  52.25	   9	   1	
apprentice	   3.46	 589.93	  88.44	  10	   0	
approval	  28.27	 502.55	  35.86	   8	   0	
aptitude	   2.35	 386.71	  35.71	   8	   2	
aqualung	   0.00	 791.12	 129.14	   8	   0	
aquifer	   0.00	 657.13	  60.67	   7	   0	
arbitrage	   0.00	 228.52	  27.25	   9	   0	
arcanum	   0.00	 414.82	  23.00	   7	   0	
archery	   0.45	 710.61	  80.00	   7	   1	
architrave	   0.00	 159.69	  24.33	  10	   0	
archivist	   0.61	 192.19	  34.13	   9	   0	
arcturus	   0.00	 242.44	  31.71	   8	   0	
area	 201.28	 586.77	   9.67	   4	   1	
argonaut	   0.00	 123.58	  16.71	   8	   0	
argument	  88.49	 413.43	  40.00	   8	   0	
aria	   1.23	 228.75	   9.33	   4	   2	
armada	   0.95	 266.93	  16.20	   6	   0	
aroma	   3.02	 555.72	  24.50	   5	   0	
arousal	   0.00	 983.38	  53.17	   7	   0	
arrival	  36.65	 598.83	  35.17	   7	   0	
arrogance	   5.75	 242.02	  38.88	   9	   0	
arrowroot	   0.00	  83.20	  18.75	   9	   0	
arse	   2.68	 569.79	   9.67	   4	   1	
arsenic	   0.73	 339.68	  30.83	   7	   0	
artery	   2.57	 562.18	  48.60	   6	   0	
arthritis	   3.24	 137.65	  28.25	   9	   1	
arthropod	   0.00	  78.18	  13.25	   9	   0	
article	  40.95	 418.61	  40.83	   7	   0	
artisan	   1.12	 198.43	  24.33	   7	   0	
artistry	   1.01	 489.70	  49.29	   8	   0	
asbestos	   7.43	 175.79	  27.86	   8	   0	
ascendant	   0.56	 541.46	  54.00	   9	   0	
asp	   0.00	 136.17	   1.50	   3	   4	
aspersion	   0.00	 754.13	  87.88	   9	   0	
assailant	   0.89	 395.88	  45.13	   9	   0	
assassin	   4.47	 139.74	  20.57	   8	   0	
assemblage	   1.45	  90.88	  17.11	  10	   0	
assembly	  25.70	 709.65	  56.29	   8	   1	
assertion	   6.93	1061.24	 118.50	   9	   0	
assessment	  20.11	 523.63	  43.44	  10	   0	
assessor	   0.61	 177.56	  31.57	   8	   0	
assignment	   7.71	 555.35	  41.78	  10	   0	
assistance	  22.68	 413.94	  47.44	  10	   0	
assortment	   2.40	 572.59	  45.56	  10	   0	
assumption	  25.47	 848.82	 105.67	  10	   0	
assurance	  14.80	 365.96	  48.75	   9	   0	
asterisk	   0.00	 531.05	  69.57	   8	   0	
astrodome	   0.00	 110.60	  27.75	   9	   0	
astuteness	   0.00	 156.20	  50.33	  10	   0	
atheism	   0.56	 126.36	  21.50	   7	   1	
atheneum	   0.00	 247.95	  39.71	   8	   0	
athletics	   5.25	 451.72	  61.50	   9	   0	
atm	   0.00	  20.42	   0.50	   3	   3	
atmosphere	  53.07	 171.04	  20.56	  10	   0	
atonement	   1.51	 594.46	  50.13	   9	   0	
atrium	   0.00	 469.05	  27.40	   6	   0	
atrophy	   0.67	 267.94	  15.67	   7	   0	
attache	   3.18	 121.37	  12.67	   7	   0	
attachment	   8.27	 493.16	  39.00	  10	   0	
attainment	   7.21	 553.10	  42.33	  10	   0	
attendance	  12.63	 389.74	  46.67	  10	   0	
attendee	   0.00	 486.66	  48.00	   8	   1	
attention	 132.35	1156.91	 112.00	   9	   0	
attraction	  12.85	 944.84	 117.89	  10	   0	
attrition	   1.62	1010.80	 108.88	   9	   0	
auditor	   0.84	 139.76	  21.50	   7	   0	
aunt	  30.22	 796.97	  19.67	   4	   4	
aureole	   0.39	 568.67	  48.17	   7	   0	
authorship	   0.89	 135.15	  22.56	  10	   0	
autobahn	   0.73	  54.15	  18.29	   8	   0	
autoclave	   0.00	 152.20	  27.38	   9	   0	
autocrat	   0.73	  87.58	  20.71	   8	   0	
autoimmune	   0.00	  43.19	  12.44	  10	   0	
autopsy	   1.34	 109.92	  15.17	   7	   0	
avalanche	   1.84	 166.57	  23.50	   9	   0	
avatar	   0.50	 170.46	  19.80	   6	   0	
avenue	  23.13	 208.81	  15.20	   6	   1	
aversion	   2.51	 675.95	  60.71	   8	   0	
avoidance	   4.19	 246.54	  32.75	   9	   0	
awareness	  24.19	 358.90	  79.00	   9	   0	
awfulness	   0.73	 159.28	  54.25	   9	   0	
axiom	   1.28	  91.89	   5.75	   5	   0	
ayes	   0.00	 629.94	  12.00	   4	   7	
azalea	   0.00	 495.10	  37.20	   6	   0	
babushka	   0.00	 126.18	  23.86	   8	   0	
babyhood	   0.89	  59.75	  21.71	   8	   0	
baccarat	   0.00	 171.39	  29.86	   8	   0	
bacillus	   0.78	 210.48	  40.71	   8	   0	
backgammon	   0.67	 313.84	  34.44	  10	   0	
backpacker	   0.00	  78.30	  22.22	  10	   0	
backpedals	   0.00	  46.31	  12.89	  10	   0	
backwater	   1.34	 393.90	  82.75	   9	   0	
badminton	   2.51	 447.77	  56.00	   9	   0	
baedeker	   0.00	 470.68	  46.00	   8	   0	
bagpiper	   0.00	 367.65	  41.14	   8	   1	
baile	   0.00	1342.06	  42.00	   5	   1	
bailiwick	   0.00	 143.17	  30.38	   9	   0	
balancer	   0.00	 540.34	  66.00	   8	   2	
balcony	  10.84	 370.61	  45.33	   7	   0	
balloonist	   0.00	 125.88	  36.22	  10	   0	
balloting	   0.56	1365.85	 243.13	   9	   0	
ballplayer	   0.00	  73.24	  25.89	  10	   0	
ballyhoo	   0.00	 127.89	  30.14	   8	   0	
bandana	   0.00	 375.07	  56.67	   7	   0	
bandicoot	   0.00	 214.05	  38.13	   9	   0	
banditry	   0.00	 326.83	  54.43	   8	   0	
bandleader	   0.00	 128.15	  35.67	  10	   0	
bandolier	   0.00	 360.06	  77.63	   9	   0	
bandwagon	   0.89	 364.84	  47.88	   9	   0	
banishment	   0.67	 509.29	  47.11	  10	   0	
bankruptcy	   3.97	  55.83	  14.78	  10	   0	
baptism	   2.23	 590.28	  70.33	   7	   0	
bargainer	   0.00	 346.17	  64.75	   9	   1	
baritone	   1.06	 444.64	  74.57	   8	   0	
barium	   0.00	 673.35	  61.60	   6	   0	
barnacle	   0.00	 297.92	  54.71	   8	   0	
baronet	   0.56	 725.26	  73.67	   7	   1	
barrier	  18.77	1500.40	 147.17	   7	   2	
barrister	   3.85	 488.51	  95.13	   9	   0	
batt	   0.00	 944.57	  20.67	   4	   5	
battalion	   6.76	 697.60	  89.63	   9	   0	
battlement	   0.00	 521.05	  49.00	  10	   0	
battleship	   0.95	 133.02	  29.00	  10	   0	
baud	   0.00	 686.83	  13.67	   4	   4	
bawd	   0.00	 718.94	  15.67	   4	   4	
beak	   4.86	2583.57	  30.67	   4	  11	
beast	  16.65	2230.73	  49.50	   5	   5	
beautician	   0.00	 159.37	  28.56	  10	   0	
bedchamber	   0.00	  60.83	  19.89	  10	   0	
bedfellow	   0.00	 185.47	  20.75	   9	   0	
bedridden	   0.34	 211.25	  36.63	   9	   0	
beekeeper	   0.00	 150.50	  25.25	   9	   0	
beekeeping	   0.00	 427.84	 115.00	  10	   0	
beet	   2.23	3188.72	  27.00	   4	  11	
beginner	   2.96	 646.86	  66.29	   8	   0	
begonia	   0.00	 566.73	  25.83	   7	   0	
behaviour	  80.84	 292.62	  31.25	   9	   0	
behemoth	   0.34	 185.28	  19.43	   8	   0	
beholder	   1.23	 548.27	  55.71	   8	   1	
belabor	   0.00	 724.00	  36.17	   7	   0	
believer	   4.92	 827.00	  64.00	   8	   2	
bellyache	   0.00	 181.39	  25.50	   9	   0	
bemusement	   0.00	 566.13	  41.56	  10	   0	
bench	  19.27	1893.63	  40.50	   5	   5	
bere	   0.00	5842.51	  28.00	   4	   7	
berliner	   0.00	 836.39	  91.43	   8	   0	
bestseller	   0.00	 210.72	  39.11	  10	   0	
betrayal	   7.49	 400.53	  44.29	   8	   0	
betterment	   0.34	 589.15	  58.56	  10	   0	
beverage	   0.95	 526.06	  63.57	   8	   1	
bier	   0.67	 894.89	  15.00	   4	   3	
bikini	   1.96	1076.04	  56.00	   6	   0	
biomass	   0.00	 256.90	  25.00	   7	   0	
biopsy	   0.34	 364.46	  15.00	   6	   0	
biosphere	   1.84	 256.22	  34.38	   9	   0	
birth	  58.77	1218.23	  26.00	   5	   5	
bisque	   0.00	 234.84	  22.40	   6	   0	
bitchiness	   0.34	 106.91	  43.56	  10	   0	
bitterness	   9.72	 203.55	  51.33	  10	   0	
bitumen	   0.34	 526.89	  37.00	   7	   0	
biz	   0.50	 290.14	   3.50	   3	   5	
blackberry	   1.45	  89.91	  23.78	  10	   0	
blan	   0.00	1052.84	  17.33	   4	   6	
blasphemy	   2.74	 104.18	  23.50	   9	   1	
blob	   1.68	 151.44	  12.00	   4	   4	
blog	   0.00	 152.00	  13.00	   4	   7	
bloke	   6.42	 792.12	  32.50	   5	   1	
blouse	   8.72	1091.18	  36.60	   6	   0	
bluebonnet	   0.00	  61.44	  16.89	  10	   0	
blurb	   0.39	 341.37	  23.00	   5	   1	
boar	   2.01	1259.72	  26.33	   4	   5	
boche	   0.00	 251.80	  19.00	   5	   0	
boer	   0.00	1463.94	  18.00	   4	   4	
bog	   5.59	 238.92	   8.50	   3	  19	
bogeyman	   0.00	 165.97	  19.29	   8	   1	
bolero	   0.00	 617.94	  49.20	   6	   0	
bom	   0.00	 235.00	   6.00	   3	  13	
bombardier	   0.00	 185.64	  38.89	  10	   0	
bonfire	   3.69	 424.72	  45.33	   7	   0	
bookkeeper	   1.40	  43.38	  18.44	  10	   0	
bookmobile	   0.00	  90.90	  21.11	  10	   0	
bookseller	   1.40	 141.24	  26.11	  10	   0	
boolean	   0.00	 331.78	  48.67	   7	   0	
boor	   0.34	2316.77	  29.33	   4	   9	
borderline	   1.84	 388.86	  99.22	  10	   0	
borrower	   1.23	 561.84	  63.71	   8	   1	
borsch	   0.39	 548.32	  42.00	   6	   0	
botanist	   1.34	 354.66	  66.29	   8	   0	
botany	   2.35	 468.35	  37.20	   6	   0	
bottleneck	   0.34	 108.83	  31.78	  10	   0	
bough	   1.17	2329.03	  31.50	   5	   4	
bouillon	   0.34	 370.33	  45.43	   8	   0	
bounciness	   0.00	 160.62	  52.78	  10	   0	
boundary	   7.88	 371.35	  51.86	   8	   0	
bourn	   0.00	2375.85	  33.25	   5	   1	
bout	   5.92	1397.05	  21.00	   4	   8	
bove	   0.00	3039.92	  20.00	   4	  11	
bra	   4.92	  16.54	   1.50	   3	   3	
bracero	   0.00	 789.11	  99.50	   7	   0	
brach	   0.00	2001.57	  53.25	   5	   3	
bran	   2.51	 846.73	  19.00	   4	   7	
brank	   0.00	1222.04	  47.50	   5	   7	
brasserie	   0.73	 152.22	  35.13	   9	   0	
brat	   1.84	5272.69	  20.00	   4	   8	
bravado	   1.68	 375.30	  44.00	   7	   0	
bravery	   2.29	 891.02	 109.33	   7	   1	
breadth	   4.41	 472.52	  45.33	   7	   0	
brevity	   1.56	 682.57	  54.67	   7	   0	
brewery	   1.84	1043.99	  98.00	   7	   1	
bribery	   3.13	 957.13	  98.17	   7	   0	
bricklayer	   0.89	  76.14	  25.78	  10	   0	
brig	   0.00	  64.21	  10.00	   4	   3	
brigadier	   4.02	 333.06	  56.88	   9	   0	
brine	   2.23	2087.46	  52.75	   5	   6	
brit	   0.00	 178.70	  15.67	   4	   5	
bronchitis	   2.07	 125.11	  27.33	  10	   0	
brooch	   1.84	 574.73	  44.80	   6	   1	
broom	   6.48	 867.40	  36.25	   5	   4	
broth	   1.79	1192.77	  41.00	   5	   2	
brouhaha	   0.00	 351.01	  32.86	   8	   0	
brow	  10.28	2152.35	  13.33	   4	   5	
brute	   5.08	 964.28	  29.25	   5	   0	
buddhism	   0.00	 328.30	  38.00	   8	   0	
bugaboo	   0.00	  86.60	  23.17	   7	   0	
bulb	   6.48	 280.71	  15.67	   4	   2	
bulldozer	   0.78	 141.93	  34.50	   9	   1	
bulletin	   3.97	 239.28	  40.71	   8	   0	
bund	   0.00	1044.58	  25.33	   4	   8	
bungalow	   5.98	 222.48	  26.43	   8	   0	
buoyancy	   1.34	 295.12	  23.43	   8	   0	
bureaucrat	   0.56	  66.10	  16.56	  10	   0	
burglary	   2.29	 331.62	  47.14	   8	   1	
burial	   9.11	 946.25	  62.20	   6	   0	
burrower	   0.00	 586.41	  56.43	   8	   2	
burse	   0.00	1637.48	  36.25	   5	   5	
butchery	   0.95	 469.95	  74.00	   8	   1	
butterfat	   0.00	 274.41	  46.38	   9	   0	
buttonhole	   0.73	 134.94	  30.11	  10	   0	
byproduct	   0.50	  69.06	  16.00	   9	   0	
bystander	   0.84	 305.49	  54.88	   9	   0	
byte	   0.00	 270.56	   9.33	   4	   2	
cab	   9.94	1234.16	   6.50	   3	  13	
cabaret	   2.01	 466.61	  52.50	   7	   0	
cad	   0.67	4532.21	   9.50	   3	  19	
cadmium	   2.51	 223.15	  37.00	   7	   0	
caesarean	   0.00	 197.12	  32.88	   9	   0	
cairn	   1.17	 437.59	  33.00	   5	   0	
cal	   0.00	1224.22	   5.00	   3	  11	
calcium	   6.48	 355.19	  43.50	   7	   0	
calculus	   2.68	 169.65	  35.43	   8	   0	
calendar	   7.37	 314.24	  47.71	   8	   0	
caliber	   0.00	 970.94	  95.83	   7	   0	
calles	   0.00	1709.92	 150.00	   6	   5	
calorie	   1.62	 337.53	  41.17	   7	   0	
camcorder	   0.00	 210.93	  45.75	   9	   0	
campaigner	   1.79	 161.75	  34.33	  10	   1	
campfire	   1.01	 261.98	  37.43	   8	   0	
canaanite	   0.00	 409.54	  68.13	   9	   0	
candidate	  26.93	 317.28	  60.75	   9	   0	
canister	   0.89	 889.33	 110.43	   8	   1	
cannabis	   0.67	 225.31	  40.29	   8	   0	
cannery	   1.06	 925.90	 117.67	   7	   1	
cannibal	   1.23	 506.04	  53.29	   8	   0	
cannister	   0.00	 456.41	  80.13	   9	   0	
canoeing	   0.45	1652.12	 266.43	   8	   0	
canola	   0.00	 576.33	  46.80	   6	   0	
canopy	   4.58	 585.01	  46.80	   6	   0	
capsaicin	   0.00	 183.21	  22.25	   9	   0	
caravan	   7.32	 525.35	  64.33	   7	   0	
caravel	   0.00	 664.63	  70.17	   7	   1	
carbonate	   0.00	 254.22	  65.50	   9	   0	
caretaker	   2.29	 379.61	  60.25	   9	   0	
caribou	   0.78	 595.67	  60.67	   7	   0	
carillon	   0.45	 472.45	  71.00	   8	   0	
carjacker	   0.00	 164.74	  44.88	   9	   0	
carjackers	   0.00	 180.83	  39.33	  10	   0	
carmaker	   0.00	 541.40	  70.57	   8	   0	
carnation	   1.01	 989.73	 123.63	   9	   0	
carnauba	   0.00	 185.76	  39.86	   8	   0	
carnivore	   0.67	 266.06	  48.88	   9	   0	
carotene	   0.00	 423.94	  71.57	   8	   0	
carpentry	   1.45	 338.37	  65.25	   9	   0	
carrier	   6.76	1572.65	 151.50	   7	   4	
carrion	   1.23	1065.91	  95.17	   7	   0	
carrozza	   0.00	 285.49	  46.57	   8	   0	
cartilage	   1.23	 309.24	  58.25	   9	   0	
cartoonist	   0.95	 179.97	  42.22	  10	   0	
caseloads	   0.00	 174.35	  36.38	   9	   0	
caseworker	   0.34	  79.27	  26.56	  10	   0	
cask	   0.84	1549.69	  24.00	   4	   6	
casserole	   4.13	 372.24	  62.50	   9	   0	
caste	   4.92	 898.88	  41.50	   5	   6	
castration	   2.01	1032.99	 149.22	  10	   0	
casuals	   0.00	 396.45	  52.33	   7	   0	
catacomb	   0.00	 277.97	  37.57	   8	   0	
catalog	   0.00	 435.78	  43.17	   7	   0	
catalyst	   1.68	 329.35	  49.43	   8	   0	
catamount	   0.00	 339.86	  42.75	   9	   0	
catapult	   0.00	 235.60	  31.29	   8	   0	
caterer	   0.50	1358.98	 121.67	   7	   1	
catharsis	   0.89	 157.31	  34.25	   9	   0	
cathedral	  15.47	 263.93	  37.50	   9	   0	
causation	   1.01	 951.32	 110.25	   9	   0	
cavalcade	   0.95	  92.01	  27.13	   9	   0	
cavalry	   6.48	 474.50	  43.17	   7	   0	
cavity	   2.85	 856.11	  53.00	   6	   0	
ceasefire	   0.00	 274.78	  33.25	   9	   0	
celebrant	   0.00	 507.78	  51.63	   9	   0	
celebre	   0.00	 466.21	  28.33	   7	   0	
celery	   2.68	 558.12	  51.80	   6	   0	
cell	  36.31	3165.54	  24.67	   4	  10	
celluloid	   1.62	 212.73	  30.00	   9	   0	
celt	   0.00	1386.60	  16.33	   4	   9	
censorship	   5.20	 185.79	  27.67	  10	   0	
cent	 280.39	1292.30	  18.00	   4	  11	
centigram	   0.00	 254.32	  32.13	   9	   0	
centrifuge	   0.73	 132.90	  26.89	  10	   0	
century	 182.12	 968.66	  54.33	   7	   0	
cereal	  11.56	 875.72	  45.60	   6	   0	
certainty	  17.65	 508.97	  58.00	   9	   1	
certitude	   0.34	 410.64	  50.13	   9	   0	
cesium	   0.00	 379.71	  21.40	   6	   0	
cessation	   1.28	1027.63	 113.00	   9	   0	
chairwoman	   0.00	  54.19	  15.56	  10	   0	
chaise	   0.61	 762.55	  51.00	   6	   0	
chalk	   9.72	 767.16	  29.50	   5	   0	
challenger	   1.01	 153.86	  42.44	  10	   2	
champ	   0.00	 580.63	  31.25	   5	   5	
chandelier	   2.63	 213.28	  53.22	  10	   0	
changeover	   0.00	 136.94	  31.00	  10	   0	
character	  87.65	 517.22	  79.50	   9	   0	
chariot	   2.01	 787.27	  67.50	   7	   0	
charity	  14.69	 886.73	  77.50	   7	   1	
charlatan	   0.84	 223.23	  46.75	   9	   0	
charwoman	   0.34	 130.44	  25.75	   9	   0	
chastity	   3.13	 920.21	 100.14	   8	   0	
chauvinist	   1.17	 143.22	  37.78	  10	   1	
chemistry	  13.30	 297.49	  37.25	   9	   0	
cheque	  22.79	 375.56	  25.80	   6	   0	
chest	  43.46	3547.22	  32.00	   5	   3	
chianti	   0.00	 354.57	  33.67	   7	   0	
chicagoan	   0.00	 115.37	  23.13	   9	   0	
chimpanzee	   1.79	  70.29	  22.56	  10	   0	
chivalry	   2.74	 485.31	  35.86	   8	   0	
