"","X.1","X","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","cmu_sylls","BF_TK","BF_TP","LEN_L","N"
"24",95,346,"accident",4146,2180,4061,2166,81.29411765,3.617734035,25.98950882,3.338655666,"Noun",4138,1,"Noun",4138,4.909568178,3,507.54,46.86,8,0
"25",97,363,"accolade",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,293.34,32,8,0
"26",99,381,"accompli",8,8,8,8,0.156862745,0.954242509,0.095374344,0.954242509,"Noun",8,1,"Noun",8,2.246076652,3,211.69,15,8,0
"27",100,382,"accomplice",216,147,210,145,4.235294118,2.336459734,1.752503577,2.170261715,"Noun",216,1,"Noun",216,3.628293876,3,238.23,37.44,10,0
"28",103,407,"accountant",315,191,303,185,6.176470588,2.499687083,2.27706247,2.283301229,"Noun",315,1,"Noun",315,3.791521225,3,358.8,38.89,10,0
"29",105,422,"accrual",2,2,2,2,0.039215686,0.477121255,0.023843586,0.477121255,"Noun",2,1,"Noun",2,1.768955397,3,435.33,26.67,7,0
"30",108,444,"accuser",15,12,15,12,0.294117647,1.204119983,0.143061516,1.113943352,"Noun",15,1,"Noun",15,2.495954125,3,891.81,80.5,7,2
"31",112,457,"acetate",6,5,5,4,0.117647059,0.84509804,0.059608965,0.77815125,"Noun",6,1,"Noun",6,2.136932182,3,424.1,36.17,7,0
"32",126,513,"acolyte",7,7,7,7,0.137254902,0.903089987,0.083452551,0.903089987,"Noun",7,1,"Noun",7,2.194924129,3,188.16,24.17,7,0
"33",133,544,"acquittal",37,33,36,32,0.725490196,1.579783597,0.39341917,1.531478917,"Noun",37,1,"Noun",37,2.871617739,3,303.16,30.38,9,0
"34",136,549,"acreage",22,19,22,19,0.431372549,1.361727836,0.226514068,1.301029996,"Noun",22,1,"Noun",22,2.653561978,3,591.91,41.5,7,0
"35",141,560,"acronym",15,14,14,13,0.294117647,1.204119983,0.166905103,1.176091259,"Noun",15,1,"Noun",15,2.495954125,3,266.24,18.5,7,0
"36",152,589,"activist",50,40,47,37,0.980392157,1.707570176,0.476871722,1.612783857,"Noun",50,1,"Noun",50,2.999404318,3,446.39,48,8,1
"37",167,621,"acumen",7,5,7,5,0.137254902,0.903089987,0.059608965,0.77815125,"Noun",7,1,"Noun",7,2.194924129,3,604.98,39.8,6,0
"38",168,628,"acuteness",1,1,1,1,0.019607843,0.301029996,0.011921793,0.301029996,"Noun",1,1,"Noun",1,1.592864138,3,297.97,79.88,9,0
"39",174,647,"adapter",11,7,11,7,0.215686275,1.079181246,0.083452551,0.903089987,"Noun",11,1,"Noun",11,2.371015388,3,1135.03,105,7,1
"40",176,651,"adaptor",4,4,4,4,0.078431373,0.698970004,0.047687172,0.698970004,"Noun",4,1,"Noun",4,1.990804146,3,158.05,18.67,7,0
"41",179,659,"addendum",15,12,10,7,0.294117647,1.204119983,0.143061516,1.113943352,"Noun",15,1,"Noun",15,2.495954125,3,233.25,33.57,8,0
