"","Word","FREQcount","CDcount","FREQlow","Cdlow","SUBTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","syllables","cmu_syllss"
"1188","aggressor",29,23,27,22,0.568627450980392,1.47712125471966,0.274201239866476,1.38021124171161,"Noun",29,1,"Noun","29",2.76895539686412,3,3
"1189","aggressors",15,14,15,14,0.294117647058824,1.20411998265592,0.16690510252742,1.17609125905568,"Noun",15,1,"Noun","15",2.49595412480038,3,3
"1209","agitprop",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1219","agonies",12,9,10,8,0.235294117647059,1.11394335230684,0.107296137339056,1,"Noun",12,1,"Noun","12",2.4057774944513,3,3
"1222","agonist",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1226","agony",191,171,176,159,3.74509803921569,2.28330122870355,2.03862660944206,2.23552844690755,"Noun",191,1,"Noun","191",3.57513537084801,3,3
"1227","agora",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1242","agreement",892,603,867,594,17.4901960784314,2.95085145888855,7.18884120171674,2.78103693862113,"Noun",887,1,"Noun","887",4.24268560103301,3,3
"1243","agreements",41,35,40,35,0.803921568627451,1.6232492903979,0.41726275631855,1.55630250076729,"Noun",42,1,"Noun","42",2.91508343254236,3,3
"1255","aguacate",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1273","ahs",4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,NA,1
"1278","aide",103,81,87,70,2.01960784313725,2.01703333929878,0.965665236051502,1.91381385238372,"Noun",103,1,"Noun","103",3.30886748144324,1,1
"1281","aides",32,28,32,28,0.627450980392157,1.51851393987789,0.33381020505484,1.46239799789896,"Noun",32,1,"Noun","32",2.81034808202235,1,1
"1287","aileron",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1288","ailerons",4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.602059991327962,"Noun",4,1,"Noun","4",1.99080414648048,NA,3
"1343","airliner",29,23,29,23,0.568627450980392,1.47712125471966,0.274201239866476,1.38021124171161,"Noun",29,1,"Noun","29",2.76895539686412,3,3
"1344","airliners",7,7,7,7,0.137254901960784,0.903089986991944,0.0834525512637101,0.903089986991944,"Noun",7,1,"Noun","7",2.1949241291364,3,3
"1377","ais",3,3,3,3,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",2,1,"Noun","2",1.89389413347242,NA,1
"1378","aisle",379,284,343,263,7.43137254901961,2.57978359661681,3.38578922269909,2.45484486000851,"Noun",379,1,"Noun","379",3.87161773876127,1,1
"1379","aisles",37,32,37,32,0.725490196078431,1.57978359661681,0.381497377205532,1.51851393987789,"Noun",37,1,"Noun","37",2.87161773876127,1,1
"1396","akimbo",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"1422","alarmist",17,17,16,16,0.333333333333333,1.25527250510331,0.202670481640439,1.25527250510331,"Noun",17,1,"Noun","17",2.54710664724777,3,3
"1429","alaskans",2,2,0,0,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"1454","albumin",4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,NA,3
"1464","alchemist",14,10,12,8,0.274509803921569,1.17609125905568,0.119217930376729,1.04139268515823,"Noun",14,1,"Noun","14",2.46792540120014,3,3
"1467","alchemy",11,9,8,7,0.215686274509804,1.07918124604762,0.107296137339056,1,"Noun",11,1,"Noun","11",2.37101538819208,3,3
"1470","alcohol",845,588,762,541,16.5686274509804,2.92737036303902,7.01001430615165,2.7701152947871,"Noun",844,1,"Noun","844",4.21920450518348,3,3
"1482","aldermen",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"1486","ale",202,123,183,115,3.96078431372549,2.30749603791321,1.46638054363376,2.09342168516224,"Noun",202,1,"Noun","202",3.59933018005767,1,1
"1500","alertness",4,4,4,4,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,"Noun",4,1,"Noun","4",1.99080414648048,3,3
"1502","ales",5,5,5,5,0.0980392156862745,0.778151250383644,0.0596089651883643,0.778151250383644,"Noun",5,1,"Noun","5",2.0699853925281,1,1
"1527","algonquin",10,9,0,0,0.196078431372549,1.04139268515823,0.107296137339056,1,"Noun",10,1,"Noun","10",2.33322682730268,NA,3
"1538","alibi",426,249,417,241,8.35294117647059,2.63042787502502,2.96852646638054,2.39794000867204,"Noun",428,1,"Noun","428",3.92226201716948,3,3
"1541","alibis",58,50,54,46,1.13725490196078,1.77085201164214,0.596089651883643,1.70757017609794,"Noun",58,1,"Noun","58",3.0626861537866,3,3
"1549","aliens",491,215,433,198,9.62745098039216,2.69196510276736,2.56318550309967,2.33445375115093,"Noun",494,1,"Noun","494",3.98379924491182,2,3
"1556","alignment",67,47,66,47,1.31372549019608,1.83250891270624,0.560324272770625,1.68124123737559,"Noun",66,1,"Noun","66",3.1243430548507,3,3
"1557","alignments",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"1575","alkaloid",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,NA,3
"1576","alkaloids",3,3,2,2,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"1596","allegiance",159,128,133,106,3.11764705882353,2.20411998265592,1.52598950882213,2.11058971029925,"Noun",161,1,"Noun","161",3.49595412480038,3,3
"1604","allele",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",1,1,"Noun","1",1.76895539686412,NA,3
"1605","alleles",12,9,12,9,0.235294117647059,1.11394335230684,0.107296137339056,1,"Noun",12,1,"Noun","12",2.4057774944513,NA,3
"1612","allergen",3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242,NA,3
"1613","allergens",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1615","allergies",139,113,122,101,2.72549019607843,2.14612803567824,1.34716261325703,2.05690485133647,"Noun",138,1,"Noun","138",3.4379621778227,3,3
"1616","allergist",2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,NA,3
"1617","allergists",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,NA,3
"1618","allergy",86,66,81,65,1.68627450980392,1.93951925261862,0.786838340486409,1.82607480270083,"Noun",84,1,"Noun","84",3.23135339476308,3,3
"1625","alleyway",40,36,39,35,0.784313725490196,1.61278385671974,0.429184549356223,1.56820172406699,"Noun",39,1,"Noun","39",2.9046179988642,3,3
"1626","alleyways",8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3,3
"1630","alliance",465,190,174,115,9.11764705882353,2.66838591669,2.26514067715784,2.28103336724773,"Noun",471,1,"Noun","471",3.96022005883446,3,3
"1651","allotment",19,18,19,18,0.372549019607843,1.30102999566398,0.214592274678112,1.27875360095283,"Noun",19,1,"Noun","19",2.59286413780844,3,3
"1652","allotments",1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3,3
"1677","allusion",6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3,3
