Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
cohen	598	121	0	0	11.73	2.7774	1.44	2.0864	Name	597	1	Name	597	4.0693	2	
courage	1207	835	1084	792	23.67	3.0821	9.95	2.9222	Noun	1084	0.9	Noun.Name	1084.12	4.3739	2	
option	736	565	714	559	14.43	2.8675	6.74	2.7528	Noun	736	1	Noun	736	4.1593	2	
kidnapped	836	467	804	461	16.39	2.9227	5.57	2.6702	Verb	823	0.98	Verb.Adjective	823.13	4.2146	2	
likely	1314	1041	1266	1014	25.76	3.1189	12.41	3.0179	Adjective	1094	0.83	Adjective.Adverb	1094.218	4.4108	2	
surgeon	838	500	780	472	16.43	2.9238	5.96	2.6998	Noun	837	1	Noun	837	4.2156	2	
europe	1368	770	6	5	26.82	3.1364	9.18	2.8871	Name	1360	1	Name.Noun	1360.6	4.4282	2	
fuel	876	386	791	366	17.18	2.943	4.6	2.5877	Noun	859	0.99	Noun.Verb	859.12	4.2348	2	
mixed	1090	828	1053	812	21.37	3.0378	9.87	2.9186	Verb	940	0.86	Verb.Adjective	940.151	4.3297	1	
data	1306	596	1045	567	25.61	3.1163	7.11	2.776	Noun	1287	0.99	Noun.Name	1287.17	4.4081	2	
