Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
demand	873	687	841	668	17.12	2.9415	8.19	2.8376	Verb	568	0.65	Verb.Noun	568.305	4.2333	2	
massage	565	356	542	344	11.08	2.7528	4.24	2.5527	Noun	458	0.81	Noun.Verb	458.107	4.0447	2	
winner	1592	916	1431	858	31.22	3.2022	10.92	2.9624	Noun	1587	1	Noun.Name	1587.2	4.494	2	
photo	1016	615	975	591	19.92	3.0073	7.33	2.7896	Noun	1014	1	Noun.Verb	1014.1	4.2992	2	
agent	1074	583	979	547	21.06	3.0314	6.95	2.7664	Noun	1072	1	Noun	1072	4.3232	2	
fifty	960	640	488	343	18.82	2.9827	7.63	2.8069	Number	956	1	Number	956	4.2746	2	
sticking	741	659	711	638	14.53	2.8704	7.86	2.8195	Verb	703	0.95	Verb.Adjective	703.37	4.1622	2	
engaged	1327	791	1268	775	26.02	3.1232	9.43	2.8987	Verb	983	0.74	Verb.Adjective	983.34	4.415	2	
burned	1448	1038	1379	1006	28.39	3.1611	12.37	3.0166	Verb	1401	0.97	Verb.Adjective	1401.46	4.4529	1	
stake	847	666	819	652	16.61	2.9284	7.94	2.8241	Noun	634	0.75	Noun.Verb	634.212	4.2202	1	
