Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
wounded	992	594	937	576	19.45	2.9969	7.08	2.7745	Adjective	531	0.53	Adjective.Verb	531.463	4.2888	2	
advise	622	499	577	469	12.2	2.7945	5.95	2.699	Verb	623	1	Verb	623	4.0863	2	
yourselves	1479	1156	1474	1153	29	3.1703	13.78	3.0633	Pronoun	1479	1	Pronoun	1479	4.4621	2	
fever	1017	570	888	533	19.94	3.0077	6.8	2.7566	Noun	1016	1	Noun.Name	1016.1	4.2996	2	
client	1071	623	1050	616	21	3.0302	7.43	2.7952	Noun	1071	1	Noun	1071	4.322	2	
legend	875	565	812	530	17.16	2.9425	6.74	2.7528	Noun	874	1	Noun	874	4.2343	2	
useful	669	565	650	554	13.12	2.8261	6.74	2.7528	Adjective	668	1	Adjective	668	4.1179	2	
higher	1420	1023	1273	952	27.84	3.1526	12.2	3.0103	Adjective	1264	0.89	Adjective.Adverb	1264.153	4.4444	2	
note	1255	786	1205	759	24.61	3.099	9.37	2.896	Noun	1172	0.93	Noun.Verb	1172.83	4.3908	1	
set	761	609	727	592	14.92	2.882	7.26	2.7853	Verb	418	0.55	Verb.Noun	418.343	4.1738	1	
