Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
victim	1196	671	1165	664	23.45	3.0781	8	2.8274	Noun	1187	1	Noun	1187	4.3699	2	
creature	640	442	607	428	12.55	2.8069	5.27	2.6464	Noun	638	1	Noun	638	4.0987	2	
nonsense	1452	1021	942	722	28.47	3.1623	12.17	3.0095	Noun	1445	1	Noun.Name	1445.1	4.4541	2	
moment	1101	885	1052	855	21.59	3.0422	10.55	2.9474	Noun	1103	1	Noun	1103	4.334	2	
convinced	1061	849	1048	841	20.8	3.0261	10.12	2.9294	Verb	576	0.54	Verb.Adjective	576.486	4.318	2	
kissing	1189	726	1088	694	23.31	3.0755	8.66	2.8615	Verb	862	0.72	Verb.Noun	862.327	4.3674	2	
parade	657	421	565	380	12.88	2.8182	5.02	2.6253	Noun	598	0.91	Noun.Verb	598.59	4.1101	2	
partner	1232	756	1141	731	24.16	3.091	9.01	2.8791	Noun	1231	1	Noun	1231	4.3828	2	
put	1224	1029	1153	976	24	3.0881	12.27	3.0128	Verb	1221	1	Verb	1221	4.38	1	
rat	848	508	715	447	16.63	2.9289	6.06	2.7067	Noun	840	0.99	Noun.Verb	840.1	4.2207	1	
