Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
balance	764	604	706	574	14.98	2.8837	7.2	2.7818	Noun	664	0.87	Noun.Verb	664.99	4.1755	2	
guard	1237	635	999	561	24.25	3.0927	7.57	2.8035	Noun	1189	0.97	Noun.Verb	1189.43	4.3846	1	
recent	669	583	638	559	13.12	2.8261	6.95	2.7664	Adjective	669	1	Adjective	669	4.1179	2	
bastard	943	670	814	605	18.49	2.975	7.99	2.8267	Noun	939	1	Noun	939	4.2668	2	
opera	873	376	740	338	17.12	2.9415	4.48	2.5763	Noun	871	1	Noun	871	4.2333	2	
lake	1836	802	1074	497	36	3.2641	9.56	2.9047	Noun	1753	0.96	Noun.Name	1753.81	4.5559	1	
deny	1091	773	1035	749	21.39	3.0382	9.22	2.8887	Verb	1089	1	Verb	1089	4.3301	2	
proper	1289	972	1266	964	25.27	3.1106	11.59	2.9881	Adjective	1288	1	Adjective	1288	4.4024	2	
mistake	1116	894	1085	876	21.88	3.0481	10.66	2.9518	Noun	1106	0.99	Noun.Verb	1106.7	4.3399	2	
shark	764	258	595	232	14.98	2.8837	3.08	2.4133	Noun	762	1	Noun.Name	762.1	4.1755	1	
