Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
bury	1054	757	942	701	20.67	3.0233	9.02	2.8797	Verb	1047	0.99	Verb.Name	1047.8	4.3151	2	
needle	608	432	552	405	11.92	2.7846	5.15	2.6365	Noun	607	1	Noun	607	4.0765	2	
thousand	1410	1014	1221	912	27.65	3.1495	12.09	3.0065	Noun	1410	1	Noun	1410	4.4414	2	
result	1008	777	995	770	19.76	3.0039	9.26	2.891	Noun	862	0.85	Noun.Verb	862.147	4.2957	2	
routine	1012	748	977	729	19.84	3.0056	8.92	2.8745	Noun	952	0.94	Noun.Adjective	952.61	4.2974	2	
wish	940	663	922	652	18.43	2.9736	7.9	2.8222	Noun	490	0.52	Noun.Verb	490.449	4.2654	2	
conscience	709	518	688	514	13.9	2.8513	6.18	2.7152	Noun	710	1	Noun	710	4.1431	2	
badly	1336	1055	1286	1033	26.2	3.1261	12.58	3.0237	Adverb	1336	1	Adverb	1336	4.418	2	
soft	1633	1211	1463	1126	32.02	3.2133	14.44	3.0835	Adjective	1631	1	Adjective	1631	4.5051	1	
lack	905	761	858	730	17.75	2.9571	9.07	2.882	Noun	702	0.78	Noun.Verb	702.202	4.249	1	
