Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
issue	954	692	946	688	18.71	2.98	8.25	2.8407	Noun	934	0.98	Noun.Verb	934.19	4.2718	2	
award	657	381	489	281	12.88	2.8182	4.54	2.5821	Noun	604	0.92	Noun.Verb	604.53	4.1101	2	
member	1468	1109	1414	1087	28.78	3.167	13.22	3.0453	Noun	1465	1	Noun	1465	4.4589	2	
transfer	1048	677	967	643	20.55	3.0208	8.07	2.8312	Noun	548	0.52	Noun.Verb	548.5	4.3126	2	
border	876	462	842	450	17.18	2.943	5.51	2.6656	Noun	861	0.99	Noun.Verb	861.13	4.2348	2	
solid	998	781	865	710	19.57	2.9996	9.31	2.8932	Adjective	971	0.97	Adjective.Noun	971.25	4.2914	2	
sample	744	478	727	465	14.59	2.8722	5.7	2.6803	Noun	661	0.89	Noun.Verb	661.83	4.164	2	
face	1363	1082	1303	1057	26.73	3.1348	12.9	3.0346	Noun	1219	0.9	Noun.Verb	1219.143	4.4266	2	
dirt	1310	814	1130	782	25.69	3.1176	9.7	2.9112	Noun	1310	1	Noun.Name	1310.2	4.4094	1	
crossed	874	740	855	731	17.14	2.942	8.82	2.8698	Verb	843	0.96	Verb.Adjective	843.31	4.2338	1	
