Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
stopping	1066	894	1013	860	20.9	3.0282	10.66	2.9518	Verb	1062	1	Verb	1062	4.32	2	
suspect	635	436	588	420	12.45	2.8035	5.2	2.6405	Noun	518	0.82	Noun.Verb	518.115	4.0953	2	
towards	1399	1108	1350	1084	27.43	3.1461	13.21	3.0449	Preposition	1399	1	Preposition	1399	4.438	2	
fuel	876	386	791	366	17.18	2.943	4.6	2.5877	Noun	859	0.99	Noun.Verb	859.12	4.2348	2	
fifteen	895	618	370	264	17.55	2.9523	7.37	2.7917	Number	892	1	Number.Noun	892.1	4.2441	2	
plastic	957	681	861	625	18.76	2.9814	8.12	2.8338	Noun	957	1	Noun	957	4.2732	2	
degree	759	585	745	579	14.88	2.8808	6.97	2.7679	Noun	759	1	Noun	759	4.1726	2	
navy	1310	464	385	197	25.69	3.1176	5.53	2.6675	Noun	1306	1	Noun.Name	1306.2	4.4094	2	
golf	1302	604	1192	568	25.53	3.1149	7.2	2.7818	Noun	1302	1	Noun	1302	4.4068	1	
kit	900	424	473	354	17.65	2.9547	5.05	2.6284	Noun	897	1	Noun.Name	897.2	4.2466	1	
