Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
recall	1003	787	975	773	19.67	3.0017	9.38	2.8965	Verb	931	0.93	Verb.Noun	931.72	4.2936	2	
session	678	522	664	515	13.29	2.8319	6.22	2.7185	Noun	677	1	Noun	677	4.1237	2	
surely	1407	994	716	565	27.59	3.1486	11.85	2.9978	Adverb	1403	1	Adverb	1403	4.4404	2	
warrant	1060	613	1044	605	20.78	3.0257	7.31	2.7882	Noun	967	0.91	Noun.Verb	967.92	4.3175	2	
jungle	1151	486	964	439	22.57	3.0615	5.79	2.6875	Noun	1141	1	Noun	1141	4.3533	2	
fallen	863	718	831	697	16.92	2.9365	8.56	2.8567	Verb	770	0.89	Verb.Adjective	770.91	4.2283	2	
sacred	715	497	644	465	14.02	2.8549	5.93	2.6972	Adjective	715	1	Adjective	715	4.1467	2	
reason	1655	1263	1642	1256	32.45	3.2191	15.06	3.1017	Noun	1653	1	Noun.Verb	1653.3	4.5109	2	
sword	1335	462	1245	436	26.18	3.1258	5.51	2.6656	Noun	1335	1	Noun	1335	4.4176	1	
law	868	592	811	574	17.02	2.939	7.06	2.7731	Noun	864	1	Noun	864	4.2309	1	
