Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
judgment	839	656	781	628	16.45	2.9243	7.82	2.8176	Noun	839	1	Noun	839	4.2161	2	
fruit	1108	715	994	661	21.73	3.0449	8.52	2.8549	Noun	1108	1	Noun	1108	4.3368	1	
supply	717	514	684	496	14.06	2.8561	6.13	2.7118	Noun	623	0.87	Noun.Verb	623.94	4.148	2	
eaten	927	766	915	758	18.18	2.9675	9.13	2.8848	Verb	919	0.99	Verb.Adjective	919.5	4.2594	2	
fallen	863	718	831	697	16.92	2.9365	8.56	2.8567	Verb	770	0.89	Verb.Adjective	770.91	4.2283	2	
shake	2021	1296	1503	1105	39.63	3.3058	15.45	3.1129	Verb	1744	0.87	Verb.Noun	1744.27	4.5976	1	
taxi	1318	666	745	452	25.84	3.1202	7.94	2.8241	Noun	1309	1	Noun.Verb	1309.5	4.4121	2	
valley	1275	600	560	302	25	3.1059	7.15	2.7789	Noun	1194	0.94	Noun.Name	1194.78	4.3977	2	
writer	1200	573	1166	560	23.53	3.0795	6.83	2.7589	Noun	1198	1	Noun	1198	4.3714	2	
ling	785	125	7	7	15.39	2.8954	1.49	2.1004	Noun	757	0.97	Noun.Name	757.21	4.1873	1	
