Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
loaded	948	760	916	741	18.59	2.9773	9.06	2.8814	Verb	685	0.72	Verb.Adjective	685.262	4.2691	2	
attached	623	540	607	529	12.22	2.7952	6.44	2.7332	Verb	579	0.93	Verb.Adjective	579.43	4.087	2	
ended	1511	1214	1485	1194	29.63	3.1796	14.47	3.0846	Verb	1510	1	Verb	1510	4.4714	2	
cowboy	968	482	747	436	18.98	2.9863	5.75	2.6839	Noun	873	0.91	Noun.Name	873.88	4.2782	2	
party	1182	881	1144	866	23.18	3.073	10.5	2.9455	Noun	1178	1	Noun.Verb	1178.5	4.3648	2	
current	869	671	802	637	17.04	2.9395	8	2.8274	Adjective	798	0.92	Adjective.Noun	798.71	4.2314	2	
costume	721	395	706	390	14.14	2.8585	4.71	2.5977	Noun	720	1	Noun	720	4.1504	2	
british	1283	531	15	12	25.16	3.1086	6.33	2.7259	Adjective	1274	0.99	Adjective.Name	1274.9	4.4004	2	
bride	1235	638	1148	612	24.22	3.092	7.61	2.8055	Noun	1204	0.98	Noun.Name	1204.22	4.3839	1	
wreck	697	518	677	506	13.67	2.8439	6.18	2.7152	Noun	506	0.73	Noun.Verb	506.189	4.1357	1	
