Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
whistle	788	473	684	442	15.45	2.8971	5.64	2.6758	Noun	575	0.73	Noun.Verb	575.21	4.1889	2	
actor	644	327	566	303	12.63	2.8096	3.9	2.5159	Noun	642	1	Noun	642	4.1014	2	
below	1430	986	1379	964	28.04	3.1556	11.75	2.9943	Adverb	868	0.61	Adverb.Preposition	868.562	4.4475	2	
presence	1064	861	1050	848	20.86	3.0273	10.26	2.9355	Noun	1063	1	Noun	1063	4.3192	2	
lawyer	975	646	900	611	19.12	2.9894	7.7	2.8109	Noun	975	1	Noun.Verb	975.1	4.2813	2	
enjoyed	926	772	905	756	18.16	2.9671	9.2	2.8882	Verb	926	1	Verb	926	4.2589	2	
confirmed	689	494	631	467	13.51	2.8388	5.89	2.6946	Verb	628	0.91	Verb.Adjective	628.6	4.1307	2	
scary	1336	920	1224	852	26.2	3.1261	10.97	2.9643	Adjective	1337	1	Adjective	1337	4.418	2	
swing	1325	857	1064	755	25.98	3.1225	10.22	2.9335	Verb	867	0.65	Verb.Noun	867.458	4.4144	1	
scream	862	428	666	361	16.9	2.936	5.1	2.6325	Verb	688	0.8	Verb.Noun	688.171	4.2278	1	
