Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
impressed	972	823	955	812	19.06	2.9881	9.81	2.9159	Verb	827	0.85	Verb.Adjective	827.148	4.2799	2	
wicked	678	449	544	402	13.29	2.8319	5.35	2.6532	Adjective	678	1	Adjective	678	4.1237	2	
detail	1481	1151	1386	1098	29.04	3.1708	13.72	3.0615	Noun	1470	1	Noun.Verb	1470.7	4.4627	2	
approach	1070	804	1005	774	20.98	3.0298	9.59	2.9058	Noun	673	0.63	Noun.Verb	673.393	4.3216	2	
therefore	1058	730	542	411	20.75	3.0249	8.7	2.8639	Adverb	1056	1	Adverb	1056	4.3167	2	
provide	888	754	867	741	17.41	2.9489	8.99	2.8779	Verb	887	1	Verb	887	4.2407	2	
motive	675	387	649	377	13.24	2.8299	4.61	2.5888	Noun	675	1	Noun	675	4.1218	2	
ruin	1455	1183	1425	1170	28.53	3.1632	14.1	3.0734	Verb	1331	0.92	Verb.Noun	1331.123	4.455	2	
mixed	1090	828	1053	812	21.37	3.0378	9.87	2.9186	Verb	940	0.86	Verb.Adjective	940.151	4.3297	1	
cap	956	619	687	524	18.75	2.9809	7.38	2.7924	Noun	765	0.9	Noun.Verb	765.81	4.2727	1	
