Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f	
option	736	565	714	559	14.43	2.8675	6.74	2.7528	Noun	736	1	Noun	736	4.1593	2	
stand	1093	876	1039	852	21.43	3.039	10.44	2.943	Verb	832	0.76	Verb.Noun	832.261	4.3309	1	
conscience	709	518	688	514	13.9	2.8513	6.18	2.7152	Noun	710	1	Noun	710	4.1431	2	
comfort	878	692	812	660	17.22	2.944	8.25	2.8407	Noun	607	0.69	Noun.Verb	607.271	4.2358	2	
wasted	854	722	825	707	16.75	2.932	8.61	2.8591	Verb	650	0.76	Verb.Adjective	650.204	4.2238	2	
cab	1826	961	1709	926	35.8	3.2617	11.46	2.9832	Noun	1822	1	Noun	1822	4.5536	1	
survive	1537	1108	1514	1099	30.14	3.187	13.21	3.0449	Verb	1535	1	Verb	1535	4.4788	2	
mercy	1291	785	1030	685	25.31	3.1113	9.36	2.8954	Noun	1284	1	Noun.Name	1284.4	4.4031	2	
turkey	1153	572	915	471	22.61	3.0622	6.82	2.7582	Noun	935	0.81	Noun.Name	935.215	4.354	2	
pour	771	604	577	479	15.12	2.8876	7.2	2.7818	Verb	761	0.99	Verb.Unclassified	761.1	4.1795	1	
