run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run5	4	list4_13373_pollution_low3	4	40	1	2	41	42	43	44	3500	11500	pollution	3.2831	3	108	9
run5	4	list4_10423_magician_high3	2	20	1	2	21	22	23	24	3300	11300	magician	3.884	3	42.57	8
run5	4	list4_3004_chap_high1	1	10	1	2	11	12	13	14	3350	11350	chap	3.8037	1	13	4
run5	4	list4_9836_leash_low1	3	30	1	2	31	32	33	34	3300	11300	leash	3.6343	1	44	5
run5	4	list4_19475_wreck_high1	1	10	1	2	11	12	13	14	3200	11200	wreck	4.1357	1	29	5
run5	4	list4_16474_space_high1	1	10	1	2	11	12	13	14	3350	11350	space	4.8195	1	33.25	5
run5	4	list4_16819_stealth_low1	3	30	1	2	31	32	33	34	3300	11300	stealth	3.4472	1	47.5	7
run5	4	list4_17355_swine_low1	3	30	1	2	31	32	33	34	3200	11200	swine	3.6479	1	37.25	5
run5	4	list4_3305_claw_low1	3	30	1	2	31	32	33	34	3300	11300	claw	3.6421	1	13.33	4
run5	4	list4_9122_investment_high3	2	20	1	2	21	22	23	24	3250	11250	investment	3.9891	3	65	10
run5	4	list4_10164_loaf_high1	1	10	1	2	11	12	13	14	3200	11200	loaf	3.6517	1	20	4
run5	4	list4_16279_snack_high1	1	10	1	2	11	12	13	14	3300	11300	snack	3.9612	1	27	5
run5	4	list4_16917_stone_high1	1	10	1	2	11	12	13	14	3300	11300	stone	4.6084	1	40	5
run5	4	list4_15109_rut_low1	3	30	1	2	31	32	33	34	3250	11250	rut	3.1895	1	8	3
run5	4	list4_11067_minimum_high3	2	20	1	2	21	22	23	24	3300	11300	minimum	3.9109	3	34.33	7
run5	4	list4_5606_edition_high3	2	20	1	2	21	22	23	24	3200	11200	edition	3.6898	3	62.17	7
run5	4	list4_3718_concussion_high3	2	20	1	2	21	22	23	24	3450	11450	concussion	3.6536	3	118.33	10
run5	4	list4_13292_plunge_low1	3	30	1	2	31	32	33	34	3400	11400	plunge	3.3525	1	33.2	6
run5	4	list4_7631_gratitude_high3	2	20	1	2	21	22	23	24	3450	11450	gratitude	3.8895	3	49.25	9
run5	4	list4_4352_currency_low3	4	40	1	2	41	42	43	44	3200	11200	currency	3.5637	3	47.57	8
run5	4	list4_11331_moor_low1	3	30	1	2	31	32	33	34	3250	11250	moor	3.3004	1	26.33	4
run5	4	list4_8680_hyena_low3	4	40	1	2	41	42	43	44	3250	11250	hyena	3.1552	3	8	5
run5	4	list4_17816_throne_high1	1	10	1	2	11	12	13	14	3400	11400	throne	3.9373	1	38.6	6
run5	4	list4_15179_salami_low3	4	40	1	2	41	42	43	44	3250	11250	salami	3.3525	3	34.6	6
run5	4	list4_17737_theatre_high3	2	20	1	2	21	22	23	24	3350	11350	theatre	4.0575	3	48.33	7
run5	4	list4_6027_example_high3	2	20	1	2	21	22	23	24	3200	11200	example	4.476	3	39.17	7
run5	4	list4_1414_beginner_low3	4	40	1	2	41	42	43	44	3250	11250	beginner	3.2918	3	66.29	8
run5	4	list4_93_admission_low3	4	40	1	2	41	42	43	44	3300	11300	admission	3.5519	3	71	9
run5	4	list4_11094_mint_high1	1	10	1	2	11	12	13	14	3450	11450	mint	3.7359	1	32.67	4
run5	4	list4_13053_pike_high1	1	10	1	2	11	12	13	14	3400	11400	pike	3.6629	1	15.67	4
run5	4	list4_17102_subpoena_low3	4	40	1	2	41	42	43	44	3200	11200	subpoena	3.3487	3	30.71	8
run5	4	list4_18806_vibration_low3	4	40	1	2	41	42	43	44	3450	11450	vibration	3.2003	3	107.63	9
run5	4	list4_17388_sync_low1	3	30	1	2	31	32	33	34	3350	11350	sync	3.5197	1	0.67	4
run5	4	list4_8966_injection_low3	4	40	1	2	41	42	43	44	3250	11250	injection	3.6182	3	115.75	9
run5	4	list4_5072_disposal_high3	2	20	1	2	21	22	23	24	3400	11400	disposal	3.6915	3	56.71	8
run5	4	list4_9531_kit_high1	1	10	1	2	11	12	13	14	3300	11300	kit	4.2466	1	7	3
run5	4	list4_9547_knack_low1	3	30	1	2	31	32	33	34	3450	11450	knack	3.399	1	25.5	5
run5	4	list4_14462_referee_low3	4	40	1	2	41	42	43	44	3350	11350	referee	3.5567	3	75.5	7
run5	4	list4_17298_suspicion_high3	2	20	1	2	21	22	23	24	3500	11500	suspicion	3.8647	3	66.38	9
run5	4	list4_11869_norm_low1	3	30	1	2	31	32	33	34	3200	11200	norm	3.5248	1	20.33	4
