run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run2	7	list7_3533_collection_high3	2	20	1	2	21	22	23	24	3450	11450	collection	4.2589	3	149	10
run2	7	list7_6611_flake_low1	3	30	1	2	31	32	33	34	3200	11200	flake	3.2461	1	35.75	5
run2	7	list7_6736_fluke_low1	3	30	1	2	31	32	33	34	3350	11350	fluke	3.2461	1	25.25	5
run2	7	list7_13712_privacy_high3	2	20	1	2	21	22	23	24	3250	11250	privacy	4.1811	3	44.67	7
run2	7	list7_19294_wilderness_low3	4	40	1	2	41	42	43	44	3400	11400	wilderness	3.5972	3	49.22	10
run2	7	list7_14299_ratio_low3	4	40	1	2	41	42	43	44	3200	11200	ratio	3.5093	3	28	5
run2	7	list7_16220_slope_low1	3	30	1	2	31	32	33	34	3450	11450	slope	3.4708	1	32.25	5
run2	7	list7_729_arrogance_low3	4	40	1	2	41	42	43	44	3450	11450	arrogance	3.4532	3	38.88	9
run2	7	list7_9082_internship_low3	4	40	1	2	41	42	43	44	3250	11250	internship	3.4765	3	60.22	10
run2	7	list7_14072_quart_low1	3	30	1	2	31	32	33	34	3350	11350	quart	3.3212	1	28	5
run2	7	list7_16706_stag_low1	3	30	1	2	31	32	33	34	3250	11250	stag	3.2056	1	8.67	4
run2	7	list7_2479_cadillac_high3	2	20	1	2	21	22	23	24	3450	11450	cadillac	3.7587	3	35.29	8
run2	7	list7_12918_pet_high1	1	10	1	2	11	12	13	14	3450	11450	pet	4.3047	1	10	3
run2	7	list7_9147_ironing_low3	4	40	1	2	41	42	43	44	3200	11200	ironing	3.1726	3	288.17	7
run2	7	list7_11610_nap_high1	1	10	1	2	11	12	13	14	3400	11400	nap	4.1021	1	7	3
run2	7	list7_12881_perk_low1	3	30	1	2	31	32	33	34	3450	11450	perk	3.1552	1	18	4
run2	7	list7_12032_odds_high1	1	10	1	2	11	12	13	14	3250	11250	odds	4.2791	1	8.67	4
run2	7	list7_13855_prototype_low3	4	40	1	2	41	42	43	44	3250	11250	prototype	3.5223	3	38.88	9
run2	7	list7_14191_rage_high1	1	10	1	2	11	12	13	14	3500	11500	rage	4.0538	1	19	4
run2	7	list7_6330_feast_high1	1	10	1	2	11	12	13	14	3250	11250	feast	3.8271	1	45.5	5
run2	7	list7_13107_pint_low1	3	30	1	2	31	32	33	34	3450	11450	pint	3.5171	1	32.67	4
run2	7	list7_16742_stance_low1	3	30	1	2	31	32	33	34	3450	11450	stance	3.2786	1	55	6
run2	7	list7_6747_flute_low1	3	30	1	2	31	32	33	34	3250	11250	flute	3.3293	1	32.75	5
run2	7	list7_42_accountant_high3	2	20	1	2	21	22	23	24	3200	11200	accountant	3.7915	3	38.89	10
run2	7	list7_3279_clan_low1	3	30	1	2	31	32	33	34	3400	11400	clan	3.6141	1	18	4
run2	7	list7_2725_carnival_high3	2	20	1	2	21	22	23	24	3200	11200	carnival	3.8529	3	60.29	8
run2	7	list7_887_attorney_high3	2	20	1	2	21	22	23	24	3300	11300	attorney	4.6059	3	36.86	8
run2	7	list7_13692_principal_high3	2	20	1	2	21	22	23	24	3300	11300	principal	4.1382	3	48.25	9
run2	7	list7_1919_borderline_low3	4	40	1	2	41	42	43	44	3250	11250	borderline	3.2056	3	99.22	10
run2	7	list7_18604_urge_high1	1	10	1	2	11	12	13	14	3250	11250	urge	3.8233	1	4.67	4
run2	7	list7_12873_period_high3	2	20	1	2	21	22	23	24	3450	11450	period	4.4435	3	40.2	6
run2	7	list7_3015_character_high3	2	20	1	2	21	22	23	24	3450	11450	character	4.5812	3	79.5	9
run2	7	list7_11944_nun_high1	1	10	1	2	11	12	13	14	3300	11300	nun	3.8433	1	6	3
run2	7	list7_6696_flood_high1	1	10	1	2	11	12	13	14	3400	11400	flood	3.7572	1	34.75	5
run2	7	list7_3670_complexion_low3	4	40	1	2	41	42	43	44	3350	11350	complexion	3.2875	3	99.44	10
run2	7	list7_5311_draft_high1	1	10	1	2	11	12	13	14	3400	11400	draft	3.8624	1	33.75	5
run2	7	list7_802_assessment_low3	4	40	1	2	41	42	43	44	3500	11500	assessment	3.4932	3	43.44	10
run2	7	list7_15072_rum_high1	1	10	1	2	11	12	13	14	3450	11450	rum	3.875	1	6	3
run2	7	list7_8849_incident_high3	2	20	1	2	21	22	23	24	3200	11200	incident	4.2383	3	62.43	8
run2	7	list7_15368_scenery_low3	4	40	1	2	41	42	43	44	3500	11500	scenery	3.5796	3	88.83	7
