run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run2	6	list6_5940_espresso_low3	4	40	1	2	41	42	43	44	3500	11500	espresso	3.3171	3	12.14	8
run2	6	list6_9116_invention_high3	2	20	1	2	21	22	23	24	3350	11350	invention	3.7846	3	129.63	9
run2	6	list6_6763_foe_low1	3	30	1	2	31	32	33	34	3250	11250	foe	3.2696	1	5.5	3
run2	6	list6_4597_deception_low3	4	40	1	2	41	42	43	44	3400	11400	deception	3.4987	3	114.88	9
run2	6	list6_8229_hemisphere_low3	4	40	1	2	41	42	43	44	3400	11400	hemisphere	3.1783	3	27.78	10
run2	6	list6_3002_chant_low1	3	30	1	2	31	32	33	34	3350	11350	chant	3.36	1	42	5
run2	6	list6_6113_explorer_low3	4	40	1	2	41	42	43	44	3350	11350	explorer	3.2831	3	83.43	8
run2	6	list6_6758_foam_low1	3	30	1	2	31	32	33	34	3200	11200	foam	3.5471	1	21	4
run2	6	list6_1650_blast_high1	1	10	1	2	11	12	13	14	3350	11350	blast	4.2088	1	43.5	5
run2	6	list6_10369_luxury_high3	2	20	1	2	21	22	23	24	3250	11250	luxury	3.7804	3	20	6
run2	6	list6_11865_noon_high1	1	10	1	2	11	12	13	14	3200	11200	noon	4.258	1	25.67	4
run2	6	list6_6180_face_high1	1	10	1	2	11	12	13	14	3450	11450	face	5.4606	1	19	4
run2	6	list6_18396_turbulence_low3	4	40	1	2	41	42	43	44	3400	11400	turbulence	3.2918	3	38.67	10
run2	6	list6_4936_dignity_high3	2	20	1	2	21	22	23	24	3500	11500	dignity	4.0338	3	56.17	7
run2	6	list6_14392_recipe_high3	2	20	1	2	21	22	23	24	3350	11350	recipe	3.8818	3	38.6	6
run2	6	list6_9292_jive_low1	3	30	1	2	31	32	33	34	3300	11300	jive	3.2314	1	10	4
run2	6	list6_12042_offender_low3	4	40	1	2	41	42	43	44	3300	11300	offender	3.4411	3	66.71	8
run2	6	list6_12483_pang_low1	3	30	1	2	31	32	33	34	3500	11500	pang	3.2056	1	35.67	4
run2	6	list6_8851_incision_low3	4	40	1	2	41	42	43	44	3350	11350	incision	3.3782	3	75.14	8
run2	6	list6_18134_tragedy_high3	2	20	1	2	21	22	23	24	3200	11200	tragedy	4.1516	3	47.67	7
run2	6	list6_5776_encryption_low3	4	40	1	2	41	42	43	44	3350	11350	encryption	3.2161	3	107.22	10
run2	6	list6_6550_fireplace_high3	2	20	1	2	21	22	23	24	3450	11450	fireplace	3.7068	3	36.63	9
run2	6	list6_8183_heck_high1	1	10	1	2	11	12	13	14	3400	11400	heck	4.2584	1	25	4
run2	6	list6_1225_baroness_low3	4	40	1	2	41	42	43	44	3300	11300	baroness	3.4222	3	104	8
run2	6	list6_19505_yacht_high1	1	10	1	2	11	12	13	14	3300	11300	yacht	3.9151	1	12	5
run2	6	list6_686_argument_high3	2	20	1	2	21	22	23	24	3250	11250	argument	4.2304	3	40	8
run2	6	list6_9738_latch_low1	3	30	1	2	31	32	33	34	3200	11200	latch	3.2875	1	42.25	5
run2	6	list6_4172_crib_high1	1	10	1	2	11	12	13	14	3350	11350	crib	3.7929	1	9.33	4
run2	6	list6_4739_departure_high3	2	20	1	2	21	22	23	24	3400	11400	departure	3.7327	3	50.63	9
run2	6	list6_3786_constable_low3	4	40	1	2	41	42	43	44	3300	11300	constable	3.4532	3	87.75	9
run2	6	list6_17535_task_high1	1	10	1	2	11	12	13	14	3400	11400	task	4.1047	1	23	4
run2	6	list6_18379_tune_high1	1	10	1	2	11	12	13	14	3500	11500	tune	4.1933	1	24	4
run2	6	list6_17018_stripe_low1	3	30	1	2	31	32	33	34	3350	11350	stripe	3.1669	1	47.2	6
run2	6	list6_14294_rate_high1	1	10	1	2	11	12	13	14	3400	11400	rate	4.3963	1	26.67	4
run2	6	list6_17869_tights_low1	3	30	1	2	31	32	33	34	3250	11250	tights	3.4254	1	48.6	6
run2	6	list6_8209_heist_low1	3	30	1	2	31	32	33	34	3200	11200	heist	3.4987	1	24.25	5
run2	6	list6_9815_leadership_high3	2	20	1	2	21	22	23	24	3450	11450	leadership	3.6898	3	32.33	10
run2	6	list6_5954_estimate_high3	2	20	1	2	21	22	23	24	3200	11200	estimate	3.6792	3	44.57	8
run2	6	list6_19286_wig_high1	1	10	1	2	11	12	13	14	3500	11500	wig	3.9223	1	5.5	3
run2	6	list6_6732_fluff_low1	3	30	1	2	31	32	33	34	3400	11400	fluff	3.1552	1	24.75	5
