run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run3	6	list6_8455_honesty_high3	2	20	1	2	21	22	23	24	3450	11450	honesty	3.8589	3	44	7
run3	6	list6_13724_probation_high3	2	20	1	2	21	22	23	24	3350	11350	probation	3.769	3	122.38	9
run3	6	list6_10322_lug_low1	3	30	1	2	31	32	33	34	3350	11350	lug	3.4157	1	5.5	3
run3	6	list6_13754_profession_high3	2	20	1	2	21	22	23	24	3450	11450	profession	3.9565	3	107.33	10
run3	6	list6_1743_blueberry_low3	4	40	1	2	41	42	43	44	3200	11200	blueberry	3.4124	3	33.25	9
run3	6	list6_4144_creed_low1	3	30	1	2	31	32	33	34	3300	11300	creed	3.4058	1	80.75	5
run3	6	list6_8810_importance_high3	2	20	1	2	21	22	23	24	3200	11200	importance	3.884	3	49.56	10
run3	6	list6_15082_rump_low1	3	30	1	2	31	32	33	34	3500	11500	rump	3.1552	1	16.33	4
run3	6	list6_5364_drift_high1	1	10	1	2	11	12	13	14	3200	11200	drift	3.8077	1	31.75	5
run3	6	list6_4257_crumb_low1	3	30	1	2	31	32	33	34	3300	11300	crumb	3.2603	1	25	5
run3	6	list6_6660_flaw_low1	3	30	1	2	31	32	33	34	3350	11350	flaw	3.485	1	16	4
run3	6	list6_16681_squid_low1	3	30	1	2	31	32	33	34	3350	11350	squid	3.4441	1	9.25	5
run3	6	list6_17664_tenderness_low3	4	40	1	2	41	42	43	44	3350	11350	tenderness	3.4058	3	57.89	10
run3	6	list6_18859_vinegar_low3	4	40	1	2	41	42	43	44	3250	11250	vinegar	3.2314	3	28.83	7
run3	6	list6_11643_nausea_low3	4	40	1	2	41	42	43	44	3250	11250	nausea	3.3372	3	36.8	6
run3	6	list6_7089_fuse_high1	1	10	1	2	11	12	13	14	3250	11250	fuse	3.688	1	18.67	4
run3	6	list6_4060_cowardice_low3	4	40	1	2	41	42	43	44	3200	11200	cowardice	3.2556	3	59.63	9
run3	6	list6_8344_hint_high1	1	10	1	2	11	12	13	14	3450	11450	hint	3.9639	1	30.33	4
run3	6	list6_3795_consultant_low3	4	40	1	2	41	42	43	44	3350	11350	consultant	3.566	3	71.67	10
run3	6	list6_12133_opinion_high3	2	20	1	2	21	22	23	24	3200	11200	opinion	4.6229	3	53	7
run3	6	list6_8913_infection_high3	2	20	1	2	21	22	23	24	3500	11500	infection	3.9421	3	121.75	9
run3	6	list6_4204_crocodile_low3	4	40	1	2	41	42	43	44	3400	11400	crocodile	3.3563	3	46.75	9
run3	6	list6_3502_coin_high1	1	10	1	2	11	12	13	14	3400	11400	coin	3.9891	1	23	4
run3	6	list6_10520_manager_high3	2	20	1	2	21	22	23	24	3450	11450	manager	4.6013	3	107.83	7
run3	6	list6_677_arena_low3	4	40	1	2	41	42	43	44	3300	11300	arena	3.5613	3	21.5	5
run3	6	list6_2283_bulletin_low3	4	40	1	2	41	42	43	44	3500	11500	bulletin	3.5567	3	40.71	8
run3	6	list6_15739_shade_high1	1	10	1	2	11	12	13	14	3450	11450	shade	3.7761	1	35.25	5
run3	6	list6_18723_veil_low1	3	30	1	2	31	32	33	34	3250	11250	veil	3.4737	1	11.67	4
run3	6	list6_2704_caretaker_low3	4	40	1	2	41	42	43	44	3500	11500	caretaker	3.3922	3	60.25	9
run3	6	list6_12885_permission_high3	2	20	1	2	21	22	23	24	3350	11350	permission	4.4927	3	92.89	10
run3	6	list6_11953_nut_high1	1	10	1	2	11	12	13	14	3400	11400	nut	4.1938	1	6.5	3
run3	6	list6_16070_site_high1	1	10	1	2	11	12	13	14	3450	11450	site	4.2835	1	21	4
run3	6	list6_19463_wound_high1	1	10	1	2	11	12	13	14	3200	11200	wound	4.4235	1	33.5	5
run3	6	list6_2751_cart_high1	1	10	1	2	11	12	13	14	3350	11350	cart	3.9565	1	34	4
run3	6	list6_16981_streak_high1	1	10	1	2	11	12	13	14	3500	11500	streak	3.7631	1	45.4	6
run3	6	list6_13880_prune_low1	3	30	1	2	31	32	33	34	3300	11300	prune	3.1726	1	30.5	5
run3	6	list6_7084_furniture_high3	2	20	1	2	21	22	23	24	3300	11300	furniture	4.1783	3	35.13	9
run3	6	list6_8897_industry_high3	2	20	1	2	21	22	23	24	3500	11500	industry	4.0678	3	50.14	8
run3	6	list6_10414_mag_low1	3	30	1	2	31	32	33	34	3200	11200	mag	3.1895	1	11	3
run3	6	list6_3214_chump_low1	3	30	1	2	31	32	33	34	3200	11200	chump	3.6141	1	23.25	5
