run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run4	2	list2_14928_rock_high1	1	10	1	2	11	12	13	14	3250	11250	rock	4.9348	1	27.67	4
run4	2	list2_18743_vent_low1	3	30	1	2	31	32	33	34	3350	11350	vent	3.6459	1	21.33	4
run4	2	list2_17800_threat_high1	1	10	1	2	11	12	13	14	3350	11350	threat	4.3171	1	33.8	6
run4	2	list2_17968_tolerance_low3	4	40	1	2	41	42	43	44	3200	11200	tolerance	3.4091	3	77.38	9
run4	2	list2_743_artery_high3	2	20	1	2	21	22	23	24	3400	11400	artery	3.7264	3	48.6	6
run4	2	list2_8064_hash_low1	3	30	1	2	31	32	33	34	3500	11500	hash	3.5495	1	30	4
run4	2	list2_10188_location_high3	2	20	1	2	21	22	23	24	3400	11400	location	4.3936	3	87.43	8
run4	2	list2_9681_landlady_low3	4	40	1	2	41	42	43	44	3450	11450	landlady	3.3212	3	48.14	8
run4	2	list2_3626_commission_high3	2	20	1	2	21	22	23	24	3250	11250	commission	4.1394	3	111.44	10
run4	2	list2_17687_term_high1	1	10	1	2	11	12	13	14	3500	11500	term	4.2417	1	16	4
run4	2	list2_3903_cork_low1	3	30	1	2	31	32	33	34	3500	11500	cork	3.4592	1	30.33	4
run4	2	list2_19564_youth_high1	1	10	1	2	11	12	13	14	3300	11300	youth	4.2258	1	27.75	5
run4	2	list2_12369_oxygen_high3	2	20	1	2	21	22	23	24	3300	11300	oxygen	4.1425	3	40.8	6
run4	2	list2_4334_curb_low1	3	30	1	2	31	32	33	34	3350	11350	curb	3.6141	1	16.67	4
run4	2	list2_6369_fellowship_low3	4	40	1	2	41	42	43	44	3250	11250	fellowship	3.4708	3	22.44	10
run4	2	list2_3942_correction_low3	4	40	1	2	41	42	43	44	3450	11450	correction	3.5067	3	155.89	10
run4	2	list2_7235_gauze_low1	3	30	1	2	31	32	33	34	3450	11450	gauze	3.1611	1	14.25	5
run4	2	list2_5896_equipment_high3	2	20	1	2	21	22	23	24	3350	11350	equipment	4.4054	3	42.25	9
run4	2	list2_4339_cure_high1	1	10	1	2	11	12	13	14	3500	11500	cure	4.3188	1	27.67	4
run4	2	list2_18278_trip_high1	1	10	1	2	11	12	13	14	3350	11350	trip	4.9154	1	14	4
run4	2	list2_13725_probe_low1	3	30	1	2	31	32	33	34	3500	11500	probe	3.6459	1	28	5
run4	2	list2_12297_outsider_low3	4	40	1	2	41	42	43	44	3250	11250	outsider	3.3782	3	60.43	8
run4	2	list2_12218_orphanage_high3	2	20	1	2	21	22	23	24	3400	11400	orphanage	3.7296	3	24.63	9
run4	2	list2_5523_dynasty_low3	4	40	1	2	41	42	43	44	3450	11450	dynasty	3.4091	3	23.33	7
run4	2	list2_4012_coup_low1	3	30	1	2	31	32	33	34	3300	11300	coup	3.4189	1	20.33	4
run4	2	list2_17457_takeover_low3	4	40	1	2	41	42	43	44	3500	11500	takeover	3.2003	3	40.86	8
run4	2	list2_4716_den_high1	1	10	1	2	11	12	13	14	3200	11200	den	3.7874	1	6.5	3
run4	2	list2_3678_composer_low3	4	40	1	2	41	42	43	44	3400	11400	composer	3.399	3	89.14	8
run4	2	list2_16858_stern_high1	1	10	1	2	11	12	13	14	3500	11500	stern	3.8077	1	33	5
run4	2	list2_13578_precaution_low3	4	40	1	2	41	42	43	44	3400	11400	precaution	3.5349	3	122.11	10
run4	2	list2_17506_tap_high1	1	10	1	2	11	12	13	14	3300	11300	tap	4.1686	1	9	3
run4	2	list2_11278_monitor_high3	2	20	1	2	21	22	23	24	3200	11200	monitor	4.1179	3	41.83	7
run4	2	list2_12520_paperwork_high3	2	20	1	2	21	22	23	24	3450	11450	paperwork	4.0177	3	53.13	9
run4	2	list2_18003_tool_high1	1	10	1	2	11	12	13	14	3350	11350	tool	4.0314	1	29.67	4
run4	2	list2_8677_hydrogen_low3	4	40	1	2	41	42	43	44	3300	11300	hydrogen	3.4286	3	24	8
run4	2	list2_880_attention_high3	2	20	1	2	21	22	23	24	3400	11400	attention	4.9937	3	112	9
run4	2	list2_12790_peer_low1	3	30	1	2	31	32	33	34	3200	11200	peer	3.1895	1	26.67	4
run4	2	list2_12744_pea_low1	3	30	1	2	31	32	33	34	3400	11400	pea	3.5929	1	6.5	3
run4	2	list2_2177_brook_low1	3	30	1	2	31	32	33	34	3350	11350	brook	3.313	1	35.25	5
run4	2	list2_159_agreement_high3	2	20	1	2	21	22	23	24	3400	11400	agreement	4.2427	3	52.63	9
