run	list	file_num	cond_code	trigger_code	len	corr_resp	fix_code	word_code	delay_code	audioresp_code	jittered_ISI	total_time	Word	Zipfvalue	cmu_sylls	BF_TP	LEN_L
run2	4	list4_2839_caterer_low3	4	40	1	2	41	42	43	44	3400	11400	caterer	3.3212	3	121.67	7
run2	4	list4_5747_employee_high3	2	20	1	2	21	22	23	24	3200	11200	employee	4.0634	3	25.43	8
run2	4	list4_8371_hoax_low1	3	30	1	2	31	32	33	34	3200	11200	hoax	3.3853	1	17.67	4
run2	4	list4_7520_goof_low1	3	30	1	2	31	32	33	34	3200	11200	goof	3.3487	1	24.33	4
run2	4	list4_10672_mash_low1	3	30	1	2	31	32	33	34	3400	11400	mash	3.644	1	30.33	4
run2	4	list4_4202_crock_low1	3	30	1	2	31	32	33	34	3400	11400	crock	3.3089	1	43.5	5
run2	4	list4_4375_custody_high3	2	20	1	2	21	22	23	24	3300	11300	custody	4.2844	3	46.17	7
run2	4	list4_17062_stump_low1	3	30	1	2	31	32	33	34	3450	11450	stump	3.3922	1	29.5	5
run2	4	list4_14292_rat_high1	1	10	1	2	11	12	13	14	3250	11250	rat	4.513	1	10.5	3
run2	4	list4_6088_existence_high3	2	20	1	2	21	22	23	24	3350	11350	existence	4.0678	3	57.38	9
run2	4	list4_16213_slob_low1	3	30	1	2	31	32	33	34	3500	11500	slob	3.5543	1	15.67	4
run2	4	list4_6263_farce_low1	3	30	1	2	31	32	33	34	3250	11250	farce	3.2461	1	35.75	5
run2	4	list4_16202_sling_low1	3	30	1	2	31	32	33	34	3300	11300	sling	3.3637	1	47.75	5
run2	4	list4_13138_pit_high1	1	10	1	2	11	12	13	14	3450	11450	pit	4.1211	1	8	3
run2	4	list4_515_antenna_low3	4	40	1	2	41	42	43	44	3500	11500	antenna	3.3817	3	27	7
run2	4	list4_4943_dilemma_low3	4	40	1	2	41	42	43	44	3450	11450	dilemma	3.4189	3	27.5	7
run2	4	list4_3810_contestant_low3	4	40	1	2	41	42	43	44	3500	11500	contestant	3.4286	3	86.67	10
run2	4	list4_10500_mall_high1	1	10	1	2	11	12	13	14	3250	11250	mall	4.2764	1	38	4
run2	4	list4_8703_hypocrite_low3	4	40	1	2	41	42	43	44	3300	11300	hypocrite	3.5146	3	63.38	9
run2	4	list4_7554_governor_high3	2	20	1	2	21	22	23	24	3500	11500	governor	4.4286	3	42	8
run2	4	list4_12435_pair_high1	1	10	1	2	11	12	13	14	3400	11400	pair	4.5708	1	24.67	4
run2	4	list4_14038_pyramid_low3	4	40	1	2	41	42	43	44	3300	11300	pyramid	3.6036	3	17.83	7
run2	4	list4_13173_plague_high1	1	10	1	2	11	12	13	14	3500	11500	plague	3.9202	1	30.8	6
run2	4	list4_13204_plaque_low1	3	30	1	2	31	32	33	34	3500	11500	plaque	3.3212	1	29.2	6
run2	4	list4_3562_colony_high3	2	20	1	2	21	22	23	24	3250	11250	colony	3.7733	3	47.4	6
run2	4	list4_3095_chemistry_high3	2	20	1	2	21	22	23	24	3350	11350	chemistry	3.9382	3	37.25	9
run2	4	list4_4691_delusion_low3	4	40	1	2	41	42	43	44	3250	11250	delusion	3.4348	3	72.43	8
run2	4	list4_13839_protector_low3	4	40	1	2	41	42	43	44	3350	11350	protector	3.4679	3	60.75	9
run2	4	list4_1402_beep_high1	1	10	1	2	11	12	13	14	3200	11200	beep	3.8143	1	27.33	4
run2	4	list4_17847_tick_high1	1	10	1	2	11	12	13	14	3450	11450	tick	3.8612	1	27.67	4
run2	4	list4_10960_microwave_low3	4	40	1	2	41	42	43	44	3500	11500	microwave	3.5929	3	29.88	9
run2	4	list4_14407_recorder_high3	2	20	1	2	21	22	23	24	3450	11450	recorder	3.695	3	99	8
run2	4	list4_7691_grip_high1	1	10	1	2	11	12	13	14	3500	11500	grip	3.9864	1	14.33	4
run2	4	list4_10658_martini_high3	2	20	1	2	21	22	23	24	3450	11450	martini	3.9004	3	214.17	7
run2	4	list4_18905_visitor_high3	2	20	1	2	21	22	23	24	3300	11300	visitor	3.9421	3	34.5	7
run2	4	list4_506_ant_high1	1	10	1	2	11	12	13	14	3200	11200	ant	3.7296	1	2	3
run2	4	list4_5504_dwarf_low1	3	30	1	2	31	32	33	34	3300	11300	dwarf	3.4905	1	21.5	5
run2	4	list4_14511_register_high3	2	20	1	2	21	22	23	24	3400	11400	register	4.0416	3	117.29	8
run2	4	list4_3732_conductor_low3	4	40	1	2	41	42	43	44	3450	11450	conductor	3.485	3	68.88	9
run2	4	list4_19451_worm_high1	1	10	1	2	11	12	13	14	3300	11300	worm	4.0053	1	21	4
