Word|s	FREQcount|f	CDcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	All_PoS_SUBTLEX|s	All_freqs_SUBTLEX|f	Zipfvalue|f	syllables|f
bee	528	248	407	202	10.35	2.7235	2.96	2.3962	Noun	516.0	0.98	Noun.Name	516.11	4.015289814	1
beef	1005	643	895	598	19.71	3.0026	7.67	2.8089	Noun	994.0	0.99	Noun.Name.Verb	994.6.4	4.294432123	1
beer	3850	1805	3533	1738	75.49	3.5856	21.52	3.2567	Noun	3848.0	1.0	Noun.Name	3848.1	4.877407661	1
beer	548	382	475	372	10.75	2.7396	4.55	2.5832	Noun	548.0	1.0	Noun	548	4.031406487	1
beg	2600	1643	2388	1543	50.98	3.4151	19.59	3.2159	Verb	2530.0	0.98	Verb.Name	2530.58	4.706974494	1
began	1658	1095	1645	1090	32.51	3.2198	13.05	3.0398	Verb	1655.0	1.0	Verb	1655	4.511680528	2
begging	766	649	688	591	15.02	2.8848	7.74	2.8129	Verb	691.0	0.9	Verb.Noun	691.75	4.176629506	2
begin	2906	2013	2743	1945	56.98	3.4634	24.0	3.3041	Verb	2899.0	1.0	Verb.Noun	2899.1	4.755279174	2
begin	844	716	830	709	16.55	2.9269	8.54	2.8555	Verb	843.0	1.0	Verb	843	4.218690851	2
begun	538	461	533	457	10.55	2.7316	5.5	2.6646	Verb	538.0	1.0	Verb.Noun	538.1	4.023422907	2
behalf	620	536	619	535	12.16	2.7931	6.39	2.73	Preposition	394.0	0.63	Preposition.Noun	394.228	4.084925742	2
behave	828	652	721	585	16.24	2.9186	7.77	2.8149	Verb	828.0	1.0	Verb	828	4.210388673	2
being	599	441	573	437	11.75	2.7782	5.26	2.6454	Noun	603.0	1.0	Noun	603	4.069985393	2
believed	1788	1310	1774	1304	35.06	3.2526	15.62	3.1176	Verb	1786.0	1.0	Verb.Noun	1786.1	4.544444483	2
belief	885	708	876	703	17.35	2.9474	8.44	2.8506	Verb	884.0	1.0	Verb	884	4.239267864	2
bell	2006	1035	1387	821	39.33	3.3025	12.34	3.0154	Noun	1406.0	0.7	Noun.Name	1406.599	4.594381515	1
bell	671	383	550	334	13.16	2.8274	4.57	2.5843	Noun	656.0	0.98	Noun.Name	656.13	4.119203415	1
belly	794	582	728	553	15.57	2.9004	6.94	2.7657	Noun	789.0	0.99	Noun.Verb.Name	789.5.1	4.192201271	2
belong	2263	1576	2244	1567	44.37	3.3549	18.79	3.1978	Verb	2260.0	1.0	Verb	2260	4.646710565	2
belonged	510	439	496	427	10.0	2.7084	5.23	2.6435	Verb	507.0	1.0	Verb	507	4.000255042	2
belongs	1423	1109	1399	1094	27.9	3.1535	13.22	3.0453	Verb	1421.0	1.0	Verb.Noun	1421.1	4.445344131	2
beloved	651	484	609	463	12.76	2.8142	5.77	2.6857	Adjective	639.0	0.98	Adjective.Noun	639.11	4.106081738	2
below	1430	986	1379	964	28.04	3.1556	11.75	2.9943	Adverb	868.0	0.61	Adverb.Preposition	868.562	4.447473776	2
belt	1242	838	1180	810	24.35	3.0945	9.99	2.9238	Noun	1210.0	0.97	Noun.Verb.Name	1210.28.4	4.386305271	1
bend	768	562	575	466	15.06	2.8859	6.7	2.7505	Verb	579.0	0.75	Verb.Noun	579.189	4.177760482	1
beneath	593	465	518	417	11.63	2.7738	5.54	2.6684	Preposition	567.0	0.96	Preposition.Adverb	567.25	4.065620587	2
beside	774	611	718	570	15.18	2.8893	7.28	2.7868	Preposition	763.0	0.98	Preposition.Adverb	763.17	4.181135845	2
besides	4328	2891	1162	1021	84.86	3.6364	34.47	3.4612	Adverb	3503.0	0.81	Adverb.Preposition	3503.827	4.928221728	2
betrayed	590	453	562	440	11.57	2.7716	5.4	2.6571	Verb	545.0	0.93	Verb.Adjective	545.43	4.063421623	2
bet	537	277	521	271	10.53	2.7308	3.3	2.444	Noun	472.0	0.87	Noun.Verb	472.68	4.022616418	1
beyond	2200	1496	1982	1407	43.14	3.3426	17.84	3.1752	Preposition	1951.0	0.89	Preposition.Adverb.Noun	1951.223.23	4.634454185	2
bid	642	357	619	351	12.59	2.8082	4.26	2.5539	Verb	407.0	0.64	Verb.Noun	407.233	4.100045115	1
biggest	2085	1504	2002	1456	40.88	3.3193	17.93	3.1775	Adjective	2085.0	1.0	Adjective	2085	4.611148446	2
bike	1320	574	1298	569	25.88	3.1209	6.84	2.7597	Noun	1307.0	0.99	Noun.Verb.Name	1307.6.1	4.41273696	1
billion	568	359	562	355	11.14	2.7551	4.28	2.5563	Noun	568.0	1.0	Noun	568	4.046946409	2
bill	1096	754	1055	737	21.49	3.0402	8.99	2.8779	Noun	1090.0	1.0	Noun.Verb.Name	1090.3.2	4.33204077	1
bingo	640	449	187	125	12.55	2.8069	5.35	2.6532	Noun	636.0	1.0	Noun	636	4.098692172	2
bird	2318	1196	2007	1095	45.45	3.3653	14.26	3.0781	Noun	2195.0	0.95	Noun.Name	2195.114	4.657134891	1
bird	1320	737	1176	672	25.88	3.1209	8.79	2.8681	Noun	1261.0	0.95	Noun.Name	1261.61	4.41273696	1
birth	1405	948	1344	907	27.55	3.148	11.3	2.9773	Noun	1405.0	1.0	Noun	1405	4.439819463	1
birthday	4958	1672	4766	1642	97.22	3.6954	19.93	3.2235	Noun	4941.0	1.0	Noun.Name	4941.1	4.98722825	2
bishop	855	198	199	100	16.76	2.9325	2.36	2.2989	Noun	600.0	0.71	Noun.Name	600.251	4.224307907	2
