,Word,Unnamed,FREQcount,CDcount,FREQlow,Cdlow,SUBLTLWF,Lg10WF,SUBTLCD,Lg10CD,Dom_PoS_SUBTLEX,Freq_dom_PoS_SUBTLEX,Percentage_dom_PoS,All_PoS_SUBTLEX,All_freqs_SUBTLEX,Zipfvalue,CMUSylls
40,accords,398,9,9,8,8,0.17647058823529396,1.0,0.107296137339056,1.0,Noun,5,0.555555555555556,Noun.Verb,5.4,2.29183414214446,2
41,accountant,407,315,191,303,185,6.17647058823529,2.4996870826184,2.2770624701955198,2.2833012287035497,Noun,315,1.0,Noun,315,3.79152122476286,3
42,accounting,410,230,179,186,151,4.50980392156863,2.36361197989214,2.13400095374344,2.25527250510331,Noun,180,0.7826086956521741,Noun.Verb.Adjective,180.47.3,3.6554461220366,3
43,accrual,422,2,2,2,2,0.0392156862745098,0.47712125471966205,0.0238435860753457,0.47712125471966205,Noun,2,1.0,Noun,2,1.76895539686412,3
44,accuracy,435,76,65,73,63,1.4901960784313704,1.88649072517248,0.774916547448736,1.81954393554187,Noun,76,1.0,Noun,76,3.17832486731694,4
45,accusers,445,8,8,8,8,0.156862745098039,0.9542425094393249,0.0953743443013829,0.9542425094393249,Noun,8,1.0,Noun,8,2.24607665158378,3
46,aces,454,202,136,132,96,3.96078431372549,2.30749603791321,1.62136385312351,2.13672056715641,Noun,202,1.0,Noun,202,3.59933018005767,2
47,acid,488,508,323,466,305,9.96078431372549,2.7067177823367596,3.85073915116834,2.51054501020661,Noun,502,0.988188976377953,Noun.Adjective,502.6,3.9985519244812204,2
48,acidity,491,10,8,9,7,0.19607843137254896,1.04139268515823,0.0953743443013829,0.9542425094393249,Noun,10,1.0,Noun,10,2.3332268273026804,4
49,acids,496,42,33,41,33,0.823529411764706,1.6334684555795902,0.393419170243205,1.5314789170422598,Noun,41,1.0,Noun,41,2.9253025977240497,2
50,acne,511,46,37,45,36,0.901960784313726,1.6720978579357202,0.44110634239389596,1.57978359661681,Noun,46,1.0,Noun,46,2.96393200008018,2
51,acolyte,513,7,7,7,7,0.137254901960784,0.9030899869919442,0.0834525512637101,0.9030899869919442,Noun,7,1.0,Noun,7,2.1949241291364,3
52,acorn,517,37,16,29,14,0.7254901960784309,1.57978359661681,0.19074868860276603,1.23044892137827,Noun,37,1.0,Noun,37,2.87161773876127,2
53,acoustics,522,22,22,22,22,0.431372549019608,1.3617278360175902,0.262279446828803,1.3617278360175902,Noun,22,1.0,Noun,22,2.65356197816205,3
54,acquittal,544,37,33,36,32,0.7254901960784309,1.57978359661681,0.393419170243205,1.5314789170422598,Noun,37,1.0,Noun,37,2.87161773876127,3
55,acre,548,93,55,67,50,1.8235294117647098,1.9731278535997,0.6556986170720079,1.7481880270062,Noun,93,1.0,Noun,93,3.2649619957441605,2
56,acres,550,234,159,185,139,4.58823529411765,2.3710678622717403,1.89556509298999,2.2041199826559197,Noun,234,1.0,Noun,234,3.6629020044161997,2
57,acrobat,554,30,21,27,21,0.588235294117647,1.49136169383427,0.25035765379113,1.34242268082221,Noun,25,0.833333333333333,Noun.Verb.Name,25.3.2,2.78319583597873,3
58,acrobats,557,19,19,19,19,0.3725490196078429,1.30102999566398,0.226514067715784,1.30102999566398,Noun,16,0.8888888888888891,Noun.Verb,16.2,2.59286413780844,3
59,acronyms,561,7,7,7,7,0.137254901960784,0.9030899869919442,0.0834525512637101,0.9030899869919442,Noun,7,1.0,Noun,7,2.1949241291364,3
60,acropolis,563,6,5,0,0,0.11764705882352902,0.8450980400142571,0.0596089651883643,0.7781512503836441,Noun,5,0.833333333333333,Noun.Name,5.1,2.13693218215872,4
61,activation,583,43,33,40,30,0.8431372549019609,1.6434526764861899,0.393419170243205,1.5314789170422598,Noun,43,1.0,Noun,43,2.93528681863065,4
62,actives,587,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,2
63,activist,589,50,40,47,37,0.980392156862745,1.7075701760979398,0.4768717215069149,1.6127838567197401,Noun,50,1.0,Noun,50,2.9994043182423997,3
64,activities,591,439,353,431,347,8.607843137254902,2.64345267648619,4.20839294229852,2.54900326202579,Noun,438,0.997722095671982,Noun.Verb,438.1,3.93528681863065,4
65,actor,594,1343,574,1293,561,26.3333333333333,3.1283992687178097,6.8431092036242305,2.7596678446896297,Noun,1336,0.99925205684368,Noun.Name,1336.1,4.420233410862269,2
66,actress,597,817,379,783,370,16.0196078431373,2.91275330367132,4.51835956127802,2.57978359661681,Noun,814,1.0,Noun,814,4.20458744581578,2
67,acts,599,636,527,614,514,12.470588235294098,2.80413943233535,6.282784930853599,2.7226339225338103,Noun,353,0.555031446540881,Noun.Verb,353.283,4.09597357447981,1
68,actuality,605,24,22,24,22,0.47058823529411803,1.3979400086720402,0.262279446828803,1.3617278360175902,Noun,24,1.0,Noun,24,2.6897741508165,5
69,actuary,613,7,6,4,4,0.137254901960784,0.9030899869919442,0.0715307582260372,0.8450980400142571,Noun,7,1.0,Noun,7,2.1949241291364,4
70,actuator,618,2,2,2,2,0.0392156862745098,0.47712125471966205,0.0238435860753457,0.47712125471966205,Noun,2,1.0,Noun,2,1.76895539686412,4
71,acuity,620,14,14,14,14,0.27450980392156893,1.1760912590556798,0.16690510252742002,1.1760912590556798,Noun,14,1.0,Noun,14,2.46792540120014,4
72,acuteness,628,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
73,adaptors,652,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
74,addendum,659,15,12,10,7,0.294117647058824,1.20411998265592,0.14306151645207402,1.11394335230684,Noun,15,1.0,Noun,15,2.49595412480038,3
75,adder,661,73,18,8,6,1.43137254901961,1.86923171973098,0.214592274678112,1.27875360095283,Noun,68,0.931506849315068,Noun.Name,68.5,3.1610658618754397,2
76,addict,663,273,193,273,193,5.35294117647059,2.43775056282039,2.30090605627086,2.28780172993023,Noun,271,1.0,Noun,271,3.72958470496485,2
77,addictions,667,21,14,21,14,0.411764705882353,1.34242268082221,0.16690510252742002,1.1760912590556798,Noun,20,0.9523809523809521,Noun.Verb,20.1,2.6342568229666696,3
78,addicts,670,106,79,96,74,2.07843137254902,2.02938377768521,0.9418216499761559,1.9030899869919398,Noun,106,1.0,Noun,106,3.32121791982967,2
79,additions,678,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,Noun,11,1.0,Noun,11,2.37101538819208,3
80,addressee,688,6,6,6,6,0.11764705882352902,0.8450980400142571,0.0715307582260372,0.8450980400142571,Noun,6,1.0,Noun,6,2.13693218215872,3
81,adenosine,707,6,4,5,4,0.11764705882352902,0.8450980400142571,0.0476871721506915,0.698970004336019,Noun,5,0.833333333333333,Noun.Verb,5.1,2.13693218215872,4
82,adherence,717,9,9,8,8,0.17647058823529396,1.0,0.107296137339056,1.0,Noun,9,1.0,Noun,9,2.29183414214446,3
83,adherents,719,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
84,adhesion,722,6,6,6,6,0.11764705882352902,0.8450980400142571,0.0715307582260372,0.8450980400142571,Noun,6,1.0,Noun,6,2.13693218215872,3
85,adhesive,724,47,42,42,38,0.9215686274509799,1.6812412373755903,0.50071530758226,1.6334684555795902,Noun,24,0.51063829787234,Noun.Adjective,24.23,2.9730753795200497,3
86,adjective,735,25,21,23,20,0.49019607843137303,1.41497334797082,0.25035765379113,1.34242268082221,Noun,25,1.0,Noun,25,2.7068074901152794,3
87,adjuster,759,20,17,19,16,0.3921568627450979,1.32221929473392,0.202670481640439,1.25527250510331,Noun,20,1.0,Noun,20,2.61405343687838,3
88,adjustment,762,158,129,152,125,3.09803921568627,2.20139712432045,1.5379113018597999,2.11394335230684,Noun,157,1.0,Noun,157,3.49323126646491,3
89,admirals,787,29,21,19,15,0.5686274509803921,1.47712125471966,0.25035765379113,1.34242268082221,Noun,29,1.0,Noun,29,2.7689553968641203,3
90,admiration,789,107,99,104,98,2.09803921568627,2.03342375548695,1.1802575107296103,2.0,Noun,107,1.0,Noun,107,3.32525789763141,4
91,admirers,793,49,44,48,44,0.96078431372549,1.69897000433602,0.524558893657606,1.65321251377534,Noun,49,1.0,Noun,49,2.99080414648048,3
92,admission,798,181,164,167,153,3.54901960784314,2.26007138798507,1.95517405817835,2.2174839442139103,Noun,181,1.0,Noun,181,3.5519055301295297,3
93,admittance,802,34,25,30,21,0.666666666666667,1.5440680443502801,0.298044825941822,1.41497334797082,Noun,34,1.0,Noun,34,2.8359021864947405,3
94,ado,818,77,69,73,67,1.5098039215686296,1.8920946026904801,0.822603719599428,1.84509804001426,Noun,75,1.0,Noun,75,3.18392874483494,2
95,adonis,827,20,17,3,3,0.3921568627450979,1.32221929473392,0.202670481640439,1.25527250510331,Noun,13,0.65,Noun.Name,13.7,2.61405343687838,3
96,adoption,833,239,140,227,135,4.68627450980392,2.38021124171161,1.6690510252742,2.1492191126553797,Noun,239,1.0,Noun,239,3.67204538385607,3
97,adoration,841,30,25,27,22,0.588235294117647,1.49136169383427,0.298044825941822,1.41497334797082,Noun,30,1.0,Noun,30,2.78319583597873,4
98,adornment,851,4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.6020599913279621,Noun,4,1.0,Noun,4,1.9908041464804798,3
99,adrenalin,856,28,23,22,18,0.549019607843137,1.4623979978989599,0.27420123986647604,1.38021124171161,Noun,27,0.9642857142857142,Noun.Name,27.1,2.75423214004342,4
100,ads,866,258,180,242,173,5.05882352941176,2.41329976408125,2.14592274678112,2.25767857486918,Noun,258,1.0,Noun,258,3.70513390622571,1
101,adult,868,729,573,699,559,14.294117647058801,2.86332286012046,6.83118741058655,2.75891189239797,Noun,656,0.903581267217631,Noun.Adjective,656.70,4.15515700226492,2
102,adulterer,873,20,12,15,10,0.3921568627450979,1.32221929473392,0.14306151645207402,1.11394335230684,Noun,16,0.8,Noun.Name.Adjective,16.2.2,2.61405343687838,4
103,adulthood,879,37,33,37,33,0.7254901960784309,1.57978359661681,0.393419170243205,1.5314789170422598,Noun,36,1.0,Noun,36,2.87161773876127,3
104,advances,887,148,124,144,124,2.90196078431373,2.17318626841227,1.47830233667144,2.0969100130080602,Noun,130,0.878378378378378,Noun.Verb,130.18,3.46502041055673,3
105,advantages,892,144,124,141,123,2.82352941176471,2.16136800223497,1.47830233667144,2.0969100130080602,Noun,144,1.0,Noun,144,3.4532021443794303,4
106,adventists,895,7,2,0,0,0.137254901960784,0.9030899869919442,0.0238435860753457,0.47712125471966205,Noun,7,1.0,Noun,7,2.1949241291364,3
107,adventurer,897,37,32,33,30,0.7254901960784309,1.57978359661681,0.38149737720553206,1.5185139398778897,Noun,37,1.0,Noun,37,2.87161773876127,4
108,adventures,899,184,142,150,124,3.6078431372549,2.2671717284030097,1.6928946113495502,2.15533603746506,Noun,184,1.0,Noun,184,3.5590058705474705,3
109,adverb,906,10,6,6,4,0.19607843137254896,1.04139268515823,0.0715307582260372,0.8450980400142571,Noun,10,1.0,Noun,10,2.3332268273026804,2
110,adviser,937,53,45,49,41,1.03921568627451,1.73239375982297,0.5364806866952789,1.66275783168157,Noun,53,1.0,Noun,53,3.0242279019674303,3
111,advisor,941,225,145,198,132,4.41176470588235,2.3541084391474,1.7286599904625701,2.1643528557844403,Noun,224,0.995555555555556,Noun.Name,224.1,3.6459425812918598,3
112,advocacy,946,15,14,14,13,0.294117647058824,1.20411998265592,0.16690510252742002,1.1760912590556798,Noun,15,1.0,Noun,15,2.49595412480038,4
113,advocates,949,17,16,15,15,0.33333333333333304,1.25527250510331,0.19074868860276603,1.23044892137827,Noun,17,1.0,Noun,17,2.54710664724777,3
114,aerie,967,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,2
115,aero,969,5,5,3,3,0.0980392156862745,0.7781512503836441,0.0596089651883643,0.7781512503836441,Noun,4,0.8,Noun.Name,4.1,2.0699853925281,2
116,aerobics,973,79,54,65,48,1.5490196078431397,1.9030899869919398,0.6437768240343349,1.74036268949424,Noun,71,0.9102564102564101,Noun.Name,71.7,3.1949241291363997,3
117,aerosols,988,1,1,0,0,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
118,aesthete,994,6,6,6,6,0.11764705882352902,0.8450980400142571,0.0715307582260372,0.8450980400142571,Noun,6,1.0,Noun,6,2.13693218215872,2
119,aesthetics,998,15,13,12,11,0.294117647058824,1.20411998265592,0.15498330948974698,1.14612803567824,Noun,15,1.0,Noun,15,2.49595412480038,3
120,affair,1013,1502,834,1467,821,29.450980392156897,3.1769589805869103,9.94277539341917,2.9216864754836,Noun,1502,1.0,Noun,1502,4.468793122731371,2
121,affections,1026,61,52,61,52,1.1960784313725499,1.79239168949825,0.619933237958989,1.72427586960079,Noun,61,1.0,Noun,61,3.08422583164271,3
122,affiant,1032,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
123,affidavits,1036,31,20,31,20,0.607843137254902,1.5051499783199098,0.238435860753457,1.32221929473392,Noun,31,1.0,Noun,31,2.79698412046437,4
124,affiliates,1039,17,15,16,14,0.33333333333333304,1.25527250510331,0.178826895565093,1.20411998265592,Noun,17,1.0,Noun,17,2.54710664724777,4
125,affliction,1057,60,53,58,51,1.1764705882352902,1.78532983501077,0.631855030996662,1.73239375982297,Noun,60,1.0,Noun,60,3.07716397715523,3
126,affluence,1061,7,6,6,5,0.137254901960784,0.9030899869919442,0.0715307582260372,0.8450980400142571,Noun,7,1.0,Noun,7,2.1949241291364,3
127,afghani,1073,6,5,0,0,0.11764705882352902,0.8450980400142571,0.0596089651883643,0.7781512503836441,Noun,6,1.0,Noun,6,2.13693218215872,3
128,afghans,1076,10,8,2,2,0.19607843137254896,1.04139268515823,0.0953743443013829,0.9542425094393249,Noun,10,1.0,Noun,10,2.3332268273026804,2
129,afoul,1091,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,Noun,11,1.0,Noun,11,2.37101538819208,2
130,afrikaans,1097,3,1,0,0,0.0588235294117647,0.6020599913279621,0.0119217930376729,0.30102999566398103,Noun,3,1.0,Noun,3,1.89389413347242,3
131,afro,1099,57,34,17,14,1.11764705882353,1.76342799356294,0.40534096328087704,1.5440680443502801,Noun,45,0.7894736842105259,Noun.Adjective,45.12,3.0552621357074,2
132,afterimage,1111,2,1,2,1,0.0392156862745098,0.47712125471966205,0.0119217930376729,0.30102999566398103,Noun,2,1.0,Noun,2,1.76895539686412,4
133,aftermath,1115,53,51,51,49,1.03921568627451,1.73239375982297,0.6080114449213161,1.7160033436348001,Noun,53,1.0,Noun,53,3.0242279019674303,3
134,afternoons,1119,101,90,99,88,1.98039215686275,2.0086001717619197,1.07296137339056,1.95904139232109,Noun,101,1.0,Noun,101,3.30043431390638,3
135,aftertaste,1126,11,9,11,9,0.215686274509804,1.07918124604762,0.107296137339056,1.0,Noun,11,1.0,Noun,11,2.37101538819208,3
136,agates,1145,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,2
137,agencies,1155,164,134,161,132,3.2156862745098,2.2174839442139103,1.5975202670481599,2.13033376849501,Noun,164,1.0,Noun,164,3.50931808635837,3
138,agenda,1157,373,272,360,267,7.31372549019608,2.5728716022004803,3.24272770624702,2.4361626470407596,Noun,372,0.997319034852547,Noun.Name,372.1,3.86470574434494,3
139,agent,1159,5235,1399,2519,1158,102.647058823529,3.7189996378787202,16.6785884597043,3.14612803567824,Noun,5209,0.9996161965073879,Noun.Name,5209.2,5.010833780023179,2
140,ager,1162,1,1,0,0,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,2
141,ageratum,1163,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,4
142,ages,1164,567,472,468,394,11.117647058823499,2.75434833571102,5.627086313781589,2.6748611407378102,Noun,543,0.9627659574468079,Noun.Verb,543.21,4.04618247785548,2
143,aggregate,1177,10,10,10,10,0.19607843137254896,1.04139268515823,0.119217930376729,1.04139268515823,Noun,5,0.5,Noun.Adjective.Verb,5.4.1,2.3332268273026804,3
144,aggression,1183,143,109,134,105,2.8039215686274503,2.1583624920952498,1.29947544110634,2.04139268515822,Noun,143,1.0,Noun,143,3.45019663423971,3
145,aggressor,1188,29,23,27,22,0.5686274509803921,1.47712125471966,0.27420123986647604,1.38021124171161,Noun,29,1.0,Noun,29,2.7689553968641203,3
146,aggressors,1189,15,14,15,14,0.294117647058824,1.20411998265592,0.16690510252742002,1.1760912590556798,Noun,15,1.0,Noun,15,2.49595412480038,3
147,agility,1195,23,16,18,13,0.450980392156863,1.38021124171161,0.19074868860276603,1.23044892137827,Noun,23,1.0,Noun,23,2.67204538385607,4
148,agin,1196,21,15,21,15,0.411764705882353,1.34242268082221,0.178826895565093,1.20411998265592,Noun,21,1.0,Noun,21,2.6342568229666696,2
149,agitation,1205,25,23,23,21,0.49019607843137303,1.41497334797082,0.27420123986647604,1.38021124171161,Noun,25,1.0,Noun,25,2.7068074901152794,4
150,agitator,1207,11,11,10,10,0.215686274509804,1.07918124604762,0.131139723414402,1.07918124604762,Noun,11,1.0,Noun,11,2.37101538819208,4
151,agitators,1208,13,8,12,8,0.254901960784314,1.14612803567824,0.0953743443013829,0.9542425094393249,Noun,13,1.0,Noun,13,2.4379621778227003,4
152,agitprop,1209,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
153,agnostic,1215,19,17,15,13,0.3725490196078429,1.30102999566398,0.202670481640439,1.25527250510331,Noun,11,0.578947368421053,Noun.Adjective,11.8,2.59286413780844,3
154,agonies,1219,12,9,10,8,0.23529411764705901,1.11394335230684,0.107296137339056,1.0,Noun,12,1.0,Noun,12,2.4057774944513,3
155,agonist,1222,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
156,agony,1226,191,171,176,159,3.74509803921569,2.2833012287035497,2.03862660944206,2.2355284469075496,Noun,191,1.0,Noun,191,3.5751353708480096,3
157,agora,1227,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
158,agreement,1242,892,603,867,594,17.490196078431403,2.95085145888855,7.18884120171674,2.78103693862113,Noun,887,1.0,Noun,887,4.24268560103301,3
159,agreements,1243,41,35,40,35,0.8039215686274509,1.6232492903979001,0.41726275631855,1.55630250076729,Noun,42,1.0,Noun,42,2.91508343254236,3
160,aguacate,1255,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
161,aho,1269,8,3,0,0,0.156862745098039,0.9542425094393249,0.0357653791130186,0.6020599913279621,Noun,4,0.8,Noun.Name,4.1,2.24607665158378,2
162,ahold,1270,307,263,307,263,6.0196078431372495,2.48855071650044,3.13543156890796,2.4216039268698304,Noun,306,1.0,Noun,306,3.7803848586449,2
163,ahoy,1272,189,98,31,24,3.7058823529411806,2.27875360095283,1.16833571769194,1.9956351945975501,Noun,175,0.9308510638297869,Noun.Name,175.13,3.5705877430972897,2
164,ahs,1273,4,4,2,2,0.0784313725490196,0.698970004336019,0.0476871721506915,0.698970004336019,Noun,4,1.0,Noun,4,1.9908041464804798,1
165,aid,1276,709,496,613,448,13.901960784313701,2.85125834871908,5.91320934668574,2.69635638873333,Noun,604,0.8531073446327679,Noun.Verb.Preposition.Name,604.95.8.1,4.14309249086353,1
166,aide,1278,103,81,87,70,2.01960784313725,2.01703333929878,0.9656652360515021,1.91381385238372,Noun,103,1.0,Noun,103,3.30886748144324,1
167,aides,1281,32,28,32,28,0.627450980392157,1.5185139398778897,0.33381020505484005,1.4623979978989599,Noun,32,1.0,Noun,32,2.8103480820223496,1
168,aids,1283,54,41,41,34,1.05882352941176,1.74036268949424,0.48879351454458797,1.6232492903979001,Noun,52,0.945454545454545,Noun.Verb,52.3,3.0321968316387005,1
169,aileron,1287,1,1,1,1,0.0196078431372549,0.30102999566398103,0.0119217930376729,0.30102999566398103,Noun,1,1.0,Noun,1,1.59286413780844,3
170,ailerons,1288,4,3,4,3,0.0784313725490196,0.698970004336019,0.0357653791130186,0.6020599913279621,Noun,4,1.0,Noun,4,1.9908041464804798,3
