"numid.f" "X.f" "Word.s" "Unnamed.f" "FREQcount.f" "Cdcount.f" "FREQlow.f" "Cdlow.f" "SUBLTLWF.f" "Lg10WF.f" "SUBTLCD.f" "Lg10CD.f" "Dom_PoS_SUBTLEX.s" "Freq_dom_PoS_SUBTLEX.f" "Percentage_dom_PoS.f" "Zipfvalue.f" "cmu_sylls.f" "BF_TP.f" "LEN_L.f" "N.f" "Zipfvalue_incl.f" "Zipfvalue_cat.s"
"138" 1416 1415 "beginning" 5462 3219 2242 3142 2207 63.11764706 3.507855872 26.72865999 3.350829274 "Noun" 1883 0.5858743 4.799690014 3 201.25 9 0 1 "high"
"141" 1438 1437 "bell" 5576 2006 1035 1387 821 39.33333333 3.302547372 12.33905579 3.015359755 "Noun" 1406 0.701246883 4.594381515 1 32.33 4 13 1 "high"
"147" 1594 1593 "birth" 6242 1405 948 1344 907 27.54901961 3.147985321 11.3018598 2.977266212 "Noun" 1405 1 4.439819463 1 26 5 5 1 "high"
"148" 1613 1612 "bit" 6275 11987 5084 11793 5059 235.0392157 4.078746734 60.6103958 3.706290957 "Noun" 6057 0.505592654 5.370580876 1 8 3 17 1 "high"
"151" 1649 1648 "blasphemy" 6452 75 63 54 51 1.470588235 1.880813592 0.751072961 1.806179974 "Noun" 74 1 3.172647734 3 23.5 9 1 1 "low"
"157" 1688 1687 "block" 6607 2067 1318 1808 1252 40.52941176 3.315550534 15.71292322 3.120244796 "Noun" 1651 0.800290839 4.607384677 1 37.75 5 4 1 "high"
"159" 1704 1703 "blood" 6644 9492 3526 8698 3393 186.1176471 3.977403481 42.03624225 3.54740546 "Noun" 9460 0.997364259 5.269237623 1 33.25 5 4 1 "high"
"160" 1724 1723 "blouse" 6707 272 187 254 187 5.333333333 2.436162647 2.229375298 2.274157849 "Noun" 272 1 3.727996789 1 36.6 6 0 1 "high"
"162" 1755 1754 "bluff" 6796 317 215 257 198 6.215686275 2.50242712 2.563185503 2.334453751 "Noun" 212 0.666666667 3.794261262 1 23.25 5 1 1 "high"
"166" 1768 1767 "board" 6847 3272 1682 2920 1575 64.15686275 3.514946005 20.05245589 3.226084116 "Noun" 2372 0.726715686 4.806780147 1 39.25 5 3 1 "high"
"168" 1822 1821 "bolt" 7045 351 226 263 202 6.882352941 2.546542663 2.694325227 2.356025857 "Noun" 295 0.845272206 3.838376806 1 29.33 4 11 1 "high"
"173" 1902 1901 "booth" 7255 1039 419 567 355 20.37254902 3.017033339 4.995231283 2.62324929 "Noun" 679 0.655405405 4.308867481 1 41 5 4 1 "high"
"175" 1977 1976 "bow" 7483 1034 609 857 552 20.2745098 3.01494035 7.26037196 2.785329835 "Noun" 598 0.582278481 4.306774492 1 10 3 18 1 "high"
"176" 1991 1990 "box" 7514 4577 2353 4355 2296 89.74509804 3.660675788 28.05197902 3.371806459 "Noun" 4388 0.959125683 4.95250993 1 6.5 3 11 1 "high"
"177" 1998 1997 "boy" 7528 27021 6133 22615 5690 529.8235294 4.43171749 73.1163567 3.787743772 "Noun" 26859 0.998958605 5.723551632 1 7 3 14 1 "high"
"180" 2034 2033 "branch" 7637 514 374 435 340 10.07843137 2.711807229 4.458750596 2.574031268 "Noun" 477 0.928015564 4.003641371 1 58.2 6 1 1 "high"
"181" 2036 2035 "brand" 7642 712 499 587 458 13.96078431 2.85308953 5.948974726 2.698970004 "Noun" 357 0.501404494 4.144923672 1 46.75 5 3 1 "high"
"182" 2043 2042 "brass" 7669 618 385 364 292 12.11764706 2.791690649 4.58989032 2.586587305 "Noun" 597 0.969155844 4.083524791 1 44.25 5 3 1 "high"
"187" 2080 2079 "breath" 7779 2291 1603 2232 1574 44.92156863 3.360214613 19.11063424 3.205204364 "Noun" 2231 0.974235808 4.652048755 1 48.2 6 2 1 "high"
"189" 2090 2089 "breeze" 7810 410 324 374 304 8.039215686 2.613841822 3.862660944 2.511883361 "Noun" 404 0.985365854 3.905675964 1 36 6 2 1 "high"
"192" 2110 2109 "bride" 7868 1235 638 1148 612 24.21568627 3.092018471 7.606103958 2.805500858 "Noun" 1204 0.982055465 4.383852613 1 36.75 5 3 1 "high"
"193" 2114 2113 "bridge" 7874 2331 1046 1847 889 45.70588235 3.367728546 12.47019552 3.019946682 "Noun" 2249 0.966480447 4.659562688 1 45.4 6 2 1 "high"
"201" 2217 2216 "buck" 8217 1721 697 612 469 33.74509804 3.236033147 8.309489747 2.843855423 "Noun" 1678 0.977855478 4.527867289 1 27 4 13 1 "high"
"203" 2247 2246 "bug" 8302 1068 583 878 541 20.94117647 3.028977705 6.950405341 2.766412847 "Noun" 730 0.682881197 4.320811847 1 8.5 3 19 1 "high"
"206" 2303 2302 "bump" 8448 630 469 577 449 12.35294118 2.800029359 5.591320935 2.672097858 "Noun" 328 0.520634921 4.091863501 1 18.67 4 8 1 "high"
"208" 2310 2309 "bunch" 8464 3003 2105 2846 2027 58.88235294 3.477699928 25.09537434 3.323458367 "Noun" 2982 0.994 4.76953407 1 37.75 5 6 1 "high"
"214" 2366 2365 "bush" 8658 720 403 369 273 14.11764706 2.857935265 4.804482594 2.606381365 "Noun" 386 0.536111111 4.149769407 1 25 4 9 1 "high"
"216" 2434 2433 "cab" 8840 1826 961 1709 926 35.80392157 3.261738547 11.45684311 2.983175072 "Noun" 1822 1 4.553572689 1 6.5 3 13 1 "high"
"217" 2439 2438 "cabaret" 8855 115 44 78 35 2.254901961 2.064457989 0.524558894 1.653212514 "Noun" 115 1 3.356292131 3 52.5 7 0 1 "low"
"220" 2511 2510 "calcium" 9016 90 58 77 55 1.764705882 1.959041392 0.691463996 1.770852012 "Noun" 90 1 3.250875534 3 43.5 7 0 1 "low"
"222" 2520 2519 "caliber" 9045 139 110 138 109 2.725490196 2.146128036 1.311397234 2.045322979 "Noun" 139 1 3.437962178 3 95.83 7 0 1 "low"
"224" 2550 2549 "camp" 9177 2612 1094 2309 1016 51.21568627 3.41713941 13.04244158 3.039414119 "Noun" 2366 0.90651341 4.708973552 1 21 4 6 1 "high"
"227" 2594 2593 "canister" 9299 73 35 73 35 1.431372549 1.86923172 0.417262756 1.556302501 "Noun" 73 1 3.161065862 3 110.43 8 1 1 "low"
"228" 2606 2605 "cannonball" 9328 73 49 35 23 1.431372549 1.86923172 0.584167859 1.698970004 "Noun" 72 0.98630137 3.161065862 3 21 10 0 1 "low"
"230" 2633 2632 "cap" 9397 956 619 687 524 18.74509804 2.980911938 7.37958989 2.792391689 "Noun" 765 0.904255319 4.27274608 1 9.5 3 19 1 "high"
"233" 2689 2688 "card" 9577 4357 2107 4236 2076 85.43137255 3.639287226 25.11921793 3.323870607 "Noun" 4343 0.997702734 4.931121368 1 33.67 4 12 1 "high"
"237" 2732 2731 "carousel" 9743 73 50 52 40 1.431372549 1.86923172 0.596089652 1.707570176 "Noun" 49 0.671232877 3.161065862 3 60.71 8 0 1 "low"
"240" 2772 2771 "case" 9866 14403 4885 14006 4849 282.4117647 4.158483113 58.23795899 3.688953463 "Noun" 11861 0.823623359 5.450317255 1 26 4 14 1 "high"
"241" 2779 2778 "cash" 9882 3694 1919 3231 1801 72.43137255 3.567614443 22.87792084 3.283301229 "Noun" 3291 0.892111683 4.859448585 1 28 4 12 1 "high"
"245" 2820 2819 "catalogue" 9983 108 74 102 69 2.117647059 2.037426498 0.882212685 1.875061263 "Noun" 100 0.925925926 3.32926064 3 30.88 9 0 1 "low"
"249" 2867 2866 "cause" 10141 15812 4946 9988 4274 310.0392157 4.199014271 58.96518836 3.69434191 "Noun" 13050 0.826891395 5.490848413 1 36.75 5 1 1 "high"
"250" 2877 2876 "cavalry" 10177 317 186 216 156 6.215686275 2.50242712 2.217453505 2.271841607 "Noun" 317 1 3.794261262 3 43.17 7 0 1 "high"
"251" 2878 2877 "cave" 10180 713 365 666 348 13.98039216 2.853698212 4.351454459 2.563481085 "Noun" 688 0.964936886 4.145532354 1 19 4 16 1 "high"
"254" 2907 2906 "cell" 10275 2772 1459 2656 1430 54.35294118 3.44294987 17.39389604 3.164352856 "Noun" 2769 1 4.734784012 1 24.67 4 10 1 "high"
"264" 2991 2990 "chance" 10566 12303 5343 12079 5334 241.2352941 4.090046322 63.6981402 3.727866449 "Noun" 12082 0.983155668 5.381880465 1 49.4 6 2 1 "high"
"268" 3023 3022 "charge" 10689 4559 2675 4201 2554 89.39215686 3.658964843 31.89079638 3.427486109 "Noun" 2726 0.598463227 4.950798985 1 48 6 1 1 "high"
"271" 3034 3033 "charm" 10719 794 597 750 583 15.56862745 2.900367129 7.117310443 2.776701184 "Noun" 645 0.814393939 4.192201271 1 38.75 5 4 1 "high"
"274" 3052 3051 "chat" 10770 830 644 785 630 16.2745098 2.919601024 7.677634716 2.809559715 "Noun" 559 0.672683514 4.211435166 1 16 4 6 1 "high"
"275" 3079 3078 "cheek" 10854 365 280 352 272 7.156862745 2.563481085 3.338102051 2.44870632 "Noun" 363 0.997252747 3.855315228 1 29.5 5 3 1 "high"
"279" 3108 3107 "chest" 10963 2090 1177 1940 1134 40.98039216 3.320354033 14.03195041 3.07114529 "Noun" 2085 1 4.612188175 1 32 5 3 1 "high"
"280" 3131 3130 "chief" 11044 3973 1374 1876 995 77.90196078 3.599227863 16.38054363 3.138302698 "Noun" 2979 0.751324086 4.891062005 1 31.25 5 1 1 "high"
"281" 3138 3137 "child" 11062 8040 3067 7673 2995 157.6470588 3.905310062 36.56413925 3.486855355 "Noun" 8027 0.999875436 5.197144204 1 36.25 5 1 1 "high"
"284" 3155 3154 "chin" 11113 647 465 496 385 12.68627451 2.811575006 5.543633763 2.668385917 "Noun" 569 0.879443586 4.103409148 1 16.33 4 6 1 "high"
"285" 3160 3159 "chip" 11148 1051 490 799 413 20.60784314 3.02201574 5.841678588 2.691081492 "Noun" 1021 0.972380952 4.313849882 1 13.33 4 8 1 "high"
"286" 3179 3178 "choice" 11251 4975 3095 4925 3072 97.54901961 3.696880372 36.89794945 3.490800952 "Noun" 4950 0.995775498 4.988714514 1 40.8 6 0 1 "high"
"287" 3186 3185 "chop" 11305 694 453 551 393 13.60784314 2.841984805 5.400572246 2.657055853 "Noun" 568 0.81962482 4.133818947 1 12.67 4 5 1 "high"
"288" 3199 3198 "chow" 11349 350 221 191 161 6.862745098 2.545307116 2.634716261 2.346352974 "Noun" 160 0.457142857 3.837141259 1 12.67 4 4 1 "high"
"289" 3207 3206 "chronicle" 11398 80 45 15 13 1.568627451 1.908485019 0.536480687 1.662757832 "Noun" 76 0.95 3.200319161 3 35.25 9 0 1 "low"
"294" 3240 3239 "cinch" 11523 182 137 160 130 3.568627451 2.26245109 1.633285646 2.139879086 "Noun" 154 0.846153846 3.554285232 1 40.75 5 4 1 "low"
"297" 3261 3260 "citation" 11614 81 47 77 44 1.588235294 1.913813852 0.560324273 1.681241237 "Noun" 81 1 3.205647995 3 88.57 8 0 1 "low"
"302" 3291 3290 "class" 11774 5985 2445 5569 2353 117.3529412 3.777136713 29.14878398 3.388456453 "Noun" 5955 0.994488978 5.068970855 1 41 5 8 1 "high"
"305" 3308 3307 "clay" 11826 612 215 197 139 12 2.787460475 2.563185503 2.334453751 "Noun" 432 0.705882353 4.079294617 1 15.67 4 7 1 "high"
