orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1374,run5,7,4646,low3,list7_4646_defender_low3,defender,3.4765,3,87.57,8,,4,40,1,2,41,42,43,44,3450,11450,list7_4646_defender_low3
1375,run5,7,8590,low1,list7_8590_hub_low1,hub,3.4877,1,7,3,,3,30,1,2,31,32,33,34,3450,11450,list7_8590_hub_low1
1376,run5,7,6707,low1,list7_6707_flop_low1,flop,3.3674,1,18.33,4,,3,30,1,2,31,32,33,34,3300,11300,list7_6707_flop_low1
1377,run5,7,5261,high1,list7_5261_dot_high1,dot,3.822,1,8,3,,1,10,1,2,11,12,13,14,3200,11200,list7_5261_dot_high1
1378,run5,7,2198,low1,list7_2198_bruise_low1,bruise,3.5119,1,43,6,,3,30,1,2,31,32,33,34,3200,11200,list7_2198_bruise_low1
1379,run5,7,18172,high1,list7_18172_trap_high1,trap,4.3771,1,17.67,4,,1,10,1,2,11,12,13,14,3350,11350,list7_18172_trap_high1
1380,run5,7,16889,high1,list7_16889_sting_high1,sting,3.8469,1,48.75,5,,1,10,1,2,11,12,13,14,3250,11250,list7_16889_sting_high1
1381,run5,7,17841,low3,list7_17841_tiara_low3,tiara,3.2556,3,25.5,5,,4,40,1,2,41,42,43,44,3250,11250,list7_17841_tiara_low3
1382,run5,7,1330,high1,list7_1330_beach_high1,beach,4.7526,1,55,5,,1,10,1,2,11,12,13,14,3300,11300,list7_1330_beach_high1
1383,run5,7,5799,high3,list7_5799_energy_high3,energy,4.5169,3,16.4,6,,2,20,1,2,21,22,23,24,3300,11300,list7_5799_energy_high3
1384,run5,7,18473,low3,list7_18473_typewriter_low3,typewriter,3.5013,3,48,10,,4,40,1,2,41,42,43,44,3500,11500,list7_18473_typewriter_low3
1385,run5,7,19385,high1,list7_19385_wolf_high1,wolf,4.3068,1,19.33,4,,1,10,1,2,11,12,13,14,3200,11200,list7_19385_wolf_high1
1386,run5,7,4377,high3,list7_4377_customer_high3,customer,4.1817,3,60,8,,2,20,1,2,21,22,23,24,3250,11250,list7_4377_customer_high3
1387,run5,7,17618,low3,list7_17618_telegraph_low3,telegraph,3.5171,3,33.25,9,,4,40,1,2,41,42,43,44,3450,11450,list7_17618_telegraph_low3
1388,run5,7,7999,low3,list7_7999_handyman_low3,handyman,3.265,3,42.86,8,,4,40,1,2,41,42,43,44,3450,11450,list7_7999_handyman_low3
1389,run5,7,12141,low3,list7_12141_oppression_low3,oppression,3.1783,3,92.11,10,negative connotation,4,40,1,2,41,42,43,44,3200,11200,list7_12141_oppression_low3
1390,run5,7,7100,low1,list7_7100_fuzz_low1,fuzz,3.2741,1,6,4,,3,30,1,2,31,32,33,34,3450,11450,list7_7100_fuzz_low1
1391,run5,7,3301,low1,list7_3301_clause_low1,clause,3.4502,1,40,6,,3,30,1,2,31,32,33,34,3450,11450,list7_3301_clause_low1
1392,run5,7,14396,low3,list7_14396_recital_low3,recital,3.4708,3,68.67,7,,4,40,1,2,41,42,43,44,3500,11500,list7_14396_recital_low3
1393,run5,7,16473,high1,list7_16473_spa_high1,spa,3.672,1,1.5,3,,1,10,1,2,11,12,13,14,3300,11300,list7_16473_spa_high1
1394,run5,7,6632,low1,list7_6632_flare_low1,flare,3.6263,1,51,5,,3,30,1,2,31,32,33,34,3350,11350,list7_6632_flare_low1
1395,run5,7,3713,high3,list7_3713_conclusion_high3,conclusion,3.9602,3,110,10,,2,20,1,2,21,22,23,24,3400,11400,list7_3713_conclusion_high3
1396,run5,7,18339,high1,list7_18339_trunk_high1,trunk,4.2966,1,33.5,5,,1,10,1,2,11,12,13,14,3400,11400,list7_18339_trunk_high1
1397,run5,7,490,high3,list7_490_announcer_high3,announcer,4.0515,3,41.63,9,,2,20,1,2,21,22,23,24,3500,11500,list7_490_announcer_high3
1398,run5,7,17410,high1,list7_17410_tab_high1,tab,3.7617,1,6,3,,1,10,1,2,11,12,13,14,3500,11500,list7_17410_tab_high1
1399,run5,7,9113,high3,list7_9113_invasion_high3,invasion,3.9303,3,66.14,8,negative connotation,2,20,1,2,21,22,23,24,3300,11300,list7_9113_invasion_high3
1400,run5,7,4949,high3,list7_4949_dimension_high3,dimension,3.6666,3,89.13,9,,2,20,1,2,21,22,23,24,3400,11400,list7_4949_dimension_high3
