orderID,run,list,numID,cond,file_num,Word,Zipfvalue,cmu_sylls,BF_TP,LEN_L,reason_for_change,cond_code,trigger_code,len,corr_resp,fix_code,word_code,delay_code,audioresp_code,jittered_ISI,total_time,OLD_file_num
1154,run4,6,14864,low1,list6_14864_rink_low1,rink,3.3332,1,30.67,4,,3,30,1,2,31,32,33,34,3400,11400,list6_14864_rink_low1
1155,run4,6,7721,high1,list6_7721_ground_high1,ground,4.8597,1,42.6,6,,1,10,1,2,11,12,13,14,3500,11500,list6_7721_ground_high1
1156,run4,6,17464,high1,list6_17464_tale_high1,tale,4.0793,1,29.67,4,,1,10,1,2,11,12,13,14,3250,11250,list6_17464_tale_high1
1157,run4,6,6172,low3,list6_6172_eyewitness_low3,eyewitness,3.5993,3,34.67,10,weird compound word,4,40,1,2,41,42,43,44,3350,11350,list6_6172_eyewitness_low3
1158,run4,6,1491,low3,list6_1491_betrayal_low3,betrayal,3.6283,3,44.29,8,,4,40,1,2,41,42,43,44,3350,11350,list6_1491_betrayal_low3
1159,run4,6,18980,low1,list6_18980_wad_low1,wad,3.2461,1,9,3,,3,30,1,2,31,32,33,34,3250,11250,list6_18980_wad_low1
1160,run4,6,13406,low1,list6_13406_freight_low1,freight,3.586300368,1,30.33,7,not a word,3,30,1,2,31,32,33,34,3400,11400,list6_13406_pong_low1
1161,run5,6,552,high3,list6_552_anytime_high3,anytime,4.3884,3,45.17,7,weird compound word,2,20,1,2,21,22,23,24,3200,11200,list6_552_anytime_high3
1162,run5,6,14476,high3,list6_14476_reflection_high3,reflection,3.7018,3,138.33,10,,2,20,1,2,21,22,23,24,3300,11300,list6_14476_reflection_high3
1163,run5,6,561,high1,list6_561_ape_high1,ape,3.9856,1,1.5,3,,1,10,1,2,11,12,13,14,3250,11250,list6_561_ape_high1
1164,run5,6,14565,low3,list6_14565_reminder_low3,reminder,3.5774,3,100,8,,4,40,1,2,41,42,43,44,3200,11200,list6_14565_reminder_low3
1165,run5,6,12950,low3,list6_12950_pharmacist_low3,pharmacist,3.1895,3,30.56,10,,4,40,1,2,41,42,43,44,3200,11200,list6_12950_pharmacist_low3
1166,run5,6,10703,high1,list6_10703_match_high1,match,4.6936,1,45.25,5,,1,10,1,2,11,12,13,14,3300,11300,list6_10703_match_high1
