numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
20766	71621	volcanos	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	2	1	1.8939	3	22.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
11033	37222	ligation	5	5	4	5	4	0.098039	0.77815	0.047687	0.69897	Noun	5	1	2.07	3	92.14	8	1	1	low	low3	4	40	1	2	41	42	43	44	
10556	35790	knave	19	19	14	17	12	0.37255	1.301	0.16691	1.1761	Noun	19	1	2.5929	1	19	5	0	1	low	low1	3	30	1	2	31	32	33	34	
1345	4325	backpedals	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	12.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
9327	31070	hops	46	46	46	44	44	0.90196	1.6721	0.5484	1.6721	Noun	46	1	2.9639	1	22.33	4	9	1	low	low1	3	30	1	2	31	32	33	34	
4065	13090	composure	15	15	13	15	13	0.29412	1.2041	0.15498	1.1461	Noun	15	1	2.496	3	61.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
242	879	adulthood	37	37	33	37	33	0.72549	1.5798	0.39342	1.5315	Noun	36	1	2.8716	3	18.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
20265	69323	unfairness	11	11	8	11	8	0.21569	1.0792	0.095374	0.95424	Noun	11	1	2.371	3	49.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
6965	23654	fates	59	59	52	38	34	1.1569	1.7782	0.61993	1.7243	Noun	60	1	3.07	1	91.75	5	13	1	low	low1	3	30	1	2	31	32	33	34	
20142	68367	twigs	40	40	32	37	31	0.78431	1.6128	0.3815	1.5185	Noun	39	1	2.9046	1	16.75	5	1	1	low	low1	3	30	1	2	31	32	33	34	
4067	13114	compressor	25	25	19	25	19	0.4902	1.415	0.22651	1.301	Noun	25	1	2.7068	3	60.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	
13216	44182	obstetrics	7	7	6	1	1	0.13725	0.90309	0.071531	0.8451	Noun	7	1	2.1949	3	42.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
8375	28091	gran	109	109	29	12	10	2.1373	2.0414	0.34573	1.4771	Noun	108	1	3.3332	1	20	4	4	1	low	low1	3	30	1	2	31	32	33	34	
9932	33456	inquirer	1	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	77.57	8	2	1	low	low3	4	40	1	2	41	42	43	44	
14621	48607	pleas	20	20	20	18	18	0.39216	1.3222	0.23844	1.3222	Noun	20	1	2.6141	1	28.75	5	3	1	low	low1	3	30	1	2	31	32	33	34	
18908	64479	syllable	42	42	35	42	35	0.82353	1.6335	0.41726	1.5563	Noun	42	1	2.9253	3	45.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
11002	37133	licences	13	13	8	13	8	0.2549	1.1461	0.095374	0.95424	Noun	13	1	2.438	3	104	8	1	1	low	low3	4	40	1	2	41	42	43	44	
16415	55761	royalist	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	72.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	
10814	36589	laxatives	13	13	11	10	8	0.2549	1.1461	0.13114	1.0792	Noun	13	1	2.438	3	66.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
620	2004	amplitude	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	39.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
6448	21821	entities	30	30	22	26	21	0.58824	1.4914	0.26228	1.3617	Noun	30	1	2.7832	3	155.71	8	2	1	low	low3	4	40	1	2	41	42	43	44	
15498	51671	queasiness	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	45.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
