numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
10715	36304	lanes	98	98	77	83	64	1.9216	1.9956	0.91798	1.8921	Noun	108	1	3.2875	1	93.25	5	9	1	low	low1	3	30	1	2	31	32	33	34	
11565	38848	mandala	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	55.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	
11020	37200	lifesavers	8	8	8	3	3	0.15686	0.95424	0.095374	0.95424	Noun	8	1	2.2461	3	31	10	0	1	low	low3	4	40	1	2	41	42	43	44	
15370	51270	punks	211	211	158	193	146	4.1373	2.3263	1.8836	2.2014	Noun	211	1	3.6182	1	39.75	5	3	1	low	low1	3	30	1	2	31	32	33	34	
407	1343	airliner	29	29	23	29	23	0.56863	1.4771	0.2742	1.3802	Noun	29	1	2.769	3	78.57	8	1	1	low	low3	4	40	1	2	41	42	43	44	
8134	27363	giveaway	40	40	40	40	40	0.78431	1.6128	0.47687	1.6128	Noun	40	1	2.9046	3	24.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
16473	55917	runabout	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	24.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
7546	25441	forester	3	3	3	1	1	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	111	8	0	1	low	low3	4	40	1	2	41	42	43	44	
10995	37120	libraries	35	35	33	31	29	0.68627	1.5563	0.39342	1.5315	Noun	35	1	2.8481	3	104.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
14207	47410	peroxide	55	55	40	51	38	1.0784	1.7482	0.47687	1.6128	Noun	55	1	3.04	3	36.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
9832	33124	inferno	47	47	46	42	41	0.92157	1.6812	0.5484	1.6721	Noun	48	1	2.9731	3	35.33	7	0	1	low	low3	4	40	1	2	41	42	43	44	
20237	69017	underdogs	11	11	10	11	10	0.21569	1.0792	0.11922	1.0414	Noun	11	1	2.371	3	58.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
9917	33411	innkeeper	22	22	22	15	15	0.43137	1.3617	0.26228	1.3617	Noun	22	1	2.6536	3	44.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
4396	14541	cottages	25	25	21	25	21	0.4902	1.415	0.25036	1.3424	Noun	25	1	2.7068	3	121.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
1706	5417	beet	14	14	13	13	12	0.27451	1.1761	0.15498	1.1461	Noun	14	1	2.4679	1	27	4	11	1	low	low1	3	30	1	2	31	32	33	34	
5252	17449	derailment	11	11	10	11	10	0.21569	1.0792	0.11922	1.0414	Noun	11	1	2.371	3	58.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3989	12752	comforter	20	20	20	20	20	0.39216	1.3222	0.23844	1.3222	Noun	20	1	2.6141	3	97.38	9	1	1	low	low3	4	40	1	2	41	42	43	44	
11873	39835	megaphone	15	15	13	15	13	0.29412	1.2041	0.15498	1.1461	Noun	15	1	2.496	3	35.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18611	63376	subs	153	153	126	83	62	3	2.1875	1.5021	2.1038	Noun	145	1	3.4794	1	15.67	4	9	1	low	low1	3	30	1	2	31	32	33	34	
14801	49151	pools	118	118	90	114	88	2.3137	2.0755	1.073	1.959	Noun	117	1	3.3674	1	45.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	
18821	64170	sustenance	29	29	26	27	24	0.56863	1.4771	0.30997	1.4314	Noun	28	1	2.769	3	64.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
7839	26500	gait	16	16	13	16	13	0.31373	1.2304	0.15498	1.1461	Noun	16	1	2.5223	1	25	4	4	1	low	low1	3	30	1	2	31	32	33	34	
18617	63406	subsidy	5	5	5	4	4	0.098039	0.77815	0.059609	0.77815	Noun	5	1	2.07	3	36.83	7	1	1	low	low3	4	40	1	2	41	42	43	44	
11713	39316	mascara	64	64	62	62	60	1.2549	1.8129	0.73915	1.7993	Noun	65	1	3.1047	3	46.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	
3100	9933	castaways	5	5	4	2	2	0.098039	0.77815	0.047687	0.69897	Noun	5	1	2.07	3	36.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
14274	47676	pharmacies	7	7	7	7	7	0.13725	0.90309	0.083453	0.90309	Noun	7	1	2.1949	3	63	10	0	1	low	low3	4	40	1	2	41	42	43	44	
17555	59350	sires	1	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	1	83.25	5	11	1	low	low1	3	30	1	2	31	32	33	34	
13974	46661	pathogen	18	18	12	18	12	0.35294	1.2788	0.14306	1.1139	Noun	18	1	2.5706	3	45.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
5670	19249	doberman	21	21	21	2	2	0.41176	1.3424	0.25036	1.3424	Noun	21	1	2.6343	3	43.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
16544	56133	safes	22	22	15	22	15	0.43137	1.3617	0.17883	1.2041	Noun	22	1	2.6536	1	68.25	5	5	1	low	low1	3	30	1	2	31	32	33	34	
1725	5505	behemoth	10	10	9	10	9	0.19608	1.0414	0.1073	1	Noun	10	1	2.3332	3	19.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
17255	58351	shawl	70	70	45	69	44	1.3725	1.8513	0.53648	1.6628	Noun	70	1	3.1431	1	29	5	1	1	low	low1	3	30	1	2	31	32	33	34	
12190	40803	minuet	15	15	13	10	10	0.29412	1.2041	0.15498	1.1461	Noun	14	1	2.496	3	47.8	6	0	1	low	low3	4	40	1	2	41	42	43	44	
12296	41232	modes	16	16	16	14	14	0.31373	1.2304	0.19075	1.2304	Noun	16	1	2.5223	1	81.75	5	7	1	low	low1	3	30	1	2	31	32	33	34	
6232	20830	egyptians	59	59	47	2	2	1.1569	1.7782	0.56032	1.6812	Noun	59	1	3.07	3	34.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
9848	33190	infliction	14	14	12	14	12	0.27451	1.1761	0.14306	1.1139	Noun	14	1	2.4679	3	140.56	10	1	1	low	low3	4	40	1	2	41	42	43	44	
18701	63690	summation	33	33	25	32	24	0.64706	1.5315	0.29804	1.415	Noun	33	1	2.8233	3	114.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
8012	27012	genotypes	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	58.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
