numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
10829	36621	laziness	24	24	24	24	24	0.47059	1.3979	0.28612	1.3979	Noun	24	1	2.6898	3	80.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
14113	47078	pendulum	27	27	17	22	14	0.52941	1.4472	0.20267	1.2553	Noun	27	1	2.739	3	36	8	0	1	low	low3	4	40	1	2	41	42	43	44	
6529	22090	eraser	51	51	28	34	23	1	1.716	0.33381	1.4624	Noun	51	1	3.0078	3	132	6	1	1	low	low3	4	40	1	2	41	42	43	44	
19262	65565	tentacle	13	13	13	12	12	0.2549	1.1461	0.15498	1.1461	Noun	13	1	2.438	3	46	8	0	1	low	low3	4	40	1	2	41	42	43	44	
4535	15044	creamery	6	6	1	6	1	0.11765	0.8451	0.011922	0.30103	Noun	6	1	2.1369	3	91.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
3772	12091	cloudiness	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	3	44.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
6919	23506	fangs	91	91	63	80	58	1.7843	1.9638	0.75107	1.8062	Noun	91	1	3.2556	1	40.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	
2270	7434	boulevards	8	8	8	8	8	0.15686	0.95424	0.095374	0.95424	Noun	7	1	2.2461	3	20.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
18762	63910	superstore	22	22	3	3	1	0.43137	1.3617	0.035765	0.60206	Noun	22	1	2.6536	3	54.11	10	0	1	low	low3	4	40	1	2	41	42	43	44	
17679	59832	slicks	3	3	3	2	2	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	1	40.4	6	5	1	low	low1	3	30	1	2	31	32	33	34	
9322	31047	hooves	66	66	45	61	41	1.2941	1.8261	0.53648	1.6628	Noun	66	1	3.1179	1	107.6	6	1	1	low	low1	3	30	1	2	31	32	33	34	
2894	9340	canola	1	1	1	0	0	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	46.8	6	0	1	low	low3	4	40	1	2	41	42	43	44	
10202	34615	jams	64	64	63	58	58	1.2549	1.8129	0.75107	1.8062	Noun	64	1	3.1047	1	16.33	4	7	1	low	low1	3	30	1	2	31	32	33	34	
200	722	adhesion	6	6	6	6	6	0.11765	0.8451	0.071531	0.8451	Noun	6	1	2.1369	3	54.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
5734	19428	dominance	39	39	34	37	32	0.76471	1.6021	0.40534	1.5441	Noun	39	1	2.8939	3	54.38	9	0	1	low	low3	4	40	1	2	41	42	43	44	
13445	44826	organics	6	6	5	6	5	0.11765	0.8451	0.059609	0.77815	Noun	6	1	2.1369	3	37.57	8	0	1	low	low3	4	40	1	2	41	42	43	44	
14326	47885	physicals	16	16	13	16	13	0.31373	1.2304	0.15498	1.1461	Noun	16	1	2.5223	3	26.75	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18450	62727	storyboard	11	11	8	11	8	0.21569	1.0792	0.095374	0.95424	Noun	11	1	2.371	3	18	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3339	10579	chandelier	72	72	54	69	52	1.4118	1.8633	0.64378	1.7404	Noun	72	1	3.1552	3	53.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	
2967	9547	carbonate	10	10	7	10	7	0.19608	1.0414	0.083453	0.90309	Noun	10	1	2.3332	3	65.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
5886	19848	drapery	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	105.67	7	0	1	low	low3	4	40	1	2	41	42	43	44	
7733	26127	frosts	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	1	62.2	6	2	1	low	low1	3	30	1	2	31	32	33	34	
14741	48991	polluter	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	90.29	8	2	1	low	low3	4	40	1	2	41	42	43	44	
16287	55291	riverbed	22	22	15	22	15	0.43137	1.3617	0.17883	1.2041	Noun	20	1	2.6536	3	160.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
3913	12489	colds	38	38	34	32	29	0.7451	1.5911	0.40534	1.5441	Noun	37	1	2.8829	1	42.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	
4207	13899	contortion	4	4	3	2	2	0.078431	0.69897	0.035765	0.60206	Noun	4	1	1.9908	3	152.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
1343	4319	backpacker	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	22.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	
6990	23790	feats	24	24	20	24	20	0.47059	1.3979	0.23844	1.3222	Noun	24	1	2.6898	1	67.25	5	7	1	low	low1	3	30	1	2	31	32	33	34	
14827	49224	pore	24	24	19	22	19	0.47059	1.3979	0.22651	1.301	Noun	24	1	2.6898	1	35.67	4	19	1	low	low1	3	30	1	2	31	32	33	34	
14245	47587	pests	17	17	16	16	15	0.33333	1.2553	0.19075	1.2304	Noun	17	1	2.5471	1	52.5	5	8	1	low	low1	3	30	1	2	31	32	33	34	
13730	46021	palms	189	189	160	129	119	3.7059	2.2788	1.9075	2.2068	Noun	189	1	3.5706	1	33.75	5	2	1	low	low1	3	30	1	2	31	32	33	34	
324	1118	afternoon	4666	4666	2597	4410	2505	91.4902	3.669	30.9609	3.4146	Noun	4660	1	4.9609	3	63.38	9	0	1	high	high3	2	20	1	2	21	22	23	24	
16407	55729	routes	107	107	87	100	84	2.098	2.0334	1.0372	1.9445	Noun	107	1	3.3253	1	131.4	6	2	1	low	low1	3	30	1	2	31	32	33	34	
12388	41481	monomers	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	96.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
17177	58050	services	1053	1053	793	732	608	20.6471	3.0228	9.454	2.8998	Noun	1056	1	4.3147	3	108.57	8	1	1	high	high3	2	20	1	2	21	22	23	24	
4829	15904	cuticle	19	19	17	16	15	0.37255	1.301	0.20267	1.2553	Noun	19	1	2.5929	3	51.33	7	1	1	low	low3	4	40	1	2	41	42	43	44	
