numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
9577	31906	icebreaker	21	21	20	21	20	0.41176	1.3424	0.23844	1.3222	Noun	21	1	2.6343	3	18.67	10	0	1	low	low3	4	40	1	2	41	42	43	44	
18043	61204	specifics	96	96	90	94	88	1.8824	1.9868	1.073	1.959	Noun	96	1	3.2786	3	33.13	9	1	1	low	low3	4	40	1	2	41	42	43	44	
4228	14043	conversion	66	66	58	63	56	1.2941	1.8261	0.69146	1.7709	Noun	66	1	3.1179	3	125.89	10	0	1	low	low3	4	40	1	2	41	42	43	44	
1516	4814	barbs	12	12	12	12	12	0.23529	1.1139	0.14306	1.1139	Noun	12	1	2.4058	1	35.5	5	2	1	low	low1	3	30	1	2	31	32	33	34	
198	718	adherent	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	64	8	0	1	low	low3	4	40	1	2	41	42	43	44	
469	1500	alertness	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	3	71.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
4138	13460	confusions	3	3	3	2	2	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	83.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
9817	33084	infancy	18	18	17	18	17	0.35294	1.2788	0.20267	1.2553	Noun	18	1	2.5706	3	33.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	
9970	33587	installers	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	65.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
12512	41848	motorist	25	25	17	25	17	0.4902	1.415	0.20267	1.2553	Noun	25	1	2.7068	3	77.14	8	0	1	low	low3	4	40	1	2	41	42	43	44	
10628	36063	labs	208	208	137	173	117	4.0784	2.3201	1.6333	2.1399	Noun	208	1	3.612	1	21	4	11	1	low	low1	3	30	1	2	31	32	33	34	
15182	50555	prominence	16	16	13	12	12	0.31373	1.2304	0.15498	1.1461	Noun	16	1	2.5223	3	67.56	10	0	1	low	low3	4	40	1	2	41	42	43	44	
10379	35237	justices	23	23	16	15	13	0.45098	1.3802	0.19075	1.2304	Noun	23	1	2.672	3	109.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	
18444	62709	stores	485	485	370	460	363	9.5098	2.6866	4.4111	2.5694	Noun	486	1	3.9785	1	120.2	6	12	1	high	high1	1	10	1	2	11	12	13	14	
2811	9125	calves	82	82	54	81	53	1.6078	1.9191	0.64378	1.7404	Noun	82	1	3.2109	1	121.6	6	3	1	low	low1	3	30	1	2	31	32	33	34	
2334	7636	bran	67	67	47	45	38	1.3137	1.8325	0.56032	1.6812	Noun	67	1	3.1243	1	19	4	7	1	low	low1	3	30	1	2	31	32	33	34	
18679	63630	suites	84	84	54	78	49	1.6471	1.9294	0.64378	1.7404	Noun	84	1	3.2213	1	126.6	6	1	1	low	low1	3	30	1	2	31	32	33	34	
16163	54817	reversal	57	57	46	56	45	1.1176	1.7634	0.5484	1.6721	Noun	57	1	3.0553	3	88.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
806	2569	ants	365	365	147	329	138	7.1569	2.5635	1.7525	2.1703	Noun	365	1	3.8553	1	18.33	4	4	1	high	high1	1	10	1	2	11	12	13	14	
9795	32980	inducement	13	13	12	13	12	0.2549	1.1461	0.14306	1.1139	Noun	13	1	2.438	3	62.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
176	651	adaptor	4	4	4	4	4	0.078431	0.69897	0.047687	0.69897	Noun	4	1	1.9908	3	18.67	7	0	1	low	low3	4	40	1	2	41	42	43	44	
19716	66937	tortilla	16	16	15	12	11	0.31373	1.2304	0.17883	1.2041	Noun	16	1	2.5223	3	45.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
16335	55476	rollover	7	7	6	4	4	0.13725	0.90309	0.071531	0.8451	Noun	7	1	2.1949	3	65.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	
10488	35618	kilowatt	6	6	5	4	4	0.11765	0.8451	0.059609	0.77815	Noun	6	1	2.1369	3	31.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
12206	40893	misconduct	40	40	36	40	36	0.78431	1.6128	0.42918	1.5682	Noun	40	1	2.9046	3	33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3058	9831	cartoonist	17	17	16	17	16	0.33333	1.2553	0.19075	1.2304	Noun	17	1	2.5471	3	42.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	
1898	6191	biopsy	79	79	41	73	38	1.549	1.9031	0.48879	1.6232	Noun	79	1	3.1949	3	15	6	0	1	low	low3	4	40	1	2	41	42	43	44	
4384	14523	costumer	8	8	5	7	5	0.15686	0.95424	0.059609	0.77815	Noun	8	1	2.2461	3	87.57	8	2	1	low	low3	4	40	1	2	41	42	43	44	
