numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	
8964	29851	headwater	6	6	2	6	2	0.11765	0.8451	0.023844	0.47712	Noun	6	1	2.1369	3	84	9	0	1	low	low3	4	40	1	2	41	42	43	44	
3417	10860	cheeks	225	225	206	216	199	4.4118	2.3541	2.4559	2.316	Noun	225	1	3.6459	1	41.8	6	4	1	low	low1	3	30	1	2	31	32	33	34	
20107	68246	turntable	18	18	16	16	15	0.35294	1.2788	0.19075	1.2304	Noun	18	1	2.5706	3	47.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
10021	33899	internees	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	121.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
7382	24968	flotation	20	20	17	20	17	0.39216	1.3222	0.20267	1.2553	Noun	20	1	2.6141	3	110.25	9	0	1	low	low3	4	40	1	2	41	42	43	44	
16289	55294	riverboats	1	1	1	1	1	0.019608	0.30103	0.011922	0.30103	Noun	1	1	1.5929	3	44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
7728	26114	fronts	47	47	47	45	45	0.92157	1.6812	0.56032	1.6812	Noun	47	1	2.9731	1	64.8	6	2	1	low	low1	3	30	1	2	31	32	33	34	
16081	54429	resources	470	470	375	424	347	9.2157	2.673	4.4707	2.5752	Noun	470	1	3.9649	3	100.25	9	0	1	high	high3	2	20	1	2	21	22	23	24	
12083	40519	migration	33	33	29	29	25	0.64706	1.5315	0.34573	1.4771	Noun	33	1	2.8233	3	114.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
18483	62860	straws	107	107	79	104	78	2.098	2.0334	0.94182	1.9031	Noun	107	1	3.3253	1	40.6	6	2	1	low	low1	3	30	1	2	31	32	33	34	
13162	43981	nutrition	48	48	43	46	41	0.94118	1.6902	0.51264	1.6435	Noun	48	1	2.982	3	111.13	9	0	1	low	low3	4	40	1	2	41	42	43	44	
755	2411	anteater	11	11	11	10	10	0.21569	1.0792	0.13114	1.0792	Noun	11	1	2.371	3	96	8	0	1	low	low3	4	40	1	2	41	42	43	44	
6417	21628	engraver	10	10	9	10	9	0.19608	1.0414	0.1073	1	Noun	10	1	2.3332	3	54	8	1	1	low	low3	4	40	1	2	41	42	43	44	
6419	21632	engravings	15	15	5	15	5	0.29412	1.2041	0.059609	0.77815	Noun	15	1	2.496	3	24.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
19776	67120	toys	674	674	437	607	412	13.2157	2.8293	5.2098	2.6415	Noun	675	1	4.1211	1	16.33	4	10	1	high	high1	1	10	1	2	11	12	13	14	
2824	9158	cameos	5	5	5	5	5	0.098039	0.77815	0.059609	0.77815	Noun	5	1	2.07	3	35.6	6	1	1	low	low3	4	40	1	2	41	42	43	44	
4413	14594	counseling	211	211	149	199	144	4.1373	2.3263	1.7763	2.1761	Noun	209	1	3.6182	3	165.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
3219	10252	celebrant	3	3	3	3	3	0.058824	0.60206	0.035765	0.60206	Noun	3	1	1.8939	3	51.63	9	0	1	low	low3	4	40	1	2	41	42	43	44	
9082	30197	hens	68	68	50	61	45	1.3333	1.8388	0.59609	1.7076	Noun	68	1	3.1307	1	27.67	4	7	1	low	low1	3	30	1	2	31	32	33	34	
13074	43756	notary	35	35	27	31	26	0.68627	1.5563	0.32189	1.4472	Noun	35	1	2.8481	3	38.6	6	1	1	low	low3	4	40	1	2	41	42	43	44	
11603	38968	mannequins	20	20	15	19	14	0.39216	1.3222	0.17883	1.2041	Noun	20	1	2.6141	3	83.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
761	2427	antennas	22	22	14	21	13	0.43137	1.3617	0.16691	1.1761	Noun	22	1	2.6536	3	40.43	8	1	1	low	low3	4	40	1	2	41	42	43	44	
2693	8827	bystander	45	45	38	38	35	0.88235	1.6628	0.45303	1.5911	Noun	44	1	2.9546	3	54.88	9	0	1	low	low3	4	40	1	2	41	42	43	44	
12463	41711	morphs	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	1	35.4	6	0	1	low	low1	3	30	1	2	31	32	33	34	
13170	44018	nymphs	29	29	11	27	10	0.56863	1.4771	0.13114	1.0792	Noun	29	1	2.769	1	14.8	6	0	1	low	low1	3	30	1	2	31	32	33	34	
10986	37093	liberals	33	33	27	28	22	0.64706	1.5315	0.32189	1.4472	Noun	33	1	2.8233	3	53.86	8	0	1	low	low3	4	40	1	2	41	42	43	44	
16873	57128	scourge	67	67	50	48	39	1.3137	1.8325	0.59609	1.7076	Noun	67	1	3.1243	1	35.17	7	0	1	low	low1	3	30	1	2	31	32	33	34	
7169	24342	fingertips	84	84	73	80	71	1.6471	1.9294	0.87029	1.8692	Noun	84	1	3.2213	3	68.67	10	0	1	low	low3	4	40	1	2	41	42	43	44	
1250	4035	avatar	14	14	8	12	7	0.27451	1.1761	0.095374	0.95424	Noun	14	1	2.4679	3	19.8	6	0	1	low	low3	4	40	1	2	41	42	43	44	
15165	50482	prognosis	54	54	48	49	46	1.0588	1.7404	0.57225	1.6902	Noun	54	1	3.0322	3	34	9	0	1	low	low3	4	40	1	2	41	42	43	44	
6801	23184	extrovert	5	5	4	5	4	0.098039	0.77815	0.047687	0.69897	Noun	5	1	2.07	3	49.5	9	0	1	low	low3	4	40	1	2	41	42	43	44	
6460	21857	entreaty	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	50.43	8	0	1	low	low3	4	40	1	2	41	42	43	44	
18478	62844	strategist	21	21	15	19	14	0.41176	1.3424	0.17883	1.2041	Noun	21	1	2.6343	3	38.78	10	0	1	low	low3	4	40	1	2	41	42	43	44	
9957	33542	insistence	21	21	21	21	21	0.41176	1.3424	0.25036	1.3424	Noun	21	1	2.6343	3	68.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	
18376	62475	stiffs	48	48	46	46	45	0.94118	1.6902	0.5484	1.6721	Noun	48	1	2.982	1	31.2	6	3	1	low	low1	3	30	1	2	31	32	33	34	
9781	32879	indexer	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	3	73.17	7	1	1	low	low3	4	40	1	2	41	42	43	44	
15879	53343	refresher	15	15	15	15	15	0.29412	1.2041	0.17883	1.2041	Noun	15	1	2.496	3	79	9	1	1	low	low3	4	40	1	2	41	42	43	44	
3525	11201	chits	6	6	4	5	3	0.11765	0.8451	0.047687	0.69897	Noun	6	1	2.1369	1	62.75	5	4	1	low	low1	3	30	1	2	31	32	33	34	
8389	28134	grands	2	2	2	2	2	0.039216	0.47712	0.023844	0.47712	Noun	2	1	1.769	1	61.8	6	4	1	low	low1	3	30	1	2	31	32	33	34	
18966	64663	tablespoon	9	9	8	9	8	0.17647	1	0.095374	0.95424	Noun	9	1	2.2918	3	43.44	10	0	1	low	low3	4	40	1	2	41	42	43	44	
