numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
7130	7129	gall	26526	101	82	92	77	1.9804	2.0086	0.97759	1.9191	Noun	87	0.86139	3.3004	1	34.67	4	14	1	low	
2188	2187	brow	8107	94	78	94	78	1.8431	1.9777	0.9299	1.8976	Noun	94	1	3.2696	1	13.33	4	5	1	low	
19066	19065	warmth	72028	227	199	218	192	4.451	2.3579	2.3724	2.301	Noun	223	0.98673	3.6498	1	45.8	6	0	1	low	
11237	11236	mold	41307	219	153	210	151	4.2941	2.3424	1.824	2.1875	Noun	164	0.75229	3.6343	1	23.67	4	11	1	low	
17316	17315	swat	64256	196	105	21	20	3.8431	2.2945	1.2518	2.0253	Noun	87	0.44388	3.5863	1	13.67	4	9	1	low	
17388	17387	sync	64546	168	129	84	73	3.2941	2.2279	1.5379	2.1139	Noun	70	0.65421	3.5197	1	0.67	4	0	1	low	
15941	15940	shrine	58867	151	93	121	88	2.9608	2.1818	1.1087	1.9731	Noun	151	1	3.4737	1	90	6	1	1	low	
19033	19032	wand	71931	157	74	152	73	3.0784	2.1987	0.88221	1.8751	Noun	155	1	3.4905	1	34	4	9	1	low	
16202	16201	sling	59862	117	103	104	92	2.2941	2.0719	1.2279	2.017	Noun	88	0.75214	3.3637	1	47.75	5	8	1	low	
16593	16592	spleen	61492	131	91	113	84	2.5686	2.1206	1.0849	1.9638	Noun	131	1	3.4124	1	40.2	6	0	1	low	
3973	3972	cot	14529	102	76	97	73	2	2.0128	0.90606	1.8865	Noun	102	1	3.3047	1	11.5	3	24	1	low	
7230	7229	gauge	26830	112	92	111	91	2.1961	2.0531	1.0968	1.9685	Noun	102	0.91071	3.3449	1	24.5	5	2	1	low	
5014	5013	disc	18488	131	77	122	73	2.5686	2.1206	0.91798	1.8921	Noun	129	1	3.4124	1	13	4	2	1	low	
10060	10059	limp	37337	187	152	183	149	3.6667	2.2742	1.8121	2.1847	Noun	109	0.57979	3.566	1	18	4	6	1	low	
17018	17017	stripe	62990	74	53	65	49	1.451	1.8751	0.63186	1.7324	Noun	68	0.91892	3.1669	1	47.2	6	5	1	low	
5386	5385	drone	20009	144	54	133	53	2.8235	2.1614	0.64378	1.7404	Noun	120	0.83333	3.4532	1	41	5	3	1	low	
16510	16509	spawn	61144	93	56	68	54	1.8235	1.9731	0.66762	1.7559	Noun	58	0.63043	3.265	1	23.75	5	0	1	low	
3903	3902	cork	14291	146	116	113	90	2.8627	2.1673	1.3829	2.0682	Noun	112	0.77778	3.4592	1	30.33	4	8	1	low	
13092	13091	ping	48191	168	81	59	35	3.2941	2.2279	0.96567	1.9138	Noun	146	0.86905	3.5197	1	33	4	13	1	low	
13406	13405	pong	49108	82	34	18	16	1.6078	1.9191	0.40534	1.5441	Noun	46	0.56098	3.2109	1	29	4	8	1	low	
16592	16591	splash	61478	215	170	179	151	4.2157	2.3345	2.0267	2.233	Noun	133	0.62441	3.6263	1	30.4	6	0	1	low	
15458	15457	scrap	57162	223	170	196	160	4.3725	2.3502	2.0267	2.233	Noun	169	0.75785	3.6421	1	15.5	5	2	1	low	
13910	13909	puck	51092	147	56	108	39	2.8824	2.1703	0.66762	1.7559	Noun	103	0.70548	3.4621	1	25	4	13	1	low	
14072	14071	quart	51629	106	77	100	74	2.0784	2.0294	0.91798	1.8921	Noun	105	1	3.3212	1	28	5	0	1	low	
7578	7577	graft	28057	84	49	79	48	1.6471	1.9294	0.58417	1.699	Noun	71	0.84524	3.2213	1	36.5	5	3	1	low	
16188	16187	sleigh	59805	167	71	158	66	3.2745	2.2253	0.84645	1.8573	Noun	145	0.87879	3.5171	1	19.8	6	0	1	low	
11331	11330	moor	41611	101	23	82	14	1.9804	2.0086	0.2742	1.3802	Noun	105	0.97222	3.3004	1	26.33	4	6	1	low	
7738	7737	grove	28588	197	101	59	40	3.8627	2.2967	1.2041	2.0086	Noun	170	0.86294	3.5885	1	39.25	5	5	1	low	
9851	9850	ledge	36763	179	109	175	108	3.5098	2.2553	1.2995	2.0414	Noun	179	1	3.5471	1	24	5	4	1	low	
6632	6631	flare	24651	215	138	196	132	4.2157	2.3345	1.6452	2.143	Noun	182	0.85047	3.6263	1	51	5	4	1	low	
15931	15930	shred	58832	150	129	134	118	2.9412	2.179	1.5379	2.1139	Noun	95	0.64189	3.4708	1	76.75	5	3	1	low	
6972	6971	freight	25924	196	144	178	133	3.8431	2.2945	1.7167	2.1614	Noun	195	1	3.5863	1	30.33	7	0	1	low	
2976	2975	chalk	10509	183	143	151	118	3.5882	2.2648	1.7048	2.1584	Noun	183	1	3.5567	1	29.5	5	0	1	low	
6394	6393	fern	23953	163	28	22	14	3.1961	2.2148	0.33381	1.4624	Noun	116	0.71605	3.5067	1	16.67	4	1	1	low	
8609	8608	hull	31420	215	114	165	96	4.2157	2.3345	1.3591	2.0607	Noun	165	0.76744	3.6263	1	28	4	14	1	low	
10215	10214	loft	37748	186	104	180	101	3.6471	2.2718	1.2399	2.0212	Noun	185	0.99462	3.5637	1	16	4	6	1	low	
19490	19489	writ	73703	88	61	85	59	1.7255	1.9494	0.72723	1.7924	Noun	75	0.85227	3.2412	1	13.33	4	3	1	low	
9503	9502	kin	35631	218	167	185	155	4.2745	2.3404	1.9909	2.2253	Noun	216	0.99083	3.6323	1	7.5	3	14	1	low	
12241	12240	ounce	45040	206	145	162	142	4.0392	2.316	1.7287	2.1644	Noun	206	1	3.6078	1	22.5	5	0	1	low	
4012	4011	coup	14698	133	106	123	98	2.6078	2.1271	1.2637	2.0294	Noun	135	0.97826	3.4189	1	20.33	4	1	1	low	
18858	18857	vine	71374	107	80	78	62	2.098	2.0334	0.95374	1.9085	Noun	104	0.98113	3.3253	1	31	4	15	1	low	
10046	10045	lime	37309	168	123	143	109	3.2941	2.2279	1.4664	2.0934	Noun	168	1	3.5197	1	18.67	4	12	1	low	
7100	7099	fuzz	26424	95	71	88	66	1.8627	1.9823	0.84645	1.8573	Noun	95	1	3.2741	1	6	4	2	1	low	
7235	7234	gauze	26843	73	56	63	51	1.4314	1.8692	0.66762	1.7559	Noun	54	0.73973	3.1611	1	14.25	5	2	1	low	
13292	13291	plunge	48759	114	101	108	96	2.2353	2.0607	1.2041	2.0086	Noun	61	0.53509	3.3525	1	33.2	6	0	1	low	
10269	10268	loot	37927	181	136	168	128	3.549	2.2601	1.6214	2.1367	Noun	143	0.79006	3.5519	1	35	4	16	1	low	
12790	12789	peer	46999	78	63	70	56	1.5294	1.8976	0.75107	1.8062	Noun	49	0.62821	3.1895	1	26.67	4	11	1	low	
19525	19524	yarn	73860	81	60	78	59	1.5882	1.9138	0.71531	1.7853	Noun	81	1	3.2056	1	28	4	7	1	low	
9640	9639	lag	36143	75	60	71	57	1.4706	1.8808	0.71531	1.7853	Noun	62	0.82667	3.1726	1	10.5	3	22	1	low	
17008	17007	strife	62966	85	67	63	55	1.6667	1.9345	0.79876	1.8325	Noun	84	1	3.2263	1	48	6	4	1	low	
4109	4108	crate	14988	209	126	204	124	4.098	2.3222	1.5021	2.1038	Noun	197	0.94258	3.6141	1	50	5	6	1	low	
