numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	
1174	1173	bankruptcy	4718	121	83	104	79	2.3725	2.0864	0.98951	1.9243	Noun	120	1	3.3782	3	14.78	10	0	1	low	
12566	12565	parenting	46363	134	107	125	101	2.6275	2.1303	1.2756	2.0334	Noun	127	0.95489	3.4222	3	263.13	9	0	1	low	
12157	12156	oracle	44730	114	37	31	21	2.2353	2.0607	0.44111	1.5798	Noun	114	1	3.3525	3	66.2	6	0	1	low	
876	875	attendant	3741	158	119	139	108	3.098	2.2014	1.4187	2.0792	Noun	150	0.94937	3.4932	3	59	9	0	1	low	
17841	17840	tiara	66267	91	45	88	44	1.7843	1.9638	0.53648	1.6628	Noun	89	1	3.2556	3	25.5	5	0	1	low	
2394	2393	buttercup	8744	121	44	37	23	2.3725	2.0864	0.52456	1.6532	Noun	116	0.96667	3.3782	3	45.38	9	0	1	low	
16784	16783	starvation	62158	75	69	67	62	1.4706	1.8808	0.8226	1.8451	Noun	75	1	3.1726	3	132.22	10	0	1	low	
3947	3946	corruption	14445	218	154	199	145	4.2745	2.3404	1.836	2.1903	Noun	218	1	3.6323	3	136.33	10	0	1	low	
3339	3338	clientele	11925	80	71	77	70	1.5686	1.9085	0.84645	1.8573	Noun	80	1	3.2003	3	50.13	9	0	1	low	
1225	1224	baroness	4904	134	30	41	14	2.6275	2.1303	0.35765	1.4914	Noun	127	0.96212	3.4222	3	104	8	0	1	low	
12316	12315	overdose	45388	136	100	115	90	2.6667	2.1367	1.1922	2.0043	Noun	112	0.82353	3.4286	3	37.57	8	1	1	low	
16842	16841	stepfather	62355	151	89	139	86	2.9608	2.1818	1.061	1.9542	Noun	151	1	3.4737	3	46.67	10	0	1	low	
12852	12851	percentage	47208	192	164	186	159	3.7647	2.2856	1.9552	2.2175	Noun	192	1	3.5774	3	41.22	10	0	1	low	
1919	1918	borderline	7309	81	75	73	70	1.5882	1.9138	0.89413	1.8808	Noun	81	1	3.2056	3	99.22	10	0	1	low	
3824	3823	contractor	13919	160	123	156	119	3.1373	2.2068	1.4664	2.0934	Noun	160	1	3.4987	3	76	10	0	1	low	
17590	17589	technician	65272	132	101	109	91	2.5882	2.1239	1.2041	2.0086	Noun	117	0.89313	3.4157	3	26.44	10	0	1	low	
735	734	arsenal	3226	102	82	95	75	2	2.0128	0.97759	1.9191	Noun	96	0.94118	3.3047	3	37.17	7	0	1	low	
145	144	aggression	1183	143	109	134	105	2.8039	2.1584	1.2995	2.0414	Noun	143	1	3.4502	3	88.22	10	0	1	low	
17664	17663	tenderness	65521	129	96	116	87	2.5294	2.1139	1.1445	1.9868	Noun	129	1	3.4058	3	57.89	10	0	1	low	
16392	16391	solitude	60712	102	91	91	81	2	2.0128	1.0849	1.9638	Noun	98	0.9703	3.3047	3	45.57	8	0	1	low	
16018	16017	silicon	59163	87	47	37	28	1.7059	1.9445	0.56032	1.6812	Noun	86	0.98851	3.2363	3	42	7	0	1	low	
6574	6573	fisherman	24468	221	145	186	126	4.3333	2.3464	1.7287	2.1644	Noun	220	1	3.6382	3	51.63	9	1	1	low	
13805	13804	propeller	50643	78	55	74	51	1.5294	1.8976	0.6557	1.7482	Noun	78	1	3.1895	3	67.63	9	1	1	low	
13588	13587	precision	49714	150	117	142	115	2.9412	2.179	1.3948	2.0719	Noun	150	1	3.4708	3	92.5	9	0	1	low	
2817	2816	catalog	9978	149	116	143	111	2.9216	2.1761	1.3829	2.0682	Noun	149	1	3.4679	3	43.17	7	0	1	low	
5940	5939	espresso	22268	105	78	97	75	2.0588	2.0253	0.9299	1.8976	Noun	100	1	3.3171	3	12.14	8	0	1	low	
19294	19293	wilderness	72996	201	145	174	137	3.9412	2.3054	1.7287	2.1644	Noun	196	0.97512	3.5972	3	49.22	10	0	1	low	
12951	12950	pharmacy	47683	175	130	148	115	3.4314	2.2455	1.5498	2.1173	Noun	166	0.94857	3.5373	3	32.14	8	0	1	low	
5050	5049	dishwasher	18722	103	76	99	75	2.0196	2.017	0.90606	1.8865	Noun	103	1	3.3089	3	46.33	10	0	1	low	
12585	12584	parliament	46415	114	61	34	21	2.2353	2.0607	0.72723	1.7924	Noun	114	1	3.3525	3	49.78	10	0	1	low	
259	258	algebra	1519	90	69	67	51	1.7647	1.959	0.8226	1.8451	Noun	74	0.82222	3.2509	3	8.5	7	0	1	low	
4411	4410	cylinder	15975	80	53	78	52	1.5686	1.9085	0.63186	1.7324	Noun	80	1	3.2003	3	64.86	8	0	1	low	
868	867	attacker	3720	73	60	69	59	1.4314	1.8692	0.71531	1.7853	Noun	71	0.98611	3.1611	3	44	8	1	1	low	
17281	17280	surrogate	64098	95	56	91	56	1.8627	1.9823	0.66762	1.7559	Noun	95	1	3.2741	3	58.75	9	0	1	low	
