word|s	KFfrequency|f	letters|f	phonemes|f	syllables|f	familiarity|f	concreteness|f	imagery|f	AoA|f	PoS|s
aback-A	2	5	4	2	0	0	0	0	A
abandon-A	17	7	7	3	510	0	395	0	A
abandoned-J	25	9	8	4	0	0	0	0	J
abandoned-V	25	9	8	4	0	0	0	0	V
abandon-N	17	7	7	3	510	0	395	0	N
abandon-V	17	7	7	3	510	0	395	0	V
abasement-N	2	9	8	3	226	275	262	0	N
abbe-N	3	4	3	2	0	0	0	0	N
abbey-N	7	5	3	2	0	0	0	0	N
abbot-N	2	5	4	2	0	0	0	0	N
abdomen-N	6	7	7	3	426	586	548	556	N
abdominal-J	4	9	8	4	0	0	0	0	J
abdominal-N	4	9	8	4	0	0	0	0	N
abduction-N	1	9	8	3	413	337	463	0	N
abed-A	1	4	4	2	0	0	0	0	A
aberrant-J	5	8	7	3	0	0	0	0	J
aberration-N	3	10	8	4	208	330	285	0	N
abeyance-N	3	8	6	3	0	0	0	0	N
abhorrent-J	1	9	8	3	0	0	0	0	J
abide-V	7	5	4	2	0	0	0	0	V
abigail-N	2	7	6	3	0	0	0	0	N
ability-N	74	7	7	4	563	273	327	453	N
abjection-N	1	9	8	3	0	0	0	0	N
abject-J	3	6	6	2	0	0	0	0	J
abject-N	3	6	6	2	0	0	0	0	N
abject-V	3	6	6	2	0	0	0	0	V
ablation-N	2	8	7	3	0	0	0	0	N
ablaze-A	3	6	5	2	0	0	0	0	A
ablaze-J	3	6	5	2	0	0	0	0	J
able-J	216	4	3	2	575	302	284	0	J
able-V	216	4	3	1	575	302	284	0	V
ably-A	2	4	4	2	0	0	0	0	A
abnormal-J	3	8	7	3	0	0	0	0	J
aboard-A	25	6	4	2	0	0	0	0	A
aboard-N	25	6	4	2	0	0	0	0	N
aboard-R	25	6	4	2	0	0	0	0	R
aboard-V	25	6	4	2	0	0	0	0	V
abode-N	4	5	4	2	334	498	458	553	N
abode-V	4	5	4	2	334	498	458	553	V
abolish-V	8	7	6	3	0	0	0	0	V
abolition-N	10	9	8	4	0	0	0	0	N
aboriginal-J	1	10	9	5	295	335	389	0	J
aboriginal-N	1	10	9	5	295	335	389	0	N
aborigines-N	8	10	10	5	0	0	0	0	N
abortion-N	6	8	6	3	0	0	0	0	N
abortive-J	3	8	6	3	0	0	0	0	J
abortive-N	3	8	6	3	0	0	0	0	N
abortive-V	3	8	6	3	0	0	0	0	V
abound-V	1	6	5	2	0	0	0	0	V
about-A	1815	5	4	2	593	227	225	0	A
about-R	1815	5	4	2	593	227	225	0	R
above-A	296	5	4	2	607	0	346	0	A
above-J	296	5	4	2	607	0	346	0	J
above-N	296	5	4	2	607	0	346	0	N
above-R	296	5	4	2	607	0	346	0	R
abrasion-N	1	8	7	3	0	0	0	0	N
abreast-A	5	7	6	2	0	0	0	0	A
abridgment-N	1	10	9	3	0	0	0	0	N
abroad-A	51	6	5	2	0	0	0	0	A
abroad-J	51	6	5	2	0	0	0	0	J
abroad-R	51	6	5	2	0	0	0	0	R
abrupt-J	18	6	6	2	486	266	362	0	J
abruptly-A	18	8	8	3	0	0	0	0	A
abrupt-N	18	6	6	2	486	266	362	0	N
abrupt-V	18	6	6	2	486	266	362	0	V
abscissa-N	1	8	6	3	0	0	0	0	N
absence-N	53	7	6	2	0	0	0	0	N
absentee-J	1	8	7	3	0	0	0	0	J
absentee-N	1	8	7	3	0	0	0	0	N
absent-J	28	6	6	2	0	0	0	0	J
absent-N	28	6	6	2	0	0	0	0	N
absent-V	28	6	6	2	0	0	0	0	V
absolute-J	30	8	7	3	495	0	268	0	J
absolutely-A	27	10	9	4	0	0	0	0	A
absolute-N	30	8	7	3	495	0	268	0	N
absolution-N	2	10	9	4	372	241	256	608	N
absorb-V	13	6	5	2	0	0	0	0	V
absorption-J	12	10	7	3	0	0	0	0	J
absorption-N	12	10	8	3	0	0	0	0	N
absorptive-J	1	10	8	3	0	0	0	0	J
abstain-V	1	7	6	2	0	0	0	0	V
abstention-N	5	10	9	3	0	0	0	0	N
abstinence-N	1	10	9	3	0	0	0	0	N
abstracted-J	3	10	10	3	0	0	0	0	J
abstracted-V	3	10	10	3	0	0	0	0	V
abstract-J	34	8	8	2	0	0	0	0	J
abstract-N	34	8	8	2	0	0	0	0	N
abstract-V	34	8	8	2	0	0	0	0	V
absurdity-N	8	9	8	4	0	0	0	0	N
absurd-J	17	6	5	2	0	0	0	0	J
absurd-N	17	6	5	2	0	0	0	0	N
abundance-N	13	9	8	3	448	267	386	519	N
abundant-A	9	8	8	3	524	351	443	0	A
abundant-J	9	8	8	3	524	351	443	0	J
abuse-N	18	5	5	2	450	0	0	0	N
abuse-V	18	5	5	2	450	0	0	0	V
abusive-J	1	7	7	3	0	0	0	0	J
abysmal-J	2	7	7	3	0	0	0	0	J
abyss-N	4	5	4	2	293	450	453	597	N
abyss-V	4	5	4	2	293	450	453	597	V
acacia-N	3	6	5	3	0	0	0	0	N
academic-J	56	8	8	4	0	0	0	0	J
academic-N	56	8	8	4	0	0	0	0	N
academy-J	24	7	7	4	509	499	504	0	J
academy-N	24	7	7	4	509	499	504	0	N
accede-N	1	6	5	2	0	0	0	0	N
accede-V	1	6	5	2	0	0	0	0	V
accelerate-V	5	10	9	4	0	0	0	0	V
accent-N	9	6	6	2	0	0	0	0	N
accentual-J	1	9	10	3	0	0	0	0	J
accentuate-V	1	10	10	4	0	0	0	0	V
accent-V	9	6	6	2	0	0	0	0	V
acceptable-J	21	10	9	4	521	0	288	0	J
acceptance-N	49	10	9	3	0	0	0	0	N
accept-V	72	6	6	2	0	0	0	0	V
accessible-J	5	10	8	4	0	0	0	0	J
access-N	24	6	5	2	0	0	0	0	N
accessory-J	1	9	8	4	0	0	0	0	J
accessory-N	1	9	8	4	0	0	0	0	N
accidental-J	9	10	9	4	0	0	0	0	J
accidental-N	9	10	9	4	0	0	0	0	N
accident-J	33	8	8	3	564	419	518	329	J
accident-N	33	8	8	3	564	419	518	329	N
acclaim-N	4	7	5	2	0	0	0	0	N
acclaim-V	4	7	5	2	0	0	0	0	V
accolade-N	2	8	6	3	0	0	0	0	N
accompany-V	8	9	8	4	0	0	0	0	V
accomplice-N	2	10	8	3	446	395	391	0	N
accomplish-V	24	10	8	3	0	0	0	0	V
accord-A	9	6	4	2	418	299	248	0	A
accordance-N	20	10	7	3	431	270	237	544	N
according-A	139	9	6	3	0	0	0	0	A
according-V	139	9	6	3	0	0	0	0	V
accordion-J	1	9	7	3	394	586	576	0	J
accordion-N	1	9	7	3	394	586	576	0	N
accord-J	9	6	4	2	418	299	248	0	J
accord-N	9	6	4	2	418	299	248	0	N
accord-V	9	6	4	2	418	299	248	0	V
accountant-J	2	10	8	3	0	0	0	0	J
accountant-N	2	10	8	3	0	0	0	0	N
account-N	117	7	5	2	523	365	361	0	N
account-V	117	7	5	2	523	365	361	0	V
accretion-N	3	9	7	3	0	0	0	0	N
accumulate-V	3	10	10	4	0	0	0	0	V
accuracy-N	36	8	8	4	0	0	0	0	N
accurate-J	35	8	7	3	566	0	305	0	J
accusation-N	3	10	9	4	0	0	0	0	N
accuse-N	10	6	5	2	0	0	0	0	N
accuse-V	10	6	5	2	0	0	0	0	V
accustomed-J	15	10	8	4	0	0	0	0	J
accustomed-V	15	10	8	4	0	0	0	0	V
ace-N	15	3	2	1	0	0	0	0	N
acetate-N	7	7	6	3	0	0	0	0	N
acetone-N	4	7	6	3	0	0	0	0	N
ace-V	15	3	2	1	0	0	0	0	V
ache-N	4	4	2	1	523	443	443	0	N
ache-N	4	4	3	1	523	443	443	0	N
ache-V	4	4	2	1	523	443	443	0	V
achieve-V	51	7	5	2	0	0	0	0	V
acidity-N	1	7	7	4	399	384	432	622	N
acid-J	13	4	4	2	0	0	0	0	J
acid-N	13	4	4	2	0	0	0	0	N
acolyte-N	1	7	6	3	0	0	0	0	N
acoustic-J	1	8	7	3	0	0	0	0	J
acoustic-N	1	8	7	3	0	0	0	0	N
acoustics-N	1	9	8	3	0	0	0	0	N
acquaint-V	3	8	6	2	0	0	0	0	V
acquiesce-V	3	9	6	3	0	0	0	0	V
acquire-V	27	7	5	3	0	0	0	0	V
acquittal-N	2	9	6	3	0	0	0	0	N
acreage-N	11	7	6	3	0	0	0	0	N
acre-N	9	4	3	2	427	462	464	411	N
acrid-J	1	5	5	2	0	0	0	0	J
acrobatic-J	2	9	9	4	0	0	0	0	J
acropolis-N	6	9	9	4	0	0	0	0	N
across-A	282	6	5	2	0	0	0	0	A
across-R	282	6	5	2	0	0	0	0	R
acting-J	61	6	5	2	0	0	0	0	J
acting-N	61	6	5	2	0	0	0	0	N
acting-V	61	6	5	2	0	0	0	0	V
action-N	291	6	5	2	0	0	0	0	N
action-V	291	6	4	2	0	0	0	0	V
activate-V	2	8	7	3	0	0	0	0	V
active-J	88	6	5	2	552	0	436	0	J
activity-N	116	8	8	4	0	0	0	0	N
act-J	283	3	3	1	566	379	433	319	J
act-N	283	3	3	1	566	379	433	319	N
actor-N	24	5	4	2	0	0	0	0	N
actress-N	6	7	6	2	0	0	0	0	N
actuality-N	8	9	9	4	361	247	213	586	N
actual-J	100	6	7	2	589	0	259	0	J
actually-A	166	8	6	3	0	0	0	0	A
actuarial-J	1	9	10	4	0	0	0	0	J
actuate-V	1	7	7	3	0	0	0	0	V
act-V	283	3	3	1	566	379	433	319	V
acumen-N	1	6	7	3	149	272	229	0	N
acute-J	13	5	5	2	0	0	0	0	J
acute-N	13	5	5	2	0	0	0	0	N
acute-V	13	5	5	2	0	0	0	0	V
adage-N	3	5	4	2	160	373	324	0	N
adagio-A	3	6	6	3	0	0	0	0	A
adagio-J	3	6	6	3	0	0	0	0	J
adagio-N	3	6	6	4	0	0	0	0	N
adamant-J	5	7	7	3	0	0	0	0	J
adamant-N	5	7	7	3	0	0	0	0	N
adaptable-J	2	9	8	4	0	0	0	0	J
adaptation-N	10	10	9	4	0	0	0	0	N
adapter-N	1	7	6	3	0	0	0	0	N
adapt-V	5	5	5	2	0	0	0	0	V
addicted-V	3	8	7	3	0	0	0	0	V
addiction-N	3	9	7	3	0	0	0	0	N
addict-N	1	6	5	2	0	0	0	0	N
addict-V	1	6	5	2	0	0	0	0	V
additional-J	120	10	7	4	489	0	303	0	J
additional-N	120	10	7	4	489	0	303	0	N
addition-N	142	8	6	3	535	339	347	314	N
addition-V	142	8	5	3	535	339	347	314	V
additive-J	3	8	6	3	0	0	0	0	J
additive-N	3	8	6	3	0	0	0	0	N
addressed-V	19	9	6	3	0	0	0	0	V
address-N	77	7	5	2	0	0	0	0	N
address-V	77	7	5	2	0	0	0	0	V
adduce-V	1	6	5	2	0	0	0	0	V
add-V	88	3	2	1	0	0	0	0	V
adept-J	4	5	5	2	0	0	0	0	J
adept-N	4	5	5	2	0	0	0	0	N
adequacy-N	3	8	8	4	0	0	0	0	N
adequate-J	66	8	7	3	485	0	268	0	J
adequate-V	66	8	7	3	485	0	268	0	V
adherence-N	9	9	8	3	375	265	326	603	N
adherent-J	2	8	8	3	0	0	0	0	J
adherent-N	2	8	8	3	0	0	0	0	N
adhere-V	4	6	4	2	0	0	0	0	V
adhesion-N	2	8	7	3	0	0	0	0	N
adhesive-J	6	8	7	3	0	0	0	0	J
adhesive-N	6	8	7	3	0	0	0	0	N
adieu-A	1	5	4	2	0	0	0	0	A
adieu-N	1	5	4	2	0	0	0	0	N
adjacent-J	12	8	7	3	0	0	0	0	J
adjacent-N	12	8	7	3	0	0	0	0	N
adjectival-J	3	10	9	4	0	0	0	0	J
adjective-J	2	9	7	3	515	316	394	0	J
adjective-N	2	9	7	3	515	316	394	0	N
adjective-V	2	9	7	3	515	316	394	0	V
adjudicate-V	1	10	8	4	0	0	0	0	V
adjunct-J	6	7	6	2	0	0	0	0	J
adjunct-N	6	7	6	2	0	0	0	0	N
adjustment-N	35	10	9	3	0	0	0	0	N
adjust-V	16	6	5	2	0	0	0	0	V
administer-N	3	10	10	4	0	0	0	0	N
administer-V	3	10	9	4	0	0	0	0	V
admirable-A	10	9	8	3	0	0	0	0	A
admirable-J	10	9	8	4	0	0	0	0	J
admiralty-N	1	9	9	4	0	0	0	0	N
admiration-N	10	10	9	4	0	0	0	0	N
admire-N	10	6	6	2	531	296	390	0	N
admirer-N	3	7	7	4	0	0	0	0	N
admire-V	10	6	5	3	531	296	390	0	V
admissible-J	9	10	8	4	0	0	0	0	J
admission-N	33	9	7	3	482	305	389	458	N
admittance-N	1	10	8	3	0	0	0	0	N
admit-V	37	5	5	2	0	0	0	0	V
admonition-N	1	10	9	4	0	0	0	0	N
adobe-J	2	5	5	2	0	0	0	0	J
adobe-N	2	5	5	3	0	0	0	0	N
adolescent-J	12	10	8	4	0	0	0	0	J
adolescent-N	12	10	8	4	0	0	0	0	N
ado-N	4	3	3	2	0	0	0	0	N
adoption-N	11	8	7	3	0	0	0	0	N
adopt-V	13	5	5	2	0	0	0	0	V
adorable-J	3	8	7	4	0	0	0	0	J
adore-V	2	5	3	2	0	0	0	0	V
adorn-J	1	5	4	2	441	339	370	0	J
adorn-N	1	5	4	2	441	339	370	0	N
adorn-V	1	5	4	2	441	339	370	0	V
ado-V	4	3	3	2	0	0	0	0	V
adrenal-J	2	7	6	3	0	0	0	0	J
adrenal-N	2	7	6	3	0	0	0	0	N
adrian-J	4	6	6	2	0	0	0	0	J
adrian-N	4	6	6	2	0	0	0	0	N
adriatic-J	3	8	8	4	0	0	0	0	J
adrift-A	1	6	6	2	0	0	0	0	A
adrift-J	1	6	6	2	0	0	0	0	J
adroit-J	1	6	5	2	0	0	0	0	J
adroit-J	1	6	6	2	0	0	0	0	J
ads-N	10	3	3	1	0	0	0	0	N
adulation-N	1	9	9	4	0	0	0	0	N
adulterous-J	1	10	9	4	0	0	0	0	J
adultery-N	3	8	8	4	456	311	494	583	N
adult-J	25	5	5	2	590	492	526	0	J
adult-N	25	5	5	2	590	492	526	0	N
advanced-J	52	8	7	3	523	0	320	0	J
advanced-V	52	8	7	3	523	0	320	0	V
advance-J	60	7	6	2	0	0	0	0	J
advance-N	60	7	6	2	0	0	0	0	N
advance-V	60	7	6	2	0	0	0	0	V
advantage-J	73	9	8	3	562	282	292	0	J
advantage-N	73	9	8	3	562	282	292	0	N
advantage-V	73	9	8	3	562	282	292	0	V
advent-N	5	6	6	2	0	0	0	0	N
adventure-N	14	9	8	3	0	0	0	0	N
adventure-V	14	9	8	3	0	0	0	0	V
adverbial-J	2	9	8	3	0	0	0	0	J
adverb-J	1	6	5	2	473	352	315	0	J
adverb-N	1	6	5	2	473	352	315	0	N
adversary-J	5	9	8	4	0	0	0	0	J
adversary-N	5	9	8	4	0	0	0	0	N
adverse-J	11	7	5	2	0	0	0	0	J
adverse-V	11	7	5	2	0	0	0	0	V
adversity-N	2	9	8	4	360	314	326	0	N
advertiser-N	1	10	8	4	0	0	0	0	N
advertise-V	3	9	7	3	0	0	0	0	V
advice-N	51	6	5	2	566	291	352	425	N
advisable-J	1	9	8	4	0	0	0	0	J
advised-J	33	7	6	3	0	0	0	0	J
advised-V	33	7	6	3	0	0	0	0	V
adviser-N	6	7	6	3	0	0	0	0	N
advise-V	10	6	5	2	0	0	0	0	V
advisor-N	1	7	6	3	0	0	0	0	N
advisory-J	24	8	8	4	0	0	0	0	J
advocacy-N	24	8	8	4	0	0	0	0	N
advocacy-N	3	8	8	4	0	0	0	0	N
advocate-N	15	8	7	3	0	0	0	0	N
advocate-V	15	8	7	3	0	0	0	0	V
aegean-J	15	6	5	3	0	0	0	0	J
aegis-J	1	5	4	2	0	0	0	0	J
aegis-N	1	5	4	2	0	0	0	0	N
aeon-N	1	4	3	2	0	0	0	0	N
aerate-V	1	6	5	3	0	0	0	0	V
aeration-N	7	8	7	4	0	0	0	0	N
aerial-J	8	6	5	2	481	517	567	428	J
aerial-N	8	6	5	2	481	517	567	428	N
aesthetic-J	26	9	7	3	0	0	0	0	J
aesthetic-N	26	9	7	3	0	0	0	0	N
afar-A	2	4	3	2	0	0	0	0	A
affable-J	1	7	5	3	266	0	315	0	J
affair-N	33	6	3	2	531	0	361	0	N
affected-J	36	8	7	3	0	0	0	0	J
affected-V	36	8	7	3	0	0	0	0	V
affecting-J	5	9	7	3	0	0	0	0	J
affecting-V	5	9	7	3	0	0	0	0	V
affection-N	18	9	7	3	513	280	484	467	N
affection-V	18	9	6	3	513	280	484	467	V
affect-N	35	6	5	2	0	0	0	0	N
affect-V	35	6	5	2	0	0	0	0	V
afferent-J	1	8	7	3	0	0	0	0	J
affinity-N	5	8	7	4	0	0	0	0	N
affirm-V	12	6	4	2	444	0	281	0	V
affix-N	1	5	5	2	0	0	0	0	N
affix-V	1	5	5	2	0	0	0	0	V
affliction-N	1	10	8	3	0	0	0	0	N
affluence-N	4	9	7	2	0	0	0	0	N
affluent-J	2	8	7	2	0	0	0	0	J
affluent-N	2	8	7	2	0	0	0	0	N
afford-V	40	6	4	2	0	0	0	0	V
affront-N	2	7	6	2	0	0	0	0	N
affront-V	2	7	6	2	0	0	0	0	V
afield-A	1	6	5	2	0	0	0	0	A
afire-A	1	5	4	3	0	0	0	0	A
afire-J	1	5	4	3	0	0	0	0	J
aflame-A	3	6	5	2	0	0	0	0	A
aflame-J	3	6	5	2	0	0	0	0	J
afloat-A	7	6	5	2	0	0	0	0	A
afloat-J	7	6	5	2	0	0	0	0	J
afoot-A	1	5	4	2	0	0	0	0	A
afoot-J	1	5	4	2	0	0	0	0	J
aforesaid-J	2	9	6	3	0	0	0	0	J
afraid-J	57	6	5	2	575	336	451	0	J
afresh-A	2	6	5	2	0	0	0	0	A
african-J	28	7	7	3	0	0	0	0	J
african-N	28	7	7	3	0	0	0	0	N
aft-A	5	3	3	1	0	0	0	0	A
after-A	1070	5	4	2	575	242	217	0	A
after-C	1070	5	4	2	575	242	217	0	C
after-J	1070	5	5	2	575	242	217	0	J
aftermath-J	4	9	7	3	0	0	0	0	J
aftermath-N	4	9	7	3	0	0	0	0	N
afternoon-J	106	9	7	3	655	406	513	281	J
afternoon-N	106	9	7	3	655	406	513	281	N
after-R	1070	5	4	2	575	242	217	0	R
afterward-A	16	9	7	3	0	0	0	0	A
afterwards-A	14	10	8	3	0	0	0	0	A
again-A	578	5	4	2	0	0	0	0	A
again-C	578	5	4	2	0	0	0	0	C
again-R	578	5	4	2	0	0	0	0	R
against-A	626	7	6	2	600	0	285	0	A
against-C	626	7	6	2	600	0	285	0	C
against-R	626	7	6	2	600	0	285	0	R
aged-J	18	4	4	2	0	0	0	0	J
aged-V	18	4	3	2	0	0	0	0	V
age-N	227	3	2	1	582	390	468	258	N
agency-N	56	6	6	3	420	426	366	553	N
agenda-N	5	6	6	3	0	0	0	0	N
agent-J	44	5	5	2	0	0	0	0	J
agent-N	44	5	5	2	0	0	0	0	N
age-V	227	3	2	1	582	390	468	258	V
aggravate-V	1	9	7	3	0	0	0	0	V
aggregate-J	8	9	7	3	0	0	0	0	J
aggregate-N	8	9	7	3	0	0	0	0	N
aggregate-V	8	9	7	3	0	0	0	0	V
aggression-N	10	10	7	3	0	0	0	0	N
aggressive-J	17	10	7	3	500	0	417	0	J
aggressive-N	17	10	7	3	500	0	417	0	N
aggressor-N	2	9	6	3	359	439	383	589	N
aghast-J	1	6	5	2	0	0	0	0	J
agile-J	2	5	4	2	432	356	454	0	J
agility-N	3	7	7	4	397	327	464	0	N
agitate-V	1	7	6	3	0	0	0	0	V
agitation-N	6	9	8	4	0	0	0	0	N
agitator-N	1	8	7	4	0	0	0	0	N
agnomen-N	1	7	7	3	0	0	0	0	N
ago-A	246	3	3	2	0	0	0	0	A
ago-J	246	3	3	2	0	0	0	0	J
agone-J	2	5	4	2	0	0	0	0	J
agony-N	9	5	5	3	509	348	491	461	N
ago-V	246	3	3	2	0	0	0	0	V
agrarian-J	8	8	8	3	0	0	0	0	J
agrarian-N	8	8	8	3	0	0	0	0	N
agree-A	51	5	4	2	0	0	0	0	A
agreeable-J	11	9	6	3	0	0	0	0	J
agreement-N	106	9	8	3	541	327	367	0	N
agree-N	51	5	4	2	0	0	0	0	N
agree-V	51	5	4	2	0	0	0	0	V
ague-N	1	4	4	2	196	365	224	661	N
ague-V	1	4	4	2	196	365	224	661	V
ahead-A	109	5	4	2	0	0	0	0	A
ahead-J	109	5	4	2	0	0	0	0	J
aide-N	9	4	2	1	0	0	0	0	N
aid-N	130	3	2	1	536	372	413	0	N
aid-V	130	3	2	1	536	372	413	0	V
ailment-N	4	7	6	2	0	0	0	0	N
aim-N	37	3	2	1	549	324	383	344	N
aim-V	37	3	2	1	549	324	383	344	V
ain't-V	46	5	3	1	0	0	0	0	V
air-A	257	3	2	1	608	518	450	0	A
airborne-J	7	8	4	2	0	0	0	0	J
airbrake-N	7	8	4	2	0	0	0	0	N
aircraft-N	70	8	6	2	0	0	0	0	N
airfield-N	5	8	5	2	0	0	0	0	N
airily-A	2	6	5	3	0	0	0	0	A
airmen-N	1	6	4	2	0	0	0	0	N
air-N	257	3	1	1	608	518	450	0	N
airplane-N	11	8	5	2	0	0	0	0	N
airport-N	19	7	4	2	0	0	0	0	N
air-V	257	3	1	1	608	518	450	0	V
airy-J	7	4	3	2	423	334	368	0	J
airy-N	7	4	3	2	423	334	368	0	N
aisle-N	6	5	2	1	503	509	528	0	N
ajar-A	2	4	4	2	0	0	0	0	A
ajar-J	2	4	3	2	0	0	0	0	J
akin-A	10	4	4	2	0	0	0	0	A
akin-J	10	4	4	2	0	0	0	0	J
alabaster-J	3	9	9	4	0	0	0	0	J
alabaster-N	3	9	8	4	0	0	0	0	N
alacrity-N	2	8	8	4	245	269	189	678	N
alarmist-N	1	8	7	3	0	0	0	0	N
alarm-N	16	5	4	2	0	0	0	0	N
alarm-V	16	5	4	2	0	0	0	0	V
albanian-J	2	8	8	3	0	0	0	0	J
albanian-N	2	8	8	3	0	0	0	0	N
albeit-C	2	6	6	3	0	0	0	0	C
albert-N	29	6	5	2	0	0	0	0	N
albumin-N	10	7	8	3	217	415	352	0	N
album-N	6	5	5	2	0	0	0	0	N
alchemy-N	1	7	6	3	0	0	0	0	N
alchemy-V	1	7	6	3	0	0	0	0	V
alcoholic-J	3	9	9	4	0	0	0	0	J
alcoholic-N	3	9	9	4	0	0	0	0	N
alcoholism-N	1	10	11	5	0	0	0	0	N
alcohol-N	13	7	7	3	578	618	598	0	N
alderman-N	1	8	7	3	0	0	0	0	N
aldermen-N	2	8	7	3	0	0	0	0	N
ale-N	1	3	2	1	454	578	526	0	N
alert-A	33	5	4	2	528	400	428	0	A
alert-J	33	5	4	2	528	400	428	0	J
alert-N	33	5	4	2	528	400	428	0	N
alert-V	33	5	4	2	528	400	428	0	V
alfresco-A	2	8	8	3	0	0	0	0	A
alfresco-J	2	8	8	3	0	0	0	0	J
algae-N	7	5	4	2	317	545	424	631	N
algebraic-J	1	9	9	4	0	0	0	0	J
algebra-N	2	7	7	3	483	453	510	0	N
algerian-J	5	8	8	3	0	0	0	0	J
algerian-N	5	8	8	3	0	0	0	0	N
alias-A	1	5	4	2	384	232	294	561	A
alias-N	1	5	5	3	384	232	294	561	N
alibi-A	8	5	5	3	0	0	0	0	A
alibi-N	8	5	5	3	0	0	0	0	N
alienate-N	2	8	7	3	0	0	0	0	N
alienate-V	2	8	7	3	0	0	0	0	V
alienation-N	22	10	9	4	0	0	0	0	N
alien-J	16	5	5	2	479	399	470	0	J
alien-N	16	5	5	2	479	399	470	0	N
alien-V	16	5	5	2	479	399	470	0	V
alight-J	3	6	4	2	0	0	0	0	J
alight-V	3	6	4	2	0	0	0	0	V
alignment-N	4	9	8	3	0	0	0	0	N
align-N	2	5	4	2	0	0	0	0	N
align-V	2	5	4	2	0	0	0	0	V
alike-A	20	5	4	2	0	0	0	0	A
alike-J	20	5	4	2	0	0	0	0	J
alimony-N	2	7	7	4	415	454	456	0	N
alive-A	57	5	4	2	593	0	426	0	A
alive-J	57	5	4	2	593	0	426	0	J
alive-V	57	5	4	2	593	0	426	0	V
alizarin-N	1	8	8	4	0	0	0	0	N
alkali-N	4	6	6	3	391	437	432	633	N
alkaline-J	2	8	7	3	0	0	0	0	J
alkaline-N	2	8	7	3	0	0	0	0	N
all-A	3001	3	2	1	582	267	332	0	A
allay-N	2	5	3	2	0	0	0	0	N
allay-V	2	5	3	2	0	0	0	0	V
allege-V	1	6	4	2	279	0	281	0	V
allegiance-N	4	10	7	3	0	0	0	0	N
allegoric-J	2	9	8	4	0	0	0	0	J
allegory-N	3	8	7	4	314	283	244	650	N
allegro-A	2	7	6	3	0	0	0	0	A
allegro-J	2	7	6	3	0	0	0	0	J
allegro-N	2	7	6	3	0	0	0	0	N
allergic-J	2	8	6	3	0	0	0	0	J
allergy-N	1	7	5	3	0	0	0	0	N
alleviate-V	5	9	7	4	0	0	0	0	V
alley-N	8	5	3	2	526	557	572	0	N
alliance-N	20	8	6	3	0	0	0	0	N
alliance-V	20	8	6	2	0	0	0	0	V
allied-J	29	6	4	2	0	0	0	0	J
allied-V	29	6	4	2	0	0	0	0	V
alligator-N	4	9	7	4	442	624	627	0	N
all-J	3001	3	2	1	582	267	332	0	J
all-N	3001	3	2	1	582	267	332	0	N
allocate-N	3	8	6	3	0	0	0	0	N
allocate-V	3	8	6	3	0	0	0	0	V
allocation-N	17	10	8	4	0	0	0	0	N
allotment-N	39	9	8	3	420	502	470	486	N
allot-V	1	5	4	2	0	0	0	0	V
allowable-J	5	9	6	4	0	0	0	0	J
allowance-N	16	9	6	3	0	0	0	0	N
allowance-V	16	9	6	3	0	0	0	0	V
allowed-V	86	7	4	3	0	0	0	0	V
allow-V	72	5	3	2	504	268	373	0	V
alloy-N	3	5	3	2	0	0	0	0	N
alloy-N	3	5	3	2	0	0	0	0	N
alloy-V	3	5	3	2	0	0	0	0	V
all-U	3001	3	2	1	582	267	332	0	U
allurement-N	1	10	8	3	0	0	0	0	N
allure-N	1	6	5	2	0	0	0	0	N
allure-V	1	6	4	2	0	0	0	0	V
allusion-N	3	8	6	3	0	0	0	0	N
ally-N	9	4	3	2	410	485	453	446	N
ally-N	9	4	3	2	410	485	453	446	N
ally-V	9	4	3	2	410	485	453	446	V
almagest-N	4	8	8	3	0	0	0	0	N
almanac-N	1	7	7	3	0	0	0	0	N
almighty-J	5	8	6	3	0	0	0	0	J
almighty-N	5	8	6	3	0	0	0	0	N
almond-N	1	6	5	2	0	0	0	0	N
almost-A	432	6	6	2	0	0	0	0	A
almost-J	432	6	6	2	0	0	0	0	J
aloft-A	3	5	5	2	0	0	0	0	A
aloft-J	3	5	5	2	0	0	0	0	J
aloft-R	3	5	5	2	0	0	0	0	R
alone-A	195	5	4	2	562	390	480	0	A
alone-J	195	5	4	2	562	390	480	0	J
along-A	355	5	4	2	0	0	0	0	A
along-J	355	5	4	2	0	0	0	0	J
along-R	355	5	4	2	0	0	0	0	R
alongside-A	15	9	7	3	0	0	0	0	A
alongside-R	15	9	7	3	0	0	0	0	R
aloof-A	5	5	4	2	0	0	0	0	A
aloof-J	5	5	4	2	0	0	0	0	J
aloof-R	5	5	4	2	0	0	0	0	R
aloud-A	13	5	4	2	0	0	0	0	A
alphabetic-J	1	10	9	4	0	0	0	0	J
alphabet-J	2	8	7	3	493	449	499	244	J
alphabet-N	2	8	7	3	493	449	499	244	N
alpha-N	6	5	4	2	0	0	0	0	N
already-A	273	7	6	3	0	0	0	0	A
already-J	273	7	6	3	0	0	0	0	J
alsatian-J	3	8	8	3	0	0	0	0	J
alsatian-N	3	8	8	3	0	0	0	0	N
also-A	1069	4	4	2	552	194	264	0	A
altar-N	5	5	4	2	0	0	0	0	N
alteration-N	7	10	9	4	0	0	0	0	N
alternate-A	11	9	7	3	0	0	0	0	A
alternate-J	11	9	7	3	0	0	0	0	J
alternate-N	11	9	7	3	0	0	0	0	N
