ITEM   	 BF_TP 	 LEN_L 	   N   	
arthritis	  28.25	   9	   1	
arthropod	  13.25	   9	   0	
artichoke	  26.25	   9	   0	
artichokes	  54.00	  10	   0	
article	  40.83	   7	   0	
articles	 112.86	   8	   1	
artifact	  29.14	   8	   0	
artifacts	  28.38	   9	   0	
artisan	  24.33	   7	   0	
artisans	  51.86	   8	   0	
artistry	  49.29	   8	   0	
arts	  18.67	   4	   5	
asbestos	  27.86	   8	   0	
ascendant	  54.00	   9	   0	
ascension	  76.25	   9	   0	
asp	   1.50	   3	   4	
aspersion	  87.88	   9	   0	
aspersions	  61.33	  10	   0	
aspirants	  47.25	   9	   0	
ass	   2.00	   3	   3	
assailant	  45.13	   9	   0	
assailants	  40.89	  10	   0	
assassin	  20.57	   8	   0	
assassins	 127.13	   9	   0	
assemblage	  17.11	  10	   0	
assemblers	  38.11	  10	   0	
assemblies	  68.67	  10	   0	
assembly	  56.29	   8	   1	
assertion	 118.50	   9	   0	
assertions	  68.22	  10	   0	
assessment	  43.44	  10	   0	
assessor	  31.57	   8	   0	
assessors	  51.25	   9	   0	
assignment	  41.78	  10	   0	
assistance	  47.44	  10	   0	
assistant	  57.13	   9	   0	
assistants	  50.67	  10	   0	
assortment	  45.56	  10	   0	
assumption	 105.67	  10	   0	
assurance	  48.75	   9	   0	
ast	   1.50	   3	   8	
asterisk	  69.57	   8	   0	
asteroid	  42.43	   8	   0	
asteroids	  49.63	   9	   0	
asthmatics	  81.67	  10	   0	
astringent	  46.11	  10	   0	
astrodome	  27.75	   9	   0	
astronaut	  32.50	   9	   0	
astronauts	  38.56	  10	   0	
astuteness	  50.33	  10	   0	
asylum	   9.20	   6	   0	
atheism	  21.50	   7	   1	
atheist	  35.83	   7	   1	
atheists	  41.86	   8	   0	
atheneum	  39.71	   8	   0	
athletics	  61.50	   9	   0	
atlases	 103.17	   7	   0	
atmosphere	  20.56	  10	   0	
atonement	  50.13	   9	   0	
atria	   7.25	   5	   0	
atrium	  27.40	   6	   0	
atrophies	  79.63	   9	   1	
atrophy	  15.67	   7	   0	
attaboy	  15.17	   7	   0	
attache	  12.67	   7	   0	
attachment	  39.00	  10	   0	
attacker	  44.00	   8	   1	
attackers	  51.00	   9	   0	
attainment	  42.33	  10	   0	
attendance	  46.67	  10	   0	
attendant	  59.00	   9	   0	
attendants	  49.89	  10	   0	
attendee	  48.00	   8	   1	
attendees	  78.75	   9	   0	
attention	 112.00	   9	   0	
attentions	  63.33	  10	   0	
attire	  28.20	   6	   0	
attitude	  34.71	   8	   2	
attitudes	  69.38	   9	   2	
attorney	  36.86	   8	   0	
attorneys	  32.13	   9	   0	
attraction	 117.89	  10	   0	
attributes	  73.22	  10	   1	
attrition	 108.88	   9	   0	
auctioneer	  35.67	  10	   0	
audibles	 101.43	   8	   0	
audience	  43.71	   8	   0	
audio	   8.25	   5	   1	
audition	  85.71	   8	   1	
auditions	  59.13	   9	   1	
auditor	  21.50	   7	   0	
auditors	  62.43	   8	   1	
audubon	  23.00	   7	   0	
auld	  12.67	   4	   0	
aunt	  19.67	   4	   4	
aunts	  45.50	   5	   2	
aureole	  48.17	   7	   0	
auspices	  90.57	   8	   0	
austrians	  53.38	   9	   0	
authorship	  22.56	  10	   0	
autism	  34.60	   6	   0	
autobahn	  18.29	   8	   0	
autoclave	  27.38	   9	   0	
autocrat	  20.71	   8	   0	
autograph	  24.38	   9	   0	
autographs	  18.56	  10	   0	
autoimmune	  12.44	  10	   0	
autopsies	  82.38	   9	   0	
autopsy	  15.17	   7	   0	
avalanche	  23.50	   9	   0	
avarice	  51.67	   7	   0	
avatar	  19.80	   6	   0	
avatars	  81.67	   7	   0	
avenue	  15.20	   6	   1	
avenues	  90.83	   7	   0	
averages	 106.00	   8	   1	
aversion	  60.71	   8	   0	
avoidance	  32.75	   9	   0	
awareness	  79.00	   9	   0	
awe	   2.00	   3	  10	
awfulness	  54.25	   9	   0	
axe	   1.00	   3	   8	
axiom	   5.75	   5	   0	
axioms	  11.00	   6	   0	
ayes	  12.00	   4	   7	
azalea	  37.20	   6	   0	
azaleas	  29.50	   7	   0	
baas	  13.33	   4	   8	
babe	  15.00	   4	   7	
babes	  75.25	   5	   4	
babushka	  23.86	   8	   0	
babushkas	  15.00	   9	   0	
babyhood	  21.71	   8	   0	
baccarat	  29.86	   8	   0	
bache	  20.50	   5	   2	
bachelor	  28.43	   8	   0	
bacillus	  40.71	   8	   0	
backbiting	 173.44	  10	   0	
backgammon	  34.44	  10	   0	
backpedals	  12.89	  10	   0	
backs	  48.75	   5	  10	
backwater	  82.75	   9	   0	
backwaters	  56.78	  10	   0	
badge	  31.25	   5	   2	
badminton	  56.00	   9	   0	
baedeker	  46.00	   8	   0	
bag	  10.00	   3	  22	
bagpiper	  41.14	   8	   1	
bags	  28.67	   4	  16	
bail	  27.67	   4	  14	
baile	  42.00	   5	   1	
bailiwick	  30.38	   9	   0	
bait	  28.33	   4	   3	
baits	  62.00	   5	   2	
bakeries	 135.57	   8	   0	
bakery	  53.40	   6	   1	
balancer	  66.00	   8	   2	
balconies	  92.13	   9	   0	
balcony	  45.33	   7	   0	
bale	  33.00	   4	  21	
bales	  86.75	   5	  12	
balks	  46.50	   5	   7	
ball	  38.00	   4	  18	
ballistics	  72.56	  10	   0	
balloonist	  36.22	  10	   0	
balloting	 243.13	   9	   0	
ballplayer	  25.89	  10	   0	
balls	  56.25	   5	   8	
ballyhoo	  30.14	   8	   0	
balm	  24.33	   4	   6	
balms	  32.25	   5	   5	
baloney	  49.83	   7	   0	
bambinos	  40.57	   8	   0	
ban	   8.50	   3	  18	
banana	  48.20	   6	   0	
bananas	  50.67	   7	   0	
band	  33.67	   4	  14	
bandages	 113.43	   8	   1	
bandana	  56.67	   7	   0	
bandanas	  49.43	   8	   0	
bandicoot	  38.13	   9	   0	
banditry	  54.43	   8	   0	
bandleader	  35.67	  10	   0	
bandolier	  77.63	   9	   0	
bandoliers	  44.33	  10	   0	
bands	  52.00	   5	  12	
bandwagon	  47.88	   9	   0	
bane	  36.67	   4	  18	
banes	  96.00	   5	  15	
banishment	  47.11	  10	   0	
banister	 108.00	   8	   1	
bank	  33.67	   4	  16	
bankruptcy	  14.78	  10	   0	
banks	  55.00	   5	  10	
bans	  38.00	   4	  18	
baptism	  70.33	   7	   0	
baptisms	  34.00	   8	   0	
bar	   9.00	   3	  16	
barbecue	  40.29	   8	   0	
barbecues	  74.13	   9	   0	
barbeque	  38.29	   8	   1	
barbeques	  69.63	   9	   1	
barbershop	  31.78	  10	   0	
barbs	  35.50	   5	   2	
bard	  36.00	   4	  14	
bargainer	  64.75	   9	   1	
bargaining	 140.67	  10	   0	
baritone	  74.57	   8	   0	
baritones	  92.13	   9	   0	
barium	  61.60	   6	   0	
bark	  36.00	   4	  14	
barn	  36.33	   4	  12	
barnacle	  54.71	   8	   0	
barnacles	  85.25	   9	   0	
barns	  47.25	   5	   7	
baroness	 104.00	   8	   0	
baronet	  73.67	   7	   1	
baronets	  88.86	   8	   2	
barrages	 124.00	   8	   0	
barricade	  53.00	   9	   0	
barricades	  71.78	  10	   1	
barrier	 147.17	   7	   2	
barriers	 111.86	   8	   2	
barrister	  95.13	   9	   0	
barristers	  55.00	  10	   0	
bars	  35.33	   4	  17	
bartender	  81.50	   9	   0	
bartenders	  56.89	  10	   0	
base	  28.33	   4	  12	
basketball	  11.56	  10	   0	
basques	 110.50	   7	   1	
bass	  28.33	   4	  12	
bast	  34.67	   4	  16	
bat	  10.50	   3	  22	
batch	  45.00	   5	   9	
bate	  28.00	   4	  18	
bath	  23.33	   4	   8	
baths	  29.75	   5	   5	
bats	  34.00	   4	  17	
batt	  20.67	   4	   5	
battalion	  89.63	   9	   0	
battalions	  49.56	  10	   0	
batteries	 132.75	   9	   0	
battering	 247.63	   9	   4	
battery	 121.67	   7	   2	
battlement	  49.00	  10	   0	
battleship	  29.00	  10	   0	
batts	  62.50	   5	   6	
baud	  13.67	   4	   4	
bawd	  15.67	   4	   4	
bay	  10.50	   3	  21	
bayonet	  41.33	   7	   1	
bayonets	  63.43	   8	   0	
bays	  18.67	   4	  14	
bazooka	  16.17	   7	   0	
bazookas	  14.57	   8	   0	
beach	  55.00	   5	   7	
bead	  33.00	   4	  13	
beads	  53.00	   5	  11	
beak	  30.67	   4	  11	
beam	  34.00	   4	   8	
beams	  46.75	   5	   8	
bean	  34.67	   4	  13	
beans	  58.25	   5	   9	
bear	  36.00	   4	  18	
beard	  50.50	   5	   3	
beards	  62.00	   6	   1	
bears	  58.25	   5	  19	
beast	  49.50	   5	   5	
beasts	  76.00	   6	   4	
beautician	  28.56	  10	   0	
beaux	  32.00	   5	   0	
bec	   3.00	   3	   6	
bed	   6.00	   3	  14	
bedchamber	  19.89	  10	   0	
bedfellow	  20.75	   9	   0	
bedfellows	  17.11	  10	   0	
bedouin	  30.50	   7	   0	
bedouins	 154.00	   8	   0	
bedridden	  36.63	   9	   0	
beds	  16.33	   4	   6	
bee	   7.00	   3	  13	
beech	  38.75	   5	   4	
beef	  25.67	   4	   6	
beefs	  24.00	   5	   4	
beekeeper	  25.25	   9	   0	
beekeepers	  26.89	  10	   0	
beekeeping	 115.00	  10	   0	
beep	  27.33	   4	  11	
beer	  29.00	   4	  13	
beers	  38.75	   5	   6	
bees	  34.67	   4	  12	
beet	  27.00	   4	  11	
beets	  54.25	   5	   4	
beginner	  66.29	   8	   0	
beginners	  66.50	   9	   0	
beginning	 201.25	   9	   0	
beginnings	  26.11	  10	   0	
begonia	  25.83	   7	   0	
begonias	  37.29	   8	   0	
behavior	  31.00	   8	   0	
behaviors	  48.38	   9	   0	
behemoth	  19.43	   8	   0	
behemoths	  12.50	   9	   0	
beholder	  55.71	   8	   1	
bein	  17.33	   4	   4	
belabor	  36.17	   7	   0	
believer	  64.00	   8	   2	
believers	  60.00	   9	   0	
bell	  32.33	   4	  13	
belles	 136.00	   6	   1	
bells	  54.00	   5	  13	
bellyache	  25.50	   9	   0	
belongings	  25.33	  10	   0	
belt	  24.00	   4	  10	
belts	  55.50	   5	   7	
beluga	  25.00	   6	   0	
bemusement	  41.56	  10	   0	
bench	  40.50	   5	   5	
benefit	  36.50	   7	   0	
benefits	  71.14	   8	   0	
bere	  28.00	   4	   7	
bergs	  31.50	   5	   0	
berk	  20.33	   4	   6	
berliner	  91.43	   8	   0	
berliners	  86.75	   9	   0	
berm	  18.33	   4	   4	
berms	  32.75	   5	   3	
berth	  35.25	   5	   1	
berths	  41.80	   6	   1	
bes	   3.50	   3	   8	
bestseller	  39.11	  10	   0	
betrayal	  44.29	   8	   0	
betrayals	  38.75	   9	   0	
bets	  27.33	   4	  14	
betterment	  58.56	  10	   0	
beverage	  63.57	   8	   1	
beverages	  96.38	   9	   0	
biases	 104.60	   6	   1	
bib	   6.00	   3	  11	
bibs	  13.33	   4	   6	
bicuspids	  19.13	   9	   0	
bicycle	  32.17	   7	   0	
bicycles	  96.71	   8	   1	
bids	  16.67	   4	  10	
bien	  15.33	   4	   3	
bier	  15.00	   4	   3	
bifocals	  24.86	   8	   0	
bight	  15.25	   5	  10	
bigotry	  31.83	   7	   0	
bike	  13.67	   4	   8	
bikes	  71.25	   5	   4	
bikini	  56.00	   6	   0	
bikinis	  19.83	   7	   0	
bile	  27.67	   4	  12	
bills	  49.50	   5	  12	
bin	   8.50	   3	  18	
binge	  39.75	   5	   4	
bins	  33.67	   4	  13	
biomass	  25.00	   7	   0	
biopsy	  15.00	   6	   0	
biosphere	  34.38	   9	   0	
biotech	  35.33	   7	   0	
bird	  17.33	   4	   4	
birds	  31.50	   5	   1	
birks	  37.25	   5	   3	
birth	  26.00	   5	   5	
births	  30.80	   6	   1	
bish	  19.00	   4	   5	
bisque	  22.40	   6	   0	
bit	   8.00	   3	  17	
bitch	  32.00	   5	   9	
bitchiness	  43.56	  10	   0	
bites	  81.50	   5	   7	
bits	  25.67	   4	  15	
bitterness	  51.33	  10	   0	
bitumen	  37.00	   7	   0	
biz	   3.50	   3	   5	
blackberry	  23.78	  10	   0	
blacks	  47.40	   6	   3	
blade	  36.50	   5	   5	
blades	 119.20	   6	   3	
blain	  37.75	   5	   3	
blan	  17.33	   4	   6	
blanks	  49.40	   6	   4	
blasphemy	  23.50	   9	   1	
blast	  43.50	   5	   3	
blasts	  64.60	   6	   2	
blaze	  30.00	   5	   5	
bleach	  37.40	   6	   1	
bleep	  27.50	   5	   2	
blemishes	  72.25	   9	   0	
bleu	   8.33	   4	   2	
blight	  28.40	   6	   5	
blimp	  26.50	   5	   0	
blimps	  29.40	   6	   0	
blinds	  44.60	   6	   2	
blip	  10.67	   4	   3	
blips	  37.50	   5	   4	
bliss	  30.00	   5	   2	
blitz	  28.00	   5	   0	
blob	  12.00	   4	   4	
blobs	  32.25	   5	   5	
block	  37.75	   5	   4	
blockages	  64.50	   9	   0	
blocks	  39.80	   6	   3	
blocs	  27.75	   5	   4	
bloke	  32.50	   5	   1	
blokes	 119.40	   6	   0	
blondes	 125.17	   7	   0	
blonds	  39.40	   6	   3	
blood	  33.25	   5	   4	
bloods	  39.00	   6	   4	
blooms	  31.80	   6	   1	
blotch	  33.20	   6	   0	
blouse	  36.60	   6	   0	
blueberry	  33.25	   9	   0	
bluebonnet	  16.89	  10	   0	
bluebottle	  24.11	  10	   0	
blues	  76.25	   5	   5	
bluff	  23.25	   5	   1	
bluffs	  15.40	   6	   0	
blur	  12.33	   4	   2	
blurb	  23.00	   5	   1	
blurbs	  17.60	   6	   0	
blush	  30.00	   5	   4	
boar	  26.33	   4	   5	
board	  39.25	   5	   3	
boards	  45.00	   6	   2	
boat	  26.00	   4	   9	
boats	  60.00	   5	   8	
boche	  19.00	   5	   0	
bodega	  22.00	   6	   0	
bodegas	  21.00	   7	   0	
bodyguard	  19.25	   9	   0	
bodyguards	  11.89	  10	   0	
boe	   7.50	   3	  17	
boer	  18.00	   4	   4	
boers	  31.25	   5	   3	
bog	   8.50	   3	  19	
bogeyman	  19.29	   8	   1	
bogeymen	  25.43	   8	   0	
bogs	  25.33	   4	  16	
bolero	  49.20	   6	   0	
bologna	  23.50	   7	   0	
bolshevik	  18.38	   9	   0	
bolsheviks	  13.78	  10	   0	
bolt	  29.33	   4	  11	
bolts	  58.25	   5	   8	
bom	   6.00	   3	  13	
bomb	  17.67	   4	   3	
bombardier	  38.89	  10	   0	
bombs	  27.00	   5	   4	
bonanza	  38.00	   7	   0	
bonds	  44.25	   5	   6	
bone	  30.33	   4	  15	
bones	  88.25	   5	   9	
bonfire	  45.33	   7	   0	
bonfires	 121.43	   8	   0	
bong	  29.00	   4	   9	
bonne	  32.00	   5	   3	
bonuses	 124.67	   7	   0	
boob	  29.33	   4	   8	
boobs	  34.50	   5	   6	
book	  30.67	   4	  12	
bookcases	  68.88	   9	   0	
bookkeeper	  18.44	  10	   0	
bookmaker	  30.00	   9	   0	
bookmakers	  30.67	  10	   0	
bookmobile	  21.11	  10	   0	
books	  51.75	   5	   8	
bookseller	  26.11	  10	   0	
boolean	  48.67	   7	   0	
boom	  30.67	   4	   9	
boomerang	 133.50	   9	   0	
booms	  38.25	   5	   5	
boon	  31.33	   4	  10	
boor	  29.33	   4	   9	
boors	  44.75	   5	   7	
boos	  30.33	   4	  13	
boost	  40.00	   5	   2	
boot	  34.67	   4	  17	
booth	  41.00	   5	   4	
booths	  40.00	   6	   0	
bootlegger	  26.56	  10	   0	
boots	  64.25	   5	  11	
booze	  29.75	   5	   1	
bordello	  37.86	   8	   0	
borderline	  99.22	  10	   0	
borrower	  63.71	   8	   1	
borrowers	  70.63	   9	   0	
borrowings	  29.00	  10	   0	
bors	  27.33	   4	  10	
borsch	  42.00	   6	   0	
borscht	  37.00	   7	   0	
boss	  24.00	   4	   9	
botanist	  66.29	   8	   0	
botanists	  44.13	   9	   0	
botany	  37.20	   6	   0	
