"","X","Word","Unnamed","FREQcount","CDcount","FREQlow","Cdlow","SUBLTLWF","Lg10WF","SUBTLCD","Lg10CD","Dom_PoS_SUBTLEX","Freq_dom_PoS_SUBTLEX","Percentage_dom_PoS","All_PoS_SUBTLEX","All_freqs_SUBTLEX","Zipfvalue","CMUSylls"
"257",256,"alfalfa",1513,33,28,23,18,0.647058823529412,1.53147891704226,0.33381020505484,1.46239799789896,"Noun",25,0.757575757575758,"Noun.Name","25.8",2.82331305918672,3
"259",258,"algebra",1519,90,69,67,51,1.76470588235294,1.95904139232109,0.822603719599428,1.84509804001426,"Noun",74,0.822222222222222,"Noun.Name","74.16",3.25087553446555,3
"261",260,"algonquin",1527,10,9,0,0,0.196078431372549,1.04139268515823,0.107296137339056,1,"Noun",10,1,"Noun","10",2.33322682730268,3
"264",263,"alias",1536,208,155,143,112,4.07843137254902,2.32014628611105,1.84787792083929,2.19312459835446,"Noun",162,0.771428571428571,"Noun.Preposition","162.48",3.61198042825551,3
"266",265,"alibi",1538,426,249,417,241,8.35294117647059,2.63042787502502,2.96852646638054,2.39794000867204,"Noun",428,1,"Noun","428",3.92226201716948,3
"267",266,"alibis",1541,58,50,54,46,1.13725490196078,1.77085201164214,0.596089651883643,1.70757017609794,"Noun",58,1,"Noun","58",3.0626861537866,3
"269",268,"aliens",1549,491,215,433,198,9.62745098039216,2.69196510276736,2.56318550309967,2.33445375115093,"Noun",494,1,"Noun","494",3.98379924491182,3
"270",269,"alignment",1556,67,47,66,47,1.31372549019608,1.83250891270624,0.560324272770625,1.68124123737559,"Noun",66,1,"Noun","66",3.1243430548507,3
"271",270,"alignments",1557,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"273",272,"alkali",1571,18,14,11,9,0.352941176470588,1.27875360095283,0.16690510252742,1.17609125905568,"Noun",12,0.666666666666667,"Noun.Name","12.6",2.57058774309729,3
"274",273,"alkaloid",1575,8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3
"275",274,"alkaloids",1576,3,3,2,2,0.0588235294117647,0.602059991327962,0.0357653791130186,0.602059991327962,"Noun",3,1,"Noun","3",1.89389413347242,3
"277",276,"allegiance",1596,159,128,133,106,3.11764705882353,2.20411998265592,1.52598950882213,2.11058971029925,"Noun",161,1,"Noun","161",3.49595412480038,3
"280",279,"allegro",1603,26,13,7,7,0.509803921568627,1.43136376415899,0.154983309489747,1.14612803567824,"Noun",20,0.769230769230769,"Noun.Name","20.6",2.72319790630345,3
"281",280,"allele",1604,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",1,1,"Noun","1",1.76895539686412,3
"282",281,"alleles",1605,12,9,12,9,0.235294117647059,1.11394335230684,0.107296137339056,1,"Noun",12,1,"Noun","12",2.4057774944513,3
"284",283,"allergen",1612,3,2,3,2,0.0588235294117647,0.602059991327962,0.0238435860753457,0.477121254719662,"Noun",3,1,"Noun","3",1.89389413347242,3
"285",284,"allergens",1613,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"286",285,"allergies",1615,139,113,122,101,2.72549019607843,2.14612803567824,1.34716261325703,2.05690485133647,"Noun",138,1,"Noun","138",3.4379621778227,3
"287",286,"allergist",1616,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"288",287,"allergists",1617,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"289",288,"allergy",1618,86,66,81,65,1.68627450980392,1.93951925261862,0.786838340486409,1.82607480270083,"Noun",84,1,"Noun","84",3.23135339476308,3
"292",291,"alleyway",1625,40,36,39,35,0.784313725490196,1.61278385671974,0.429184549356223,1.56820172406699,"Noun",39,1,"Noun","39",2.9046179988642,3
"293",292,"alleyways",1626,8,8,8,8,0.156862745098039,0.954242509439325,0.0953743443013829,0.954242509439325,"Noun",8,1,"Noun","8",2.24607665158378,3
"294",293,"alliance",1630,465,190,174,115,9.11764705882353,2.66838591669,2.26514067715784,2.28103336724773,"Noun",471,1,"Noun","471",3.96022005883446,3
"301",300,"allotment",1651,19,18,19,18,0.372549019607843,1.30102999566398,0.214592274678112,1.27875360095283,"Noun",19,1,"Noun","19",2.59286413780844,3
"302",301,"allotments",1652,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"303",302,"allowance",1659,265,191,256,189,5.19607843137255,2.42488163663107,2.27706247019552,2.28330122870355,"Noun",265,0.996240601503759,"Noun.Name","265.1",3.71671577877553,3
"308",307,"allusion",1677,6,5,6,5,0.117647058823529,0.845098040014257,0.0596089651883643,0.778151250383644,"Noun",6,1,"Noun","6",2.13693218215872,3
"309",308,"allusions",1678,6,4,5,4,0.117647058823529,0.845098040014257,0.0476871721506915,0.698970004336019,"Noun",6,1,"Noun","6",2.13693218215872,3
"311",310,"almanac",1685,43,27,17,13,0.843137254901961,1.64345267648619,0.321888412017167,1.44715803134222,"Noun",43,1,"Noun","43",2.93528681863065,3
"314",313,"alms",1693,25,13,10,10,0.490196078431373,1.41497334797082,0.154983309489747,1.14612803567824,"Noun",24,1,"Noun","24",2.70680749011528,1
"316",315,"aloha",1700,149,72,29,18,2.92156862745098,2.17609125905568,0.858369098712446,1.86332286012046,"Noun",118,0.797297297297297,"Noun.Name","118.30",3.46792540120014,3
"317",316,"alpaca",1711,10,8,6,5,0.196078431372549,1.04139268515823,0.0953743443013829,0.954242509439325,"Noun",10,1,"Noun","10",2.33322682730268,3
"319",318,"alphabet",1715,127,87,89,77,2.49019607843137,2.10720996964787,1.03719599427754,1.94448267215017,"Noun",126,1,"Noun","126",3.39904411179233,3
"320",319,"alsatian",1732,8,6,0,0,0.156862745098039,0.954242509439325,0.0715307582260372,0.845098040014257,"Noun",5,0.625,"Noun.Adjective","5.3",2.24607665158378,3
"323",322,"altarpiece",1737,2,2,2,2,0.0392156862745098,0.477121254719662,0.0238435860753457,0.477121254719662,"Noun",2,1,"Noun","2",1.76895539686412,3
"326",325,"alternates",1748,9,8,9,8,0.176470588235294,1,0.0953743443013829,0.954242509439325,"Noun",6,0.666666666666667,"Noun.Verb","6.3",2.29183414214446,3
"328",327,"althea",1760,46,7,0,0,0.901960784313726,1.67209785793572,0.0834525512637101,0.903089986991944,"Noun",24,0.533333333333333,"Noun.Name","24.21",2.96393200008018,3
"331",330,"altitude",1765,198,146,175,133,3.88235294117647,2.29885307640971,1.74058178350024,2.16731733474818,"Noun",196,0.99492385786802,"Noun.Name","196.1",3.59068721855417,3
"332",331,"altitudes",1766,11,10,11,10,0.215686274509804,1.07918124604762,0.119217930376729,1.04139268515823,"Noun",12,1,"Noun","12",2.37101538819208,3
"337",336,"alumna",1777,1,1,1,1,0.0196078431372549,0.301029995663981,0.0119217930376729,0.301029995663981,"Noun",1,1,"Noun","1",1.59286413780844,3
"338",337,"alumni",1779,89,55,82,49,1.74509803921569,1.95424250943932,0.655698617072008,1.7481880270062,"Noun",83,0.943181818181818,"Noun.Verb","83.5",3.24607665158378,3
"339",338,"alumnus",1780,24,19,24,19,0.470588235294118,1.39794000867204,0.226514067715784,1.30102999566398,"Noun",24,1,"Noun","24",2.6897741508165,3
"342",341,"amalgam",1796,9,5,9,5,0.176470588235294,1,0.0596089651883643,0.778151250383644,"Noun",9,1,"Noun","9",2.29183414214446,3
"343",342,"amaranth",1804,2,1,1,1,0.0392156862745098,0.477121254719662,0.0119217930376729,0.301029995663981,"Noun",2,1,"Noun","2",1.76895539686412,3
