numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
7896	7895	habitat	29005	114	74	90	65	2.2353	2.0607	0.88221	1.8751	Noun	114	1	3.3525	3	28.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_7896_habitat_low3	3450	11450
8769	8768	imagery	32147	74	62	72	62	1.451	1.8751	0.73915	1.7993	Noun	74	1	3.1669	3	84.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_8769_imagery_low3	3350	11350
14254	14253	range	52200	1161	736	978	678	22.7647	3.0652	8.7744	2.8675	Noun	1129	0.97664	4.357	1	45.75	5	0	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_14254_range_high1	3250	11250
14288	14287	rash	52296	410	291	401	289	8.0392	2.6138	3.4692	2.4654	Noun	288	0.70073	3.9057	1	29	4	11	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_14288_rash_high1	3300	11300
3410	3409	cluck	12127	73	39	55	32	1.4314	1.8692	0.46495	1.6021	Noun	35	0.47945	3.1611	1	33.5	5	6	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_3410_cluck_low1	3300	11300
17008	17007	strife	62966	85	67	63	55	1.6667	1.9345	0.79876	1.8325	Noun	84	1	3.2263	1	48	6	4	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_17008_strife_low1	3450	11450
19418	19417	wool	73458	161	131	153	123	3.1569	2.2095	1.5618	2.1206	Noun	161	1	3.5013	1	25.33	4	6	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_19418_wool_low1	3450	11450
10342	10341	lump	38216	181	149	177	147	3.549	2.2601	1.7763	2.1761	Noun	156	0.86188	3.5519	1	13.67	4	8	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_10342_lump_low1	3400	11400
17248	17247	supplier	63962	99	76	99	76	1.9412	2	0.90606	1.8865	Noun	99	1	3.2918	3	93.71	8	2	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_17248_supplier_low3	3200	11200
4252	4251	cruise	15465	626	395	506	323	12.2745	2.7973	4.7091	2.5977	Noun	489	0.78115	4.0891	1	44.2	6	1	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_4252_cruise_high1	3250	11250
16540	16539	speed	61268	2104	1260	1824	1153	41.2549	3.3233	15.0215	3.1007	Noun	1675	0.798	4.6151	1	73.25	5	3	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_16540_speed_high1	3500	11500
9346	9345	jug	35123	134	75	118	70	2.6275	2.1303	0.89413	1.8808	Noun	134	1	3.4222	1	6	3	13	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_9346_jug_low1	3250	11250
7557	7556	gown	27995	334	263	324	258	6.549	2.525	3.1354	2.4216	Noun	334	1	3.8169	1	14.33	4	4	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_7557_gown_high1	3250	11250
14064	14063	quantity	51610	95	81	88	77	1.8627	1.9823	0.96567	1.9138	Noun	95	1	3.2741	3	91	8	1	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_14064_quantity_low3	3400	11400
19285	19284	wife	72957	17795	4811	17592	4781	348.9216	4.2503	57.3557	3.6823	Noun	17782	0.99994	5.5422	1	12	4	9	1	high	high1	1	10	1	2	11	12	13	14	1	list1	list1_19285_wife_high1	3500	11500
14431	14430	redemption	53085	112	91	89	77	2.1961	2.0531	1.0849	1.9638	Noun	112	1	3.3449	3	129.33	10	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_14431_redemption_low3	3500	11500
18678	18677	vanity	70803	210	168	158	135	4.1176	2.3243	2.0029	2.2279	Noun	210	1	3.6161	3	53.6	6	1	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_18678_vanity_low3	3350	11350
11525	11524	muse	42255	98	58	91	55	1.9216	1.9956	0.69146	1.7709	Noun	93	0.91176	3.2875	1	19.33	4	7	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_11525_muse_low1	3250	11250
145	144	aggression	1183	143	109	134	105	2.8039	2.1584	1.2995	2.0414	Noun	143	1	3.4502	3	88.22	10	0	1	low	low3	4	40	1	2	41	42	43	44	1	list1	list1_145_aggression_low3	3500	11500
13092	13091	ping	48191	168	81	59	35	3.2941	2.2279	0.96567	1.9138	Noun	146	0.86905	3.5197	1	33	4	13	1	low	low1	3	30	1	2	31	32	33	34	1	list1	list1_13092_ping_low1	3350	11350
7199	7198	garrison	26729	233	67	61	39	4.5686	2.3692	0.79876	1.8325	Noun	178	0.7807	3.661	3	61.29	8	0	1	high	high3	2	20	1	2	21	22	23	24	1	list1	list1_7199_garrison_high3	3300	11300
