numid|f	X|f	Word|s	Unnamed|f	FREQcount|f	Cdcount|f	FREQlow|f	Cdlow|f	SUBLTLWF|f	Lg10WF|f	SUBTLCD|f	Lg10CD|f	Dom_PoS_SUBTLEX|s	Freq_dom_PoS_SUBTLEX|f	Percentage_dom_PoS|f	Zipfvalue|f	cmu_sylls|f	BF_TP|f	LEN_L|f	N|f	Zipfvalue_incl|f	Zipfvalue_cat|s	cond_name|s	cond_code|f	trigger_code|f	len|f	corr_resp|f	fix_code|f	word_code|f	delay_code|f	audioresp_code|f	list|f	list_name|s	file_num|s	jittered_ISI|f	total_time|f
18698	18697	varsity	70865	89	66	67	51	1.7451	1.9542	0.78684	1.8261	Noun	88	0.98876	3.2461	3	74.5	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_18698_varsity_low3	3300	11300
13204	13203	plaque	48502	106	65	102	63	2.0784	2.0294	0.77492	1.8195	Noun	106	1	3.3212	1	29.2	6	1	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_13204_plaque_low1	3500	11500
5774	5773	encounter	21435	284	251	276	246	5.5686	2.4548	2.9924	2.4014	Noun	187	0.65845	3.7467	3	79.88	9	0	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_5774_encounter_high3	3350	11350
13373	13372	pollution	48995	97	77	85	69	1.902	1.9912	0.91798	1.8921	Noun	97	1	3.2831	3	108	9	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_13373_pollution_low3	3500	11500
15040	15039	royalty	55766	200	133	154	120	3.9216	2.3032	1.5856	2.1271	Noun	200	1	3.595	3	28.33	7	2	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_15040_royalty_low3	3450	11450
17102	17101	subpoena	63370	113	87	109	83	2.2157	2.0569	1.0372	1.9445	Noun	71	0.63393	3.3487	3	30.71	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_17102_subpoena_low3	3200	11200
15425	15424	scoop	57060	289	210	245	195	5.6667	2.4624	2.5036	2.3243	Noun	183	0.63322	3.7542	1	21	5	4	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_15425_scoop_high1	3250	11250
5747	5746	employee	21320	590	429	553	415	11.5686	2.7716	5.1144	2.6335	Noun	588	0.9983	4.0634	3	25.43	8	2	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_5747_employee_high3	3200	11200
11353	11352	morgue	41679	440	269	420	258	8.6275	2.6444	3.207	2.4314	Noun	440	1	3.9363	1	38.4	6	0	1	high	high1	1	10	1	2	11	12	13	14	4	list4	list4_11353_morgue_high1	3250	11250
17379	17378	symphony	64532	181	136	110	86	3.549	2.2601	1.6214	2.1367	Noun	180	0.99448	3.5519	3	28.29	8	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_17379_symphony_low3	3200	11200
12719	12718	pawn	46784	221	136	201	129	4.3333	2.3464	1.6214	2.1367	Noun	145	0.65909	3.6382	1	20	4	7	1	low	low1	3	30	1	2	31	32	33	34	4	list4	list4_12719_pawn_low1	3300	11300
3613	3612	commander	12780	1887	484	582	307	37	3.276	5.7701	2.6857	Noun	1863	0.98833	4.5678	3	83.63	9	1	1	high	high3	2	20	1	2	21	22	23	24	4	list4	list4_3613_commander_high3	3350	11350
9474	9473	kidnapper	35569	206	92	194	89	4.0392	2.316	1.0968	1.9685	Noun	202	0.98058	3.6078	3	23.88	9	1	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_9474_kidnapper_low3	3250	11250
18940	18939	volcano	71619	170	108	161	101	3.3333	2.233	1.2876	2.0374	Noun	169	1	3.5248	3	26.83	7	0	1	low	low3	4	40	1	2	41	42	43	44	4	list4	list4_18940_volcano_low3	3250	11250
